,Bait,Prey Gene,Saint Score,log2FC
0,RBBP5,HIST1H4A,0.5,1.7
1,RBBP5,HSPA6,0.0,-2.322
2,RBBP5,HSPA5,0.0,-1.152
3,RBBP5,HSPA4,0.0,-5.059
4,RBBP5,NELFB,0.0,2.322
5,RBBP5,NELFA,0.06,0.911
6,RBBP5,NELFE,0.0,-0.234
7,RBBP5,PDCD11,0.5,4.907
8,RBBP5,KIAA0907,0.0,-1.0
9,RBBP5,COPRS,0.0,-2.556
10,RBBP5,CAMK4,0.0,-3.474
11,RBBP5,ZC3H13,0.7,3.0
12,RBBP5,ZC3H14,0.0,-0.737
13,RBBP5,KDM2A,1.0,6.781
14,RBBP5,ZC3H18,0.0,0.0
15,RBBP5,DHX8,0.0,-1.599
16,RBBP5,DHX9,0.0,-0.667
17,RBBP5,HSPA8,0.0,-0.599
18,RBBP5,TCOF1,1.0,3.985
19,RBBP5,NSRP1,0.0,-1.218
20,RBBP5,NUP98,0.0,-5.059
21,RBBP5,XPC,0.0,-0.494
22,RBBP5,XPA,0.49,3.907
23,RBBP5,HNRNPDL,0.27,1.0
24,RBBP5,WHSC1,0.5,4.644
25,RBBP5,ANP32E,0.0,0.0
26,RBBP5,RAD54L2,0.5,4.907
27,RBBP5,PNISR,0.01,0.0
28,RBBP5,NOP2,0.0,-0.089
29,RBBP5,GTF3C1,0.0,-1.434
30,RBBP5,GTF3C5,0.0,-0.889
31,RBBP5,GTF3C4,0.0,0.536
32,RBBP5,ZNF451,0.5,1.287
33,RBBP5,XPO5,0.0,0.0
34,RBBP5,TIPRL,0.0,-2.059
35,RBBP5,TTN,0.0,0.0
36,RBBP5,FBXL18,0.49,3.907
37,RBBP5,FAM212B,0.0,-2.837
38,RBBP5,ANAPC4,0.0,-3.474
39,RBBP5,RPS6KA1,0.0,-5.059
40,RBBP5,HLCS,0.0,-2.474
41,RBBP5,TOP1,0.1,0.322
42,RBBP5,SERBP1,0.0,-2.644
43,RBBP5,RTFDC1,0.0,-1.599
44,RBBP5,FOXM1,0.2,1.0
45,RBBP5,EXOSC10,0.0,-0.621
46,RBBP5,ARF3,0.0,-2.0
47,RBBP5,PLRG1,0.0,-1.12
48,RBBP5,ELMSAN1,0.0,0.614
49,RBBP5,TCEA1,0.47,3.322
50,RBBP5,NOL8,0.0,-2.556
51,RBBP5,CHTF18,0.0,-1.0
52,RBBP5,NOL6,0.5,2.17
53,RBBP5,NFRKB,0.5,2.322
54,RBBP5,RLF,0.0,-2.0
55,RBBP5,CXXC1,0.97,5.492
56,RBBP5,HMGB3,0.0,-1.0
57,RBBP5,HMGB2,0.47,3.322
58,RBBP5,HMGB1,0.11,0.536
59,RBBP5,MAGEA4,0.0,-2.252
60,RBBP5,FRG1,0.96,4.644
61,RBBP5,KIF4A,0.0,-0.69
62,RBBP5,CDCA2,0.5,3.7
63,RBBP5,YLPM1,0.0,-1.396
64,RBBP5,CDCA5,0.49,2.585
65,RBBP5,FIP1L1,0.0,-2.059
