,Gene Name,log2(Fold change),P-value
0,HDLBP,-0.295,0.418
1,PSMA2,2.55,0.146
2,BAG6;BAT3,0.932,0.028
3,TXNRD1,1.336,0.008
4,HMOX2,1.46,0.007
5,EIF2B4,-0.933,0.22
6,KHSRP,0.107,0.769
7,PYCR2,2.038,0.002
8,HNRNPDL,1.724,0.18
9,SLIRP,-1.209,0.013
10,BSG,-0.345,0.502
11,SPTBN1,0.759,0.132
12,POLR2E,0.401,0.356
13,TPM3,0.187,0.648
14,TARDBP;TDP43,0.009,0.976
15,RPL17;RPL17-C18orf32,0.362,0.425
16,ITGB6,-1.863,0.005
17,PSMB3,0.356,0.296
18,VTA1,1.14,0.007
19,UGP2,1.5,0.006
20,PTGES3,-0.966,0.01
21,EIF3H,-0.179,0.619
22,NDUFB6,5.463,0.0
23,HYOU1,0.869,0.061
24,ACOT1;ACOT2,-0.099,0.708
25,PSME2,-0.043,0.916
26,SRSF3,-0.741,0.054
27,DDX1,0.188,0.603
28,PYCRL,1.802,0.023
29,WDR18,-0.665,0.477
30,VDAC2,-0.039,0.875
31,TTN,6.816,0.0
32,HNRNPUL1,-0.903,0.236
33,SNX6,1.34,0.109
34,PCMT1,2.258,0.001
35,NOLC1,1.708,0.001
36,ABI1,2.55,0.002
37,PITPNB,0.831,0.25
38,GSN,1.353,0.085
39,ADSL,0.908,0.015
40,TMED7;TMED7-TICAM2,0.478,0.184
41,NAA15,0.569,0.094
42,SRSF7,0.704,0.262
43,TPT1,0.292,0.505
44,PWP2,1.754,0.003
45,SET;SETSIP,0.205,0.672
46,RPSA,0.247,0.353
47,SYNE1,3.12,0.0
48,DDX46,0.827,0.293
49,CHD4,-0.136,0.731
50,CAPNS1,-1.2,0.334
51,DDOST,0.37,0.185
52,DDX3X;DDX3Y,-0.438,0.273
53,SPTAN1,1.7,0.117
54,DNM2;DNM1,-0.61,0.386
55,HSPA1A;HSPA1B,0.484,0.119
56,PSMB9,3.943,0.0
57,SSBP1,0.905,0.036
58,PUF60,0.003,0.997
59,MATR3,0.729,0.027
60,HLA-A,-1.309,0.006
61,ALDH7A1,0.533,0.153
62,CTSD,-0.65,0.043
63,DPYSL2,-0.13,0.745
64,TCEA1,0.358,0.285
65,DDX17,0.15,0.636
66,RTTN,-0.191,0.549
67,GCSH,1.653,0.003
68,HLA-A,-0.338,0.211
69,PHGDH,0.049,0.888
70,CD9,0.77,0.03
71,CTNNB1,0.277,0.511
72,POLR1C,3.745,0.001
73,TPM4,1.072,0.01
74,RPS14,0.248,0.643
75,RPS24,0.242,0.365
76,PFKM,1.374,0.031
77,HSD17B4,0.994,0.036
78,TPP1,0.369,0.437
79,EEF1A2,1.187,0.023
80,MTHFD1,0.74,0.045
81,CTPS1,1.396,0.007
82,MOGS,0.938,0.076
83,TCOF1,0.697,0.07
84,COPA,1.062,0.094
85,NDUFA9,0.064,0.902
86,HNRNPL,0.033,0.922
87,RPL29,-0.806,0.055
88,THRAP3,0.926,0.166
89,AMDHD2,0.157,0.539
90,MCM4,1.157,0.012
91,TJP2,1.267,0.223
92,NHP2L1,0.014,0.981
93,DEK,0.627,0.537
94,SUCLG1,1.409,0.073
95,EBP,0.253,0.367
96,NOP56,0.383,0.175
97,FKBP2,0.009,0.972
98,S100A2,-0.622,0.305
99,SRSF6,0.244,0.794
100,NNT,1.316,0.024
101,AMPD2,1.015,0.315
102,AIMP1,0.356,0.371
103,ACAT1,1.234,0.199
104,CTNND1,2.24,0.003
105,STAT1,0.055,0.894
106,USP7,1.295,0.032
107,ACO2,1.441,0.012
108,PGP,2.517,0.064
109,HCFC1,1.074,0.018
110,NUDT5,-0.098,0.897
111,USP14,0.91,0.017
112,RNPEP,0.451,0.403
113,CRYZ,1.346,0.004
114,SUMO2;SUMO3;SUMO4,0.774,0.716
115,RPL23A,0.164,0.876
116,EIF3L,1.435,0.003
117,MPST,0.935,0.02
118,MCM5,0.963,0.018
119,PEA15,-0.296,0.68
120,PRPS1;PRPS1L1,0.426,0.514
121,PABPC4,1.103,0.195
122,HNRNPC,0.128,0.693
123,PES1,-0.829,0.524
124,DBNL,-1.143,0.282
125,CNN2,0.032,0.97
126,NDUFA13,2.378,0.003
127,COPS2,1.451,0.003
128,CS,1.655,0.001
129,CARS,0.966,0.486
130,MRPL12,0.775,0.026
131,NQO1,1.606,0.005
132,MTAP,2.174,0.001
133,FXR1,0.258,0.561
134,HS1BP3,0.323,0.29
135,BZW2,2.535,0.001
136,RAN,0.238,0.57
137,NMT1,0.936,0.077
138,ACADM,2.074,0.022
139,PTMA,-1.403,0.007
140,HIBCH,-0.084,0.916
141,IMMT,2.252,0.001
142,DKC1,0.882,0.015
143,PFN2,0.774,0.249
144,SRI,0.453,0.261
145,EEF1E1;EEF1E1-BLOC1S5,1.858,0.008
146,PFN2,0.01,0.983
147,RAB6A;RAB6B;RAB39A,-1.138,0.008
148,RAB34,0.038,0.941
149,APEH,0.658,0.119
150,POLR2H,-1.545,0.003
151,RPL24,-0.079,0.739
152,C7orf50,-1.197,0.012
153,L2HGDH,0.47,0.574
154,RCC1,0.22,0.46
155,RFC4,2.048,0.025
156,RPL32,1.022,0.012
157,CAMK2D;CAMK2A,1.332,0.008
158,HNRNPAB,1.29,0.026
159,GNPDA1,0.557,0.241
160,PDLIM7,0.802,0.06
161,SEPT11,0.567,0.295
162,SEC31A,1.617,0.002
163,PAIP1,0.134,0.581
164,PFDN1,-0.147,0.572
165,TBCA,1.414,0.038
166,TCEB1,0.926,0.041
167,RPL30,0.115,0.627
168,DNPEP,0.066,0.894
169,RPL26;RPL26L1,0.753,0.113
170,RBM22,-1.548,0.004
171,VAPB,0.796,0.031
172,SWAP70,1.119,0.008
173,ITGA2,0.194,0.664
174,AP1M1;AP1M2,1.716,0.007
175,RPL14,-0.676,0.086
176,SEPT7,-1.702,0.001
177,EIF4G1,0.441,0.115
178,MAP4,0.469,0.182
179,CSTF2;CSTF2T,1.641,0.002
180,EIF4B,1.138,0.008
181,DCTN1,1.425,0.162
182,NIF3L1,1.848,0.005
183,NACA,0.179,0.8
184,OGDH,0.561,0.229
185,HNRNPH1,-0.02,0.934
186,FUBP1,-0.026,0.933
187,GSTK1,-0.99,0.424
188,TSN,0.345,0.267
189,SSR2,-1.282,0.01
190,EEF1D,-0.496,0.117
191,PRMT1,0.717,0.274
192,MRPL17,-0.02,0.96
193,NPEPPS,0.677,0.042
194,VKORC1,-1.675,0.093
195,RAE1,3.739,0.002
196,FAU,-0.743,0.031
197,NSFL1C,2.058,0.016
198,OTUB1,0.962,0.07
199,SLC3A2,-0.057,0.882
200,SNRPG;SNRPGP15,-0.739,0.041
201,GPHN,1.698,0.146
202,SEC23A,1.033,0.039
203,NAP1L1,1.108,0.007
204,TUBA1C,1.167,0.008
205,GRSF1,0.663,0.615
206,MYO1C,1.31,0.028
207,ATL3,0.452,0.206
208,GNS,1.145,0.008
209,RANBP1,1.248,0.051
210,CAD,0.531,0.384
211,LIMA1,1.813,0.086
212,SLC25A3,-0.168,0.731
213,AK2,0.158,0.829
214,MYL6,-1.198,0.046
215,HNRNPA1;HNRNPA1L2,0.096,0.695
216,NDRG3,1.381,0.009
217,CAPRIN1,0.321,0.729
218,DPP3,1.114,0.008
219,API5,0.462,0.599
220,GOLT1B,-0.446,0.281
221,RPL18,1.574,0.007
222,PSMA6,0.002,0.995
223,ATP5J2-PTCD1;ATP5J2,0.131,0.7
224,CELF1,-0.062,0.941
225,ZYX,1.152,0.233
226,HNRNPD,0.436,0.295
227,DNPH1,0.478,0.149
228,TPD52,1.329,0.004
229,CTSC,0.496,0.442
230,CD44,0.17,0.568
231,HADHA,0.827,0.047
232,YARS2,2.164,0.005
233,RPL28,1.224,0.014
234,PSMA4,0.92,0.023
235,IDH3A,1.711,0.046
236,RPS27;RPS27L,-0.257,0.431
237,ANP32A,0.029,0.931
238,DUT,0.518,0.191
239,AKR7A2,1.107,0.015
240,RNPS1,0.257,0.736
241,HN1L,1.053,0.019
242,H3BN98,-0.104,0.763
243,RPS17,0.29,0.633
244,COX5A,0.608,0.203
245,HEXA,-0.6,0.052
246,FUS,1.921,0.089
247,HACD3,0.505,0.305
248,RBMX;RBMXL1,1.018,0.018
249,BOLA2;BOLA2B,0.379,0.542
250,PDIA3,0.999,0.088
251,SRRT,0.941,0.038
252,NSF,1.22,0.008
253,EIF5A;EIF5A2;EIF5AL1,0.427,0.147
254,C1QBP,0.887,0.488
255,RPS15A,-0.319,0.304
256,SRSF2,-0.177,0.525
257,OLA1,0.781,0.108
258,SUMF2,0.49,0.153
259,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.795,0.167
260,IARS,0.811,0.02
261,CBX1,1.574,0.104
262,NUP85,3.806,0.002
263,DDX5,-0.939,0.015
264,RPL19,-0.118,0.635
265,SRSF1,0.946,0.082
266,CHERP,2.756,0.144
267,SCRN2,1.632,0.017
268,SNRPB;SNRPN,1.072,0.071
269,MRPS23,0.293,0.259
270,PNPO,2.287,0.037
271,MYL12B;MYL12A,-1.069,0.192
272,BUB3,-1.186,0.043
273,DNAJC7,3.234,0.068
274,KATNAL2,1.578,0.002
275,LONP1,1.148,0.025
