Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XRFWD2,HIST1H4A,HIST1H4A,7|6,13,6.5,2,7|6,0.0,0.0,0.0,0.0,0.0,-15.6,1.0,0.47,
XRFWD2,HSPA6,HSPA6,1|2,3,1.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-8.96,0.6,0.54,
XRFWD2,HSPA5,HSPA5,15|25,40,20.0,2,29|32,0.0,0.0,0.0,0.0,0.0,-91.41,0.66,0.54,
XRFWD2,HSPA4,HSPA4,6|3,9,4.5,2,19|20,0.0,0.0,0.0,0.0,0.0,-75.38,0.23,0.54,
XRFWD2,NELFA,NELFA,2|5,7,3.5,2,7|14,0.0,0.0,0.0,0.0,0.0,-39.4,0.33,0.54,
XRFWD2,SSFA2,SSFA2,1|0,1,0.5,2,9|12,0.0,0.0,0.0,0.0,0.0,-46.53,0.05,0.54,
XRFWD2,NELFE,NELFE,22|20,42,21.0,2,26|24,0.0,0.0,0.0,0.0,0.0,-60.87,0.84,0.54,
XRFWD2,CAMK4,CAMK4,0|1,1,0.5,2,5|7,0.0,0.0,0.0,0.0,0.0,-26.53,0.08,0.54,
XRFWD2,ZC3H15,ZC3H15,0|2,2,1.0,2,14|12,0.0,0.0,0.0,0.0,0.0,-57.65,0.08,0.54,
XRFWD2,ZC3H14,ZC3H14,15|22,37,18.5,2,20|32,0.0,0.0,0.0,0.0,0.0,-73.2,0.71,0.54,
XRFWD2,ZC3H18,ZC3H18,4|4,8,4.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-15.06,0.73,0.54,
XRFWD2,DHX8,DHX8,1|0,1,0.5,2,1|2,0.0,0.0,0.0,0.0,0.0,-7.07,0.33,0.54,
XRFWD2,PPHLN1,PPHLN1,1|1,2,1.0,2,0|1,0.0,0.0,0.0,0.0,0.0,-1.66,2.0,0.54,
XRFWD2,HSPA8,HSPA8,43|44,87,43.5,2,44|52,0.0,0.0,0.0,0.0,0.0,-108.37,0.91,0.54,
XRFWD2,TCOF1,TCOF1,17|16,33,16.5,2,4|65,0.0,0.0,0.0,0.0,0.0,-103.45,0.48,0.54,
XRFWD2,NSRP1,NSRP1,1|0,1,0.5,2,2|5,0.0,0.0,0.0,0.0,0.0,-15.58,0.14,0.54,
XRFWD2,NUP98,NUP98,17|20,37,18.5,2,33|37,0.0,0.0,0.0,0.0,0.0,-105.19,0.53,0.54,
XRFWD2,PPP2R2A,PPP2R2A,30|19,49,24.5,2,0|0,1.0,1.0,1.0,1.0,1.0,29.43,245.0,0.0,
XRFWD2,TRAPPC9,TRAPPC9,0|1,1,0.5,2,1|2,0.0,0.0,0.0,0.0,0.0,-7.07,0.33,0.54,
XRFWD2,HNRNPDL,HNRNPDL,3|1,4,2.0,2,2|1,0.04,0.09,0.04,0.09,0.04,-5.26,1.33,0.34,
