,Bait,Prey Gene,Saint Score,log2FC
0,RFWD2,HIST1H4A,0.0,0.0
1,RFWD2,HSPA6,0.0,-0.7369655941662062
2,RFWD2,HSPA5,0.0,-0.5994620704162712
3,RFWD2,HSPA4,0.0,-2.1202942337177118
4,RFWD2,NELFA,0.0,-1.5994620704162712
5,RFWD2,SSFA2,0.0,-4.321928094887363
6,RFWD2,NELFE,0.0,-0.25153876699596445
7,RFWD2,CAMK4,0.0,-3.643856189774725
8,RFWD2,ZC3H15,0.0,-3.643856189774725
9,RFWD2,ZC3H14,0.0,-0.4941090702700427
10,RFWD2,ZC3H18,0.0,-0.4540316308947075
11,RFWD2,DHX8,0.0,-1.5994620704162712
12,RFWD2,PPHLN1,0.0,1.0
13,RFWD2,HSPA8,0.0,-0.1360615495760284
14,RFWD2,TCOF1,0.0,-1.0588936890535685
15,RFWD2,NSRP1,0.0,-2.8365012677171206
16,RFWD2,NUP98,0.0,-0.9159357352115255
17,RFWD2,PPP2R2A,1.0,7.936637939002571
18,RFWD2,TRAPPC9,0.0,-1.5994620704162712
19,RFWD2,HNRNPDL,0.04,0.41142624572646497
20,RFWD2,PARP12,0.0,-2.8365012677171206
21,RFWD2,ANP32E,0.0,-0.4941090702700427
22,RFWD2,RAD54L2,1.0,6.643856189774724
23,RFWD2,ATP2A2,0.01,-0.5777669993169522
24,RFWD2,PNISR,0.0,0.0
25,RFWD2,NOP2,0.0,-3.1844245711374275
26,RFWD2,GTF3C1,0.0,-2.0588936890535687
27,RFWD2,GTF3C5,0.0,-0.3400754415976217
28,RFWD2,GTF3C4,0.0,0.13750352374993502
29,RFWD2,SWAP70,0.0,-1.7858751946471527
30,RFWD2,XPO1,0.0,-0.9159357352115255
31,RFWD2,ZNF451,1.0,2.229587922740652
32,RFWD2,CSDE1,0.0,-0.5145731728297583
33,RFWD2,TTK,1.0,7.2761244052742375
34,RFWD2,TIPRL,0.0,0.16349873228287956
35,RFWD2,TTN,0.0,-1.0
36,RFWD2,FBXL16,0.0,-1.0
37,RFWD2,EPS15L1,0.0,-3.0588936890535687
38,RFWD2,ANAPC1,0.0,-4.643856189774724
39,RFWD2,C2ORF44,0.96,3.4594316186372973
40,RFWD2,GART,0.0,-0.23446525363702297
41,RFWD2,ANAPC4,0.0,-4.643856189774724
42,RFWD2,RPS6KA1,0.0,-1.5145731728297585
43,RFWD2,PSMD14,0.47,3.321928094887362
44,RFWD2,HLCS,0.0,-0.862496476250065
45,RFWD2,PSMD12,0.01,0.8073549220576041
46,RFWD2,SERBP1,0.0,-2.0
47,RFWD2,RTFDC1,0.0,-0.5777669993169522
48,RFWD2,GANAB,0.47,3.9068905956085187
49,RFWD2,NUP133,0.0,-2.2515387669959646
50,RFWD2,FOXM1,0.0,1.0
51,RFWD2,CYFIP1,0.0,-0.16812275880832692
52,RFWD2,EXOSC10,0.0,-3.1844245711374275
53,RFWD2,ABHD14B,0.0,0.5160151470036647
54,RFWD2,ARF3,0.0,-1.2515387669959646
55,RFWD2,PLRG1,0.0,-3.8365012677171206
56,RFWD2,ELMSAN1,0.0,-2.473931188332412
57,RFWD2,AP3D1,0.0,-2.1202942337177118
58,RFWD2,EIF4B,0.0,-1.0291463456595165
59,RFWD2,SZT2,0.0,-2.321928094887362
60,RFWD2,NOL8,0.0,-5.058893689053568
61,RFWD2,CHTF18,0.33,1.4594316186372973
62,RFWD2,RGPD5,1.0,5.78135971352466
63,RFWD2,NOL6,0.06,0.5849625007211562
64,RFWD2,RAB11FIP1,0.0,-2.9434164716336326
65,RFWD2,RAB11FIP5,0.0,-3.1844245711374275
66,RFWD2,CORO1C,0.0,-1.9434164716336324
67,RFWD2,ATP1A1,0.0,-3.1844245711374275
68,RFWD2,AGGF1,0.96,4.643856189774724
69,RFWD2,IPO11,0.0,-1.0
70,RFWD2,CUEDC2,0.0,-0.5777669993169522
71,RFWD2,DHX9,0.0,-0.9159357352115255
72,RFWD2,EEF1A1,0.0,0.8797057662822882
73,RFWD2,HMGB1,0.0,-0.3770696490798233
74,RFWD2,SRBD1,0.21,1.584962500721156
75,RFWD2,MAGEA4,0.0,0.36737106564852945
76,RFWD2,FRG1,0.49,3.9068905956085187
77,RFWD2,KIF4A,0.0,0.014355292977070055
78,RFWD2,YLPM1,0.0,-2.0588936890535687
79,RFWD2,GCHFR,0.37,2.0
80,RFWD2,CDCA5,0.0,0.0
81,RFWD2,FIP1L1,0.0,-1.5994620704162712
82,RFWD2,NOLC1,0.0,-3.0588936890535687
83,RFWD2,FGFR1OP,0.0,-3.1844245711374275
84,RFWD2,SNW1,0.0,-0.16812275880832692
85,RFWD2,FXR1,0.0,-2.395928676331139
86,RFWD2,PNN,0.0,-0.9159357352115255
87,RFWD2,WDR70,0.0,-0.4739311883324124
88,RFWD2,PCK2,1.0,6.022367813028454
89,RFWD2,RPN2,0.47,3.321928094887362
90,RFWD2,AHCTF1,0.0,-0.6438561897747246
91,RFWD2,NAP1L4,0.0,-1.5994620704162712
92,RFWD2,PRPF8,0.0,-4.058893689053568
93,RFWD2,PRPF3,0.0,-0.9714308478032291
94,RFWD2,PRPF4,0.0,-2.0
95,RFWD2,SIX4,0.0,-3.0588936890535687
96,RFWD2,PLEKHH3,0.0,-1.0
97,RFWD2,PCF11,0.0,-2.643856189774725
98,RFWD2,WASH3P,0.0,-0.3584539709124763
99,RFWD2,COPG2,0.0,-0.9159357352115255
100,RFWD2,RELA,0.0,-3.643856189774725
101,RFWD2,HDGF,0.0,-2.473931188332412
102,RFWD2,PIP4K2C,0.0,-3.1844245711374275
103,RFWD2,COPG1,0.5,4.643856189774724
104,RFWD2,MYO15B,0.0,0.0
105,RFWD2,THOC2,0.0,-3.321928094887362
106,RFWD2,UQCRC2,1.0,6.022367813028454
107,RFWD2,PAK2,0.0,-1.9434164716336324
108,RFWD2,UQCRC1,0.47,3.321928094887362
109,RFWD2,RECQL4,0.0,0.0
110,RFWD2,ADNP,0.0,-1.5994620704162712
111,RFWD2,YTHDF2,0.0,-4.058893689053568
112,RFWD2,YTHDF1,0.0,-1.9434164716336324
113,RFWD2,MED1,0.0,-1.0588936890535685
114,RFWD2,CEP97,0.0,-2.8365012677171206
115,RFWD2,SUB1,0.0,0.6415460290875237
