,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.304,0.125
1,HDLBP,-0.344,0.09
2,PSMA2,-0.143,0.322
3,BAG6;BAT3,-0.636,0.352
4,TAF15,-0.02,0.893
5,TXNRD1,0.593,0.1
6,HMOX2,-0.206,0.315
7,CUL3,1.834,0.0
8,NDUFS7,0.229,0.445
9,KHSRP,0.192,0.159
10,POLA1,-0.079,0.585
11,CTNNBL1,-0.063,0.62
12,SPCS2,-0.37,0.048
13,HNRNPDL,-0.524,0.026
14,SLIRP,-0.155,0.286
15,MTHFD1L,-0.113,0.418
16,POLR2E,-0.477,0.046
17,POLD2,0.57,0.184
18,TPM3,0.077,0.531
19,RPL17;RPL17-C18orf32,0.182,0.296
20,ITGB6,-0.122,0.511
21,VTA1,0.205,0.266
22,AP2M1,-0.312,0.269
23,UBE2D3;UBE2D2,-0.272,0.138
24,POLD1,0.635,0.053
25,PTGES3,-0.283,0.083
26,EIF3H,-0.555,0.013
27,SBDS,-0.04,0.749
28,HYOU1,-0.381,0.088
29,SNX12,-0.554,0.049
30,ACOT1;ACOT2,-0.207,0.24
31,NOMO2;NOMO1;NOMO3,-0.121,0.71
32,SEPT8,-0.346,0.042
33,RAB18,0.012,0.965
34,PSME2,-0.413,0.079
35,AP2B1,-0.135,0.428
36,BSG,-0.171,0.336
37,SRSF3,0.097,0.512
38,MRPL45,0.408,0.389
39,WDR18,-1.285,0.042
40,HNRNPUL1,-0.51,0.16
41,EPB41L3,0.534,0.049
42,NOLC1,0.118,0.501
43,ABI1,-0.235,0.231
44,DCTN3,0.025,0.87
45,PLS3,-0.062,0.682
46,NUP214,-0.174,0.428
47,PITPNB,-0.382,0.111
48,SMARCA4,0.736,0.014
49,IVD,-0.088,0.493
50,TUSC3,-0.289,0.074
51,ILK,-0.176,0.407
52,CUL2,-2.361,0.0
53,TTN,1.606,0.005
54,TMED7;TMED7-TICAM2,0.061,0.724
55,SRSF7,-0.141,0.512
56,RPS15,-0.547,0.191
57,TPT1,-0.361,0.189
58,PWP2,-0.068,0.635
59,SET;SETSIP,-0.162,0.381
60,RPSA,0.008,0.954
61,HTRA2,0.475,0.113
62,DDX46,-0.141,0.339
63,CHD4,-0.089,0.506
64,CAPNS1,0.045,0.738
65,DDOST,-0.028,0.845
66,LAMTOR5,-1.093,0.005
67,DDX3X,-0.221,0.122
68,DNM1,-0.176,0.294
69,HSPA1A;HSPA1B,-0.083,0.641
70,PUF60,0.439,0.218
71,MATR3,-0.1,0.424
72,TPM1,-1.17,0.001
73,PACSIN2,0.07,0.716
74,HLA-A,-0.661,0.008
75,ALDH7A1,0.159,0.504
76,TJP2,-0.271,0.171
77,CTSD,-0.433,0.048
78,DPYSL2,-0.446,0.209
79,SFXN3,0.077,0.652
80,A0A1W2PNV4,-0.103,0.43
81,POLR2B,-0.902,0.087
82,TCEA1,0.03,0.87
83,BCLAF1,-0.293,0.146
84,DDX17,-0.257,0.537
85,RTTN,0.143,0.31
86,PHGDH,0.136,0.634
87,PPT1,-0.241,0.139
88,CAMK2G;CAMK2B;CAMK2A,0.588,0.06
89,OPA1,0.068,0.657
90,CD9,-0.101,0.492
91,SMARCE1,0.371,0.069
92,CTNNB1,-0.21,0.228
93,POLR1C,-0.409,0.045
94,TPM4,-0.227,0.475
95,RPS14,0.151,0.465
96,RPS24,0.268,0.173
97,HSD17B4,-0.312,0.113
98,CSNK2A1;CSNK2A3,0.087,0.6
99,RPL15,0.337,0.04
100,SEC23B,-0.266,0.08
101,EEF1A2,0.274,0.293
102,CD59,-0.205,0.188
103,NDUFA6,0.195,0.248
104,MTHFD1,-0.094,0.586
105,CTPS1,1.437,0.281
106,HEBP1,-0.735,0.006
107,COPA,-0.094,0.561
108,HNRNPL,-0.079,0.524
109,RPL29,0.123,0.476
110,THRAP3,-0.034,0.781
111,MCM4,-0.278,0.318
112,NHP2L1,-0.199,0.321
113,EBP,0.371,0.072
114,CLUH,0.587,0.192
115,FKBP2,-0.513,0.018
116,SRSF6,-0.273,0.067
117,SACM1L,-0.178,0.242
118,MRPL2,0.861,0.071
119,MLH1,-0.637,0.034
120,CTNND1,-0.964,0.003
121,STAT1,-0.025,0.899
122,USP7,0.628,0.311
123,ILVBL,0.086,0.574
124,ACO2,-0.058,0.691
125,STMN1,0.075,0.677
126,PRNP,0.111,0.536
127,HCFC1,-0.364,0.037
128,NUDT5,0.089,0.668
129,USP14,-0.084,0.656
130,CRYZ,0.17,0.258
131,PRAF2,0.505,0.596
132,MANF,-0.132,0.367
133,SUMO2;SUMO3;SUMO4,-0.708,0.005
134,RPL23A,0.238,0.132
135,SNRPG;SNRPGP15,-0.287,0.065
136,EIF3L,-0.06,0.678
137,UBE2I,-0.207,0.256
138,CPNE1,-2.093,0.056
139,MRPL43,0.08,0.643
140,PRPS1;PRPS1L1,0.264,0.088
141,PABPC4,0.185,0.246
142,HNRNPC,-0.072,0.596
143,CNN2,-0.614,0.013
144,CS,0.081,0.544
145,CARS,0.118,0.562
146,PTPN1,-0.06,0.702
147,FXR1,0.101,0.745
148,DERL1,0.212,0.298
149,PES1,-0.122,0.48
150,SEPT2,-0.165,0.236
151,RAN,0.017,0.905
152,SEPT10,-0.111,0.635
153,DDX27,0.164,0.335
154,RANBP3,-0.132,0.377
155,ACADM,-0.057,0.806
156,MED20,-1.379,0.093
157,SUMO1,-0.138,0.312
158,IMMT,0.302,0.074
159,GFM1,-1.099,0.18
160,PFN2,-0.445,0.025
161,SRI,-0.078,0.768
162,EEF1E1;EEF1E1-BLOC1S5,-0.117,0.621
163,NCAPH,-0.256,0.222
164,RPL37A,-0.035,0.778
165,PDCD10,0.588,0.046
166,RAB7A,-0.222,0.199
167,SSR3,0.976,0.007
168,SNAP29,-0.27,0.23
169,POLR2H,-1.934,0.006
170,L2HGDH,-0.162,0.455
171,RPL22L1,0.615,0.126
172,RPL32,0.31,0.052
173,HLA-B,-0.452,0.022
174,HNRNPAB,-0.033,0.85
