Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XSMU1,HIST1H4A,HIST1H4A,0|2,2,1.0,2,7|6,0.0,0.0,0.0,0.0,0.0,-28.71,0.15,0.57,
XSMU1,AGK,AGK,0|3,3,1.5,2,0|0,0.5,0.99,0.5,0.99,0.5,-1.76,15.0,0.35,
XSMU1,HSPA5,HSPA5,0|3,3,1.5,2,29|32,0.0,0.0,0.0,0.0,0.0,-135.92,0.05,0.57,
XSMU1,HSPA4,HSPA4,0|1,1,0.5,2,20|22,0.0,0.0,0.0,0.0,0.0,-93.35,0.02,0.57,
XSMU1,HSPA9,HSPA9,0|1,1,0.5,2,1|2,0.0,0.0,0.0,0.0,0.0,-7.0,0.33,0.57,
XSMU1,PDCD11,PDCD11,1|4,5,2.5,2,0|0,0.5,1.0,0.5,1.0,0.5,0.75,25.0,0.32,
XSMU1,ZC3H18,ZC3H18,0|2,2,1.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-24.3,0.18,0.57,
XSMU1,DHX9,DHX9,6|34,40,20.0,2,71|63,0.0,0.0,0.0,0.0,0.0,-272.69,0.3,0.57,
XSMU1,HSPA8,HSPA8,1|26,27,13.5,2,45|52,0.0,0.0,0.0,0.0,0.0,-211.4,0.28,0.57,
XSMU1,PPP2R2A,PPP2R2A,14|17,31,15.5,2,0|0,1.0,1.0,1.0,1.0,1.0,22.05,155.0,0.0,
XSMU1,OPA1,OPA1,1|2,3,1.5,2,0|0,0.47,0.94,0.47,0.94,0.47,0.75,15.0,0.38,
XSMU1,CTBP2,CTBP2,0|8,8,4.0,2,1|1,0.5,1.0,0.5,1.0,0.5,-4.8,4.0,0.34,
XSMU1,ATXN2L,ATXN2L,0|5,5,2.5,2,50|45,0.0,0.0,0.0,0.0,0.0,-212.2,0.05,0.57,
XSMU1,EIF2AK2,EIF2AK2,1|15,16,8.0,2,1|1,0.5,1.0,0.5,1.0,0.5,-3.39,8.0,0.22,
XSMU1,ATP2A2,ATP2A2,1|9,10,5.0,2,1|2,0.5,0.99,0.5,0.99,0.5,-5.19,3.33,0.35,
XSMU1,NOP2,NOP2,0|6,6,3.0,2,18|17,0.0,0.0,0.0,0.0,0.0,-77.7,0.17,0.57,
XSMU1,GTF3C4,GTF3C4,0|1,1,0.5,2,15|16,0.0,0.0,0.0,0.0,0.0,-68.76,0.03,0.57,
XSMU1,XPO1,XPO1,3|34,37,18.5,2,5|10,0.5,1.0,0.5,1.0,0.5,-24.51,2.47,0.27,
XSMU1,XPO5,XPO5,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-4.8,0.5,0.57,
XSMU1,CSDE1,CSDE1,0|12,12,6.0,2,49|52,0.0,0.0,0.0,0.0,0.0,-225.67,0.12,0.57,
XSMU1,TIPRL,TIPRL,0|9,9,4.5,2,33|30,0.0,0.0,0.0,0.0,0.0,-140.41,0.14,0.57,
