,Bait,Prey Gene,Saint Score,log2FC
0,SMU1,HIST1H4A,0.0,-2.737
1,SMU1,AGK,0.5,3.907
2,SMU1,HSPA5,0.0,-4.322
3,SMU1,HSPA4,0.0,-5.644
4,SMU1,HSPA9,0.0,-1.599
5,SMU1,PDCD11,0.5,4.644
6,SMU1,ZC3H18,0.0,-2.474
7,SMU1,DHX9,0.0,-1.737
8,SMU1,HSPA8,0.0,-1.837
9,SMU1,PPP2R2A,1.0,7.276
10,SMU1,OPA1,0.47,3.907
11,SMU1,CTBP2,0.5,2.0
12,SMU1,ATXN2L,0.0,-4.322
13,SMU1,EIF2AK2,0.5,3.0
14,SMU1,ATP2A2,0.5,1.736
15,SMU1,NOP2,0.0,-2.556
16,SMU1,GTF3C4,0.0,-5.059
17,SMU1,XPO1,0.5,1.305
18,SMU1,XPO5,0.0,-1.0
19,SMU1,CSDE1,0.0,-3.059
20,SMU1,TIPRL,0.0,-2.837
21,SMU1,ANAPC1,0.0,-3.474
22,SMU1,C2ORF44,0.46,2.0
23,SMU1,GART,0.0,0.556
24,SMU1,RPS6KA1,0.0,-2.556
25,SMU1,PSMD14,0.5,5.322
26,SMU1,HLCS,0.0,-0.889
27,SMU1,SERBP1,0.0,-2.396
28,SMU1,GANAB,0.5,4.644
29,SMU1,CYFIP1,0.5,1.417
30,SMU1,ARF3,0.0,-2.0
31,SMU1,ARF4,0.5,3.907
32,SMU1,AP3D1,0.0,-1.599
33,SMU1,EIF4B,0.0,-3.474
34,SMU1,NOL9,0.37,1.585
35,SMU1,CHTF18,0.05,0.0
36,SMU1,RAB11FIP5,0.0,-6.644
37,SMU1,CORO1C,0.0,-1.889
38,SMU1,ATP1A1,0.0,-0.184
39,SMU1,EEF1A1,0.0,0.856
40,SMU1,ERBB2IP,0.0,-3.322
41,SMU1,MAGEA4,0.0,0.411
42,SMU1,ARHGEF17,0.22,1.0
43,SMU1,SLIT3,0.0,-1.599
44,SMU1,NUP93,0.5,4.644
45,SMU1,FGFR1OP,0.0,-2.644
46,SMU1,FXR1,0.0,-2.12
47,SMU1,ACTR1A,0.5,4.322
48,SMU1,PNN,0.0,-5.059
49,SMU1,PCK2,0.5,6.322
50,SMU1,RPN1,0.0,-0.269
51,SMU1,RPN2,0.97,4.644
52,SMU1,NAP1L4,0.0,-3.184
53,SMU1,RFC5,0.5,4.907
54,SMU1,COPG2,0.0,-2.556
55,SMU1,RELA,0.0,-2.737
56,SMU1,COPG1,0.5,5.322
57,SMU1,THOC2,0.0,-5.059
58,SMU1,RFX5,0.0,-1.786
59,SMU1,IBA57,0.47,3.322
60,SMU1,APC,0.0,-2.474
61,SMU1,UQCRC2,1.0,7.229
62,SMU1,UQCRC1,1.0,6.644
63,SMU1,ADNP,0.0,-4.644
64,SMU1,KHDRBS1,0.05,0.0
65,SMU1,NUP85,0.5,2.322
66,SMU1,YTHDF1,0.0,-1.837
67,SMU1,SUB1,0.0,-3.184
68,SMU1,TNS3,0.0,-3.644
69,SMU1,DPYSL4,0.0,-5.059
70,SMU1,DPYSL2,0.0,-3.322
71,SMU1,DPYSL3,0.0,-4.644
72,SMU1,DLD,1.0,6.409
73,SMU1,NUDT5,0.0,-5.059
74,SMU1,TK1,0.51,1.807
75,SMU1,PHLDB2,0.47,3.322
76,SMU1,LARS,0.29,0.714
77,SMU1,NUBP2,0.5,4.322
78,SMU1,PFN2,0.51,1.848
79,SMU1,TRIM4,0.0,0.0
80,SMU1,H1FX,0.06,0.0
81,SMU1,PRKAA1,0.5,2.585
82,SMU1,EIF2B4,0.5,3.7
83,SMU1,RPLP0,0.22,1.0
84,SMU1,EIF2B1,0.5,3.907
85,SMU1,ELAVL1,0.5,4.907
86,SMU1,ECD,0.0,-5.059
87,SMU1,NUP62,0.0,-4.322
88,SMU1,TPM3,0.0,-1.889
89,SMU1,SNRPA1,0.0,-3.644
90,SMU1,FAM21C,0.0,-6.644
