,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.63675800945758,0.0382784867923932
1,HDLBP,-0.727633321436976,0.308181838144929
2,PSMA2,-1.45576275120922,0.113382334551308
3,BAG6;BAT3,0.988775439072853,0.210556824990119
4,DMD,21.3357213909496,9.95293197538124e-06
5,TAF15,-0.350422687646841,0.446145951688232
6,TXNRD1,-0.201646629038738,0.482386798701563
7,HMOX2,-20.9414102958596,4.81494352102868e-06
8,EIF2B4,1.80497171258686,0.00899260389554472
9,KHSRP,-0.59733575090592,0.0484722570594601
10,PYCR2,-1.61288093667279,0.00982341097936363
11,HNRNPDL,0.00345574992097752,0.992067256981592
12,MINOS1;MINOS1-NBL1,-19.6375380169206,1.99255195862665e-07
13,MRPL45,-20.444609076213,4.12909538895749e-07
14,CTNNBL1,-1.02603370282761,0.00939774339474539
15,SPCS2,-0.347263322260474,0.470894288972265
16,GMPPA,-19.5166848864613,2.30631131569035e-06
17,HNRNPDL,-0.101466894209896,0.8572551612192
18,SLIRP,-0.792240467423348,0.0511289371966781
19,GPX1,2.24612199184099,0.0192505189972894
20,EIF5B,-1.84518471973653,0.00499663697906919
21,BSG,-1.09175960238996,0.259816718370061
22,SPTBN1,-0.518044611872103,0.232984034411656
23,RRBP1,1.8340544400572,0.00464706636933682
24,NOMO2;NOMO1;NOMO3,-19.67920083708,1.14866607206118e-06
25,POLD2,-19.0551381734357,1.54389748694396e-07
26,TPM3,-0.868162854610279,0.0418423072572977
27,TARDBP;TDP43,0.780671989177719,0.0453386750123059
28,RPL17;RPL17-C18orf32,0.283711765433203,0.298762733672001
29,PSMB3,-0.15351070065531,0.69868541033149
30,VTA1,-0.109790813536314,0.787911841746469
31,UGP2,-1.22940039842258,0.0162703534111456
32,PTGES3,0.642960164844343,0.0439790341419095
33,SBDS,-21.5151910718373,2.23264221742068e-07
34,OGFR,-3.72715909861174,0.00041851246847307
35,ACOT1;ACOT2,-2.21700334808133,0.00432699583792633
36,NEB,-3.02966676589445,0.000118498272154438
37,PSME2,-0.920843200977739,0.123618561208685
38,SRSF3,0.998587700486084,0.0224509994751026
39,DDX1,0.167708722548547,0.559857365389245
40,GPS1,0.50061629121446,0.139219131062738
41,PYCRL,0.640891930710925,0.0886099367159196
42,WDR18,-19.4281563000449,1.79002503155063e-07
43,GSTZ1,-2.24890907463341,0.00119596216466492
44,TTN,-0.25981933057875,0.289417416234584
45,HNRNPUL1,1.95510802766456,0.0135001122582673
46,SNX6,-22.716837315896,3.72128428028161e-08
47,NRAP,20.8258753801068,2.69358523600377e-07
48,NOLC1,-0.249559392018483,0.486301072900589
49,SMARCA1;SMARCA5,-1.68543529899334,0.107527737739779
50,ABI1,1.47535067848069,0.005965582406113
51,HADH,-0.451152434802179,0.48878794457867
52,DDX42,-0.76756263702455,0.0998728284748554
53,PLS3,-0.542281424678343,0.405010656557795
54,PITPNB,-0.112052636635074,0.814370463073132
55,ILK,-0.62849528252913,0.112082726187157
56,FHOD3,22.9680307323546,5.27065187256015e-06
57,ADSL,-1.61779282165044,0.0199984232399084
58,TMED7;TMED7-TICAM2,1.79819455387716,0.00278082821803307
59,NAA15,0.129356751519367,0.640303167624742
60,SRSF7,3.06390268315262,0.000301665865503639
61,FIP1L1;PDGFRA,19.2118231981208,1.35424884758455e-07
62,LARP1,0.384768218769711,0.434293687482538
63,DAD1,20.7772282705648,2.26809645179282e-06
64,TCEB2,-0.871407755323727,0.0136024846351215
65,TPT1,1.57896317627656,0.00146076315826262
66,SET;SETSIP,0.179734165423927,0.656245533871922
67,RPSA,0.440739083803194,0.095712692383629
68,DDX46,-22.5365155105201,8.10967947387348e-08
69,CAPNS1,-0.00302245141067914,0.993058666816462
70,DDOST,0.296391212599207,0.349192716774894
71,FAM120B,19.8835093836485,1.12944924471499e-07
72,DDX3X;DDX3Y,0.472472693325624,0.182048196051339
73,SPTAN1,-2.82116776763443,0.00809401713359625
74,EWSR1,21.0899116125152,5.30588212009267e-07
75,HSPA1A;HSPA1B,-0.0854555989433337,0.697642985152377
76,PSMB9,-2.18173432624263,0.0370998148913462
77,CSNK2B;CSNK2B-LY6G5B-1181;CSNK2B-LY6G5B--991,1.12645424368493,0.031363464465544
78,PUF60,2.27875398254971,0.00315204838780762
79,MATR3,0.250240977838779,0.531798005238786
80,PROCR,1.31782148811676,0.0192149681043099
81,ROCK1;ROCK2,-0.298542728309812,0.487990244992048
82,PACSIN2,-3.16908319846786,0.0110017354193485
83,HLA-A,-1.30693489503157,0.011208789065637
84,PSMB8;PSM8,-20.5742060766435,1.04081493489639e-07
85,PRAMEF18;PRAMEF22;PRAMEF19,-18.7320090870037,3.09807401525898e-07
86,ALDH7A1,-2.22102005380651,0.0136516331663958
87,CTSD,-0.280246935420646,0.487565666075259
88,DPYSL2,-1.32296383113064,0.00279800330182011
