Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XSNRNP40,HIST1H4A,HIST1H4A,22|36,58,29.0,2,7|7,1.0,1.0,1.0,1.0,1.0,4.97,4.14,0.0,
XSNRNP40,HSPA5,HSPA5,19|26,45,22.5,2,29|32,0.0,0.0,0.0,0.0,0.0,-82.37,0.74,0.43,
XSNRNP40,HSPA4,HSPA4,14|11,25,12.5,2,20|22,0.0,0.0,0.0,0.0,0.0,-60.77,0.6,0.43,
XSNRNP40,HSPA9,HSPA9,2|4,6,3.0,2,1|2,0.29,0.52,0.29,0.52,0.29,-2.66,2.0,0.18,
XSNRNP40,HSPA8,HSPA8,76|88,164,82.0,2,46|53,0.0,0.0,0.0,0.0,0.0,-65.55,1.66,0.41,
XSNRNP40,NELFE,NELFE,37|33,70,35.0,2,27|25,0.0,0.0,0.0,0.0,0.0,-44.19,1.35,0.4,
XSNRNP40,PDCD11,PDCD11,30|23,53,26.5,2,0|0,1.0,1.0,1.0,1.0,1.0,36.42,265.0,0.0,
XSNRNP40,IGKC,IGKC,0|20,20,10.0,2,0|0,0.5,1.0,0.5,1.0,0.5,-0.73,100.0,0.06,
XSNRNP40,KIAA0907,KIAA0907,16|11,27,13.5,2,1|1,1.0,1.0,1.0,1.0,1.0,10.46,13.5,0.0,
XSNRNP40,ESPN,ESPN,2|3,5,2.5,2,0|0,0.99,1.0,0.99,1.0,0.99,3.81,25.0,0.0,
XSNRNP40,PIK3CA,PIK3CA,0|2,2,1.0,2,1|1,0.14,0.29,0.14,0.29,0.14,-3.76,1.0,0.2,
XSNRNP40,NR0B1,NR0B1,11|13,24,12.0,2,0|0,1.0,1.0,1.0,1.0,1.0,18.54,120.0,0.0,
XSNRNP40,CAMK4,CAMK4,4|1,5,2.5,2,5|7,0.0,0.0,0.0,0.0,0.0,-22.24,0.42,0.43,
XSNRNP40,ZC3H13,ZC3H13,8|3,11,5.5,2,0|0,1.0,1.0,1.0,1.0,1.0,5.65,55.0,0.0,
XSNRNP40,KDM2A,KDM2A,10|5,15,7.5,2,0|0,1.0,1.0,1.0,1.0,1.0,9.08,75.0,0.0,
XSNRNP40,ZC3H18,ZC3H18,23|37,60,30.0,2,5|6,1.0,1.0,1.0,1.0,1.0,10.41,5.45,0.0,
XSNRNP40,ABCD3,ABCD3,0|1,1,0.5,2,18|20,0.0,0.0,0.0,0.0,0.0,-83.37,0.03,0.43,
