,Bait,Prey Gene,Saint Score,log2FC
0,SNRNP40,HIST1H4A,1.0,2.0496307677246004
1,SNRNP40,HSPA5,0.0,-0.4344028241457749
2,SNRNP40,HSPA4,0.0,-0.7369655941662062
3,SNRNP40,HSPA9,0.29,1.0
4,SNRNP40,HSPA8,0.0,0.7311832415721999
5,SNRNP40,NELFE,0.0,0.43295940727610627
6,SNRNP40,PDCD11,1.0,8.049848549450562
7,SNRNP40,IGKC,0.5,6.643856189774724
8,SNRNP40,KIAA0907,1.0,3.7548875021634687
9,SNRNP40,ESPN,0.99,4.643856189774724
10,SNRNP40,PIK3CA,0.14,0.0
11,SNRNP40,NR0B1,1.0,6.906890595608519
12,SNRNP40,CAMK4,0.0,-1.2515387669959646
13,SNRNP40,ZC3H13,1.0,5.78135971352466
14,SNRNP40,KDM2A,1.0,6.228818690495881
15,SNRNP40,ZC3H18,1.0,2.4462562298895643
16,SNRNP40,ABCD3,0.0,-5.058893689053568
17,SNRNP40,NT5DC1,0.6,1.584962500721156
18,SNRNP40,DHX8,1.0,3.8328900141647417
19,SNRNP40,DHX9,0.0,0.6690267655096307
20,SNRNP40,NELFA,0.02,1.0
21,SNRNP40,TCOF1,1.0,4.857980995127572
22,SNRNP40,NSRP1,0.51,1.4750848829487828
23,SNRNP40,NUP98,0.0,0.09761079662642233
24,SNRNP40,XPC,1.0,2.0496307677246004
25,SNRNP40,XPA,0.0,3.321928094887362
26,SNRNP40,IREB2,0.0,2.321928094887362
27,SNRNP40,HNRNPDL,0.98,2.3923174227787602
28,SNRNP40,ANKRD20A12P,0.0,-2.0
29,SNRNP40,WHSC1,1.0,5.643856189774724
30,SNRNP40,PARP12,0.0,-2.8365012677171206
31,SNRNP40,ANP32E,0.49,1.3617683594191532
32,SNRNP40,CTBP2,0.0,0.0
33,SNRNP40,RAD54L2,0.49,3.9068905956085187
34,SNRNP40,ALDH3A2,0.0,-3.643856189774725
35,SNRNP40,PNISR,1.0,2.5434958834257717
36,SNRNP40,NOP2,0.04,1.2690331464552371
37,SNRNP40,GTF3C1,0.0,0.028569152196770916
38,SNRNP40,SWAP70,0.0,-3.1844245711374275
39,SNRNP40,ZNF451,1.0,1.875780063068488
40,SNRNP40,XPO5,0.14,0.5849625007211562
41,SNRNP40,CSDE1,0.0,-2.0588936890535687
42,SNRNP40,TIPRL,0.0,0.2016338611696504
43,SNRNP40,TTN,0.8,2.4594316186372973
44,SNRNP40,PPIG,0.5,5.321928094887363
45,SNRNP40,C2ORF49,1.0,5.321928094887363
46,SNRNP40,ANAPC1,0.0,-4.643856189774724
47,SNRNP40,ZEB1,0.0,1.0
48,SNRNP40,ANAPC4,0.0,-0.058893689053568565
49,SNRNP40,RPS6KA1,0.0,-2.9434164716336326
50,SNRNP40,PPID,0.0,-0.3584539709124763
51,SNRNP40,HLCS,0.0,0.903038270112912
52,SNRNP40,TOP1,0.57,1.584962500721156
53,SNRNP40,KIAA1211,0.0,-5.643856189774724
54,SNRNP40,UTP20,0.14,0.5849625007211562
55,SNRNP40,SERBP1,0.0,-1.7858751946471527
56,SNRNP40,RTFDC1,0.35,1.1699250014423124
57,SNRNP40,COPRS,0.0,-2.5563933485243853
58,SNRNP40,NUP133,0.0,-1.2515387669959646
59,SNRNP40,SHROOM2,0.0,-2.8365012677171206
60,SNRNP40,FOXM1,0.49,2.321928094887362
