,Gene Name,log2(Fold change),P-value
0,HDLBP,-0.226,0.124
1,PSMA2,-0.177,0.138
2,BAG6;BAT3,-0.234,0.106
3,TAF15,-0.212,0.16
4,TXNRD1,0.734,0.006
5,HMOX2,0.472,0.043
6,EIF2B4,0.009,0.948
7,KHSRP,-0.313,0.026
8,PABPC1;PABPC3,0.079,0.526
9,PYCR2,-0.491,0.069
10,HNRNPDL,-0.175,0.322
11,POLA1,0.404,0.027
12,CTNNBL1,-0.631,0.002
13,HNRNPDL,-0.297,0.055
14,SLIRP,-0.333,0.034
15,EIF5B,0.059,0.733
16,BSG,-0.133,0.425
17,SPTBN1,-0.364,0.041
18,MTHFD1L,-0.153,0.199
19,POLR2E,-0.526,0.112
20,POLD2,-0.437,0.289
21,HYOU1,-0.264,0.147
22,TRAPPC3,-0.032,0.762
23,TPM3,-0.056,0.585
24,TARDBP;TDP43,-0.221,0.413
25,RPL17;RPL17-C18orf32,0.272,0.134
26,ITGB6,-0.102,0.523
27,VTA1,-0.162,0.448
28,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.449,0.025
29,SRP19,-0.799,0.036
30,UGP2,-0.169,0.154
31,PTGES3,-0.149,0.255
32,EIF3H,-0.171,0.184
33,SBDS,0.151,0.201
34,SNX12,-0.876,0.005
35,ACOT1;ACOT2,-0.731,0.008
36,RELA,-0.404,0.033
37,08-Sep,0.394,0.393
38,PSME2,-0.383,0.052
39,MRPL45,-0.152,0.731
40,GPS1,0.1,0.6
41,PYCRL,-0.729,0.005
42,VDAC2,0.17,0.187
43,HNRNPUL1,-0.748,0.077
44,SNX6,-0.232,0.133
45,PCMT1,-0.073,0.669
46,NOLC1,0.09,0.566
47,HADH,-0.489,0.122
48,PRDX1,0.158,0.188
49,DDX42,-0.353,0.328
50,PLS3,-0.289,0.033
51,PITPNB,-0.346,0.117
52,PPP1R8,-0.743,0.005
53,IVD,-0.1,0.391
54,RBP1,-0.556,0.015
55,CUL2,-2.601,0.0
56,TTN,1.65,0.155
57,TMED7;TMED7-TICAM2,-0.423,0.054
58,LUC7L2,-0.156,0.182
59,SRSF7,-0.101,0.385
60,TCEB2,-0.364,0.023
61,TPT1,0.381,0.162
62,GSTZ1,-0.287,0.499
63,SET;SETSIP,-0.403,0.049
64,RPSA,0.302,0.054
65,SYNE1,-0.741,0.364
66,DDX46,-0.044,0.682
67,CHD4,-0.419,0.019
68,CAPNS1,-0.001,0.99
69,DDOST,-0.189,0.169
70,LAMTOR5,-0.288,0.067
71,DDX3X;DDX3Y,-0.154,0.198
72,SPTAN1,0.011,0.963
73,ARFGAP2,-0.711,0.01
74,DNM1;DNM2,-0.393,0.054
75,DIAPH1,-0.401,0.046
76,HSPA1A;HSPA1B,0.811,0.003
77,PSMB9,-1.528,0.0
78,SSBP1,-0.368,0.143
79,PUF60,0.39,0.245
80,MATR3,-0.283,0.047
81,GNL1,-0.536,0.008
82,HLA-A,-1.066,0.0
83,ALDH7A1,-0.426,0.052
84,TJP2,-0.183,0.301
85,CTSD,-1.012,0.0
86,DPYSL2,-0.69,0.074
87,SFXN3,0.378,0.037
88,ARPC1A,-0.628,0.003
89,ME2,0.03,0.861
90,TCEA1,-0.359,0.028
91,BCLAF1,-0.344,0.071
92,DDX17,-0.173,0.389
93,RTTN,0.105,0.388
94,GCSH,0.433,0.024
95,PHGDH,-0.477,0.103
96,PPT1,-0.56,0.022
97,CAMK2G;CAMK2B;CAMK2A,-0.236,0.124
98,OPA1,0.059,0.829
99,POLR1C,0.931,0.117
100,TPM4,0.293,0.04
101,RPS14,0.038,0.783
102,RPS24,0.293,0.04
103,PFKM,0.191,0.192
104,HSD17B4,-0.875,0.008
105,CSNK2A1;CSNK2A3,-0.307,0.03
106,RPL15,0.346,0.044
107,SEC23B;SEC23A,-0.317,0.028
108,TPP1,-1.205,0.0
109,EEF1A2,0.217,0.38
110,CD59,-0.095,0.538
111,NDUFA6,-0.184,0.451
112,MTHFD1,-0.034,0.74
113,CTPS1,1.02,0.002
114,MOGS,0.349,0.091
115,TCOF1,0.226,0.25
116,COPA,-0.078,0.628
117,EIF2B5,0.343,0.16
118,MCM4,-0.159,0.269
119,HNRNPL,-0.246,0.06
120,RPL29,-0.11,0.483
121,THRAP3,-0.374,0.018
122,AMDHD2,-1.264,0.0
123,NHP2L1,-0.261,0.181
124,DEK,-0.16,0.198
125,SUCLG1,-0.514,0.035
126,PGM3,-0.444,0.032
127,NOP56,-0.065,0.653
128,FKBP2,-0.619,0.005
129,SRSF6,-0.019,0.853
130,SAE1,-0.702,0.008
131,AMPD2,0.057,0.659
132,ACAT1,-0.206,0.203
133,SACM1L,-0.004,0.982
134,CTNND1,-0.83,0.005
135,STAT1,-0.434,0.047
136,UBA6,-0.093,0.471
137,ACO2,-0.253,0.054
138,PGP,-0.534,0.015
139,HCFC1,-0.661,0.022
140,NUDT5,-0.007,0.952
141,UNC119;UNC119B,-0.649,0.029
142,USP14,0.051,0.685
143,RNPEP,-0.523,0.147
144,ENSA;ARPP19,-0.184,0.147
145,CRYZ,-0.23,0.181
146,MANF,-0.01,0.935
147,SUMO2;SUMO3;SUMO4,-0.573,0.003
148,RPL23A,0.156,0.181
149,SNRPG;SNRPGP15,-0.214,0.09
150,EIF3L,0.241,0.08
151,UBE2I,-0.262,0.131
152,CPNE1,-1.378,0.015
153,MPST,0.017,0.892
154,MCM5,-0.156,0.319
155,PSMD10,-0.275,0.191
156,PEA15,0.12,0.411
157,MRPL43,0.366,0.02
158,PRPS1;PRPS1L1,0.05,0.631
159,EXOSC1,-0.106,0.521
160,PABPC4,0.163,0.268
161,HNRNPC,-0.165,0.168
162,PES1,0.114,0.335
163,CNN2,0.036,0.76
164,COPS2,0.293,0.072
165,CS,0.17,0.162
166,CARS,-0.561,0.061
167,,-0.38,0.013
168,NQO1,-0.254,0.254
169,DHFR;DHFRL1,1.299,0.0
