,Bait,Prey Gene,Saint Score,log2FC
0,TLE1,HIST1H4A,0.0,-0.3400754415976217
1,TLE1,HSPA5,0.0,0.2630344058337938
2,TLE1,HSPA4,0.0,-3.643856189774725
3,TLE1,HSPA9,0.02,-0.5777669993169522
4,TLE1,NELFA,0.0,-0.5563933485243853
5,TLE1,NELFE,0.0,-0.4941090702700427
6,TLE1,KIAA0907,0.75,2.0
7,TLE1,ZNF703,1.0,5.906890595608519
8,TLE1,PIK3CB,0.75,2.584962500721156
9,TLE1,ZC3H14,0.0,0.4646682670034443
10,TLE1,ZC3H18,0.0,-0.862496476250065
11,TLE1,DHX8,0.07,0.0
12,TLE1,PPHLN1,0.0,1.0
13,TLE1,HSPA8,0.6,1.4382928515791469
14,TLE1,TCOF1,0.95,2.060047383669939
15,TLE1,NUP98,0.0,-0.4344028241457749
16,TLE1,HNRNPDL,0.14,1.0
17,TLE1,ANKRD20A12P,0.01,0.0
18,TLE1,MAZ,0.28,1.0
19,TLE1,PARP12,0.0,-2.8365012677171206
20,TLE1,CTBP2,0.09,0.0
21,TLE1,RAD54L2,0.5,4.906890595608519
22,TLE1,PNISR,0.0,0.22650852980867975
23,TLE1,NOP2,0.0,-2.0588936890535687
24,TLE1,GTF3C1,0.0,-2.8365012677171206
25,TLE1,GTF3C5,0.0,-0.888968687611256
26,TLE1,GTF3C4,0.0,-0.5994620704162712
27,TLE1,ZNF451,0.0,-1.1202942337177118
28,TLE1,XPO5,0.0,0.0
29,TLE1,TIPRL,0.0,-1.6438561897747246
30,TLE1,TTN,0.5,2.807354922057604
31,TLE1,GATAD2B,0.0,-0.10469737866669322
32,TLE1,RBM12B,0.28,1.0
33,TLE1,C2ORF44,0.48,3.321928094887362
34,TLE1,UTP20,0.0,-1.0
35,TLE1,SERBP1,0.0,-6.643856189774724
36,TLE1,NR0B1,1.0,6.714245517666122
37,TLE1,ZNF292,1.0,6.491853096329675
38,TLE1,TRERF1,0.5,4.906890595608519
39,TLE1,EXOSC10,0.0,-3.643856189774725
40,TLE1,PLRG1,0.0,-2.1844245711374275
41,TLE1,ELMSAN1,1.0,2.9891390073682333
42,TLE1,RGPD3,0.0,-1.3219280948873622
43,TLE1,NFRKB,1.0,3.070389327891398
44,TLE1,RLF,0.0,-1.0
45,TLE1,DHX9,0.0,-0.9434164716336325
46,TLE1,EEF1A1,0.0,-2.643856189774725
47,TLE1,HMGB1,0.0,-2.5563933485243853
48,TLE1,KIF4A,0.0,-0.5994620704162712
49,TLE1,YLPM1,0.0,0.41142624572646497
