,Gene Name,log2(Fold change),P-value
0,HDLBP,-0.4214370488,0.0434408514316501
1,PSMA2,-0.0251354837,0.864234938876151
2,BAG6;BAT3,0.7911635963,0.00249530172499583
3,TAF15,-0.1616889459,0.299391038846041
4,TXNRD1,0.3721260124,0.092944615100737
5,HMOX2,-0.2095512343,0.337525060279899
6,EIF2B4,-0.6588339868,0.31031911111333
7,KHSRP,3.4788e-05,0.999743037914565
8,PABPC1;PABPC3,-0.330009771,0.0498417291440662
9,HNRNPDL,-0.5118135689,0.0230427502075379
10,CTNNBL1,-0.1946667066,0.155955726520269
11,SPCS2,0.3189995254,0.137133328048617
12,HNRNPDL,-0.4208347622,0.0169875316277424
13,SLIRP,-0.0823914791,0.514639688222616
14,EIF5B,0.5884002873,0.0506339314184213
15,MTHFD1L,0.0052974938,0.97252463705889
16,POLR2E,-0.5718580094,0.0189245856881918
17,POLD2,0.4547804737,0.274241716683254
18,TRAPPC3,-0.4926524354,0.0163311409879213
19,TPM3,-0.1204527832,0.369614030052998
20,RPL17;RPL17-C18orf32,0.2537869275,0.170963098789128
21,ITGB6,-0.1103647269,0.466625002406215
22,VTA1,-0.2790929083,0.0613046902019121
23,AP2M1,-0.4342458987,0.202287319324718
24,POLD1,0.188446415,0.239133184627692
25,UGP2,-0.2327580665,0.0900072219897555
26,PTGES3,-0.2340481073,0.104613166067061
27,EIF3H,-0.2088499607,0.138592733758831
28,IDH3B,-0.03646419,0.85371843932996
29,SBDS,-0.5683426884,0.00928369537804243
30,OGFR,0.0494489542,0.669711808194275
31,HYOU1,0.1560185331,0.396750780838424
32,RYR3,-0.14659301,0.898869217552066
33,SLC4A1AP,-0.6256097944,0.0103212620392894
34,ACOT1;ACOT2,-0.1915833509,0.280063983513756
35,NOMO2;NOMO1;NOMO3,-0.2473691734,0.596280793377603
36,SEPT8,-0.0946813192,0.744203006828533
37,STAU1,0.054716745,0.817780963415331
38,PSME2,0.0165853093,0.905693838102628
39,BSG,-0.1001548722,0.519994016671869
40,SRSF3,-0.0969124599,0.447773677685346
41,MRPL45,-1.631237656,0.127571835139422
42,GPS1,-0.6467866493,0.020650261969801
43,C21orf33,-0.133541133,0.736393625749557
44,WDR18,-0.4493774158,0.476017044611277
45,FGF2,0.4967757554,0.0891627998556301
46,TTN,0.8899517595,0.507088237842772
47,HNRNPUL1,-0.3986958227,0.0597181690235243
48,EPB41L3,0.4699584503,0.0968193608768965
49,PCMT1,0.3125178981,0.103946479873235
50,NOLC1,0.2672654761,0.0586714802744044
51,HADH,-0.5224810741,0.0975508817225638
52,DDX42,0.5556353976,0.108601664276722
53,PLS3,0.0177317636,0.887926029754335
54,PITPNB,-0.3997030645,0.0873847714828172
55,SMARCA4,0.9676770439,0.00353057088742224
56,IVD,0.0971369094,0.398457492299928
57,RBP1,-0.8829860541,0.0137502157992411
58,ILK,-0.5567941102,0.0422810248492296
59,ELOVL5,-0.2912621979,0.0727012799002885
60,CUL2,-2.4925253857,6.74767880557289e-05
61,TMED7;TMED7-TICAM2,0.1355580991,0.280897548975321
62,NAA15,0.3239904745,0.0765630138499848
63,SRSF7,-0.1962480105,0.379854703329639
64,LARP1,0.864616569,0.0139124776341106
65,TCEB2,-0.1479083868,0.329662247835928
66,TPT1,-0.1789780819,0.523884618100971
67,PWP2,-0.2359894524,0.15929590215265
68,SET;SETSIP,-0.2141296889,0.210378311180821
69,CNPY3,-0.2686938707,0.535789169782757
70,RPSA,0.1398550979,0.351154689519759
71,SYNE1,-1.7557980345,0.000777002509518417
72,HTRA2,-0.229799232,0.452151517494359
73,DDX46,-0.4325734854,0.0209553049676498
74,CHD4,-0.2244712072,0.11632175190408
75,CAPNS1,-0.0067403159,0.957113254821381
76,DDOST,-0.0462972945,0.723955455811675
77,LAMTOR5,-1.3098336179,0.000367678892546452
78,MAP4K4;TNIK;MINK1,-0.6019749056,0.117674755693047
79,DDX3X;DDX3Y,-0.2668203499,0.0532325216660559
80,DNM2;DNM1;DNM3,-0.4994090968,0.0144294544336537
81,HSPA1A;HSPA1B,1.3108087892,0.00214498445609308
82,PUF60,0.291811257,0.220058392371119
83,MATR3,-0.3742052525,0.0185194936246394
84,PROCR,0.8723784812,0.00615045881456918
85,PACSIN2,-0.4910690295,0.360139963352146
86,HLA-A,-0.7408665926,0.00132527404867452
87,PRAMEF18;PRAMEF22;PRAMEF19,0.0186246058,0.979826357390801
88,ALDH7A1,-0.1613138089,0.393169696145144
89,CTSD,-0.4663442297,0.00985963329735539
90,DPYSL2,-0.3901280699,0.243252972861282
91,MAPK15,0.4363950762,0.0142015624439299
92,SFXN3,0.0074041507,0.95779180643005
93,POLR2B,-0.5171922035,0.105820332551766
94,SCARB2,0.3229365478,0.117237238084645
95,TCEA1,0.4299447953,0.0402416197332036
96,BCLAF1,-0.5762561348,0.0159292445921756
97,DDX17,-0.5010031427,0.0802362160995199
98,RTTN,0.3102944709,0.0585613170710107
99,GCSH,0.4593984712,0.0270056823075426
100,PHGDH,0.0313754778,0.906913394158276
101,RRM2,-0.6120437854,0.0573437548892761
102,PPT1,-0.7092289468,0.00171861933272912
103,CAMK2G;CAMK2B,0.1826513019,0.181913114859172
104,OPA1,-0.0372043307,0.759811801848374
105,CD9,-0.0708875681,0.588111221491859
106,SMARCE1,0.456737792,0.198197072264818
107,CTNNB1,-0.1080280856,0.42022753881234
108,POLR1C,0.4444842399,0.0107400754424438
109,TPM4,0.6183474115,0.100822016355891
110,RPS14,0.1672020486,0.170648352456773
111,RPS24,0.2078851073,0.168799825190325
112,PFKM,0.0712217201,0.52981639693088
113,HSD17B4,-0.5732918905,0.0164448059373363
114,CSNK2A1;CSNK2A3,-0.0564705026,0.706084495251286
115,RPL15,0.2634376033,0.114229352411669
116,TPP1,-0.9834891592,0.00136065054273334
117,EEF1A2,0.1848209948,0.428878539024858
118,CD59,-0.3651017674,0.0252069527733566
119,NDUFA6,0.4380070901,0.0220612196287814
120,MTHFD1,-0.1383469451,0.249228793945487
121,CTPS1,0.6346040298,0.0157510676049942
122,COPA,0.1160592904,0.349550977139702
123,PPP1R12A,0.2354100119,0.222907576285054
124,MCM4,-0.4668618604,0.0844140681950143
125,NUP98,-0.1635738602,0.412634405941602
126,RPL29,0.2597995373,0.180463428485303
127,ABCD3,-0.3161801992,0.0816415842255613
128,THRAP3,-0.1005165865,0.398874226911307
129,NHP2L1,-0.002571912,0.988780665262523
130,GLA,-0.8663917367,0.00393458834349778
131,DEK,0.1673437088,0.207802958909156
132,EBP,0.2653400882,0.24110963910736
133,CLUH,-0.0821126224,0.643307806708118
134,FKBP2,-0.2042631804,0.243200624915547
135,S100A2,-0.4596027727,0.0102904716965889
136,SRSF6,-0.3844914648,0.0161958344473866
137,SAE1,-0.2508946174,0.30991172343383
138,AMPD2,0.2914764703,0.202604884953273
139,ACAT1,0.1687814418,0.291004226101639
140,SACM1L,0.0113711731,0.939437475565724
141,CTNND1,-0.847219826,0.0042167404226302
142,STAT1,-0.089755673,0.629642617785095
143,USP7,-0.1083723999,0.429427665613107
144,UBA6,-0.397970926,0.0446098882673955
145,ILVBL,-0.1147449557,0.346117848685418
146,ACO2,-0.236719174,0.082264423184999
147,PRNP,0.1736875265,0.305559391394364
