Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XTLE3,HIST1H4A,HIST1H4A,9|3,12,6.0,2,6|6,0.0,0.0,0.0,0.0,0.0,-18.45,1.0,0.4,
XTLE3,HSPA6,HSPA6,2|5,7,3.5,2,2|3,0.03,0.06,0.03,0.06,0.03,-7.05,1.4,0.3,
XTLE3,HSPA5,HSPA5,24|8,32,16.0,2,29|32,0.0,0.0,0.0,0.0,0.0,-107.71,0.52,0.53,
XTLE3,HSPA4,HSPA4,2|3,5,2.5,2,17|20,0.0,0.0,0.0,0.0,0.0,-74.02,0.14,0.53,
XTLE3,HSPA9,HSPA9,2|0,2,1.0,2,1|2,0.01,0.03,0.01,0.03,0.01,-6.8,0.67,0.32,
XTLE3,NELFA,NELFA,11|11,22,11.0,2,8|11,0.0,0.0,0.0,0.0,0.0,-18.65,1.16,0.44,
XTLE3,SSFA2,SSFA2,1|0,1,0.5,2,9|10,0.0,0.0,0.0,0.0,0.0,-41.81,0.05,0.53,
XTLE3,NELFE,NELFE,16|31,47,23.5,2,24|23,0.0,0.0,0.0,0.0,0.0,-61.82,1.0,0.5,
XTLE3,KIAA0907,KIAA0907,6|10,16,8.0,2,1|1,0.98,1.0,0.98,1.0,0.98,3.11,8.0,0.0,
XTLE3,ZNF703,ZNF703,4|7,11,5.5,2,0|0,1.0,1.0,1.0,1.0,1.0,6.57,55.0,0.0,
XTLE3,NR0B1,NR0B1,11|22,33,16.5,2,0|0,1.0,1.0,1.0,1.0,1.0,17.71,165.0,0.0,
XTLE3,CAMK4,CAMK4,0|3,3,1.5,2,4|7,0.0,0.0,0.0,0.0,0.0,-24.09,0.27,0.53,
XTLE3,PIK3CG,PIK3CG,0|1,1,0.5,2,0|0,0.0,0.0,0.0,0.0,0.0,-1.56,5.0,0.53,
XTLE3,ZC3H14,ZC3H14,32|30,62,31.0,2,20|31,0.0,0.0,0.0,0.0,0.0,-47.31,1.22,0.5,
XTLE3,ZC3H18,ZC3H18,6|6,12,6.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-11.79,1.09,0.42,
XTLE3,KDM2B,KDM2B,2|0,2,1.0,2,0|0,0.48,0.95,0.48,0.95,0.48,-1.56,10.0,0.14,
XTLE3,IRX3,IRX3,1|1,2,1.0,2,0|0,0.0,0.0,0.0,0.0,0.0,0.95,10.0,0.53,
XTLE3,SP8,SP8,1|1,2,1.0,2,0|0,0.0,0.0,0.0,0.0,0.0,0.95,10.0,0.53,
XTLE3,DHX9,DHX9,33|33,66,33.0,2,67|57,0.0,0.0,0.0,0.0,0.0,-179.26,0.53,0.53,
XTLE3,HSPA8,HSPA8,56|25,81,40.5,2,44|50,0.0,0.0,0.0,0.0,0.0,-136.11,0.86,0.52,
XTLE3,TCOF1,TCOF1,10|9,19,9.5,2,3|4,0.44,0.59,0.44,0.59,0.44,-0.88,2.71,0.18,
XTLE3,NSRP1,NSRP1,1|0,1,0.5,2,4|5,0.0,0.0,0.0,0.0,0.0,-19.7,0.11,0.53,
XTLE3,NUP98,NUP98,27|33,60,30.0,2,38|39,0.0,0.0,0.0,0.0,0.0,-99.28,0.78,0.53,
XTLE3,XPC,XPC,1|0,1,0.5,2,4|3,0.0,0.0,0.0,0.0,0.0,-15.33,0.14,0.53,
XTLE3,CEP85,CEP85,5|1,6,3.0,2,0|0,0.5,1.0,0.5,1.0,0.5,0.95,30.0,0.08,
XTLE3,HNRNPDL,HNRNPDL,3|10,13,6.5,2,2|2,0.51,0.99,0.51,0.99,0.51,-3.81,3.25,0.05,
XTLE3,ANKRD20A12P,ANKRD20A12P,0|1,1,0.5,2,1|2,0.0,0.0,0.0,0.0,0.0,-6.8,0.33,0.53,
XTLE3,PARP12,PARP12,0|1,1,0.5,2,2|5,0.0,0.0,0.0,0.0,0.0,-15.32,0.14,0.53,
XTLE3,ANP32E,ANP32E,2|1,3,1.5,2,3|4,0.0,0.0,0.0,0.0,0.0,-12.67,0.43,0.53,
XTLE3,CTBP2,CTBP2,9|5,14,7.0,2,1|1,0.93,1.0,0.93,1.0,0.93,1.9,7.0,0.01,
XTLE3,RAD54L2,RAD54L2,11|11,22,11.0,2,0|0,1.0,1.0,1.0,1.0,1.0,17.71,110.0,0.0,
XTLE3,ATXN2L,ATXN2L,5|5,10,5.0,2,50|43,0.0,0.0,0.0,0.0,0.0,-186.07,0.11,0.53,
XTLE3,PNISR,PNISR,0|5,5,2.5,2,2|3,0.03,0.06,0.03,0.06,0.03,-11.01,1.0,0.3,
XTLE3,NOP2,NOP2,1|0,1,0.5,2,19|17,0.0,0.0,0.0,0.0,0.0,-79.73,0.03,0.53,
XTLE3,GTF3C5,GTF3C5,8|11,19,9.5,2,14|12,0.0,0.0,0.0,0.0,0.0,-36.14,0.73,0.53,
XTLE3,GTF3C4,GTF3C4,33|33,66,33.0,2,14|17,0.0,0.0,0.0,0.0,0.0,-9.2,2.13,0.39,
XTLE3,SWAP70,SWAP70,3|4,7,3.5,2,33|42,0.0,0.0,0.0,0.0,0.0,-153.88,0.09,0.53,
XTLE3,ZNF451,ZNF451,8|10,18,9.0,2,6|9,0.0,0.0,0.0,0.0,0.0,-15.94,1.2,0.43,
XTLE3,CSDE1,CSDE1,7|10,17,8.5,2,48|52,0.0,0.0,0.0,0.0,0.0,-194.51,0.17,0.53,
XTLE3,BACH1,BACH1,2|1,3,1.5,2,0|0,0.48,0.95,0.48,0.95,0.48,0.95,15.0,0.14,
XTLE3,TIPRL,TIPRL,20|29,49,24.5,2,33|29,0.0,0.0,0.0,0.0,0.0,-83.26,0.79,0.53,
XTLE3,TTN,TTN,2|0,2,1.0,2,3|0,0.02,0.05,0.02,0.05,0.02,-6.52,0.67,0.31,
XTLE3,EPS15L1,EPS15L1,2|1,3,1.5,2,32|34,0.0,0.0,0.0,0.0,0.0,-142.02,0.05,0.53,
XTLE3,RBM12B,RBM12B,4|0,4,2.0,2,1|0,0.47,0.94,0.47,0.94,0.47,-3.0,4.0,0.17,
XTLE3,C2ORF44,C2ORF44,4|11,15,7.5,2,0|1,0.97,1.0,0.97,1.0,0.97,2.68,15.0,0.01,
XTLE3,ZEB1,ZEB1,1|0,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.53,
XTLE3,RPS6KA1,RPS6KA1,2|0,2,1.0,2,19|18,0.0,0.0,0.0,0.0,0.0,-81.97,0.05,0.53,
XTLE3,PPID,PPID,1|0,1,0.5,2,3|6,0.0,0.0,0.0,0.0,0.0,-19.7,0.11,0.53,
XTLE3,HLCS,HLCS,0|2,2,1.0,2,6|8,0.0,0.0,0.0,0.0,0.0,-30.69,0.14,0.53,
