Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XTOR1AIP2,HIST1H4A,HIST1H4A,23|1,24,12.0,2,7|7,0.49,0.99,0.49,0.99,0.49,-28.28,1.71,0.45,
XTOR1AIP2,HSPA5,HSPA5,11|0,11,5.5,2,29|32,0.0,0.0,0.0,0.0,0.0,-136.66,0.18,0.67,
XTOR1AIP2,HSPA4,HSPA4,5|0,5,2.5,2,19|22,0.0,0.0,0.0,0.0,0.0,-91.86,0.12,0.67,
XTOR1AIP2,HSPA9,HSPA9,1|0,1,0.5,2,1|2,0.0,0.0,0.0,0.0,0.0,-7.74,0.33,0.67,
XTOR1AIP2,SSFA2,SSFA2,1|0,1,0.5,2,10|12,0.0,0.0,0.0,0.0,0.0,-49.41,0.05,0.67,
XTOR1AIP2,COPRS,COPRS,2|0,2,1.0,2,2|4,0.0,0.0,0.0,0.0,0.0,-14.04,0.33,0.67,
XTOR1AIP2,ZC3H14,ZC3H14,1|0,1,0.5,2,20|31,0.0,0.0,0.0,0.0,0.0,-113.93,0.02,0.67,
XTOR1AIP2,ABCD3,ABCD3,8|0,8,4.0,2,18|20,0.0,0.0,0.0,0.0,0.0,-85.14,0.21,0.67,
XTOR1AIP2,DHX9,DHX9,17|0,17,8.5,2,69|63,0.0,0.0,0.0,0.0,0.0,-296.02,0.13,0.67,
XTOR1AIP2,HSPA8,HSPA8,64|9,73,36.5,2,45|51,0.0,0.0,0.0,0.0,0.0,-180.47,0.76,0.66,
XTOR1AIP2,TCOF1,TCOF1,7|0,7,3.5,2,3|3,0.03,0.06,0.03,0.06,0.03,-14.04,1.17,0.57,
XTOR1AIP2,NUP98,NUP98,1|0,1,0.5,2,33|40,0.0,0.0,0.0,0.0,0.0,-163.57,0.01,0.67,
XTOR1AIP2,HNRNPDL,HNRNPDL,1|0,1,0.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-11.95,0.2,0.67,
