,Bait,Prey Gene,Saint Score,log2FC
0,TOR1AIP2,HIST1H4A,0.49,0.774
1,TOR1AIP2,HSPA5,0.0,-2.474
2,TOR1AIP2,HSPA4,0.0,-3.059
3,TOR1AIP2,HSPA9,0.0,-1.599
4,TOR1AIP2,SSFA2,0.0,-4.322
5,TOR1AIP2,COPRS,0.0,-1.599
6,TOR1AIP2,ZC3H14,0.0,-5.644
7,TOR1AIP2,ABCD3,0.0,-2.252
8,TOR1AIP2,DHX9,0.0,-2.943
9,TOR1AIP2,HSPA8,0.0,-0.396
10,TOR1AIP2,TCOF1,0.03,0.227
11,TOR1AIP2,NUP98,0.0,-6.644
12,TOR1AIP2,HNRNPDL,0.0,-2.322
13,TOR1AIP2,ATXN2L,0.0,-3.059
14,TOR1AIP2,ALDH3A2,0.01,0.124
15,TOR1AIP2,KIAA1279,0.5,4.087
16,TOR1AIP2,GTF3C5,0.0,-4.644
17,TOR1AIP2,SWAP70,0.0,-2.943
18,TOR1AIP2,ZNF451,0.0,-1.358
19,TOR1AIP2,XPO5,0.0,0.0
20,TOR1AIP2,CSDE1,0.0,-1.644
21,TOR1AIP2,LEMD3,0.0,-4.644
22,TOR1AIP2,TIPRL,0.0,-1.434
23,TOR1AIP2,FAM212B,0.0,-2.556
24,TOR1AIP2,EPS15L1,0.0,-4.322
25,TOR1AIP2,GART,0.0,-3.059
26,TOR1AIP2,PPID,0.0,-1.599
27,TOR1AIP2,PSMD14,0.44,3.322
28,TOR1AIP2,HLCS,0.46,0.623
29,TOR1AIP2,PSMD12,0.0,-0.69
30,TOR1AIP2,SERBP1,0.0,-2.12
31,TOR1AIP2,GANAB,0.5,4.322
32,TOR1AIP2,VAPB,0.0,-4.059
33,TOR1AIP2,VAPA,0.0,-2.556
34,TOR1AIP2,EXOSC10,0.0,-6.644
35,TOR1AIP2,ARF3,0.0,-1.69
36,TOR1AIP2,PLRG1,0.0,-4.644
37,TOR1AIP2,EIF4B,0.0,-2.474
38,TOR1AIP2,RAB11FIP5,0.0,-4.644
39,TOR1AIP2,CORO1C,0.0,-4.059
40,TOR1AIP2,EEF1A1,0.0,-0.69
41,TOR1AIP2,HMGB1,0.0,-3.837
42,TOR1AIP2,MAGEA4,0.0,-2.474
43,TOR1AIP2,YLPM1,0.0,-5.059
44,TOR1AIP2,SNW1,0.0,-4.322
45,TOR1AIP2,FXR1,0.0,-4.644
46,TOR1AIP2,PNN,0.0,-2.252
47,TOR1AIP2,WDR70,0.0,-4.644
48,TOR1AIP2,RPN1,0.0,-4.322
49,TOR1AIP2,PPP2R3A,0.0,-3.474
50,TOR1AIP2,PRPF8,0.0,-2.474
51,TOR1AIP2,COPG2,0.0,-1.434
52,TOR1AIP2,COPG1,0.0,0.0
53,TOR1AIP2,THOC2,0.0,-5.644
54,TOR1AIP2,RFX5,0.0,-2.837
55,TOR1AIP2,APC,0.0,-2.474
