,Gene Name,log2(Fold change),P-value
0,HDLBP,-0.337,0.039
1,PSMA2,-0.039,0.707
2,BAG6;BAT3,0.001,0.993
3,TAF15,-0.326,0.044
4,TXNRD1,0.941,0.002
5,HMOX2,0.321,0.087
6,KHSRP,-0.033,0.755
7,PYCR2,-0.536,0.048
8,HNRNPDL,-0.036,0.808
9,POLA1,0.483,0.011
10,HNRNPDL,-0.006,0.961
11,SLIRP,-0.414,0.014
12,EIF5B,0.078,0.609
13,BSG,-0.151,0.342
14,SPTBN1,-0.17,0.454
15,NAT10,0.206,0.119
16,MTHFD1L,-0.881,0.021
17,RRBP1,0.328,0.073
18,POLR2E,-0.236,0.172
19,POLD2,-0.165,0.658
20,TPM3,-0.089,0.393
21,RPL17;RPL17-C18orf32,0.362,0.086
22,ITGB6,0.028,0.814
23,PSMB3,-0.088,0.497
24,VTA1,0.185,0.15
25,AP2M1,-0.045,0.843
26,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.317,0.044
27,SRP19,-0.41,0.238
28,UGP2,0.025,0.821
29,PTGES3,-0.158,0.151
30,EIF3H,0.065,0.591
31,SBDS,0.228,0.06
32,OGFR,-0.285,0.359
33,HYOU1,0.049,0.685
34,SNX12,-0.65,0.009
35,ACOT1;ACOT2,-0.727,0.005
36,08-Sep,-0.15,0.183
37,PSME2,-0.436,0.01
38,MRPL45,0.552,0.265
39,PYCRL,-0.593,0.003
40,VDAC2,0.253,0.067
41,EPB41L3,0.021,0.921
42,SNX6,-0.099,0.488
43,PCMT1,-0.046,0.769
44,NOLC1,0.268,0.054
45,ABI1,-0.468,0.023
46,DCTN3,-0.183,0.139
47,HADH,-0.952,0.061
48,PLS3,-0.337,0.037
49,PITPNB,-0.325,0.134
50,GSN,-0.643,0.016
51,IVD,0.078,0.819
52,RBP1,-0.824,0.009
53,ILK,0.216,0.23
54,TTN,0.54,0.1
55,ADSL,0.095,0.427
56,TMED7;TMED7-TICAM2,-0.042,0.78
57,NAA15,-0.122,0.408
58,SRSF7,0.267,0.211
59,TCEB2,-0.409,0.014
60,TPT1,0.884,0.012
61,GSTZ1,1.584,0.023
62,SET;SETSIP,-0.457,0.022
63,RPSA,0.344,0.028
64,HTRA2,-0.436,0.093
65,DDX46,0.035,0.781
66,CHD4,-0.379,0.015
67,CAPNS1,0.026,0.857
68,DDOST,-0.198,0.251
69,DDX3X;DDX3Y,-0.077,0.457
70,SPTAN1,0.017,0.915
71,DNM2;DNM1;DNM3,-0.174,0.266
72,DIAPH1,-0.732,0.307
73,HSPA1A;HSPA1B,0.541,0.013
74,SSBP1,-0.503,0.047
75,PUF60,0.602,0.104
76,MATR3,-0.343,0.022
77,ROCK1;ROCK2,-0.958,0.012
78,PACSIN2,-0.007,0.975
79,HLA-A,-1.661,0.0
80,ALDH7A1,-0.541,0.028
81,TJP2,0.142,0.4
82,MAP2K2;MAP2K1,0.102,0.459
83,CTSD,-0.954,0.0
84,DPYSL2,-0.612,0.085
85,SFXN3,-0.122,0.363
86,ME2,0.011,0.924
87,TCEA1,-0.193,0.109
88,BCLAF1,-0.555,0.006
89,DDX17,-0.293,0.246
90,RTTN,0.128,0.328
91,GCSH,0.408,0.026
92,PHGDH,-0.772,0.022
93,PPT1,-0.655,0.021
94,CAMK2G;CAMK2B;CAMK2A,-0.273,0.067
95,CTNNB1,-0.414,0.131
96,POLR1C,0.525,0.004
97,TPM4,0.189,0.127
98,RPS14,0.192,0.1
99,RPS24,0.345,0.017
100,PFKM,-0.213,0.188
101,HSD17B4,-0.686,0.011
102,CSNK2A1;CSNK2A3,-0.148,0.226
103,OPA1,-0.67,0.074
104,RPL15,0.304,0.037
105,SEC23B;SEC23A,-0.095,0.516
106,TPP1,-1.287,0.0
107,EEF1A2,0.084,0.721
108,TBCE,-0.133,0.686
109,CD59,-0.022,0.826
110,MTHFD1,-0.026,0.794
111,CTPS1,0.841,0.003
112,TCOF1,0.126,0.433
113,PPM1B;PPM1A,0.407,0.227
114,COPA,-0.298,0.027
115,NDUFA9,0.076,0.5
116,MCM4,-0.32,0.054
117,NUP98,0.146,0.192
118,HNRNPL,-0.49,0.004
119,RPL29,-0.108,0.487
120,THRAP3,-0.431,0.01
121,AMDHD2,-1.137,0.002
122,NHP2L1,-0.176,0.332
123,GLA,-0.579,0.018
124,C11orf98,0.02,0.861
125,DEK,-0.414,0.02
126,SUCLG1,-0.419,0.012
127,CLUH,0.098,0.597
128,NOP56,0.132,0.49
129,FKBP2,-0.229,0.113
130,S100A2,-0.17,0.483
131,SRSF6,0.012,0.905
132,NNT,-0.068,0.679
133,SAE1,-0.647,0.004
134,AMPD2,0.474,0.034
135,SACM1L,-3.573,0.0
136,CTNND1,-0.747,0.008
137,STAT1,-0.363,0.082
138,USP7,-0.199,0.203
139,UBA6,-0.208,0.331
140,ACO2,-0.009,0.934
141,PGP,-0.724,0.005
142,HCFC1,0.09,0.626
143,NUDT5,-0.025,0.816
144,UNC119;UNC119B,-0.761,0.005
145,USP14,0.122,0.346
146,RNPEP,1.389,0.267
147,ENSA;ARPP19,-0.178,0.171
148,CRYZ,-0.233,0.115
149,MANF,0.341,0.06
150,SUMO2;SUMO3;SUMO4,-0.603,0.003
151,RPL23A,0.131,0.252
152,SNRPG;SNRPGP15,-0.286,0.046
153,EIF3L,0.42,0.011
154,UBE2I,-0.384,0.055
155,CPNE1,-1.54,0.009
156,MPST,0.54,0.267
157,MCM5,-0.378,0.044
158,PSMD10,-0.378,0.045
159,MRPL43,0.229,0.226
160,PRPS1;PRPS1L1,-0.063,0.537
161,PABPC4,0.278,0.066
162,HNRNPC,-0.313,0.029
163,PES1,0.293,0.065
164,CNN2,-0.061,0.59
165,NDUFV1,2.311,0.0
166,COPS2,-0.219,0.16
167,CS,0.08,0.445
168,CARS,-0.685,0.01
169,MRPL12,-0.34,0.103
170,NQO1,-0.345,0.078
171,PTPN1,-0.344,0.121
172,MTAP,0.266,0.196
173,FXR1,-0.219,0.296
174,HS1BP3,-0.403,0.187
175,BZW2,0.121,0.458
176,RAN,-0.069,0.499
177,10-Sep,0.032,0.887
178,DDX27,0.034,0.842
179,RANBP3,0.106,0.57
180,ACADM,-0.444,0.019
181,SUMO1,-0.34,0.029
182,PTMA,-0.208,0.094
183,IMMT,-0.192,0.396
184,DKC1,0.058,0.565
185,GFM1,-0.398,0.717
186,BZW1,1.082,0.0
187,SNX8,-0.756,0.001
188,SRI,-0.36,0.158
189,EEF1E1;EEF1E1-BLOC1S5,0.119,0.449
190,RPL37A,0.301,0.03
191,RAB7A,-0.316,0.045
192,ATP1B3,0.022,0.864
193,SNAP29,-0.659,0.004
194,FAHD2A,-0.515,0.006
195,APEH,-0.634,0.006
196,ATP5J2;ATP5J2-PTCD1,-0.04,0.801
197,C7orf50,-2.655,0.0
198,RPL22L1,-0.094,0.775
199,RFC4,-0.336,0.028
200,RPL32,0.262,0.148
201,HLA-B,-1.342,0.002
202,EXOSC9,0.086,0.69
203,HNRNPAB,0.017,0.93
204,NCAPG,-0.546,0.017
205,EIF4E,0.244,0.08
206,11-Sep,0.017,0.87
207,SEC31A,0.095,0.826
208,COPS4,0.041,0.923
209,THOC3,-0.415,0.01
210,CIRBP,-0.594,0.009
211,GINS4,-0.285,0.191
212,DECR1,-0.715,0.023
213,PROSC,0.075,0.614
214,PFDN1,-0.095,0.4
215,CHRAC1,-0.359,0.052
216,TBCA,-0.201,0.116
217,TCEB1,-0.193,0.104
218,RPL30,0.358,0.02
219,DNPEP,-0.132,0.745
220,RPL26;RPL26L1,0.333,0.021
221,SKP1,-0.296,0.07
222,RBM22,0.052,0.772
223,SWAP70,-0.679,0.004
224,ITGA2,-0.015,0.969
225,PRPSAP2,0.324,0.1
226,RPL14,0.158,0.326
227,07-Sep,-0.179,0.181
228,MRPS25,0.036,0.827
229,NAA50,-0.236,0.346
230,ACIN1,0.179,0.388
231,HMGB3,-0.328,0.04
232,EIF4G1,-0.366,0.013
233,MAP4,-0.054,0.781
234,CSTF2;CSTF2T,0.163,0.298
235,CALD1,0.313,0.527
236,DCTN1,-0.333,0.03
237,NIF3L1,-0.59,0.011
238,NACA,0.093,0.54
239,RBBP7,-0.319,0.063
240,CCNB1,0.014,0.949
241,HNRNPH1,-0.085,0.505
242,SMC4,-0.217,0.079
243,MRPS17;hCG_1984214,0.03,0.788
244,FUBP1,0.013,0.903
245,DLAT,0.072,0.605
246,GSTK1,-0.6,0.033
247,TSN,-0.381,0.036
248,COPS8,0.081,0.704
249,NCAPH,-0.593,0.034
250,MTCH2,-0.432,0.013
251,CLNS1A,-0.142,0.283
252,EEF1D,0.813,0.001
253,PRMT1,-0.144,0.308
254,BTF3L4,-0.117,0.537
255,NPEPPS,-0.106,0.356
256,ANP32E,-1.295,0.071
257,RAE1,-0.114,0.319
258,FAU,0.078,0.442
259,UBXN1,-0.071,0.662
260,ACP1,-0.057,0.677
261,LSM8,-0.35,0.072
262,ALCAM,0.447,0.026
263,PTMS,-0.215,0.547
264,OTUB1,-0.433,0.01
265,SLC3A2,0.037,0.761
266,GPHN,-0.168,0.202
267,NAP1L1,0.386,0.012
268,TUBA1C,0.211,0.11
269,GRSF1,0.021,0.88
270,CPSF7,-0.914,0.002
271,GNS,-1.001,0.001
272,GLOD4,-0.179,0.382
273,RANBP1,0.013,0.922
274,CAD,-0.136,0.249
275,LIMA1,0.367,0.014
276,CHMP1A,-0.398,0.017
277,COPZ1,-0.185,0.119
278,SLC25A3,0.079,0.442
279,PPP1CC,-0.243,0.142
280,PCBP2,-0.033,0.74
281,AK2,-0.332,0.045
282,MYL6,-0.107,0.436
283,NRBP1,0.238,0.186
284,HNRNPA1,0.112,0.387
285,MRE11A,-0.073,0.574
286,IGF2BP2,-2.168,0.0
287,NDRG3,-0.268,0.126
288,DPP3,0.074,0.644
289,GSDMD,-0.366,0.072
290,API5,-0.163,0.405
291,NRD1,0.098,0.428
292,RPL18,0.482,0.006
293,SNW1,-0.24,0.315
294,PSMA6,-0.135,0.265
295,CTNNA1,0.13,0.497
296,PFN2,-0.298,0.034
297,MRPS22,0.24,0.372
298,CPSF3,-0.285,0.198
299,CELF1,0.042,0.765
300,SEC24C,-0.367,0.311
301,ZYX,0.523,0.061
302,HNRNPD,0.036,0.736
303,DNPH1,-0.75,0.006
304,RRM2B,-1.243,0.041
305,TPD52,-0.257,0.075
306,CD44,0.482,0.054
307,HADHA,-0.179,0.168
308,REXO2,-0.119,0.421
309,RPL28,0.256,0.158
310,PSMA4,-0.219,0.09
311,FAH,0.116,0.569
312,RPS27L,-0.261,0.131
313,ANP32A,-0.173,0.291
314,TMOD3,0.406,0.13
315,DUT,-0.13,0.51
316,RAB11A;RAB11B,-0.22,0.07
317,RNPS1,-0.431,0.021
318,PFDN5,0.065,0.564
319,COX4I1,0.502,0.197
320,RPS17,0.367,0.02
321,COX5A,-0.078,0.441
322,HEXA,-0.858,0.001
323,FUS,0.241,0.212
324,USP10;DKFZp686E14181,-0.261,0.093
325,PDIA3,-0.19,0.128
326,PPP1R7,0.196,0.436
327,TRIM4,0.434,0.036
328,EBNA1BP2,0.056,0.668
329,SRRT,0.259,0.256
330,NSF,0.584,0.29
331,EIF5A;EIF5A2;EIF5AL1,-0.262,0.052
332,RPS15A,0.433,0.01
333,SRSF2,-0.167,0.151
334,OLA1,0.212,0.087
335,PTRH2,0.262,0.226
336,SUMF2,-0.735,0.009
337,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.294,0.03
338,IARS,0.024,0.82
339,CBX1,-0.602,0.002
340,ZNF207,0.033,0.905
341,HN1,0.152,0.173
342,DDX5,-0.148,0.271
343,RPL19,0.024,0.809
344,SRSF1,0.12,0.36
345,CHERP,1.119,0.092
346,SNRPB;SNRPN,-0.248,0.049
347,MRPS23,0.092,0.419
348,PNPO,-0.728,0.001
349,MYL12B;MYL12A,0.336,0.043
