Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XTRCP4AC,HIST1H4A,HIST1H4A,9|5,14,7.0,2,7|7,0.0,0.0,0.0,0.0,0.0,-19.92,1.0,0.65,
XTRCP4AC,HSPA5,HSPA5,1|7,8,4.0,2,29|32,0.0,0.0,0.0,0.0,0.0,-132.16,0.13,0.71,
XTRCP4AC,HSPA4,HSPA4,0|20,20,10.0,2,18|21,0.0,0.0,0.0,0.0,0.0,-87.71,0.51,0.69,
XTRCP4AC,HSPA9,HSPA9,0|1,1,0.5,2,1|2,0.0,0.0,0.0,0.0,0.0,-8.06,0.33,0.71,
XTRCP4AC,SSFA2,SSFA2,0|3,3,1.5,2,10|12,0.0,0.0,0.0,0.0,0.0,-49.73,0.14,0.71,
XTRCP4AC,COPRS,COPRS,0|5,5,2.5,2,2|4,0.0,0.0,0.0,0.0,0.0,-14.36,0.83,0.59,
XTRCP4AC,CAMK4,CAMK4,0|2,2,1.0,2,4|7,0.0,0.0,0.0,0.0,0.0,-25.35,0.18,0.71,
XTRCP4AC,ZC3H15,ZC3H15,0|7,7,3.5,2,14|12,0.0,0.0,0.0,0.0,0.0,-58.65,0.27,0.71,
XTRCP4AC,ZC3H14,ZC3H14,0|2,2,1.0,2,19|30,0.0,0.0,0.0,0.0,0.0,-109.75,0.04,0.71,
XTRCP4AC,ABCD3,ABCD3,0|7,7,3.5,2,18|19,0.0,0.0,0.0,0.0,0.0,-83.23,0.19,0.71,
XTRCP4AC,DHX9,DHX9,0|5,5,2.5,2,71|60,0.0,0.0,0.0,0.0,0.0,-294.1,0.04,0.71,
XTRCP4AC,HSPA8,HSPA8,25|64,89,44.5,2,44|51,0.0,0.0,0.0,0.0,0.0,-139.36,0.94,0.7,
XTRCP4AC,TCOF1,TCOF1,0|2,2,1.0,2,3|3,0.0,0.0,0.0,0.0,0.0,-14.36,0.33,0.71,
XTRCP4AC,NUP98,NUP98,0|3,3,1.5,2,33|39,0.0,0.0,0.0,0.0,0.0,-161.64,0.04,0.71,
XTRCP4AC,CEP85,CEP85,0|2,2,1.0,2,0|0,0.42,0.85,0.42,0.85,0.42,-2.82,10.0,0.37,
XTRCP4AC,HNRNPDL,HNRNPDL,0|1,1,0.5,2,2|2,0.0,0.0,0.0,0.0,0.0,-10.05,0.25,0.71,
XTRCP4AC,ANKRD20A12P,ANKRD20A12P,0|3,3,1.5,2,1|3,0.0,0.01,0.0,0.01,0.0,-10.05,0.75,0.58,
XTRCP4AC,ALDH3A2,ALDH3A2,0|8,8,4.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-25.35,0.73,0.63,
XTRCP4AC,KIAA1279,KIAA1279,3|37,40,20.0,2,1|0,0.75,1.0,0.75,1.0,0.75,0.02,40.0,0.04,
XTRCP4AC,GTF3C1,GTF3C1,0|2,2,1.0,2,25|21,0.0,0.0,0.0,0.0,0.0,-103.36,0.04,0.71,
XTRCP4AC,GTF3C5,GTF3C5,0|5,5,2.5,2,13|13,0.0,0.0,0.0,0.0,0.0,-58.65,0.19,0.71,
XTRCP4AC,GTF3C4,GTF3C4,0|1,1,0.5,2,13|17,0.0,0.0,0.0,0.0,0.0,-67.58,0.03,0.71,
XTRCP4AC,SWAP70,SWAP70,0|9,9,4.5,2,33|43,0.0,0.0,0.0,0.0,0.0,-170.58,0.12,0.71,
