,Bait,Prey Gene,Saint Score,log2FC
0,TRCP4AC,HIST1H4A,0.0,0.0
1,TRCP4AC,HSPA5,0.0,-2.9434164716336326
2,TRCP4AC,HSPA4,0.0,-0.9714308478032291
3,TRCP4AC,HSPA9,0.0,-1.5994620704162712
4,TRCP4AC,SSFA2,0.0,-2.8365012677171206
5,TRCP4AC,COPRS,0.0,-0.2688167584278
6,TRCP4AC,CAMK4,0.0,-2.473931188332412
7,TRCP4AC,ZC3H15,0.0,-1.8889686876112561
8,TRCP4AC,ZC3H14,0.0,-4.643856189774724
9,TRCP4AC,ABCD3,0.0,-2.395928676331139
10,TRCP4AC,DHX9,0.0,-4.643856189774724
11,TRCP4AC,HSPA8,0.0,-0.0892673380970874
12,TRCP4AC,TCOF1,0.0,-1.5994620704162712
13,TRCP4AC,NUP98,0.0,-4.643856189774724
14,TRCP4AC,CEP85,0.42,3.321928094887362
15,TRCP4AC,HNRNPDL,0.0,-2.0
16,TRCP4AC,ANKRD20A12P,0.0,-0.4150374992788438
17,TRCP4AC,ALDH3A2,0.0,-0.4540316308947075
18,TRCP4AC,KIAA1279,0.75,5.321928094887363
19,TRCP4AC,GTF3C1,0.0,-4.643856189774724
20,TRCP4AC,GTF3C5,0.0,-2.395928676331139
21,TRCP4AC,GTF3C4,0.0,-5.058893689053568
22,TRCP4AC,SWAP70,0.0,-3.0588936890535687
23,TRCP4AC,ZNF451,0.0,-0.9159357352115255
24,TRCP4AC,CSDE1,0.0,-0.5777669993169522
25,TRCP4AC,TIPRL,0.0,-0.9434164716336325
26,TRCP4AC,FAM212B,0.0,-2.8365012677171206
27,TRCP4AC,EPS15L1,0.0,-2.1844245711374275
28,TRCP4AC,ANAPC1,0.0,-4.321928094887363
29,TRCP4AC,GART,0.0,-2.0588936890535687
30,TRCP4AC,RPS6KA1,0.0,-1.736965594166206
31,TRCP4AC,PPID,0.09,0.41142624572646497
32,TRCP4AC,SH3D19,0.0,-3.643856189774725
33,TRCP4AC,HLCS,0.49,0.8237493603082727
34,TRCP4AC,PSMD12,0.0,-0.18442457113742744
35,TRCP4AC,SERBP1,0.0,-1.15200309344505
36,TRCP4AC,ARPIN,0.0,-0.4941090702700427
37,TRCP4AC,NUP133,0.0,-4.058893689053568
38,TRCP4AC,VAPB,0.0,-2.0
39,TRCP4AC,SHROOM3,0.11,1.0
40,TRCP4AC,SHROOM2,0.0,-3.643856189774725
41,TRCP4AC,SHROOM1,0.0,0.0
42,TRCP4AC,EXOSC10,0.0,-6.643856189774724
43,TRCP4AC,ARF3,0.0,-2.5563933485243853
44,TRCP4AC,PLRG1,0.0,-3.1844245711374275
45,TRCP4AC,AP3D1,0.0,-4.058893689053568
46,TRCP4AC,CALB2,0.0,-2.0
47,TRCP4AC,SMCR8,0.0,-3.8365012677171206
48,TRCP4AC,RAB11FIP1,0.0,-3.473931188332412
49,TRCP4AC,RAB11FIP5,0.0,-4.058893689053568
50,TRCP4AC,CORO1C,0.0,-2.9434164716336326
51,TRCP4AC,EEF1A1,0.0,-0.3959286763311392
52,TRCP4AC,MAGEA4,0.0,-1.7858751946471527
