,Gene Name,log2(Fold change),P-value
0,HDLBP,0.877181311076352,0.125966465101302
1,PSMA2,-0.29778017988124,0.209507714017543
2,BAG6;BAT3,1.08315681094938,0.0354006949425874
3,TXNRD1,-0.47266690454148,0.0799241288688708
4,HMOX2,-1.54793255776907,0.0752794619493509
5,KHSRP,-0.778724689220621,0.0280339654548943
6,PYCR2,-0.690011476618807,0.257406651824037
7,HNRNPDL,0.570902541218594,0.200224682205714
8,MINOS1;MINOS1-NBL1,-19.5753249129117,2.04378306129089e-07
9,POLA1,0.452867001206791,0.160261178435607
10,HNRNPDL,1.10767394568492,0.0151921972647101
11,SLIRP,0.413058481833108,0.15068737640664
12,GPX1,-19.6778572955655,6.34471182278002e-08
13,EIF5B,-0.87053880804508,0.0152697754299661
14,SPTBN1,0.0528074693247795,0.881798530355323
15,NAT10,-21.6053256577564,1.21554053300429e-07
16,RRBP1,-18.5972305771913,4.66302334005106e-07
17,POLR2E,-0.954098323312365,0.0551650889395537
18,HYOU1,0.290181786496888,0.35334841202214
19,TPM3,-0.237731129347125,0.354944491145792
20,TARDBP;TDP43,0.625334068708277,0.0624130958742928
21,RPL17;RPL17-C18orf32,-0.00353370958667298,0.988519606695006
22,PSMB3,1.37725543587711,0.0170936780609784
23,VTA1,-0.465418633308722,0.210370024676617
24,NUMA1,21.1203938499407,2.36722369508737e-05
25,SRP19,1.2456203997748,0.084598116306779
26,UGP2,-0.155525684090144,0.65475986149601
27,PTGES3,-0.210038617142658,0.553286980294481
28,CAP2,20.0997521775081,1.35461158979861e-06
29,KIR3DX1,19.6425384913174,8.89876571678879e-06
30,EIF3H,0.574163762331629,0.119798646945189
31,SBDS,-1.05897141700484,0.0252017532485082
32,OGFR,-0.17147905623839,0.648378581507213
33,SNX12,1.505952109338,0.0042143388304051
34,COL6A1,20.683065686263,3.6247795441659e-07
35,ACOT1;ACOT2,-0.37876350487624,0.253147959348992
36,SEPT8,-2.13725368051432,0.273340979377977
37,RAB18,-19.7137652581082,2.16211641657083e-07
38,CHTOP,20.2957340758492,8.84934373055492e-08
39,NEB,23.0679207089865,0.000675467560468335
40,PSME2,-0.842125345977347,0.0592043017035767
41,BSG,-0.769714347282651,0.234304693085912
42,MRPL45,0.132320086650115,0.796936745201475
43,DDX1,0.298388502680744,0.294065533019289
44,GPS1,-21.4269053101072,1.29511637630396e-07
45,C21orf33,1.25970350480561,0.178641836075604
46,WDR18,-19.3659431960359,1.83763098979597e-07
47,VDAC2,-0.0240698131140995,0.950929406976762
48,HNRNPUL1,1.36651597584249,0.0418258469389225
49,EPB41L3,0.462817068277584,0.361189754289409
50,PCMT1,0.0342321399337138,0.923140130541669
51,NOLC1,0.423945012421015,0.271141290897093
52,NOL6,-20.5131501212652,5.52275840359497e-08
53,CASP8,-0.163422441129317,0.8988987059972
54,HADH,0.0292261437656585,0.971334705967089
55,DDX42,1.48285029273197,0.0272173832518562
56,PLS3,0.314748490167609,0.239054179934753
57,PITPNB,-0.622271998881995,0.168513479070816
58,GSN,3.78054207981369,0.00209530173845229
59,IVD,-1.97922779597445,0.00344141040955045
60,RBP1,1.68551527882467,0.00422654294569599
61,ILK,-1.32363806850411,0.0681159844956532
62,CUL2,-18.8482257364933,7.51544874201166e-08
63,TTN,0.178133516662296,0.876781830975146
64,ADSL,-3.64814084625117,0.000290742490774488
65,NAA15,-2.40035772081914,0.00101017113062132
66,SRSF7,2.70571323739139,0.000852989054775344
67,TPT1,0.381083998554367,0.234186612841784
68,GSTZ1,-0.224546281163576,0.362399981221743
69,RPSA,0.455641104884098,0.0837162060708853
70,DDX46,-1.9142675597859,0.0123471228572273
71,CHD4,-0.372125777116555,0.300200875882007
72,CAPNS1,0.535088047693002,0.154977098332675
73,DDOST,-2.71691267230898,0.00532738779625474
74,DDX3X;DDX3Y,-0.59149409032921,0.173560714615809
75,SPTAN1,1.85294241111531,0.0257353659850975
76,DNM1;DNM2,-0.185825646113731,0.748093552370058
77,DIAPH1,-20.6109798251076,8.35718592741519e-08
78,HSPA1A;HSPA1B,-0.1614478985754,0.528076113789694
79,PSMB9,-1.07882534599304,0.184323995189651
80,SSBP1,3.92327742240498,7.28547909282849e-05
81,PRAMEF10,-0.0661057016969515,0.950200501236935
82,PUF60,1.97125398205404,0.00786064280121174
83,DOCK11,-20.5879480415188,0.00209601489318676
84,MATR3,0.438790456946094,0.100278500806218
85,TPM1,4.7506936497075,5.73113147663565e-05
86,RBM39,-1.08587174180966,0.0810197225875038
87,PROCR,-20.1713685063289,5.28220190390058e-07
88,PACSIN2,0.235937085743924,0.301664880894914
89,FERMT2;FERMT1,18.4337392871009,1.18482773138199e-07
90,GNL1,-19.8621225732377,1.55866738866867e-07
91,HLA-A,-1.07953398135709,0.0267623815274062
92,PSMB8;PSM8,-0.96399235963748,0.0307358584946123
93,ALDH7A1,-0.467652010046045,0.217265847189524
94,CTSD,1.22102541065316,0.00397234319776711
95,MVK,-20.1067894076932,5.85139434845202e-07
96,DPYSL2,0.0205046514016125,0.925329645916301
97,SFXN3,-4.22377915895007,8.53704653343755e-05
98,ME2,-1.65524270996901,0.0013075779731179
99,POLR2B,-2.48200743828956,0.000750085556087847
100,TCEA1,-2.06353482312137,0.00688868058030761
101,BCLAF1,-0.895557741569373,0.376914557985977
102,DDX17,-0.0421460287077728,0.885309678686289
103,GCSH,1.04850109437644,0.124865322265322
104,PHGDH,0.132554973702696,0.617902774829666
105,RRM2,1.85821214306754,0.010080301214306
106,PPT1,0.277661951962884,0.717322857216828
107,CAMK2G;CAMK2B,0.465129413036085,0.192141442397386
108,OPA1,-0.743424364458267,0.0635353867557274
109,SMARCE1,2.42646338494209,0.00857149992700804
110,CTNNB1,-2.0861464329063,0.0170634055712852
111,POLR1C,-1.15065867252213,0.00664780296794776
112,BCAP31,-1.35299865182856,0.15408127276588
113,RDX,20.0065239416078,2.19219694468824e-05
114,TPM4,0.160808319265975,0.57539790844671
115,SUCLA2,-20.8439719766268,2.8901258533511e-07
116,LOXHD1,0.670627894330568,0.375579508218993
117,RPS14,0.0776394266348639,0.79052445418033
118,RPS24,0.378632615930485,0.133259403247713
119,PFKM,-22.7313718423819,3.91424034830897e-08
120,HSD17B4,-0.470005727931163,0.297215095585604
121,CSNK2A1;CSNK2A3,0.773821139789067,0.279601429523768
122,RPL15,-2.52732723546562,0.000473770879347586
123,SEC23B,-1.08864736431536,0.0398046920721045
124,TPP1,-0.841668727279725,0.100348875811768
125,EEF1A2,-0.232140506700222,0.420142296658155
126,CD59,-3.41644335770376,0.000110916434839511
127,MTHFD1,-0.184566586974288,0.411004782158817
128,CTPS1,-0.0210823610198858,0.921672013596406
129,TCOF1,-0.662895100948553,0.0515638687944168
130,PPM1B;PPM1A,-1.4073675391316,0.0022454589908654
131,COPA,-2.03563129656197,0.000586893823966793
132,MCM4,-0.234600194042223,0.316517593588204
133,NUP98,-0.446577749583213,0.201762364984833
134,HNRNPL,-0.132445826338198,0.694399869009826
135,RPL29,0.768953247554535,0.0429434511050198
136,THRAP3,0.265280437236456,0.28277569254828
137,AMDHD2,-2.01697431582243,0.00991585241393496
138,NHP2L1,0.848497199297459,0.0140921468784871
139,DEK,1.66390706076042,0.12313734721683
140,SUCLG1,-0.209918334608979,0.583823923997957
141,CLUH,-21.4767605936185,4.42659830185297e-07
142,NOP56,-0.206992810637779,0.658009294098779
143,DIP2A,-18.4777683983478,0.000415581124756039
144,FKBP2,0.798170730954663,0.0257993392456109
145,PREP,-19.222408238303,1.05610897218766e-07
146,S100A2,0.81086522148474,0.0432101489538677
147,SRSF6,-0.284210055976832,0.327085708831761
148,SAE1,-2.0695285666892,0.00577958926685298
149,AMPD2,-1.0589285565443,0.287320613837382
150,ACAT1,0.314857364142018,0.216923626503661
151,MRPL2,-19.3032317626353,7.03183133132398e-08
152,MLH1,-19.4643994530456,6.63061096151872e-08
153,CTNND1,1.1842953573228,0.0286410999174217
154,STAT1,0.189630448173233,0.694442212573994
155,UBA6,-1.82812555852164,0.00103772046769643
156,ILVBL,-19.1453678451444,1.36937254734292e-06
157,ACO2,-1.15946874867985,0.0160096440558842
158,STMN1,-0.0695930231898316,0.790217015802431
159,MAP1LC3B;MAP1LC3B2,19.2375354952911,1.49660936502881e-06
160,PGP,-1.00788839485267,0.0596167133280001
161,HCFC1,-0.508961283344824,0.137593317853619
162,NUDT5,0.127468993968154,0.670068815239091
163,USP14,-0.82281363032353,0.0677852435977225
164,RNPEP,-0.589059911289347,0.365912076811425
165,CRYZ,-0.40315432303796,0.164066120283354
166,MANF,1.02092519178367,0.0534699430230187
167,RPL23A,0.904742312556081,0.017573952069862
168,SRRM1,18.0277255681562,7.93403816679403e-06
169,EIF3L,-1.23694028822794,0.0473550009076857
170,UBE2I,-1.2409925491665,0.0439009841694087
171,CPNE1,0.750736060632537,0.223144626746183
172,COMMD6,-20.1607149144118,5.88657377723391e-08
173,ERLIN1;ERLIN2,-20.3342339955207,5.86493647434325e-07
174,APOC3,21.7661295258178,5.95479218504215e-08
175,MPST,-1.60041095583708,0.0876868474535979
176,PSMD10,1.55378489787482,0.0252745417924358
177,PEA15,2.32619436180973,0.0501356444264382
178,MRPL43,-1.55655157083357,0.0583242553095283
