Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XVPRBP,HIST1H4A,HIST1H4A,0|3,3,1.5,2,3|4,0.0,0.0,0.0,0.0,0.0,-17.37,0.43,0.84,
XVPRBP,SYNPO,SYNPO,0|2,2,1.0,2,1|0,0.05,0.11,0.05,0.11,0.05,-5.04,2.0,0.56,
XVPRBP,HSPA5,HSPA5,1|1,2,1.0,2,9|2,0.0,0.0,0.0,0.0,0.0,-22.44,0.18,0.84,
XVPRBP,AHCTF1,AHCTF1,0|1,1,0.5,2,16|0,0.0,0.0,0.0,0.0,0.0,-35.89,0.06,0.84,
XVPRBP,PCCA,PCCA,34|66,100,50.0,2,42|26,0.0,0.0,0.0,0.0,0.0,-73.11,1.47,0.79,
XVPRBP,DBN1,DBN1,0|1,1,0.5,2,3|0,0.0,0.0,0.0,0.0,0.0,-8.56,0.33,0.84,
XVPRBP,SON,SON,5|8,13,6.5,2,25|5,0.0,0.0,0.0,0.0,0.0,-51.36,0.43,0.84,
XVPRBP,VDAC2,VDAC2,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-5.04,1.0,0.84,
XVPRBP,HIST1H3A,HIST1H3A,2|2,4,2.0,2,4|3,0.0,0.0,0.0,0.0,0.0,-12.74,0.57,0.84,
XVPRBP,CRKL,CRKL,0|3,3,1.5,2,2|0,0.04,0.08,0.04,0.08,0.04,-6.39,1.5,0.64,
XVPRBP,LARP1,LARP1,0|1,1,0.5,2,7|1,0.0,0.0,0.0,0.0,0.0,-18.86,0.12,0.84,
XVPRBP,CCDC88A,CCDC88A,0|1,1,0.5,2,0|0,0.0,0.0,0.0,0.0,0.0,-3.6,5.0,0.84,
XVPRBP,HSP90AB1,HSP90AB1,3|20,23,11.5,2,9|0,0.21,0.41,0.21,0.41,0.21,-13.87,2.56,0.38,
XVPRBP,NUP214,NUP214,0|1,1,0.5,2,6|1,0.0,0.0,0.0,0.0,0.0,-16.92,0.14,0.84,
XVPRBP,HSPA8,HSPA8,6|16,22,11.0,2,10|4,0.0,0.0,0.0,0.0,0.0,-18.75,1.57,0.75,
XVPRBP,DDX3X,DDX3X,0|1,1,0.5,2,6|0,0.0,0.0,0.0,0.0,0.0,-14.35,0.17,0.84,
XVPRBP,SLC25A5,SLC25A5,0|1,1,0.5,2,4|0,0.0,0.0,0.0,0.0,0.0,-10.24,0.25,0.84,
XVPRBP,BAZ1B,BAZ1B,0|2,2,1.0,2,7|0,0.0,0.0,0.0,0.0,0.0,-16.61,0.29,0.84,
XVPRBP,TPR,TPR,1|16,17,8.5,2,99|25,0.0,0.0,0.0,0.0,0.0,-271.83,0.14,0.84,
XVPRBP,CD2AP,CD2AP,0|1,1,0.5,2,6|2,0.0,0.0,0.0,0.0,0.0,-19.26,0.12,0.84,
XVPRBP,LIMA1,LIMA1,0|2,2,1.0,2,15|3,0.0,0.0,0.0,0.0,0.0,-40.67,0.11,0.84,
XVPRBP,EIF4G1,EIF4G1,0|4,4,2.0,2,11|0,0.0,0.0,0.0,0.0,0.0,-25.12,0.36,0.84,
XVPRBP,DDX5,DDX5,0|1,1,0.5,2,10|1,0.0,0.0,0.0,0.0,0.0,-25.31,0.09,0.84,
XVPRBP,EEF1D,EEF1D,4|6,10,5.0,2,19|8,0.0,0.0,0.0,0.0,0.0,-48.18,0.37,0.84,
XVPRBP,MAN1C1,MAN1C1,4|0,4,2.0,2,2|3,0.0,0.0,0.0,0.0,0.0,-13.05,0.8,0.74,
XVPRBP,MAZ,MAZ,0|1,1,0.5,2,2|2,0.0,0.0,0.0,0.0,0.0,-10.83,0.25,0.84,
XVPRBP,CLTC,CLTC,0|2,2,1.0,2,2|0,0.01,0.03,0.01,0.03,0.01,-6.39,1.0,0.69,
XVPRBP,VIM,VIM,1|8,9,4.5,2,40|24,0.0,0.0,0.0,0.0,0.0,-139.02,0.14,0.84,
XVPRBP,ADRBK1,ADRBK1,2|0,2,1.0,2,1|0,0.05,0.11,0.05,0.11,0.05,-5.04,2.0,0.56,
XVPRBP,CCT8,CCT8,7|14,21,10.5,2,33|11,0.0,0.0,0.0,0.0,0.0,-75.59,0.48,0.84,
XVPRBP,SAP30BP,SAP30BP,0|1,1,0.5,2,5|0,0.0,0.0,0.0,0.0,0.0,-12.48,0.2,0.84,
XVPRBP,PREX1,PREX1,0|1,1,0.5,2,3|0,0.0,0.0,0.0,0.0,0.0,-8.56,0.33,0.84,
XVPRBP,NONO,NONO,3|2,5,2.5,2,12|3,0.0,0.0,0.0,0.0,0.0,-28.13,0.33,0.84,
XVPRBP,TUBA1B,TUBA1B,0|7,7,3.5,2,14|7,0.0,0.0,0.0,0.0,0.0,-48.0,0.33,0.84,
XVPRBP,AHNAK,AHNAK,68|224,292,146.0,2,605|256,0.0,0.0,0.0,0.0,0.0,,0.34,0.84,
XVPRBP,MKL2,MKL2,0|4,4,2.0,2,1|1,0.11,0.22,0.11,0.22,0.11,-6.64,2.0,0.45,
XVPRBP,PC,PC,105|165,270,135.0,2,135|83,0.0,0.0,0.0,0.0,0.0,-233.91,1.24,0.83,
XVPRBP,SLC35A2,SLC35A2,1|1,2,1.0,2,1|4,0.0,0.0,0.0,0.0,0.0,-10.59,0.4,0.84,
XVPRBP,RRBP1,RRBP1,0|2,2,1.0,2,11|0,0.0,0.0,0.0,0.0,0.0,-25.12,0.18,0.84,
XVPRBP,PDLIM4,PDLIM4,3|4,7,3.5,2,8|3,0.0,0.0,0.0,0.0,0.0,-18.3,0.64,0.84,
XVPRBP,PLEC,PLEC,0|11,11,5.5,2,133|22,0.0,0.0,0.0,0.0,0.0,-346.72,0.07,0.84,
XVPRBP,MCCC1,MCCC1,29|55,84,42.0,2,33|29,0.0,0.0,0.0,0.0,0.0,-70.37,1.35,0.78,
XVPRBP,VPRBP,VPRBP,54|157,211,105.5,2,0|0,1.0,1.0,1.0,1.0,1.0,78.27,1055.0,0.0,
XVPRBP,SLC3A2,SLC3A2,0|1,1,0.5,2,9|0,0.0,0.0,0.0,0.0,0.0,-20.83,0.11,0.84,
XVPRBP,TOX4,TOX4,0|2,2,1.0,2,5|1,0.0,0.0,0.0,0.0,0.0,-14.75,0.33,0.84,
XVPRBP,FLNA,FLNA,37|84,121,60.5,2,1|134,0.0,0.0,0.0,0.0,0.0,-192.63,0.9,0.82,
XVPRBP,FLNC,FLNC,0|1,1,0.5,2,9|3,0.0,0.0,0.0,0.0,0.0,-27.86,0.08,0.84,
XVPRBP,KRT18,KRT18,0|3,3,1.5,2,25|4,0.0,0.0,0.0,0.0,0.0,-64.91,0.1,0.84,
XVPRBP,HSPH1,HSPH1,0|2,2,1.0,2,0|0,0.36,0.72,0.36,0.72,0.36,-3.6,10.0,0.0,
