,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,0.127,0.297
1,HDLBP,-0.126,0.251
2,EHD1,0.207,0.59
3,PSMA2,-0.101,0.338
4,BAG6;BAT3,-0.107,0.315
5,EPPK1,1.352,0.449
6,TAF15,-0.009,0.923
7,TXNRD1,0.121,0.247
8,DCAF13,0.039,0.855
9,HMOX2,-0.019,0.88
10,KHSRP,0.049,0.6
11,PABPC1,-0.028,0.765
12,PYCR2,0.144,0.463
13,UHRF1,-0.038,0.742
14,HNRNPDL,-0.013,0.912
15,MRPL51,0.232,0.304
16,MAGT1,-0.048,0.753
17,CTNNBL1,0.013,0.897
18,SPCS2,-0.05,0.614
19,OSTC,0.039,0.684
20,HNRNPDL,-0.056,0.569
21,GPX1,0.152,0.339
22,EIF5B,-0.157,0.212
23,DDX50,-0.204,0.25
24,MTHFD1L,0.036,0.703
25,CLTC,0.015,0.89
26,EPT1,-0.177,0.318
27,BAZ1A,-0.211,0.107
28,RBM15,1.224,0.404
29,TPM3,-0.056,0.562
30,NDUFA10,0.134,0.255
31,RPL17;RPL17-C18orf32,0.069,0.479
32,AP2M1,-0.012,0.94
33,TPD52L2,0.009,0.924
34,UGP2,-0.133,0.344
35,PTGES3,-0.089,0.666
36,RAVER1,0.269,0.149
37,EIF3H,-0.043,0.698
38,IDH3B,-0.105,0.65
39,HYOU1,-0.091,0.396
40,TJP1,-0.355,0.048
41,ACOT2;ACOT1,0.091,0.439
42,NOMO2;NOMO1;NOMO3,-0.138,0.353
43,STAU1,-0.036,0.785
44,USP39,-0.353,0.044
45,SEP15,-0.051,0.747
46,NEB,2.942,0.033
47,CNN2,0.089,0.517
48,BSG,0.091,0.497
49,SRSF3,0.077,0.554
50,MRPL45,0.005,0.962
51,DDX1,-0.033,0.725
52,NOP16,0.228,0.348
53,PSMC6,0.054,0.688
54,GPS1,-0.612,0.226
55,WDR18,0.54,0.254
56,MBNL1,-0.063,0.564
57,RER1,0.088,0.614
58,CUL4A,0.095,0.806
59,HNRNPUL1,-0.089,0.483
60,EPB41L3,0.254,0.094
61,SYNE2,0.127,0.875
62,PCMT1,-0.662,0.021
63,NOLC1,-0.002,0.986
64,HADH,0.196,0.201
65,TOR1AIP1,-0.067,0.502
66,SMARCA4,0.5,0.008
67,WDR36,-0.071,0.517
68,ILK,0.029,0.896
69,DHCR24,0.058,0.746
70,ELOVL5,-0.003,0.982
71,NCEH1,0.33,0.217
72,CUL2,-0.033,0.88
73,CCDC175,0.025,0.867
74,TTN,0.956,0.408
75,TMED7;TMED7-TICAM2,0.067,0.641
76,PPAN;PPAN-P2RY11,-0.096,0.68
77,SRSF7,-0.145,0.304
78,FIP1L1,0.232,0.29
79,LARP1,-0.025,0.808
80,TUBB3,-0.04,0.755
81,TCEB2,-0.339,0.202
82,RPS15,0.068,0.62
83,TPT1,0.11,0.4
84,PWP2,0.12,0.232
85,CYP51A1,-0.234,0.528
86,SET;SETSIP,0.174,0.222
87,RPSA,-0.001,0.988
88,DDX46,-0.058,0.787
89,PACSIN3,-0.01,0.95
90,CHD4,0.046,0.649
91,CD276,0.059,0.784
92,CAPNS1,0.182,0.123
93,DDOST,-0.016,0.91
94,LAMTOR5,-0.053,0.57
95,DDX3X;DDX3Y,0.018,0.934
96,EWSR1,0.12,0.403
97,HSPA1A;HSPA1B,-0.399,0.029
98,SCRIB,-0.011,0.916
99,HLA-A,-0.536,0.088
100,PUF60,-0.118,0.262
101,PON2,0.604,0.05
102,MATR3,0.07,0.569
103,SYPL1,2.531,0.0
104,PTBP1,-0.039,0.714
105,ENAH,0.297,0.156
106,FERMT2,0.261,0.498
107,HLA-A;HLA-C,0.1,0.461
108,ATP6AP2,1.325,0.201
109,ALDH7A1,0.24,0.049
110,CTSD,0.052,0.73
111,ORMDL1;ORMDL2,0.095,0.554
112,SFXN3,-0.077,0.517
113,IER3IP1,0.112,0.515
114,A0A1W2PNV4,0.126,0.224
115,ME2,0.124,0.25
116,SCARB2,0.034,0.819
117,DDX17,0.029,0.813
118,GCSH,-0.015,0.883
119,A0A222,0.01,0.977
120,PHGDH,0.006,0.979
121,PPT1,-0.518,0.027
122,OPA1,0.048,0.845
123,CD9,0.086,0.524
124,SMARCE1,0.176,0.635
125,CTNNB1,0.024,0.819
126,POLR1C,-0.187,0.159
127,RPL5,0.028,0.792
128,RPS14,0.025,0.805
129,RPS24,0.15,0.179
130,TPP1,0.116,0.515
131,HSD17B4,0.189,0.097
132,CSNK2A1;CSNK2A3,-0.223,0.176
133,RPL15,0.023,0.823
134,EEF1A2,0.045,0.824
135,CD59,-0.024,0.852
136,KIF23,0.029,0.842
137,MTHFD1,-0.036,0.838
138,CTPS1,-0.145,0.287
139,MOGS,-0.005,0.958
140,SSR1,-0.044,0.666
141,DDX10,-0.035,0.871
142,AGK,-0.297,0.505
143,HNRNPL,0.015,0.876
144,DARS2,-0.11,0.311
145,RPL29,-0.131,0.421
146,ABCD3,0.354,0.02
147,THRAP3,-0.008,0.933
148,MCM4,-0.089,0.434
149,STON2,-0.086,0.666
150,HM13,0.084,0.543
151,PDCD11,0.026,0.852
152,PRPF40A,-0.069,0.466
153,DEK,-0.135,0.241
154,MSH6,-0.232,0.249
155,NUP214,-0.079,0.49
156,FKBP2,0.144,0.453
157,GTF3C3,0.314,0.231
158,A0A590UJ49,-0.672,0.201
159,SRSF6,-0.022,0.825
160,DLG1,-0.039,0.75
161,SPCS1,-0.387,0.014
162,MDH1,-0.171,0.289
163,CTNND1,0.562,0.092
164,USP7,0.212,0.082
165,ILVBL,0.105,0.455
166,ACO2,0.057,0.613
167,STMN1,-0.101,0.357
168,PRNP,-0.241,0.316
169,MAP1LC3B;MAP1LC3B2,-0.259,0.196
170,HCFC1,0.221,0.083
171,SMCHD1,0.007,0.946
172,CNIH4,0.059,0.617
173,CD81,-0.027,0.815
174,CRYZ,-0.135,0.707
175,PRAF2,0.115,0.294
176,MANF,-0.11,0.387
177,SUMO2;SUMO3;SUMO4,0.057,0.668
178,RPL23A,0.132,0.284
179,MRPL23,0.078,0.622
180,SNRPG;SNRPGP15,0.024,0.816
181,SRRM1,0.091,0.373
182,TOM1,-0.005,0.979
183,EIF3L,-0.109,0.277
184,APOBEC3B,0.144,0.648
185,ARCN1,0.766,0.001
186,MPST,0.207,0.07
187,TSPO,-1.07,0.001
188,MCM5,0.202,0.279
189,PIGK,0.168,0.187
190,PISD,-0.763,0.197
191,MRPL43,0.34,0.122
192,PRPS1;PRPS2;PRPS1L1,-0.214,0.242
193,PABPC4,0.072,0.605
194,SOAT1,0.002,0.989
195,HNRNPC;HNRNPCL2,0.002,0.985
196,CS,0.106,0.319
197,SLC25A10,0.073,0.583
198,SEC61A1,-0.079,0.567
199,FXR1,-0.025,0.799
200,DERL1,0.056,0.594
201,PES1,-0.008,0.94
202,SEPT2,0.099,0.328
203,RFT1,0.049,0.833
204,RAN,0.036,0.766
205,SEPT10,0.03,0.811
206,DDX27,0.008,0.939
207,ACADM,0.24,0.754
208,GLS,0.035,0.856
209,LSM5,-0.298,0.023
210,MPP6,0.028,0.824
211,SUMO1,-0.017,0.869
212,PTMA,-0.101,0.451
213,HIBCH,0.021,0.884
214,IMP4,-0.185,0.55
215,IMMT,-0.037,0.685
216,SMARCD2,0.004,0.976
217,POLR1A,0.021,0.828
218,RBM12B,0.132,0.547
219,GFM1,0.885,0.179
220,PFN2,-0.2,0.383
221,EEF1E1;EEF1E1-BLOC1S5,-0.095,0.425
222,FAM136A,-0.017,0.912
223,CMSS1,0.01,0.933
224,NCAPH,-0.527,0.09
225,RPL37A,-0.064,0.536
226,ACOT9,0.013,0.907
227,RFC4,-0.3,0.47
228,SSR3,-0.422,0.1
229,HIGD1A,-0.296,0.296
230,CYCS,0.111,0.31
231,MRPS34,0.037,0.803
232,TFG,0.13,0.559
233,MTPN,0.182,0.17
234,COPS3,0.128,0.305
235,RPL24,-0.012,0.895
236,CRTAP,0.001,0.994
237,CCDC58,0.009,0.94
238,PPIH,-0.024,0.883
239,CHCHD3,-0.079,0.497
240,L2HGDH,0.212,0.239
241,RPL22L1,-0.168,0.412
242,EIF4G2,0.034,0.72
243,RPL32,-0.015,0.895
244,HLA-B,0.288,0.21
245,HNRNPAB,-0.017,0.899
246,MFSD10,-0.082,0.548
247,GFM2,0.534,0.438
248,RPL9,-0.015,0.871
249,EIF4E,0.026,0.783
250,HSD17B11,0.255,0.111
251,SEPT11,0.121,0.329
252,CYB5B,0.048,0.642
253,COX7A2,0.107,0.531
254,EXOSC9,-0.062,0.57
255,TCEB1,-0.081,0.487
256,RPL30,-0.06,0.627
257,SLC39A14,-0.707,0.006
258,RPL26;RPL26L1,0.077,0.519
259,NPC2,-0.142,0.412
260,RAB1A,0.091,0.409
261,RPL14,-0.011,0.909
262,SEPT7,-0.107,0.394
263,ACSL1,-0.187,0.219
264,NDUFV2,0.108,0.452
265,MRPS25,0.474,0.005
266,EZR,0.023,0.81
267,MRPL3,-0.464,0.48
268,PLOD2,-0.103,0.71
269,BZW2,0.091,0.363
270,EIF4G1,-0.028,0.797
271,MAP4,0.067,0.511
272,CSTF2,-0.028,0.782
273,EIF4B,-0.073,0.599
274,CALD1,0.128,0.456
275,NACA,-0.013,0.898
276,ZC3H11A,-0.098,0.719
277,RBBP7,0.16,0.31
278,SMC4,-0.085,0.618
279,MYO1B,0.047,0.72
280,MRPS17;hCG_1984214,0.453,0.009
281,FUBP1,0.075,0.459
282,NUP155,-0.044,0.74
283,GSTK1,-0.192,0.538
284,FAM98A,0.094,0.428
285,THY1,0.085,0.425
286,NXF1,-0.225,0.362
287,CLNS1A,-0.175,0.412
288,CRYAB,0.132,0.534
289,EEF1D,0.01,0.918
290,BCLAF1,0.115,0.253
291,PRMT1,-0.031,0.745
292,NDUFS8,-0.057,0.717
293,UBTF,0.114,0.422
294,CSTF3,-0.473,0.139
295,CD151,-0.065,0.583
296,FAR1,0.55,0.164
297,FTH1,0.073,0.53
298,RAE1,0.216,0.097
299,PFDN4,-0.355,0.198
300,FAU,0.013,0.888
301,FRG1,-0.13,0.227
302,PARVA,0.086,0.518
303,LSM8,0.131,0.293
304,PSMD5,-0.777,0.126
305,TMEM258,0.093,0.517
306,TMED2,0.116,0.286
307,DAD1,-0.018,0.925
308,SLC3A2,0.018,0.854
309,MLEC,0.473,0.092
310,PUS1,0.012,0.919
311,SEC23A,0.069,0.473
312,NAP1L1,-0.081,0.558
313,SCARB1,0.096,0.552
314,TUBA1C,0.009,0.963
315,GRSF1,0.037,0.76
316,CPSF7,0.146,0.239
317,MYO1C,0.109,0.386
318,ACTR2,-0.244,0.1
319,DDX19A;DDX19B,-0.897,0.229
320,DSTN,0.001,0.994
321,POLDIP3,0.053,0.629
322,RANBP1,0.031,0.861
323,CD63,-0.269,0.073
324,CAD,-0.015,0.933
325,LIMA1,-0.024,0.867
326,NDUFA12,0.101,0.341
327,COPZ1,-0.068,0.567
328,PPP1CC,0.081,0.417
329,AK2,-0.004,0.97
330,MYL6,0.015,0.926
331,HNRNPA1;HNRNPA1L2,-0.017,0.862
332,UBAP2L,0.075,0.597
333,RTN4,0.159,0.454
334,IGF2BP2,0.154,0.143
335,PNO1,0.038,0.823
336,ARPC4;ARPC4-TTLL3,0.074,0.545
337,NCBP2,-0.168,0.231
338,CPSF6,0.02,0.903
339,NDUFV1,0.008,0.94
340,CAPRIN1,-0.119,0.389
341,NUP160,0.332,0.038
342,API5,-0.119,0.274
343,LIN7C;LIN7A,-0.075,0.463
344,RPL18,0.109,0.325
345,PSMA6,-0.153,0.191
346,SRP54,-0.064,0.544
347,MRPS22,-0.069,0.614
348,CPSF3,0.103,0.359
349,CLPTM1L,0.084,0.56
350,MRPS27,-0.209,0.093
351,CELF1,0.016,0.907
352,SEC24C,-0.048,0.614
353,HNRNPH1,0.082,0.45
354,ZYX,0.304,0.42
355,DPM1,0.666,0.161
356,IMPDH2,0.052,0.749
357,UFM1,-0.084,0.401
358,MTCH1,0.134,0.253
359,HNRNPD,0.001,0.991
360,CLU,0.048,0.759
361,CD44,0.062,0.639
362,C8orf82,0.077,0.646
363,HADHA,0.01,0.919
364,SRSF9,-0.029,0.756
365,DHRS7,0.162,0.136
366,RPL28,0.083,0.422
367,TMOD3,0.074,0.443
368,PSMA4,0.034,0.736
369,RPS27L;RPS27,0.974,0.001
370,ANP32A,0.104,0.478
371,SEC11A,-0.073,0.469
372,SRPK1,-0.093,0.463
373,IFI16,-0.14,0.202
374,RNPS1,-0.007,0.958
375,SCAMP2,0.163,0.51
376,RPS15A,0.208,0.352
377,RPS17,0.043,0.682
378,HEXA,0.107,0.559
379,FUS,0.052,0.61
380,NDUFB10,0.115,0.423
381,GSPT1;GSPT2,-0.036,0.836
382,DHX30,0.084,0.431
383,PDIA3,0.08,0.494
384,SMPD4,0.002,0.987
385,EBNA1BP2,-0.127,0.386
386,GNS,-0.702,0.069
387,NSF,-0.145,0.209
388,EIF5A;EIF5AL1;EIF5A2,0.12,0.317
389,DPF2,0.178,0.111
390,TOR1AIP1,0.215,0.129
391,SRSF2,0.003,0.982
392,LUC7L3,-0.201,0.22
393,PHB2,0.063,0.627
394,OLA1,-0.151,0.236
395,PTRH2,-0.081,0.662
396,SUMF2,0.003,0.98
397,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.091,0.414
398,ZNF207,-0.801,0.104
399,NUP85,0.113,0.423
400,HN1,0.074,0.57
401,RPL38,-0.032,0.761
402,DDX5,0.045,0.755
403,RPL19,-0.033,0.8
404,ARHGDIA,-0.193,0.207
405,SRSF1,0.024,0.84
406,CHERP,0.096,0.557
407,SNRPB;SNRPN,0.006,0.954
408,MRPS23,0.01,0.911
409,MRPS7,-0.081,0.682
410,TMCO1,0.118,0.303
411,MYL12B;MYL12A;MYL9,0.121,0.339
412,BUB3,0.033,0.8
413,KATNAL2,0.032,0.74
414,LONP1,0.094,0.524
415,PSMD8,0.101,0.412
416,FAM210A,-0.149,0.361
417,H3F3A;H3F3B;H3F3C,0.004,0.97
418,DAZAP1,0.288,0.101
419,ACOT7,-0.112,0.34
420,PRKCSH,0.058,0.666
421,TMEM205,0.192,0.123
422,SEH1L,-0.31,0.026
423,PARK7,-0.07,0.755
424,RNMT,-0.041,0.798
425,MFSD12,0.372,0.302
426,EIF3K,-0.166,0.292
427,MRPL4,-0.042,0.713
428,PSME3,0.133,0.373
429,COPE,0.041,0.855
430,ETHE1,0.228,0.107
431,MYDGF,0.056,0.729
432,NUP62,-0.252,0.288
433,AP2S1,-0.024,0.859
434,HNRNPM,-0.047,0.711
435,RPS5,0.019,0.839
436,AXL,0.359,0.092
437,NAPA,-0.061,0.585
438,RPL18A,0.012,0.904
439,EMC8,-0.484,0.167
440,SNRPA,-0.138,0.203
441,EMC10,0.037,0.857
442,PAFAH1B3,0.098,0.663
443,AGPS,-0.011,0.926
444,DDX39A,0.004,0.978
445,SNAP23,-0.04,0.72
446,PSMD11,-0.012,0.9
447,PSMD12,0.046,0.64
448,PGRMC1,-0.013,0.926
449,SUPT5H,-0.249,0.077
450,CLIC1,0.009,0.952
451,EIF3F,-0.057,0.542
452,IPO5,-0.029,0.807
453,SAP18,0.14,0.54
454,DNM1L,-0.078,0.568
455,NDUFA4,0.037,0.794
456,PSMD14,0.026,0.816
457,MPHOSPH10,0.162,0.171
458,NOP56,0.027,0.787
459,PODXL,-0.086,0.515
460,KPNA4,-0.118,0.32
461,NDUFAB1,-0.114,0.638
462,ADAM10,-0.022,0.867
463,PDCD5,0.225,0.064
464,PRMT5,-0.213,0.157
465,TCERG1,0.874,0.172
466,PSMA7;PSMA8,0.134,0.402
467,MGST3,-0.168,0.194
468,TIMM23;TIMM23B,0.0,0.998
469,HAT1,-0.213,0.439
470,UQCRQ,0.067,0.658
471,XPO1,-0.072,0.531
472,U2SURP,-0.233,0.167
473,ARPC1B,0.254,0.216
474,ARPC2,-0.25,0.252
475,ARPC3,0.046,0.738
476,PGRMC2,0.28,0.301
477,PFDN6,0.011,0.912
478,ZNF185,0.147,0.248
479,MRPS12,0.004,0.978
480,SURF4,0.1,0.341
481,SPTLC1,-1.609,0.166
482,EIF3D,-0.019,0.845
483,P4HA2,0.385,0.255
484,MAGEB2,0.048,0.655
485,DHX15,0.067,0.563
486,PRPF4,0.041,0.798
487,PSMD3,-0.094,0.596
488,SART1,-0.048,0.687
489,HNRNPR,0.043,0.653
490,EPB41L2,-0.073,0.507
491,TIMM44,-0.003,0.978
492,PLRG1,-0.044,0.635
493,ASNA1,-0.024,0.968
494,ACTN4,0.012,0.917
495,NARS,0.211,0.3
496,NUDT21,-0.041,0.677
497,RRP9,0.246,0.136
498,CALU,0.077,0.52
499,TIMM8A,0.004,0.97
500,SMARCA5,0.067,0.477
501,AQR,-0.255,0.378
502,SYNCRIP,-0.035,0.79
503,PLOD3,0.066,0.749
504,PLIN3,0.008,0.934
505,UGDH,0.364,0.051
506,MAGEC1,-0.179,0.474
507,HIST1H2BL;HIST1H2BH;HIST1H2BN;HIST1H2BC;HIST1H2BD;HIST1H2BK;HIST2H2BF;HIST1H2BM;H2BFS;HIST1H2BA,-0.013,0.91
508,PQBP1,-0.373,0.256
509,DKC1,-0.053,0.565
510,EDF1,0.303,0.104
511,DNAJA2,-0.091,0.376
512,CUTA,0.059,0.661
513,WDR1,-0.044,0.643
