,Bait,Prey Gene,Saint Score,log2FC
0,WDR26,HSPA8,0.0,-4.321928094887363
1,WDR26,ATXN2L,0.0,-4.643856189774724
2,WDR26,CSDE1,0.0,-6.643856189774724
3,WDR26,TTN,0.05,1.0
4,WDR26,SERBP1,0.0,-6.643856189774724
5,WDR26,RAB11FIP5,0.0,-5.643856189774724
6,WDR26,EEF1A1,0.0,-3.0588936890535687
7,WDR26,PNN,0.0,-4.058893689053568
8,WDR26,TNS3,0.0,-4.321928094887363
9,WDR26,DPYSL2,0.0,-5.643856189774724
10,WDR26,PFN2,0.0,-0.8109661756099832
11,WDR26,FAM21A,0.0,-6.643856189774724
12,WDR26,TRIO,0.0,-4.643856189774724
13,WDR26,TJP1,0.0,-5.058893689053568
14,WDR26,TCP1,0.0,-3.1844245711374275
15,WDR26,SH3PXD2B,0.0,-5.643856189774724
16,WDR26,PRDX1,0.0,-2.1202942337177118
17,WDR26,CACNA1A,0.0,-1.5994620704162712
18,WDR26,SLC25A5,0.0,-2.1844245711374275
19,WDR26,UTRN,0.0,-5.643856189774724
20,WDR26,SEC16A,0.0,-3.0588936890535687
21,WDR26,NDRG2,0.0,0.0
22,WDR26,BAG3,0.0,-3.8365012677171206
23,WDR26,LGALS1,0.0,-1.0
24,WDR26,HN1,0.0,-3.0588936890535687
25,WDR26,KIAA1217,0.0,-5.643856189774724
26,WDR26,VARS,0.0,-5.058893689053568
27,WDR26,PEAK1,0.0,-5.058893689053568
28,WDR26,KANK2,0.0,-5.058893689053568
29,WDR26,PLIN3,0.0,-5.643856189774724
30,WDR26,ZYX,0.0,-6.643856189774724
31,WDR26,CIAPIN1,0.0,-4.643856189774724
32,WDR26,ARHGAP29,0.0,-4.643856189774724
33,WDR26,TWF1,0.0,-3.321928094887362
34,WDR26,TWF2,0.0,-3.0588936890535687
35,WDR26,EEF1D,0.0,-3.0588936890535687
36,WDR26,A0A222,0.0,-5.058893689053568
37,WDR26,RPL6,0.0,-4.058893689053568
38,WDR26,TACC1,0.0,-5.058893689053568
39,WDR26,DBN1,0.0,-5.643856189774724
40,WDR26,DLG5,0.0,-5.058893689053568
41,WDR26,METTL13,0.0,-1.0
42,WDR26,METTL14,0.0,-3.0588936890535687
43,WDR26,CEP112,0.0,0.0
44,WDR26,AKAP2,0.0,-6.643856189774724
45,WDR26,STIP1,0.0,-5.643856189774724
46,WDR26,AHSA1,0.0,-4.321928094887363
47,WDR26,DST,0.0,-6.643856189774724
48,WDR26,CAMSAP1,0.0,-5.058893689053568
49,WDR26,LIMD1,0.0,-4.321928094887363
50,WDR26,GEMIN5,0.0,-4.643856189774724
