,Gene Name,log2(Fold change),P-value
0,SERPINB6,-0.6957034745,0.0194753734459857
1,HDLBP,-0.3413297642,0.13151126230896
2,PSMA2,-0.1683666737,0.145500129431757
3,BAG6;BAT3,-0.1795489507,0.208820073489471
4,TAF15,-0.3135804878,0.052711464787792
5,TXNRD1,0.8682730159,0.00321449628699998
6,HMOX2,0.0618620546,0.736757475520358
7,EIF2B4,-0.9647401102,0.16897991661622
8,KHSRP,-0.0890881364,0.370211036292555
9,PYCR2,-0.4941700104,0.0120400554636001
10,HNRNPDL,-0.1578594879,0.317200032077781
11,POLA1,0.5303902402,0.0100709481133806
12,HNRNPDL,-0.0660985207,0.493913290264369
13,SLIRP,-0.2826477157,0.0384640312549016
14,EIF5B,0.1490543693,0.327610054402899
15,SPTBN1,-0.3200442465,0.0452560153499363
16,NAT10,0.2640170762,0.0540593718551309
17,MTHFD1L,0.3662704244,0.522400259576918
18,POLR2E,-0.4551472606,0.0283781151441718
19,POLD2,-0.4161317049,0.404443834595536
20,TPM3,-0.1053989471,0.289943482650455
21,RPL17;RPL17-C18orf32,0.3986055989,0.0402887937232522
22,ITGB6,0.0686995942,0.675638037881337
23,VTA1,0.0436714987,0.788228660964037
24,AP2M1,-0.2452358516,0.337524950844367
25,UBE2D3;UBE2D2,-0.7455886553,0.00303292364294132
26,UGP2,0.0487812406,0.622562525561761
27,PTGES3,-0.1722147152,0.119366955554537
28,EIF3H,-0.0529409601,0.674902076421528
29,OGFR,0.429739202,0.510792914401179
30,HYOU1,0.0646411601,0.649997241304935
31,ACOT1;ACOT2,-0.5847499902,0.0154963499751104
32,NOMO2;NOMO1;NOMO3,-0.4795848287,0.334970555098046
33,SEPT8,-0.0791185905,0.614244534695125
34,STAU1,0.1915071652,0.43672676640224
35,PSME2,-0.2617681052,0.0684184859007314
36,AP2B1,0.1393593966,0.411411345555302
37,BSG,-0.3666807126,0.0951640800767383
38,SRSF3,0.013192345,0.905321103007721
39,MRPL45,0.5699248715,0.241416993915313
40,DDX1,-0.0746382166,0.499718096211241
41,GPS1,-0.0002778983,0.998823480399416
42,PYCRL,-0.7303541539,0.00853373358275139
43,VDAC2,0.1407121977,0.221675185385858
44,GSTZ1,0.4706253003,0.121603559835287
45,HNRNPUL1,-0.890913123,0.042345244578417
46,EPB41L3,0.2465410274,0.336322066879409
47,SNX6,-0.1043767586,0.456379206922517
48,PCMT1,-0.0989475555,0.501662620622655
49,NOLC1,-0.1199428051,0.488837006059071
50,EIF4G3,-2.2481784888,0.130684339716865
51,HADH,-0.657937065,0.0607913532597108
52,PRDX1,8.4378e-05,0.999359905645012
53,PLS3,-0.1374544953,0.184191738928087
54,PITPNB,-0.1513465796,0.585316735265062
55,IVD,-0.8170615954,0.183807566051765
56,TTN,-0.4359432278,0.126742584137389
57,ADSL,0.1055998693,0.323796632533526
58,TMED7;TMED7-TICAM2,0.0326758602,0.746666937678032
59,NAA15,-0.0713676404,0.769276392025606
60,SRSF7,0.097621712,0.370257962147624
61,TCEB2,-0.1917559368,0.138569674019154
62,RPS15,0.0165017153,0.964767522358001
63,TPT1,0.7082244301,0.0321611853130806
64,SET;SETSIP,-0.4880543194,0.0200841079012527
65,RPSA,0.3909538984,0.0206722147921083
66,HTRA2,-0.2291438453,0.170372202681525
67,DDX46,0.0917449986,0.565597573989088
68,ECI2,-1.7254156843,0.0109090220068105
69,CHD4;CHD5,-0.1767622393,0.133129756665872
70,CAPNS1,-0.0381689116,0.738633119095561
71,DDOST,-0.1491616493,0.237097518184479
72,LAMTOR5,-0.3111893275,0.0409639523124507
73,TBL1XR1,-0.7892492411,0.00830514338784049
74,DDX3X;DDX3Y,-0.0086094265,0.933738718159772
75,SPTAN1,0.2343137271,0.395278197036914
76,DIAPH1,-0.2159952631,0.209659031176725
77,HSPA1A;HSPA1B,1.2162214708,0.000390210043936734
78,PSMB9,-1.0697201014,0.00408501774903902
79,GBA,-1.8290822674,0.000863400888123393
80,SSBP1,-0.5068417153,0.0535173394895498
81,PUF60,0.4810503606,0.0825630403626882
82,DOCK11,1.6886658,0.000285118795271868
83,MATR3,-0.3418419763,0.0163745015358648
84,HLA-A,-1.0058602494,0.000280580820946779
85,ALDH7A1,-0.3020334695,0.123579342244273
86,TJP2,-0.0605491887,0.709253769089944
87,CTSD,-0.669330602,0.00133551667718815
88,DPYSL2,-0.4815285552,0.166124730708646
89,MAPK15,-0.5923489602,0.036194255698388
90,SFXN3,-0.2599860767,0.0883856766152753
91,ME2,0.3585891135,0.0195219155542823
92,POLR2B,0.0304410444,0.782460780598921
93,TCEA1,-0.4238326559,0.0901106500235385
94,BCLAF1,-0.4630068761,0.0160245507120416
95,DDX17,-0.3622127394,0.143673338873152
96,GCSH,0.3204554503,0.120521368412913
97,PHGDH,-0.6953477491,0.0364577870430044
98,RRM2,-0.6872540961,0.376994711244463
99,PPT1,-0.6505207752,0.00208503189332825
100,CAMK2G;CAMK2B,-0.1663376663,0.348440634968434
101,CD9,-0.5445675743,0.0102587365561631
102,CTNNB1,0.0152484657,0.937035891632993
103,POLR1C,0.45931746,0.110559191287827
104,BCAP31,-0.4493479098,0.0110546503923257
105,TPM4,0.3809124677,0.0218226409387396
106,SUCLA2,-1.5814471289,0.109177602436989
107,RPS14,0.2689102603,0.0458639860972749
108,RPS24,0.4263557574,0.0077095159982642
109,PFKM,-0.192224326,0.0871665799471295
110,HSD17B4,-0.7033853397,0.0180897763014603
111,CSNK2A1;CSNK2A3,-0.1518706189,0.183044476134821
112,RPL15,0.2477761398,0.0514603778319086
113,SEC23B,0.0464291742,0.75861578256319
114,TPP1,-1.082458674,0.00114942791197123
115,EEF1A2,0.3404529819,0.171658102951383
116,CD59,0.0705076225,0.460990941470296
117,NDUFA6,-0.4673613845,0.320968273442456
118,MTHFD1,0.0020164672,0.982785401746106
119,CTPS1,0.8379191419,0.00433745812800687
120,MOGS,-0.0464056334,0.753583689381955
121,TCOF1,0.0962172449,0.562435020993816
122,COPA,-0.0496102389,0.79643228554622
123,NDUFA9,-0.8005925931,0.375848845654148
124,PPP1R12A,0.0626746832,0.682905037835994
