Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XWDR5B,HIST1H4A,HIST1H4A,0|4,4,2.0,2,6|6,0.0,0.0,0.0,0.0,0.0,-28.18,0.33,0.7,
XWDR5B,HSPA6,HSPA6,1|2,3,1.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-10.61,0.6,0.7,
XWDR5B,HSPA5,HSPA5,3|2,5,2.5,2,29|31,0.0,0.0,0.0,0.0,0.0,-126.47,0.08,0.7,
XWDR5B,HSPA4,HSPA4,1|1,2,1.0,2,16|21,0.0,0.0,0.0,0.0,0.0,-79.56,0.05,0.7,
XWDR5B,HSPA8,HSPA8,20|28,48,24.0,2,43|49,0.0,0.0,0.0,0.0,0.0,-144.67,0.52,0.7,
XWDR5B,SP1,SP1,0|1,1,0.5,2,2|4,0.0,0.0,0.0,0.0,0.0,-15.01,0.17,0.7,
XWDR5B,ATXN2L,ATXN2L,1|3,4,2.0,2,49|43,0.0,0.0,0.0,0.0,0.0,-201.94,0.04,0.7,
XWDR5B,XPO5,XPO5,1|0,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-6.51,0.5,0.7,
XWDR5B,CSDE1,CSDE1,15|11,26,13.0,2,47|52,0.0,0.0,0.0,0.0,0.0,-181.98,0.26,0.7,
XWDR5B,TIPRL,TIPRL,6|9,15,7.5,2,34|31,0.0,0.0,0.0,0.0,0.0,-123.85,0.23,0.7,
XWDR5B,FAM212B,FAM212B,1|0,1,0.5,2,4|2,0.0,0.0,0.0,0.0,0.0,-15.01,0.17,0.7,
XWDR5B,RPS6KA1,RPS6KA1,0|1,1,0.5,2,21|18,0.0,0.0,0.0,0.0,0.0,-88.36,0.03,0.7,
XWDR5B,SERBP1,SERBP1,5|4,9,4.5,2,37|51,0.0,0.0,0.0,0.0,0.0,-180.32,0.1,0.7,
XWDR5B,ARF3,ARF3,0|1,1,0.5,2,8|5,0.0,0.0,0.0,0.0,0.0,-30.42,0.08,0.7,
XWDR5B,RAB11FIP5,RAB11FIP5,2|1,3,1.5,2,39|27,0.0,0.0,0.0,0.0,0.0,-143.65,0.05,0.7,
XWDR5B,MPRIP,MPRIP,0|1,1,0.5,2,24|28,0.0,0.0,0.0,0.0,0.0,-117.46,0.02,0.7,
XWDR5B,EEF1A1,EEF1A1,18|15,33,16.5,2,33|48,0.0,0.0,0.0,0.0,0.0,-133.29,0.41,0.7,
XWDR5B,EEF1A2,EEF1A2,3|2,5,2.5,2,8|6,0.0,0.0,0.0,0.0,0.0,-26.59,0.36,0.7,
XWDR5B,MAGEA4,MAGEA4,1|1,2,1.0,2,9|6,0.0,0.0,0.0,0.0,0.0,-31.43,0.13,0.7,
XWDR5B,IRAK1,IRAK1,1|1,2,1.0,2,8|13,0.0,0.0,0.0,0.0,0.0,-44.43,0.1,0.7,
XWDR5B,GCHFR,GCHFR,1|0,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-4.91,1.0,0.7,
XWDR5B,RFX5,RFX5,1|0,1,0.5,2,3|4,0.0,0.0,0.0,0.0,0.0,-17.24,0.14,0.7,
XWDR5B,COPS5,COPS5,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-6.51,0.5,0.7,
XWDR5B,TNS1,TNS1,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-6.51,0.5,0.7,
XWDR5B,DPYSL4,DPYSL4,0|1,1,0.5,2,20|12,0.0,0.0,0.0,0.0,0.0,-72.46,0.03,0.7,
XWDR5B,DPYSL2,DPYSL2,5|3,8,4.0,2,48|44,0.0,0.0,0.0,0.0,0.0,-193.26,0.09,0.7,
XWDR5B,DPYSL3,DPYSL3,2|3,5,2.5,2,37|30,0.0,0.0,0.0,0.0,0.0,-141.95,0.07,0.7,
XWDR5B,NUDT5,NUDT5,1|0,1,0.5,2,16|20,0.0,0.0,0.0,0.0,0.0,-81.64,0.03,0.7,
XWDR5B,PFN2,PFN2,2|4,6,3.0,2,4|4,0.0,0.0,0.0,0.0,0.0,-14.48,0.75,0.7,
XWDR5B,DNAJB1,DNAJB1,1|1,2,1.0,2,15|15,0.0,0.0,0.0,0.0,0.0,-64.12,0.07,0.7,
XWDR5B,SSB,SSB,2|0,2,1.0,2,13|15,0.0,0.0,0.0,0.0,0.0,-63.76,0.07,0.7,
XWDR5B,ECD,ECD,0|4,4,2.0,2,17|19,0.0,0.0,0.0,0.0,0.0,-81.64,0.11,0.7,
XWDR5B,ETF1,ETF1,1|0,1,0.5,2,14|12,0.0,0.0,0.0,0.0,0.0,-59.3,0.04,0.7,
XWDR5B,SSX2IP,SSX2IP,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-4.91,1.0,0.7,
XWDR5B,YKT6,YKT6,1|2,3,1.5,2,20|23,0.0,0.0,0.0,0.0,0.0,-92.84,0.07,0.7,
XWDR5B,TJP1,TJP1,0|2,2,1.0,2,91|94,0.0,0.0,0.0,0.0,0.0,-416.08,0.01,0.7,
XWDR5B,TCP1,TCP1,47|38,85,42.5,2,15|14,0.59,1.0,0.59,1.0,0.59,-1.52,2.93,0.05,
XWDR5B,SH3PXD2B,SH3PXD2B,0|1,1,0.5,2,53|70,0.0,0.0,0.0,0.0,0.0,-276.46,0.01,0.7,
XWDR5B,PRDX6,PRDX6,1|0,1,0.5,2,11|12,0.0,0.0,0.0,0.0,0.0,-52.63,0.04,0.7,
XWDR5B,PRDX1,PRDX1,10|12,22,11.0,2,25|29,0.0,0.0,0.0,0.0,0.0,-89.97,0.41,0.7,
XWDR5B,GOLGA6L2,GOLGA6L2,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-4.91,1.0,0.7,
XWDR5B,CCT6A,CCT6A,3|6,9,4.5,2,4|4,0.0,0.0,0.0,0.0,0.0,-12.76,1.12,0.63,
XWDR5B,CROCC,CROCC,2|2,4,2.0,2,2|1,0.0,0.0,0.0,0.0,0.0,-5.4,1.33,0.6,
XWDR5B,LAMP1,LAMP1,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-6.51,0.5,0.7,
XWDR5B,TXNDC9,TXNDC9,1|1,2,1.0,2,4|2,0.0,0.0,0.0,0.0,0.0,-12.51,0.33,0.7,
XWDR5B,DCD,DCD,2|3,5,2.5,2,0|0,0.85,0.95,0.85,0.95,0.85,1.07,25.0,0.04,
XWDR5B,DLGAP5,DLGAP5,1|1,2,1.0,2,54|53,0.0,0.0,0.0,0.0,0.0,-235.47,0.02,0.7,
XWDR5B,EIF4ENIF1,EIF4ENIF1,2|1,3,1.5,2,23|18,0.0,0.0,0.0,0.0,0.0,-88.41,0.07,0.7,
XWDR5B,CUL2,CUL2,0|1,1,0.5,2,0|0,0.0,0.0,0.0,0.0,0.0,-3.47,5.0,0.7,
XWDR5B,SLC25A5,SLC25A5,1|2,3,1.5,2,17|20,0.0,0.0,0.0,0.0,0.0,-79.56,0.08,0.7,
XWDR5B,SEH1L,SEH1L,5|1,6,3.0,2,1|0,0.45,0.9,0.45,0.9,0.45,-3.3,6.0,0.19,
XWDR5B,GAPDH,GAPDH,1|0,1,0.5,2,4|5,0.0,0.0,0.0,0.0,0.0,-21.61,0.11,0.7,
XWDR5B,ABCF2,ABCF2,1|0,1,0.5,2,11|14,0.0,0.0,0.0,0.0,0.0,-57.08,0.04,0.7,
XWDR5B,PTPN2,PTPN2,0|1,1,0.5,2,4|5,0.0,0.0,0.0,0.0,0.0,-21.61,0.11,0.7,
XWDR5B,BAG3,BAG3,4|4,8,4.0,2,29|35,0.0,0.0,0.0,0.0,0.0,-128.04,0.12,0.7,
XWDR5B,MYO1B,MYO1B,0|1,1,0.5,2,14|16,0.0,0.0,0.0,0.0,0.0,-68.23,0.03,0.7,
XWDR5B,ADAMTS12,ADAMTS12,1|0,1,0.5,2,0|0,0.0,0.0,0.0,0.0,0.0,-3.47,5.0,0.7,
XWDR5B,RPS3,RPS3,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-6.51,0.5,0.7,
XWDR5B,RPS2,RPS2,0|1,1,0.5,2,4|4,0.0,0.0,0.0,0.0,0.0,-19.37,0.12,0.7,
XWDR5B,VDAC2,VDAC2,0|1,1,0.5,2,5|9,0.0,0.0,0.0,0.0,0.0,-32.64,0.07,0.7,
XWDR5B,CTPS1,CTPS1,6|11,17,8.5,2,33|39,0.0,0.0,0.0,0.0,0.0,-138.93,0.24,0.7,
XWDR5B,DSG2,DSG2,0|1,1,0.5,2,30|29,0.0,0.0,0.0,0.0,0.0,-133.15,0.02,0.7,
