,Gene Name,log2(Fold change),P-value
0,HDLBP,-0.141679041195733,0.518690544355033
1,PSMA2,-0.305471926345554,0.173546559926189
2,BAG6;BAT3,0.287503900197592,0.439611308550721
3,TXNRD1,-0.874616445251515,0.010694769570317
4,HMOX2,-0.716545766620705,0.330366460090425
5,EIF2B4,-0.154806743618646,0.715406540021825
6,KHSRP,-0.437953743765618,0.0805700405593336
7,PABPC1;PABPC3,1.78347090970206,0.00133167302563776
8,PYCR2,-0.052942159120434,0.924521614847342
9,HNRNPDL,0.594094894891036,0.0731518327936479
10,MINOS1;MINOS1-NBL1,-19.6089983979461,1.39353216708638e-07
11,POLA1,-0.0878370478687813,0.81678050324012
12,CTNNBL1,-1.11813756010283,0.0353058034340463
13,PIBF1,0.846074865907724,0.043896908021743
14,HNRNPDL,0.541375573679648,0.0967926395231356
15,SLIRP,0.111132719247362,0.646530095929754
16,EIF5B,-0.682208023152629,0.249066295856546
17,BSG,-1.43484915415431,0.0890591892715516
18,SPTBN1,-0.052254435431653,0.861732142580925
19,NAT10,-1.87325163088529,0.000885128702770599
20,MTHFD1L,-19.0736901289589,1.55703908964066e-07
21,SMTN,19.3624585295523,4.15865010285103e-06
22,POLR2E,-0.216927666501164,0.510834401517221
23,NOMO2;NOMO1;NOMO3,-1.00528588913132,0.0702501358464808
24,POLD2,0.554164807857358,0.318751655589364
25,HYOU1,-1.07520186527232,0.154617345010904
26,TRAPPC3,-1.41622414335526,0.0875671088790738
27,TPM3,0.138413204768831,0.648858748842616
28,SRP19,0.930857533458575,0.0181967064831053
29,TARDBP;TDP43,1.1168985528666,0.00692543757837978
30,RPL17;RPL17-C18orf32,0.711387155281056,0.0221772014898524
31,VTA1,-0.793125414537087,0.062472133112112
32,AP2M1,-1.28471352843253,0.00675477531083992
33,UBE2D3;UBE2D2,-0.243202987209543,0.504089241093919
34,UGP2,-0.676479630620666,0.110173479590737
35,PTGES3,0.0820409944883131,0.711161594724441
36,EIF3H,0.404675702074584,0.15509001727931
37,SBDS,-0.335473573048048,0.556401061402394
38,OGFR,0.195517326218958,0.773167748596294
39,SNX12,1.19259611695154,0.0520675144981907
40,ACOT1;ACOT2,-1.40917887755307,0.0156568329946362
41,SEPT8,-0.0708812182325325,0.973600153092866
42,RAB18,-1.85213603001501,0.258862761879205
43,STAU1,0.817244452208882,0.156428085387515
44,PSME2,-0.492632311808176,0.177194864356963
45,SRSF3,0.991667284014422,0.0120217234358036
46,MRPL45,0.269515358965979,0.460770192630389
47,DDX1,0.105470245266503,0.629210142027821
48,GPS1,0.0684353315099173,0.843631779085882
49,PYCRL,-0.106448994280893,0.66541080263976
50,WDR18,0.0759079048598323,0.800854990402303
51,VDAC2,0.187527434390649,0.636567182310422
52,GSTZ1,-1.31406550220582,0.0121972762187897
53,HNRNPUL1,-1.55763954617628,0.0793277275110592
54,EPB41L3,1.05790613411354,0.180438727735514
55,SNX6,-1.85755507473176,0.00604881973987656
56,PCMT1,-0.363443973700193,0.255777751316914
57,NOLC1,1.13816609547854,0.0645919715326545
58,ABI1,0.109758680312602,0.909794610445073
59,NOL6,-2.38727601440778,0.00037342679539084
60,HADH,1.21787168319294,0.0979689982571454
61,DDX42,1.22356938711681,0.0217196130248874
62,PLS3,0.851147914658203,0.0123942063835417
63,PITPNB,-0.183277664838776,0.630024949438423
64,IVD,-0.314007418264172,0.254222032529246
65,RBP1,0.353837649079569,0.225051409983714
66,ILK,0.968041820993886,0.0186321278770102
67,ADSL,-1.15115942075977,0.0145058826880902
68,LUC7L2,0.948005997489272,0.00656107604406475
69,NAA15,-0.732779254928495,0.0882668790890756
70,SRSF7,2.81590047996491,0.00086888661904705
71,TCEB2,0.184574471006176,0.394818535981937
72,TPT1,0.409485833561696,0.0951577665587881
73,PWP2,0.462905780033477,0.0877124038217016
74,SET;SETSIP,1.16876515989448,0.196732963035989
75,RPSA,0.238315672709774,0.293942096547333
76,HTRA2,-0.0234721361817343,0.949100103107326
77,DDX46,-0.375379468804166,0.168743314252925
78,APEX1,-1.45026047360154,0.00660734182978009
79,CAPNS1,0.333396063577904,0.209865714476457
80,DDOST,-0.834070347505911,0.0335873194443358
81,DDX3X;DDX3Y,0.804236045738296,0.0835529057784303
82,SPTAN1,1.31008513614653,0.0133536888821306
83,DNM2;DNM1;DNM3,-0.175008246806488,0.760120573088948
84,DIAPH1,-20.644653310142,4.26951014608596e-08
85,HSPA1A;HSPA1B,0.3811143365661,0.115450287788686
86,PSMB9,0.242826445861368,0.348833462841255
87,GBA,-20.3034207138589,6.84013423963643e-08
88,SSBP1,2.94288127371134,0.00203998829079978
89,PUF60,1.16915932623898,0.0575517299553663
90,MATR3,0.0750634039247764,0.712193546760681
91,TPM1,3.08976335501231,0.000338926259146203
92,PROCR,-0.617748329652624,0.137068050885243
93,PACSIN2,0.681049459312032,0.0246583854916397
94,GNL1,-1.25139476765995,0.00547001689619424
95,HLA-A,-2.47075919335832,0.000621243783232763
96,PSMB8;PSM8,-0.561901600631519,0.478363608713978
97,ALDH7A1,-0.572685836929384,0.122975557000933
98,TJP2,-2.69670137494117,0.000797660591606407
99,MAP2K2;MAP2K1,2.24436743868023,0.0276821165646632
100,CTSD,-0.148910209218684,0.676492566925414
101,DPYSL2,0.231562701754758,0.29945134629762
102,SFXN3,-2.48377398430723,0.000542381220280192
103,ME2,-0.43332261191912,0.217363492662078
104,POLR2B,-2.24341594403824,0.0184889788213976
105,TCEA1,-1.01006863335415,0.0582555898473844
