Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XWDR61,HIST1H4A,HIST1H4A,6|1,7,3.5,2,6|6,0.0,0.0,0.0,0.0,0.0,-25.11,0.58,0.65,
XWDR61,HSPA6,HSPA6,1|4,5,2.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-10.73,1.0,0.54,
XWDR61,HSPA5,HSPA5,3|3,6,3.0,2,29|31,0.0,0.0,0.0,0.0,0.0,-122.88,0.1,0.65,
XWDR61,HSPA4,HSPA4,1|0,1,0.5,2,16|19,0.0,0.0,0.0,0.0,0.0,-79.54,0.03,0.65,
XWDR61,HSPA8,HSPA8,20|31,51,25.5,2,43|49,0.0,0.0,0.0,0.0,0.0,-144.79,0.55,0.65,
XWDR61,TCOF1,TCOF1,1|0,1,0.5,2,3|3,0.0,0.0,0.0,0.0,0.0,-15.13,0.17,0.65,
XWDR61,SWAP70,SWAP70,1|2,3,1.5,2,33|40,0.0,0.0,0.0,0.0,0.0,-159.66,0.04,0.65,
XWDR61,CSDE1,CSDE1,8|8,16,8.0,2,48|50,0.0,0.0,0.0,0.0,0.0,-188.98,0.16,0.65,
XWDR61,TIPRL,TIPRL,8|1,9,4.5,2,29|30,0.0,0.0,0.0,0.0,0.0,-128.48,0.15,0.65,
XWDR61,RPS6KA1,RPS6KA1,0|1,1,0.5,2,21|18,0.0,0.0,0.0,0.0,0.0,-88.48,0.03,0.65,
XWDR61,PPID,PPID,1|2,3,1.5,2,3|6,0.0,0.0,0.0,0.0,0.0,-18.83,0.33,0.65,
XWDR61,SERBP1,SERBP1,3|3,6,3.0,2,37|51,0.0,0.0,0.0,0.0,0.0,-184.25,0.07,0.65,
XWDR61,ARF3,ARF3,0|1,1,0.5,2,7|5,0.0,0.0,0.0,0.0,0.0,-28.3,0.08,0.65,
XWDR61,PLRG1,PLRG1,0|1,1,0.5,2,12|15,0.0,0.0,0.0,0.0,0.0,-61.67,0.04,0.65,
XWDR61,RAB11FIP5,RAB11FIP5,1|0,1,0.5,2,38|22,0.0,0.0,0.0,0.0,0.0,-134.89,0.02,0.65,
XWDR61,EEF1A1,EEF1A1,20|19,39,19.5,2,37|49,0.0,0.0,0.0,0.0,0.0,-134.7,0.45,0.65,
XWDR61,EEF1A2,EEF1A2,4|1,5,2.5,2,9|7,0.0,0.0,0.0,0.0,0.0,-33.68,0.31,0.65,
