Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XWDTC1,HIST1H4A,HIST1H4A,6|5,11,5.5,2,7|7,0.0,0.0,0.0,0.0,0.0,-19.77,0.79,0.64,
XWDTC1,HSPA5,HSPA5,16|18,34,17.0,2,29|32,0.0,0.0,0.0,0.0,0.0,-90.17,0.56,0.64,
XWDTC1,HSPA4,HSPA4,10|14,24,12.0,2,22|22,0.0,0.0,0.0,0.0,0.0,-68.79,0.55,0.64,
XWDTC1,HSPA8,HSPA8,79|67,146,73.0,2,45|53,0.0,0.0,0.0,0.0,0.0,-78.23,1.49,0.62,
XWDTC1,SSFA2,SSFA2,0|1,1,0.5,2,9|12,0.0,0.0,0.0,0.0,0.0,-47.36,0.05,0.64,
XWDTC1,COPRS,COPRS,0|1,1,0.5,2,2|4,0.0,0.0,0.0,0.0,0.0,-14.2,0.17,0.64,
XWDTC1,ZC3H15,ZC3H15,1|2,3,1.5,2,14|11,0.0,0.0,0.0,0.0,0.0,-52.35,0.12,0.64,
XWDTC1,ZC3H14,ZC3H14,1|1,2,1.0,2,21|31,0.0,0.0,0.0,0.0,0.0,-111.76,0.04,0.64,
XWDTC1,ABCD3,ABCD3,0|1,1,0.5,2,17|20,0.0,0.0,0.0,0.0,0.0,-83.08,0.03,0.64,
XWDTC1,DHX9,DHX9,4|3,7,3.5,2,65|59,0.0,0.0,0.0,0.0,0.0,-263.41,0.06,0.64,
XWDTC1,TCOF1,TCOF1,1|1,2,1.0,2,2|3,0.0,0.0,0.0,0.0,0.0,-9.8,0.4,0.64,
XWDTC1,NUP98,NUP98,0|1,1,0.5,2,35|39,0.0,0.0,0.0,0.0,0.0,-165.97,0.01,0.64,
XWDTC1,PPP2R2A,PPP2R2A,0|2,2,1.0,2,0|0,0.43,0.87,0.43,0.87,0.43,-2.66,10.0,0.11,
XWDTC1,ANKRD20A12P,ANKRD20A12P,3|1,4,2.0,2,1|3,0.0,0.01,0.0,0.01,0.0,-7.79,1.0,0.47,
XWDTC1,ATXN2L,ATXN2L,7|6,13,6.5,2,48|45,0.0,0.0,0.0,0.0,0.0,-183.72,0.14,0.64,
XWDTC1,ATP2A2,ATP2A2,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-4.1,1.0,0.64,
XWDTC1,ALDH3A2,ALDH3A2,1|6,7,3.5,2,6|6,0.0,0.0,0.0,0.0,0.0,-24.17,0.58,0.64,
XWDTC1,KIAA1279,KIAA1279,9|9,18,9.0,2,1|0,1.0,1.0,1.0,1.0,1.0,8.81,18.0,0.0,
XWDTC1,GTF3C1,GTF3C1,0|2,2,1.0,2,27|21,0.0,0.0,0.0,0.0,0.0,-107.69,0.04,0.64,
XWDTC1,EDC4,EDC4,0|1,1,0.5,2,46|47,0.0,0.0,0.0,0.0,0.0,-208.61,0.01,0.64,
XWDTC1,DENND4C,DENND4C,4|8,12,6.0,2,28|28,0.0,0.0,0.0,0.0,0.0,-109.83,0.21,0.64,
XWDTC1,SWAP70,SWAP70,8|14,22,11.0,2,33|41,0.0,0.0,0.0,0.0,0.0,-136.42,0.3,0.64,
XWDTC1,XPO5,XPO5,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-5.7,0.5,0.64,
XWDTC1,CSDE1,CSDE1,25|32,57,28.5,2,50|52,0.0,0.0,0.0,0.0,0.0,-153.16,0.56,0.64,
XWDTC1,SEMA4D,SEMA4D,2|2,4,2.0,2,1|0,0.24,0.24,0.24,0.24,0.24,-1.17,4.0,0.25,
XWDTC1,TIPRL,TIPRL,27|29,56,28.0,2,30|31,0.0,0.0,0.0,0.0,0.0,-70.69,0.92,0.64,
XWDTC1,TTN,TTN,0|2,2,1.0,2,1|1,0.03,0.06,0.03,0.06,0.03,-5.7,1.0,0.4,
XWDTC1,EPS15L1,EPS15L1,6|9,15,7.5,2,37|38,0.0,0.0,0.0,0.0,0.0,-144.61,0.2,0.64,
XWDTC1,ANAPC1,ANAPC1,1|0,1,0.5,2,8|16,0.0,0.0,0.0,0.0,0.0,-53.64,0.04,0.64,
XWDTC1,GART,GART,2|7,9,4.5,2,18|15,0.0,0.0,0.0,0.0,0.0,-66.41,0.27,0.64,
XWDTC1,ANAPC4,ANAPC4,0|1,1,0.5,2,12|14,0.0,0.0,0.0,0.0,0.0,-58.49,0.04,0.64,
XWDTC1,RPS6KA1,RPS6KA1,2|4,6,3.0,2,21|20,0.0,0.0,0.0,0.0,0.0,-83.87,0.15,0.64,
XWDTC1,SH3D19,SH3D19,0|1,1,0.5,2,12|14,0.0,0.0,0.0,0.0,0.0,-58.49,0.04,0.64,
XWDTC1,HLCS,HLCS,7|12,19,9.5,2,6|7,0.0,0.0,0.0,0.0,0.0,-14.97,1.46,0.53,
XWDTC1,KIAA1211,KIAA1211,2|2,4,2.0,2,28|27,0.0,0.0,0.0,0.0,0.0,-114.63,0.07,0.64,
XWDTC1,SERBP1,SERBP1,7|14,21,10.5,2,37|50,0.0,0.0,0.0,0.0,0.0,-167.19,0.24,0.64,
XWDTC1,VAPB,VAPB,1|2,3,1.5,2,7|9,0.0,0.0,0.0,0.0,0.0,-32.75,0.19,0.64,
