,Bait,Prey Gene,Saint Score,log2FC
0,WDTC1,HIST1H4A,0.0,-0.34
1,WDTC1,HSPA5,0.0,-0.837
2,WDTC1,HSPA4,0.0,-0.862
3,WDTC1,HSPA8,0.0,0.575
4,WDTC1,SSFA2,0.0,-4.322
5,WDTC1,COPRS,0.0,-2.556
6,WDTC1,ZC3H15,0.0,-3.059
7,WDTC1,ZC3H14,0.0,-4.644
8,WDTC1,ABCD3,0.0,-5.059
9,WDTC1,DHX9,0.0,-4.059
10,WDTC1,TCOF1,0.0,-1.322
11,WDTC1,NUP98,0.0,-6.644
12,WDTC1,PPP2R2A,0.43,3.322
13,WDTC1,ANKRD20A12P,0.0,0.0
14,WDTC1,ATXN2L,0.0,-2.837
15,WDTC1,ATP2A2,0.0,0.0
16,WDTC1,ALDH3A2,0.0,-0.786
17,WDTC1,KIAA1279,1.0,4.17
18,WDTC1,GTF3C1,0.0,-4.644
19,WDTC1,EDC4,0.0,-6.644
20,WDTC1,DENND4C,0.0,-2.252
21,WDTC1,SWAP70,0.0,-1.737
22,WDTC1,XPO5,0.0,-1.0
23,WDTC1,CSDE1,0.0,-0.837
24,WDTC1,SEMA4D,0.24,2.0
25,WDTC1,TIPRL,0.0,-0.12
26,WDTC1,TTN,0.03,0.0
27,WDTC1,EPS15L1,0.0,-2.322
28,WDTC1,ANAPC1,0.0,-4.644
29,WDTC1,GART,0.0,-1.889
30,WDTC1,ANAPC4,0.0,-4.644
31,WDTC1,RPS6KA1,0.0,-2.737
32,WDTC1,SH3D19,0.0,-4.644
33,WDTC1,HLCS,0.0,0.546
34,WDTC1,KIAA1211,0.0,-3.837
35,WDTC1,SERBP1,0.0,-2.059
36,WDTC1,VAPB,0.0,-2.396
37,WDTC1,AFTPH,0.0,-4.059
38,WDTC1,SHROOM2,0.0,-1.599
39,WDTC1,ARF3,0.0,-2.12
40,WDTC1,PLRG1,0.0,-3.837
41,WDTC1,CALB2,0.0,-3.059
42,WDTC1,RGPD8,0.0,0.0
43,WDTC1,RAB11FIP1,0.0,-4.644
44,WDTC1,RAB11FIP5,0.0,-3.184
45,WDTC1,MPRIP,0.0,-4.644
46,WDTC1,IPO11,0.0,-2.0
47,WDTC1,LARP1,0.0,-0.556
48,WDTC1,EEF1A1,0.0,-0.515
49,WDTC1,EEF1A2,0.0,-1.089
50,WDTC1,MAGEA4,0.0,-1.786
51,WDTC1,KIF4B,0.0,0.0
52,WDTC1,IRAK1,0.0,-1.0
53,WDTC1,FGFR1OP,0.0,-3.322
54,WDTC1,SNW1,0.0,-5.059
55,WDTC1,PNN,0.0,-1.474
56,WDTC1,RPN1,0.0,-4.644
57,WDTC1,PPP2R3A,0.0,-1.474
58,WDTC1,PCF11,0.0,-5.059
59,WDTC1,SYNJ1,0.0,-2.737
60,WDTC1,RELA,0.0,-3.837
61,WDTC1,PIP4K2C,0.0,-3.644
62,WDTC1,THOC2,0.0,-5.644
63,WDTC1,APC,0.0,-0.152
64,WDTC1,MAVS,0.0,-2.943
65,WDTC1,PAK2,0.0,-2.059
66,WDTC1,NUP88,0.0,-0.737
67,WDTC1,COPS8,0.0,0.0
68,WDTC1,COPS3,0.04,0.585
69,WDTC1,COPS5,1.0,5.0
70,WDTC1,YTHDF2,0.0,-4.059
71,WDTC1,YTHDF1,0.0,-4.322
72,WDTC1,CEP97,0.0,-2.837
73,WDTC1,FAM135A,0.0,-2.322
74,WDTC1,DPYSL4,0.0,0.176
75,WDTC1,DPYSL2,0.0,-0.556
76,WDTC1,DPYSL3,0.0,-1.474
77,WDTC1,NUDT2,0.0,-3.474
78,WDTC1,NUDT5,0.0,-1.396
79,WDTC1,ARGLU1,0.43,3.907
80,WDTC1,PHLDB1,0.0,-0.322
81,WDTC1,EPS8L2,0.0,-1.943
82,WDTC1,LARS,0.0,-2.252
83,WDTC1,PPP5C,1.0,7.276
84,WDTC1,DNAJB1,0.0,-0.286
85,WDTC1,AMPD2,0.0,-4.644
86,WDTC1,PRKAR2A,0.0,-5.059
87,WDTC1,TMSB10,0.18,1.22
88,WDTC1,ECD,0.0,-3.184
89,WDTC1,NME2,0.0,-1.396
90,WDTC1,TPM3,0.0,-1.474
91,WDTC1,SNRPA1,0.0,-3.184
92,WDTC1,ETF1,0.0,-2.396
93,WDTC1,FAM21C,0.0,-2.322
94,WDTC1,FAM21A,0.0,-1.599
95,WDTC1,PHACTR4,0.0,-4.322
96,WDTC1,TRIO,0.0,-1.474
97,WDTC1,CELSR3,0.49,3.907
98,WDTC1,YKT6,0.0,-2.737
99,WDTC1,TJP1,0.0,-1.12
100,WDTC1,TCP1,1.0,2.578
101,WDTC1,SH3PXD2B,0.0,-1.218
102,WDTC1,MAD2L2,1.0,5.492
103,WDTC1,SVIL,0.0,-3.322
104,WDTC1,KTN1,0.0,-0.889
105,WDTC1,PRDX6,0.0,-1.943
106,WDTC1,TCEB1,0.0,-2.474
107,WDTC1,PRDX3,0.0,-0.322
108,WDTC1,PRDX1,0.0,0.124
109,WDTC1,SMARCA4,0.0,-2.0
110,WDTC1,CSTB,0.0,-1.0
111,WDTC1,CCT6A,1.0,2.503
112,WDTC1,VCL,0.0,-4.644
113,WDTC1,CROCC,0.01,0.0
114,WDTC1,VCP,0.0,-0.322
115,WDTC1,APOB,0.43,3.907
116,WDTC1,VASP,0.0,-2.556
117,WDTC1,WIBG,0.0,-1.322
118,WDTC1,ARHGAP35,0.0,-3.837
119,WDTC1,TARS,0.0,-2.396
120,WDTC1,TUFM,0.0,0.0
121,WDTC1,CDR2L,0.0,-2.556
122,WDTC1,TXNDC9,0.0,-1.786
123,WDTC1,SLK,0.0,-1.252
124,WDTC1,CALM2,0.0,0.322
125,WDTC1,SPG20,0.0,-3.184
126,WDTC1,DNMT1,0.0,-2.837
127,WDTC1,CACNA1D,0.0,-2.837
128,WDTC1,NANS,0.91,3.322
129,WDTC1,DLGAP5,0.0,-3.322
130,WDTC1,EIF4ENIF1,0.0,-1.059
131,WDTC1,PRMT9,0.0,-3.059
132,WDTC1,SLC25A3,0.0,-0.415
133,WDTC1,TRIM25,0.0,-1.0
134,WDTC1,PRMT7,0.0,-1.252
135,WDTC1,SLC25A5,0.0,0.029
136,WDTC1,BRD4,0.0,-6.644
137,WDTC1,KIF1B,0.0,-3.322
138,WDTC1,PTPN12,0.0,-1.69
139,WDTC1,PTPN11,0.0,-2.059
140,WDTC1,ARCN1,0.0,-3.837
141,WDTC1,UTRN,0.0,-1.889
142,WDTC1,DMD,0.0,0.0
143,WDTC1,GAPDH,0.62,1.7
144,WDTC1,SEC16A,0.26,1.664
145,WDTC1,ARHGAP1,0.0,-2.322
146,WDTC1,SRSF7,0.93,5.129
147,WDTC1,ABCF3,0.0,-1.943
148,WDTC1,ABCF1,0.0,-3.322
149,WDTC1,USP47,0.0,-3.644
150,WDTC1,RAPH1,0.0,-1.0
151,WDTC1,PRKAB1,0.0,-1.599
152,WDTC1,KPRP,0.92,4.644
153,WDTC1,PTPN1,0.0,-4.059
154,WDTC1,ECM29,0.0,-1.0
155,WDTC1,LRCH2,0.0,-2.322
156,WDTC1,BAG2,0.0,-1.786
157,WDTC1,BAG3,0.0,-1.218
158,WDTC1,MYO1E,0.0,-3.322
159,WDTC1,MYO1B,0.0,-5.059
160,WDTC1,MSRB3,1.0,2.755
161,WDTC1,RPS6,0.0,-0.184
162,WDTC1,RPS3,0.0,-1.0
163,WDTC1,RPS2,0.0,-2.0
164,WDTC1,VDAC3,0.27,1.807
165,WDTC1,VDAC2,0.0,-0.286
166,WDTC1,VDAC1,0.6,2.807
167,WDTC1,CHMP5,0.0,-0.152
168,WDTC1,RPS8,0.0,0.506
169,WDTC1,CTPS1,0.0,-3.322
170,WDTC1,GARS,0.0,-0.737
171,WDTC1,DSG2,0.0,-5.059
172,WDTC1,SYNRG,0.0,-3.644
173,WDTC1,SH3BP5L,0.0,-2.184
174,WDTC1,SF3B3,0.0,-0.737
175,WDTC1,LGALS1,0.82,2.585
176,WDTC1,CFAP36,0.0,-1.0
177,WDTC1,FSCN1,1.0,6.022
178,WDTC1,NRBF2,0.0,-1.943
179,WDTC1,CYP4F22,0.43,3.907
180,WDTC1,HN1,0.0,-0.943
181,WDTC1,WAPAL,0.0,-6.644
182,WDTC1,RFPL4A,0.0,3.322
183,WDTC1,KIAA1217,0.0,0.0
184,WDTC1,ASAP1,0.0,-3.184
185,WDTC1,VARS,0.0,-3.837
186,WDTC1,SMCR8,0.0,-3.474
187,WDTC1,KIAA1524,0.0,-0.252
188,WDTC1,PSMD12,0.0,-3.059
189,WDTC1,AP3B1,0.0,-2.644
190,WDTC1,RPL29,0.0,0.0
191,WDTC1,RPL24,0.0,-1.152
192,WDTC1,RPL27,0.0,-2.837
193,WDTC1,NAP1L4,0.0,-1.644
194,WDTC1,ATG3,0.0,-1.396
195,WDTC1,PEAK1,0.0,-2.943
196,WDTC1,TAGLN,0.0,-1.515
197,WDTC1,PPP1CB,0.0,-3.474
198,WDTC1,SRRM1,0.09,1.0
199,WDTC1,SRRM2,0.99,5.129
200,WDTC1,KANK2,0.0,-0.971
201,WDTC1,ATG16L1,0.92,4.644
202,WDTC1,PUF60,0.0,-3.644
203,WDTC1,PLIN3,0.0,-0.644
204,WDTC1,ZYX,0.0,-1.434
205,WDTC1,SMAP1,0.0,-0.105
206,WDTC1,CIAPIN1,0.0,-1.599
207,WDTC1,HSP90AB1,1.0,1.895
208,WDTC1,ARHGAP21,0.0,-1.218
209,WDTC1,DVL1,0.43,3.322
210,WDTC1,ARHGAP29,0.0,-1.358
211,WDTC1,URI1,0.24,1.263
212,WDTC1,ZSCAN21,0.0,-0.811
213,WDTC1,EPHB3,0.43,3.907
214,WDTC1,UBR2,0.0,0.485
215,WDTC1,UBR1,0.12,1.0
216,WDTC1,ATG2B,0.0,-0.599
217,WDTC1,UBR5,0.0,-1.0
218,WDTC1,TWF1,0.0,-2.556
219,WDTC1,WDR55,0.0,-1.599
220,WDTC1,TWF2,0.0,-1.737
221,WDTC1,EIF4G2,0.0,-0.971
222,WDTC1,EEF1D,0.0,-1.059
223,WDTC1,EEF1G,0.0,-1.786
224,WDTC1,RASSF8,0.0,-1.322
225,WDTC1,RPL8,0.05,1.0
226,WDTC1,PCM1,0.0,-2.737
227,WDTC1,RPL4,0.0,-2.737
228,WDTC1,RASSF2,0.03,0.585
229,WDTC1,RASSF5,0.43,3.907
230,WDTC1,RPL3,0.0,1.0
231,WDTC1,CHD4,0.0,-4.322
232,WDTC1,CHD7,0.0,-5.644
233,WDTC1,CAP1,0.0,-2.252
