ID,Intensity_L_5_Pulse_SILAC_DCAF9_24H_N1,Intensity_L_5_Pulse_SILAC_DCAF9_24H_N2,Intensity_L_5_Pulse_SILAC_DCAF9_24H_N3,Intensity_L_5_Pulse_SILAC_DCAF9_24H_N4,Intensity_L__Pulse_SILAC_BirA_JR_24H_N1,Intensity_L_5_Pulse_SILAC_BirA_JR_24H_N2,Intensity_L_5_Pulse_SILAC_BirA_JR_24H_N3,Intensity_L_5_Pulse_SILAC_BirA_JR_24H_N4
protein_1,24.368135457035,24.8213649533605,24.6527252910533,24.2345020265864,24.3534668090277,24.2787698471062,24.9119814130553,23.6076166275943
protein_2,26.663834158657,24.9578848643527,26.4016244342264,26.2136585713465,27.2011174317866,27.4155625198389,25.9980799249068,26.0282225481825
protein_3,28.6283229178171,28.9907814182603,28.1868740022198,28.5669545036122,29.5644336235664,29.2618900022806,28.4811672776107,27.9817925476614
protein_4,26.7931199008793,25.3104716727853,25.6089715703713,24.8401215706734,26.4459174888984,26.2484122942703,26.8103655274104,26.7910852025852
protein_10,29.6652642215935,29.2344511240749,29.5087567286252,29.7681448138353,30.2189258329901,31.0059740411307,30.2819058853457,29.2774849164187
protein_11,24.6925622767557,23.1120056756692,23.725015436152,24.3875994016375,25.2287884628232,26.339810471673,24.4281369222552,24.650655790606
protein_12,27.2583353308751,27.6377248999819,28.3981409382207,28.0057699819745,27.7346843256956,27.991273102594,27.7204566633467,28.1789773822294
protein_14,26.6533034911649,24.9664123922337,25.2884648833664,25.8530634436665,26.088123941454,25.8664406888361,26.5202900241509,25.6608333739243
protein_18,30.0606639398384,30.1080252962896,30.2617929885917,30.1369525952882,30.269494902293,30.1317726701839,30.1533730977655,30.1555387908009
protein_19,24.8867306686963,25.8034071647419,25.2639019720071,25.806926821866,24.0920762953834,24.763223669978,24.818551562657,24.9481992052337
protein_22,25.3957584531674,24.4660861679764,24.342900139046,24.026521308454,23.7626778307626,24.5486806315331,25.3140263689988,25.7957136076843
protein_24,25.6957939000546,24.146285157943,24.6248654865923,24.7661243106605,24.3656231653891,24.2481869310196,25.1757871892027,23.6773189068821
protein_25,26.1620808056125,24.8425905487749,24.93035780796,25.1763043583111,27.2457630776265,26.7672285963234,26.9579253490344,25.686275501824
protein_26,25.0105578403133,25.3980949029771,25.5694847726849,25.6682507652317,26.4589057764444,25.0322463456293,25.562978248027,25.7356086240337
protein_30,30.0676201835135,30.319987597805,30.9645501034898,30.4616553050488,30.0927836840231,30.4013908849866,30.2920396642761,30.6933640519187
protein_31,28.017666016863,28.6101782884742,29.1319681054994,28.5986343501563,28.9872130795983,28.5620107925384,28.8427280199352,29.3032416411948
protein_32,27.1686835404367,26.5080431792047,27.2059828251675,26.9691611533694,25.6297827114341,25.8952849600332,25.1281203752914,24.3926047922865
protein_34,27.9170983582604,27.6992337155508,27.7331583754072,27.3537636110201,27.9206619977678,27.8517675866187,27.9168236084449,27.2025550627747
protein_36,25.5408832948029,25.7751639942133,25.7608518903742,26.2331810641386,25.8932458902341,25.6368568562532,25.7467801744161,25.0611675559465
protein_37,25.3302700116792,24.3734520845998,24.5861059957028,24.4867896022363,25.1022829094289,24.5728941910147,24.5126431100821,23.5268921603177
protein_38,28.471447959076,28.4186851041005,28.4087802584157,28.0295544655965,27.9023328090485,27.9919942938714,27.5472742430637,28.2482058542289
protein_41,33.3968298652398,33.3892925276966,33.5440386690165,33.6476556611431,33.3639138746062,33.4474702278782,33.3756187077596,33.0652319380128
protein_44,24.8821465226305,25.1279239912844,25.4505887641336,25.222739026515,23.5971610692746,23.4147165671796,23.3874384556186,24.6488759258388
protein_47,25.8667820725244,24.9622681213846,26.9520884699621,26.7160930062773,24.8637544974446,26.0690199479842,25.5737630011326,26.5881845946661
protein_49,30.8808853761921,31.338237304382,30.7369382949564,31.0986914682679,31.1283049165747,31.2283749631347,30.9796478818713,30.0577801409999
protein_51,25.5126469044135,26.1115975005241,25.5426633332077,25.6240732364811,26.0822622684013,24.6015046774374,26.0276054173747,26.1334900109872
protein_52,30.2650002255946,30.5720555215361,30.3585874011623,30.4807556949068,30.9017013305206,30.6084629210277,30.2669591046082,30.4622996034586
protein_53,24.2343083302718,25.4123054807603,25.1433982877895,25.3144178016927,24.4682240341272,23.8889798429162,24.9821957162346,25.5323833937464
protein_59,26.8127817051721,26.6811465435174,26.6528566780613,26.9974473964485,26.0240945193218,26.0518205735983,26.3714644335182,26.5192445736509
protein_63,25.9612860890122,24.1933337307474,24.8305279971556,23.080577133149,23.4333280245275,24.0958595159361,26.0686681988091,24.0658654183873
protein_66,26.5712651668821,25.2710519798656,26.4017026184855,26.8393167286666,26.1005804336297,26.4611377240287,26.3769794766177,25.1445743480576
protein_67,26.4901006659779,26.1965767897049,26.5236783515725,26.8730632388606,27.8815416272726,27.3442303441888,27.617273486446,25.6228472912175
protein_68,29.3994637472659,29.7282278152338,29.3970138518048,29.5731612896714,29.3279475644913,29.7442124773867,29.2069604633128,29.1744198084609
protein_69,27.2409857948202,27.3462285892419,27.4178928632215,27.3377618998835,27.0814090845669,26.8564217868425,27.3660572175046,26.7704564754341
protein_73,25.5654562643688,25.0884842573001,24.4815876798024,24.4906541819211,25.2766702864072,24.8001922091811,24.9074863156345,24.3491388626147
protein_74,29.0661955309489,29.5235636074066,29.5476093014071,29.7725741986631,29.4459363209476,29.5615898088084,29.4548775540114,29.1558167642903
protein_77,25.202433886031,23.9833920710203,23.7551906794276,23.4655600976296,24.255577778148,23.9017263978224,23.7256633364522,23.6835018147948
protein_80,23.0254521956831,24.8754182518998,25.3836868888688,23.6848261340223,26.485445853085,21.8368709245159,23.3019948886516,25.2397350262125
protein_82,29.3777189858666,29.3439498782377,29.5466815658291,29.1358123343192,29.0357930886448,29.4973137176253,28.8656942908702,29.7870282323373
protein_83,26.3044627345875,25.8970929886179,25.8572126976781,25.5694309068784,26.0886065159476,26.4096730810158,25.3638628077677,25.3460269394205
protein_84,27.2288511751966,25.4072700840014,26.5984025776297,26.6473232241044,26.4637649962726,26.8803014223557,26.8079936874639,25.5841343953744
protein_85,26.5182288364101,23.4499031199591,23.5151035087647,26.0706229811102,27.0521162697933,26.6132519286309,26.5453390381579,27.2676975760681
protein_89,26.0371784225983,26.1408282118478,24.5109491162372,24.7844086597301,25.5930582169586,26.6984336424866,25.5256119204729,26.610067905851
protein_91,29.4667536898422,29.1702462290471,29.0704087524207,29.7515697182968,29.0295737011423,28.7960631594449,28.6830755448417,27.8950849508876
protein_92,28.1820321653856,28.8647502303011,29.0471684620559,28.820120555985,28.4926107243464,28.5052834958494,28.2495853994525,28.4956243414638
protein_93,27.0082307307072,25.5162387214036,25.4289635430884,25.3658467574575,26.6654661416499,26.773506067167,25.3811211143192,25.0168934978892
protein_94,29.3289412281572,29.0228812439485,28.9542756247627,29.4430000062644,29.5338588095211,29.1096809191833,29.5454814210883,28.6184607163156
protein_95,26.3470239082455,24.8260995989048,24.8849946113681,24.5845021121095,26.4617994308158,24.7922645674313,24.7955202473008,24.9389725948886
protein_96,27.4973448771602,27.1483593668877,27.4798223989315,26.0671763872384,26.9728815971173,25.7943167184767,27.687340244176,28.0227686618136
protein_97,26.5853334400409,26.6241008092385,26.6700631119815,26.3656275661839,26.0736491380966,26.4572434325342,26.2931763326409,26.1007040873893
protein_99,27.5054580231935,26.6280779009017,24.6318143831432,26.5110129622779,25.573663843414,26.9850559301578,27.2542621129239,26.3442511277051
protein_101,24.0866151619126,24.7599209991358,24.6246349117409,24.4256098693904,24.9838809137119,24.9622905415064,23.4570045070843,24.6251268462991
protein_105,28.9216128390393,28.6866148139708,28.3107025890727,28.1815437234917,28.6269815027412,28.1094593921132,28.3475261307876,28.2987403915435
protein_106,26.6022552748736,27.8724499901408,27.3405569930612,27.0829949823287,25.9894733239283,25.3473447738591,25.1418664875653,26.4609013855351
protein_114,25.181399309435,25.7573575203962,26.0316916645207,25.6692101811882,25.4648954718755,26.8052562637116,26.4716082229879,24.7904370499939
protein_115,28.4721562308248,29.0430440520417,29.4398071540363,29.2256585879349,28.2287446804448,28.9547953172051,28.5073373936801,29.149917301976
protein_119,24.5052344560039,24.7427526318513,24.4346907185425,25.0947064623315,24.2670837858181,24.6907306813086,24.9266081989262,25.0239155289206
protein_126,27.2571978078964,27.2241670557649,26.8353539165521,26.7000488729209,26.1552118104244,26.6423307752827,27.4318633836908,27.1429232355813
