,Gene Name,log2(Fold change),P-value
0,PPA2,-19.6625213348731,5.87979528817648e-16
1,LAMTOR4,-19.3631525888509,9.72769104715866e-16
2,RPP25L,-19.4824846391494,3.74669492889287e-15
3,PANX1,-19.5205019789596,5.49591334989714e-15
4,POLR2H,-20.6516655605227,1.51231065617785e-14
5,ACADSB,-19.7303002318741,1.27681498600722e-13
6,RELA,19.9513392070333,5.52069025303415e-13
7,LIPA,19.7009848867495,8.6930129130231e-13
8,ANKRD31,-19.499484426619,3.272268907045e-12
9,MMTAG2,-1.22601091273776,0.000208171053644867
10,EPB41L3,1.48966781737911,0.00251607382478583
11,F3,0.609648397768293,0.0132062001089736
12,OXSR1,0.561571460864823,0.0300676037555678
13,HIST1H2AC;HIST3H2A;HIST1H2AB,-1.01116624203739,0.0302801414294585
14,HSPA13,0.759470020844795,0.0314220403145235
15,NAPG,0.524217706541833,0.0315286312633858
16,NIF3L1,0.832402380428388,0.0375860334642889
17,YY1;YY2;ZFP42,0.452976109070011,0.0419305941586395
18,DAD1,-0.499525484810668,0.0429235574702483
19,C16orf58,-0.886855047405803,0.0527441897986502
20,PURB,0.870517532397646,0.0543743207354132
21,ZADH2,-0.632684390865474,0.0642701740085873
22,MINPP1,0.441420215749424,0.0684974339107908
23,SUMO2;SUMO3;SUMO4,0.373176832407385,0.0785856076397179
24,HMGA1,-1.36431811724109,0.0932300033550278
25,DPY30,0.320941533331606,0.0955144996881651
26,UQCR10,-0.607782869908235,0.105818506659493
27,ARPC5,0.361768443402195,0.119446344409278
28,ACBD3,0.787271151334494,0.125446553607832
29,PCYOX1L,1.1483108452951,0.134529976349463
30,EBP,1.03568012716216,0.138377795628383
31,COX7A2,0.622728871248501,0.14853620809979
32,GCSH,0.488677612020535,0.158530087775417
33,MRPS14,-0.484944697242391,0.159958970452969
34,C12orf10,-0.5277777566168,0.162912234686333
35,RPL39;RPL39P5,-0.707024891858524,0.166186612702459
36,ACOT13,0.303024830014223,0.167683136375588
37,NRAS,0.34715210332336,0.168564984450336
38,MAN1B1,0.622131043962817,0.170473799147129
39,DNTTIP1,0.634154231694232,0.175283859857958
40,TOMM5,0.499067471118924,0.182336191864456
41,ACTB,0.32488824658806,0.207680803467431
42,OSBPL8,0.417379083908209,0.214619585406266
43,ATP1B1,0.32491309362727,0.215919522950878
44,ZRANB2,0.679270846737399,0.216509777937616
45,TUBB8,0.273399349407082,0.218220400365215
46,RPS15A,0.339963592432525,0.226184515985849
47,GINS4,0.52209085375905,0.23506257500837
48,CKS2,-0.351481691902492,0.239379621508452
49,TSPO,-0.672388127922989,0.248767118390015
50,TUBB4B,0.289105278567391,0.252078311204931
51,AXL,0.284360852989533,0.253126927687296
52,MACROD1,0.305643513270283,0.263828750684734
53,WDR64,-0.439861408073611,0.263831410765661
54,PTPMT1,0.488080708064693,0.279505597197483
55,MAVS,-0.291518234927949,0.299950208406167
56,CROCC,0.306526922136889,0.300055883756057
57,SAFB2,-0.347458271595183,0.316496286072038
58,RAP2C,0.191472724835606,0.323987113586794
59,PARP2,0.236844317823021,0.32955342993369
60,KATNAL2,0.179537163032069,0.336193407602566
61,CD9,-0.551755896087705,0.336702029557782
62,TUBA1B;TUBA4A,0.251662816051251,0.338460397641359
63,SLC25A3,-0.265987863559218,0.357183310754615
64,PICALM,0.576248018422845,0.359535623109557
65,RTN3,0.325630426749356,0.359656834909164
66,POLR2L,0.193137626706747,0.363275577055091
67,SPATA18,0.227349763648853,0.370059723311026
68,SDHC,-0.39352822117209,0.37675836535236
69,MYADM,0.292639563351756,0.391848020970197
70,NDUFB4,0.340370033233661,0.412363382379471
71,BCL2L13,0.228383348514164,0.417057332801595
72,CLNS1A,-0.441594022845148,0.438257327388554
73,CCT6B,-0.194941275174269,0.439416830473657
74,ADPRHL2,-0.268095502729366,0.442858821008876
75,RPL22L1,-0.36280862761371,0.445915899063566
76,SERPINB6,0.231223257812939,0.447405070762369
77,BCAM,0.3081617283725,0.452714234170924
78,SH3BGRL3,0.256255407519305,0.460566494909222
79,KIAA0391,0.415384556570313,0.461137808560975
80,AK6;TAF9,0.265476330843658,0.475732077191687
81,CCDC124,0.171091351702053,0.477271820010811
82,CAPZA2,0.16886874995366,0.484788240805652
83,TMEM11,0.127107125348552,0.493168214132565
84,MRPS28,-0.212387083894672,0.509360716941167
85,RHOA,0.150412086433747,0.512868992115417
86,PPP4R1,0.158166745260282,0.513500425278343
87,RPLP1,0.15979295076551,0.525042384644707
88,PEA15,0.286251500828929,0.562983020952781
89,PPIG,0.139999911605017,0.571932387529364
90,SLC4A1AP,0.210026851722816,0.578122597075816
91,MRPL50,0.189725591931477,0.598128346631676
92,RTTN,0.203273983885332,0.59997669763638
93,PHAX,0.13526762536555,0.624732759403041
94,BCKDK,0.136914016205498,0.63325568209943
95,GNPAT,0.1767313743591,0.641169897173667
96,TMCO1,0.182627761611073,0.641208939836154
97,PURA,0.189041772848203,0.646263739121781
98,MED1,-0.114065495312673,0.703644380752626
99,RING1,0.135834783091852,0.717646878103407
100,MPHOSPH6,-0.144870837435278,0.724637802101535
101,TWF2,0.120560883436539,0.737006789045451
102,TUBA1C,0.171085338416141,0.740971136618213
103,RAB8A,-0.0868930764115987,0.756451815023765
104,TUBB2B,0.0885963415627522,0.763263151227824
105,ATP6V1E1,-0.160963376958744,0.764786126764848
106,QTRT1,0.0702918187155177,0.77175566254892
107,SYNCRIP,0.0702392564698613,0.77585679989411
108,UTS2,0.0698781364903809,0.800120868689339
109,PFN2,-0.053731234052993,0.800175382206207
110,PRPS1;PRPS1L1,0.0576971006153535,0.816113148801391
111,HSP90AB2P,-0.131439268788874,0.854663664676256
112,APOBEC3C,-0.0466213479123248,0.855085729009053
113,CD3EAP,-0.0422026644568412,0.86176268268198
114,DCTN3,-0.0327384815610685,0.896419988644059
115,PPP4C,0.0297371430665549,0.903466296079846
116,NDUFAF4,0.0221875156105718,0.90878888440426
117,RAB35,0.0637083527801821,0.910857274944081
118,MPDU1,0.0357775320662483,0.94293043632392
119,HNRNPC,0.00897109053892109,0.967183373143012
120,ARF1,0.00247393741054225,0.992314318447687
121,MFN1,0.00323923287950834,0.996987530573982
122,HIST2H2AB,0.000873233492225012,0.998064309362616
123,TIMM9,0.000191928398489694,0.999395046236139
124,POLR2G,-19.4802605109143,8.14927837976884e-16
125,MGME1,-19.6082090518243,1.26525915622505e-15
126,MRPS10,-19.5265971889735,5.59247190819813e-15
127,WRN,-19.603214532015,1.08359653442678e-14
128,RNASET2,-19.6487690399138,3.41543701074879e-14
129,UBE2M,20.0059869962646,6.17231427788671e-14
130,ASF1B,-19.1950814583041,1.12791571939441e-12
131,TAGLN,-19.612798691849,3.00505457915326e-12
132,TMSB10,-2.88835440929632,0.00229590787227457
133,PODXL,0.803511722277712,0.00420122516542001
134,SLC16A1,-0.762220171111501,0.0068415433990134
135,CADM4,0.8716365553149,0.00717663036616608
136,GOLPH3,1.01266026067879,0.00866617357554626
137,GOSR2,0.708983530156321,0.00886642183260579
138,TFB2M,-1.13127276016322,0.0110496113596185
139,CT45A1;CT45A2;CT45A5;CT45A3;CT45A9;CT45A8;CT45A7;CT45A10;CT45A6,-0.815469536244976,0.0128869899458282
140,CCDC51,-0.773069731840216,0.0147582768816392
141,S100A13,0.925223646601278,0.0182038069873883
142,ARL1,0.761454858846065,0.0210620631375349
143,DRAP1,0.534837926820131,0.0234113639289622
144,LAMP2,0.50523916276703,0.0274172833049646
145,PRKCA,0.604330816025033,0.0307186613796356
146,NAA50,0.568715989085089,0.0327497523325325
147,HIST1H1C,1.93345386639959,0.033656778822895
148,GNB4,-0.971313327825889,0.0352593156997615
149,SARS2,-0.766482363802446,0.0361651060942386
150,TNPO3,0.686047713798118,0.0376492546932471
151,CBFB,0.740398682690113,0.0447105228823439
152,MRPS17;hCG_1984214,-0.682720029233895,0.0599350597186512
153,HGS,0.611240399329546,0.0622863959545802
154,UBE2V1;TMEM189-UBE2V1;UBE2V2,-1.14731042927226,0.0665084570720799
155,CHID1,0.541264957895578,0.0680432028102893
156,PPP2R5E,-0.582917875058786,0.0684376156020157
157,TIMM13,0.408314818783346,0.0889762363271933
158,RALA,0.371957960678561,0.0908205055322536
159,RPS15,0.479465409629881,0.0950424666563559
160,NUDT1,0.648350369783522,0.0962916848179744
161,TRAPPC3,0.457573340999073,0.0974559212960553
162,QPRT,-0.599915062391453,0.0974628530623404
163,HINT2,-0.562870787547173,0.10011878834619
164,SUN2,0.833336401935313,0.100556815396488
165,SLC25A22,0.353784571133524,0.102050632541452
166,YTHDF2,-0.709478764215255,0.102901880399429
167,PQBP1,0.628814117935335,0.105813070859171
168,MUT,0.333085261962879,0.108424142082079
169,RAB6A;RAB6B,0.333615879823569,0.114064976596868
170,SNRPF,-1.29510050885735,0.116021559569336
171,PFDN2,0.593752257398382,0.130298428852667
172,FIS1,0.673864289111787,0.139481607179891
173,RBM7,-0.44900660823939,0.144503583427568
174,RPL36AL;RPL36A;RPL36A-HNRNPH2,-0.401794317028106,0.150135699755
175,RBFOX2;RBFOX1,0.384575798480729,0.15493259036559
176,KIF22,1.66722584553204,0.158682498430134
177,ZFYVE26,2.19909429764697,0.159490664630338
178,SPCS3,0.401241711572244,0.165130031783777
179,LUC7L,0.370443699937962,0.168931805011047
180,C11orf98,0.345045012687017,0.173799979715489
181,RFTN1,0.522057450144004,0.176761642732138
182,TTI1,0.436692262938212,0.177800219307564
183,UBE2D3;UBE2D2,0.551494253218408,0.194003422664457
184,KPNA6;KPNA5,-0.75067698637023,0.194575469449584
185,ATP5E;ATP5EP2,0.668691233228806,0.210180724242517
186,PTBP2,0.357982729290452,0.210511714297258
187,ARMC1,0.503801613475744,0.213940836049814
188,CLPTM1,-0.606391382147585,0.233500301775774
189,UBQLN4,0.2771732322724,0.245734622379986
190,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,0.270040945995614,0.255351659611937
191,TMEM201,0.490494303213225,0.257079451776595
192,YBX1,-0.676997692211174,0.259884230255551
193,SNAP23,0.295307904184149,0.263606512016821
194,SSR1,0.300327242744569,0.264697424189119
195,TBCB,-0.698634192119638,0.266698851956326
196,IPO8,-0.526208967187916,0.281591460206546
197,EIF3J,-0.494699053782462,0.281806258727271
198,TUBA3E,-0.637430038211804,0.289302580223923
199,RBM27,-0.564428192656486,0.291709687357401
200,WAPAL,0.39221498595926,0.298904710467008
201,NDUFA13,-0.259279639005694,0.311454504530468
202,SLC7A1,-0.3805559085326,0.323343516490376
203,PPIL1,0.207834433726507,0.342020180779527
204,FAM103A1,-0.27208510486652,0.346281553372812
205,MYCBP,0.2430074416698,0.355143528231511
206,ARHGEF18,0.263031172756506,0.36217518704922
207,ZC3H15,0.268188804099381,0.365148286410772
208,LSM6,-0.252685936666182,0.376729444345367
209,COPS2,-0.355160482167499,0.379861532824691
210,SPCS2,-0.285837678231822,0.382179625751987
211,PLA2G15,-0.230376139875368,0.382994766572482
212,SLC9A3R2,-1.09545572549488,0.383291099232358
213,MRPL53,-0.367211332375572,0.390536803284585
214,LSM3,0.213639676581057,0.390747021612709
215,PAFAH1B2,0.560099383296542,0.39189156584709
216,TMEM126A,-0.272321490371382,0.40393953886986
217,FAU,-0.189707688401494,0.405628883547224
218,LYPLA2,0.372248912119769,0.412309998476864
219,MIPEP,-0.372728017072568,0.430745040446327
220,NDUFS6,0.295784132346856,0.442462929031299
221,SEL1L,-0.221299322204509,0.448262185734848
222,MTCH1,0.527726433228544,0.450181190144708
223,NDUFAB1,0.431882577892814,0.452205123901689
224,SLC39A14,-0.407075426923267,0.453606011173723
225,FTO,-0.483051318425993,0.488140895935117
226,AK1,-0.351111238102163,0.495789189561376
227,RPLP0;RPLP0P6,0.156867113370762,0.503769845665524
228,GLA,-0.318563830840837,0.512021729058872
229,SCRN1,-0.191588312984514,0.529813488945243
230,ARPC1B,0.231922979622077,0.532074234857234
231,DCXR,0.397994364888305,0.533614493463354
232,TAPBP,0.129107167730037,0.541297688021865
233,UBXN1,0.222041084703786,0.580345371582994
234,LRWD1,-0.253993808612442,0.585288323253301
235,RBM17,0.132552783609476,0.58818337124846
236,DNM2,0.174401818656591,0.590185685230441
237,RAB13,0.153540292570568,0.591564394889447
238,SEC61B,0.230717625673677,0.592089397444914
239,TAF15,-0.146131892005076,0.596325712258707
240,SOAT1,0.144929368418861,0.616447070726741
241,ARPC4-TTLL3;ARPC4,-0.206240250301992,0.629137361202563
242,SUMO1,0.099627122049057,0.630026028010121
243,LSM2,-0.132645196324301,0.655428303878575
244,GORASP2,-0.278977700511824,0.658023179691528
245,SCO1,-0.231622190434614,0.65849767631828
246,ADRM1,0.17824771316408,0.666625890676873
247,AMIGO2,0.240785359983882,0.670947802242024
248,USMG5,0.213621802659446,0.686746699499078
249,GLOD4,-0.175124915531537,0.692923387106992
250,ATP5D,0.161290281144367,0.694182676194332
251,HYDIN,0.102065998294567,0.699272055561679
252,CFAP20,-0.135055619251787,0.699446198918516
253,NDUFS8,0.212854825043273,0.703095120512977
254,NRBP1,-0.14952767758237,0.705851363184577
255,PEF1,0.174593416754934,0.710900241689122
256,CUTA,0.163795772172946,0.724775270814052
