Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XWSB2,HIST1H4A,HIST1H4A,15|6,21,10.5,2,7|7,0.0,0.01,0.0,0.01,0.0,-17.54,1.5,0.46,
XWSB2,HSPA5,HSPA5,18|10,28,14.0,2,28|32,0.0,0.0,0.0,0.0,0.0,-100.92,0.47,0.56,
XWSB2,HSPA4,HSPA4,8|3,11,5.5,2,21|20,0.0,0.0,0.0,0.0,0.0,-79.89,0.27,0.56,
XWSB2,HSPA9,HSPA9,1|5,6,3.0,2,1|2,0.25,0.5,0.25,0.5,0.25,-5.45,2.0,0.33,
XWSB2,HSPA8,HSPA8,45|44,89,44.5,2,43|51,0.0,0.0,0.0,0.0,0.0,-103.46,0.95,0.56,
XWSB2,ZC3H13,ZC3H13,4|3,7,3.5,2,0|0,0.99,1.0,0.99,1.0,0.99,4.36,35.0,0.0,
XWSB2,ABCD3,ABCD3,5|4,9,4.5,2,17|17,0.0,0.0,0.0,0.0,0.0,-61.93,0.26,0.56,
XWSB2,DHX9,DHX9,1|10,11,5.5,2,69|59,0.0,0.0,0.0,0.0,0.0,-280.99,0.09,0.56,
XWSB2,TCOF1,TCOF1,1|0,1,0.5,2,3|3,0.0,0.0,0.0,0.0,0.0,-13.56,0.17,0.56,
XWSB2,PPP2R2A,PPP2R2A,5|2,7,3.5,2,0|0,0.96,1.0,0.96,1.0,0.96,2.52,35.0,0.0,
XWSB2,ATXN2L,ATXN2L,2|2,4,2.0,2,53|45,0.0,0.0,0.0,0.0,0.0,-209.29,0.04,0.56,
XWSB2,ALDH3A2,ALDH3A2,21|20,41,20.5,2,5|5,1.0,1.0,1.0,1.0,1.0,7.16,4.1,0.0,
XWSB2,SWAP70,SWAP70,6|3,9,4.5,2,32|40,0.0,0.0,0.0,0.0,0.0,-147.67,0.12,0.56,
XWSB2,CSDE1,CSDE1,8|4,12,6.0,2,47|52,0.0,0.0,0.0,0.0,0.0,-203.39,0.12,0.56,
XWSB2,TIPRL,TIPRL,8|10,18,9.0,2,30|30,0.0,0.0,0.0,0.0,0.0,-106.06,0.3,0.56,
XWSB2,WSB2,WSB2,52|87,139,69.5,2,0|0,1.0,1.0,1.0,1.0,1.0,76.99,695.0,0.0,
XWSB2,GART,GART,3|6,9,4.5,2,18|14,0.0,0.0,0.0,0.0,0.0,-60.5,0.28,0.56,
XWSB2,ANAPC4,ANAPC4,0|1,1,0.5,2,11|14,0.0,0.0,0.0,0.0,0.0,-55.63,0.04,0.56,
XWSB2,RPS6KA1,RPS6KA1,0|2,2,1.0,2,21|18,0.0,0.0,0.0,0.0,0.0,-86.91,0.05,0.56,
XWSB2,HLCS,HLCS,8|2,10,5.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-19.02,0.91,0.5,
XWSB2,SERBP1,SERBP1,9|7,16,8.0,2,34|50,0.0,0.0,0.0,0.0,0.0,-159.83,0.19,0.56,
XWSB2,TMEM199,TMEM199,1|2,3,1.5,2,3|2,0.0,0.0,0.0,0.0,0.0,-9.16,0.6,0.56,
XWSB2,GANAB,GANAB,1|1,2,1.0,2,0|0,0.0,0.0,0.0,0.0,0.0,0.49,10.0,0.56,
XWSB2,VAPB,VAPB,5|3,8,4.0,2,6|8,0.0,0.0,0.0,0.0,0.0,-22.88,0.57,0.56,
XWSB2,C16ORF62,C16ORF62,1|1,2,1.0,2,0|0,0.0,0.0,0.0,0.0,0.0,0.49,10.0,0.56,
XWSB2,ARF3,ARF3,4|4,8,4.0,2,7|5,0.0,0.0,0.0,0.0,0.0,-17.08,0.67,0.56,
XWSB2,ARF4,ARF4,3|3,6,3.0,2,0|0,0.99,0.99,0.99,0.99,0.99,4.36,30.0,0.0,
XWSB2,NFRKB,NFRKB,1|0,1,0.5,2,3|2,0.0,0.0,0.0,0.0,0.0,-11.48,0.2,0.56,
