,Bait,Prey Gene,Saint Score,log2FC
0,WSB2,HIST1H4A,0.0,0.5849625007211562
1,WSB2,HSPA5,0.0,-1.0892673380970874
2,WSB2,HSPA4,0.0,-1.8889686876112561
3,WSB2,HSPA9,0.25,1.0
4,WSB2,HSPA8,0.0,-0.07400058144377691
5,WSB2,ZC3H13,0.99,5.129283016944966
6,WSB2,ABCD3,0.0,-1.9434164716336324
7,WSB2,DHX9,0.0,-3.473931188332412
8,WSB2,TCOF1,0.0,-2.5563933485243853
9,WSB2,PPP2R2A,0.96,5.129283016944966
10,WSB2,ATXN2L,0.0,-4.643856189774724
11,WSB2,ALDH3A2,1.0,2.035623909730721
12,WSB2,SWAP70,0.0,-3.0588936890535687
13,WSB2,CSDE1,0.0,-3.0588936890535687
14,WSB2,TIPRL,0.0,-1.736965594166206
15,WSB2,WSB2,1.0,9.44086916761087
16,WSB2,GART,0.0,-1.8365012677171204
17,WSB2,ANAPC4,0.0,-4.643856189774724
18,WSB2,RPS6KA1,0.0,-4.321928094887363
19,WSB2,HLCS,0.0,-0.1360615495760284
20,WSB2,SERBP1,0.0,-2.395928676331139
21,WSB2,TMEM199,0.0,-0.7369655941662062
22,WSB2,GANAB,0.0,3.321928094887362
23,WSB2,VAPB,0.0,-0.8109661756099832
24,WSB2,C16ORF62,0.0,3.321928094887362
25,WSB2,ARF3,0.0,-0.5777669993169522
26,WSB2,ARF4,0.99,4.906890595608519
27,WSB2,NFRKB,0.0,-2.321928094887362
28,WSB2,RAB11FIP5,0.0,-4.321928094887363
29,WSB2,LARP1,0.0,-2.321928094887362
30,WSB2,EEF1A1,0.0,-0.6665762662748083
31,WSB2,EEF1A2,0.0,-1.1844245711374275
32,WSB2,BIN3,0.0,-1.5994620704162712
33,WSB2,MAGEA4,0.0,-0.9159357352115255
34,WSB2,ARHGEF17,0.19,1.584962500721156
35,WSB2,CD44,0.0,-2.0
36,WSB2,FAM171B,0.0,-2.5563933485243853
37,WSB2,CYB5B,0.96,4.906890595608519
38,WSB2,PNN,0.0,-5.058893689053568
39,WSB2,RPN1,0.0,-2.8365012677171206
40,WSB2,RPN2,0.5,5.643856189774724
41,WSB2,RPL21,0.15,0.5849625007211562
42,WSB2,SYNJ1,0.0,-5.058893689053568
43,WSB2,RELA,0.0,-3.473931188332412
44,WSB2,THOC2,0.0,-5.058893689053568
45,WSB2,RFX5,0.0,-0.21759143507262677
46,WSB2,MAVS,0.0,-0.7369655941662062
47,WSB2,NUP88,0.0,-2.0
48,WSB2,RECQL4,0.0,0.0
49,WSB2,COPS5,0.55,2.0
50,WSB2,YTHDF2,0.0,-3.8365012677171206
51,WSB2,YTHDF1,0.0,-3.1844245711374275
52,WSB2,SUB1,0.0,-1.1844245711374275
53,WSB2,FAM135A,0.0,-2.321928094887362
54,WSB2,DPYSL4,0.0,-3.321928094887362
55,WSB2,DPYSL2,0.0,-1.6438561897747246
56,WSB2,DPYSL3,0.0,-2.643856189774725
57,WSB2,DLD,0.46,3.9068905956085187
58,WSB2,NUDT5,0.0,-1.5994620704162712
59,WSB2,ARGLU1,0.49,3.9068905956085187
60,WSB2,EPS8L2,0.0,-3.0588936890535687
61,WSB2,PPP5C,0.49,3.9068905956085187
62,WSB2,DNAJB1,0.0,-1.3959286763311392
63,WSB2,RPLP0,0.0,1.0
64,WSB2,PRKAR2A,0.0,-5.058893689053568
65,WSB2,QPRT,0.0,-1.0
66,WSB2,ECD,0.0,-5.058893689053568
67,WSB2,TPM3,0.0,-2.321928094887362
68,WSB2,ETF1,0.0,-1.8889686876112561
69,WSB2,FAM21A,0.0,-5.058893689053568
70,WSB2,PHACTR4,0.0,-4.321928094887363
71,WSB2,CLIC1,0.0,-3.0588936890535687
72,WSB2,YKT6,0.0,-1.736965594166206
73,WSB2,RPS4X,0.95,3.584962500721156
74,WSB2,TJP1,0.0,-5.643856189774724
75,WSB2,TCP1,0.52,1.411426245726465
76,WSB2,SH3PXD2B,0.0,-3.8365012677171206
77,WSB2,GTF3C5,0.0,-4.643856189774724
78,WSB2,KTN1,0.0,-3.643856189774725
79,WSB2,PRDX6,0.0,-0.5145731728297583
80,WSB2,PRDX4,0.67,2.807354922057604
81,WSB2,PRDX3,0.01,0.48542682717024166
82,WSB2,PRDX2,0.0,3.321928094887362
83,WSB2,PRDX1,0.0,-0.4150374992788438
84,WSB2,ARL1,0.19,1.0
85,WSB2,CCT6A,0.0,0.41142624572646497
86,WSB2,CDC5L,0.0,-5.643856189774724
87,WSB2,CROCC,0.02,0.41142624572646497
88,WSB2,VCP,1.0,2.5360529002402097
89,WSB2,TUFM,0.11,0.41142624572646497
90,WSB2,IFI27,0.5,4.906890595608519
91,WSB2,SLK,0.0,-3.8365012677171206
92,WSB2,CALM3,0.0,-1.3959286763311392
93,WSB2,DCD,0.46,3.9068905956085187
94,WSB2,EIF4ENIF1,0.0,-3.8365012677171206
95,WSB2,CUL5,0.0,2.321928094887362
96,WSB2,SLC25A3,0.03,0.8073549220576041
97,WSB2,TRIM25,0.0,-2.5563933485243853
98,WSB2,SLC25A5,0.0,0.25096157353321874
99,WSB2,PTPN12,0.0,-4.321928094887363
100,WSB2,PTPN11,0.0,-5.643856189774724
101,WSB2,ARCN1,0.0,-2.9434164716336326
102,WSB2,SEH1L,0.0,1.0
103,WSB2,TMEM269,0.0,2.321928094887362
104,WSB2,GAPDH,0.5,1.584962500721156
105,WSB2,SEC16A,0.0,-1.7858751946471527
106,WSB2,ARHGAP1,0.0,-2.321928094887362
107,WSB2,ABCF1,0.0,-3.8365012677171206
108,WSB2,RPL10A,0.93,4.321928094887363
109,WSB2,PRKAB1,0.0,-3.0588936890535687
110,WSB2,KPRP,0.96,4.906890595608519
111,WSB2,PTPN2,0.0,-3.1844245711374275
112,WSB2,PTPN1,0.0,0.08406426478847455
113,WSB2,SLC3A2,0.0,-3.473931188332412
114,WSB2,BAG3,0.0,-2.1844245711374275
115,WSB2,MYO1E,0.0,-3.1844245711374275
116,WSB2,MYO1C,0.0,3.321928094887362
117,WSB2,RPS7,0.5,4.321928094887363
118,WSB2,RPS6,0.05,0.7398481026993275
119,WSB2,RPS3,1.0,3.321928094887362
120,WSB2,RPS2,0.0,0.0
121,WSB2,VDAC3,0.55,2.169925001442312
122,WSB2,VDAC2,0.0,0.08406426478847455
123,WSB2,VDAC1,1.0,4.169925001442312
124,WSB2,C2ORF47,0.0,3.321928094887362
125,WSB2,RPS9,0.83,3.0
126,WSB2,RPS8,0.26,1.3673710656485294
127,WSB2,CTPS1,0.0,-2.473931188332412
128,WSB2,DSG2,0.0,-5.058893689053568
129,WSB2,DSG1,0.84,3.169925001442312
130,WSB2,LGALS1,1.0,3.321928094887362
131,WSB2,FSCN1,1.0,5.906890595608519
132,WSB2,HN1,0.0,-1.6438561897747246
133,WSB2,TMPO,0.0,-0.8365012677171204
134,WSB2,VARS,0.0,-4.643856189774724
