,Gene Name,log2(Fold change),P-value
0,SERPINB6,-0.695,0.002
1,HDLBP,-0.23,0.108
2,PSMA2,-0.039,0.669
3,BAG6;BAT3,0.202,0.144
4,TAF15,-0.19,0.168
5,TXNRD1,0.651,0.011
6,EIF2B4,-0.937,0.19
7,KHSRP,-0.047,0.592
8,HNRNPDL,-0.261,0.187
9,RNPEP,-0.423,0.207
10,POLA1,0.245,0.092
11,CTNNBL1,-0.415,0.02
12,HNRNPDL,-0.254,0.039
13,SLIRP,-0.296,0.048
14,EIF5B,-0.066,0.557
15,BSG,-0.176,0.299
16,SPTBN1,-0.403,0.033
17,MTHFD1L,0.0,0.999
18,POLR2E,-0.331,0.075
19,TRAPPC3,0.113,0.256
20,TPM3,-0.087,0.352
21,RPL17;RPL17-C18orf32,0.25,0.138
22,ITGB6,-0.126,0.368
23,VTA1,-0.136,0.225
24,UBE2D3;UBE2D2,-0.72,0.003
25,SRP19,-0.503,0.282
26,UGP2,-0.067,0.503
27,PTGES3,-0.005,0.954
28,SBDS,-0.006,0.944
29,OGFR,-0.422,0.013
30,HYOU1,-0.445,0.093
31,SNX12,-0.545,0.048
32,ACOT1;ACOT2,-0.569,0.012
33,STAU1,-0.043,0.893
34,TMSB15A;TMSB15B,-1.21,0.001
35,NEB,-3.602,0.156
36,PSME2,-0.283,0.028
37,AP2B1,-0.704,0.253
38,SRSF3,-0.003,0.982
39,MRPL45,0.39,0.413
40,DDX1,-0.025,0.794
41,GPS1,0.12,0.539
42,PYCRL,-0.507,0.006
43,NSA2,0.454,0.108
44,VDAC2,0.233,0.056
45,HNRNPUL1,-1.073,0.024
46,EPB41L3,0.34,0.19
47,SNX6,-0.045,0.718
48,PCMT1,-0.086,0.572
49,NOLC1,-0.196,0.291
50,ABI1,0.214,0.592
51,LAMA3,-0.753,0.028
52,HADH,-0.545,0.099
53,PLS3,-0.144,0.189
54,PITPNB,-0.434,0.091
55,IVD,0.12,0.663
56,RBP1,-0.685,0.025
57,ADSL,0.102,0.543
58,TMED7;TMED7-TICAM2,-0.255,0.056
59,SRSF7,0.097,0.623
60,TCEB2,-0.47,0.051
61,RPS15,0.17,0.126
62,TPT1,0.409,0.148
63,PWP2,-0.262,0.079
64,GSTZ1,0.462,0.243
65,SET;SETSIP,-0.441,0.033
66,CNPY3,-0.602,0.196
67,RPSA,0.277,0.049
68,SYNE1,-0.704,0.013
69,HTRA2,-0.082,0.632
70,DDX46,-0.017,0.859
71,CHD4,-0.317,0.034
72,CAPNS1,-0.181,0.104
73,DDOST,-0.3,0.051
74,DDX3X;DDX3Y,-0.129,0.183
75,SPTAN1,-0.152,0.531
76,DNM1;DNM2,-0.37,0.054
77,HSPA1A;HSPA1B,1.014,0.002
78,PSMB9,-1.119,0.006
79,GBA,-1.995,0.0
80,PRAMEF10,0.283,0.614
81,PUF60,0.579,0.129
82,MATR3,-0.158,0.161
83,TPM1,0.707,0.011
84,ROCK1;ROCK2,-0.762,0.003
85,HLA-A,-1.179,0.0
86,PRAMEF18,0.529,0.585
87,FTO,-0.393,0.026
88,ALDH7A1,-0.58,0.018
89,TJP2,-0.143,0.451
90,CTSD,-0.9,0.001
91,DPYSL2,-0.556,0.124
92,MAPK15,-0.516,0.009
93,ARPC1A,-0.388,0.013
94,ME2,0.066,0.512
95,TCEA1,-0.207,0.162
96,BCLAF1,-0.422,0.073
97,DDX17,-0.263,0.267
98,GCSH,0.29,0.173
99,PHGDH,-0.628,0.055
100,RRM2,-0.585,0.049
101,PPT1,-0.49,0.011
102,OPA1,-0.152,0.241
103,SMARCE1,0.661,0.109
104,CTNNB1,0.314,0.118
105,POLR1C,0.22,0.061
106,TPM4,0.139,0.194
107,RPS14,0.104,0.294
108,RPS24,0.244,0.048
109,PFKM,-0.142,0.592
110,HSD17B4,-0.712,0.101
111,CSNK2A1;CSNK2A3,-0.058,0.539
112,RPL15,0.333,0.016
113,SEC23B;SEC23A,-0.035,0.902
114,TPP1,-0.433,0.012
115,EEF1A2,0.233,0.319
116,CD59,-0.579,0.012
117,NDUFA6,-0.221,0.088
118,MTHFD1,-0.018,0.842
119,CTPS1,0.681,0.009
120,HEBP1,-0.229,0.528
121,COPA,-0.31,0.042
122,NUP98,-0.197,0.238
123,HNRNPL,-0.153,0.14
124,RPL29,-0.008,0.956
125,THRAP3,-0.33,0.022
126,AMDHD2,-1.534,0.0
127,MCM4,-0.05,0.688
128,NHP2L1,-0.268,0.285
129,GLA,-0.461,0.007
130,C11orf98,0.119,0.264
131,DEK,-0.1,0.328
132,SUCLG1,-0.449,0.008
133,PGM3,-0.067,0.712
134,CLUH,-0.085,0.442
135,NOP56,0.231,0.326
136,FKBP2,-0.269,0.064
137,S100A2,-0.828,0.036
138,SRSF6,-0.001,0.994
139,SAE1,-0.229,0.122
140,AMPD2,0.26,0.061
141,ACAT1,-0.133,0.382
142,MLH1,-0.658,0.034
143,CTNND1,-0.913,0.004
144,STAT1,-0.444,0.031
145,USP7,-0.136,0.307
146,ACO2,-0.159,0.173
147,PGP,-0.564,0.094
148,HCFC1,-0.62,0.005
149,NUDT5,-0.061,0.539
150,UNC119;UNC119B,-0.327,0.122
151,USP14,0.089,0.573
152,CRYZ,-0.127,0.22
153,SUMO2;SUMO3;SUMO4,-0.639,0.001
154,RPL23A,0.076,0.506
155,SNRPG;SNRPGP15,-0.321,0.338
156,EIF3L,0.4,0.026
157,UBE2I,-0.252,0.141
158,CPNE1,-1.405,0.02
159,ERLIN1;ERLIN2,-0.533,0.016
160,MPST,-0.011,0.949
161,PSMD10,-0.204,0.108
162,PEA15,0.614,0.293
163,MRPL43,0.223,0.273
164,PRPS1,0.03,0.738
165,GUK1,-0.375,0.023
166,PABPC4,0.433,0.016
167,HNRNPC,-0.111,0.278
168,EIF3H,0.064,0.602
169,CNN2,-0.121,0.395
170,COPS2,-0.32,0.048
171,CS,0.285,0.039
172,MRPL12,-0.156,0.153
173,NQO1,-0.312,0.114
174,MTAP,-0.385,0.041
175,FXR1,0.097,0.578
176,HS1BP3,-0.975,0.004
177,PES1,-0.233,0.169
178,PPM1F,-0.422,0.108
179,RAN,-0.045,0.606
180,SEPT10,0.088,0.691
181,DDX27,0.008,0.954
182,RANBP3,-0.102,0.462
183,ACADM,-0.32,0.074
184,SUMO1,-0.266,0.07
185,PTMA,0.131,0.576
186,IMMT,0.417,0.086
