Gene_names,PHIP_vs_BirA_logFC,PHIP_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF14_N1,Peptides_DCAF14_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF14_N1,Razor___unique_peptides_DCAF14_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF14_N1,Unique_peptides_DCAF14_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF14_N1,Identification_type_DCAF14_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF14_N1,Ratio_H_L_DCAF14_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF14_N1,Ratio_H_L_normalized_DCAF14_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF14_N1,Ratio_H_L_variability_____DCAF14_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF14_N1,Ratio_H_L_count_DCAF14_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF14_N1,Ratio_H_L_iso_count_DCAF14_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF14_N1,Ratio_H_L_type_DCAF14_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF14_N1____,Sequence_coverage_DCAF14_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF14_N1,Intensity_L_DCAF14_N1,Intensity_H_DCAF14_N1,Intensity_DCAF14_N2,Intensity_L_DCAF14_N2,Intensity_H_DCAF14_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF14_N1,metacell_Intensity_L_DCAF14_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDK1;CDC2,-1.16607319383342,0.0645731142077337,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,14;14;8;7;2;2;2;1,14;14;8;7;2;2;2;1,12;12;6;5;0;0;0;0,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",8,14,14,12,11,11,5,10,11,11,5,10,9,9,3,8,51.5,51.5,48.8,34.095,297,297;297;224;189;305;164;238;39,0.0,17.44,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.65552,1.9636,22.254,44,10,Leave out requantified,0.64048,0.73456,0.5442,0.54929,2.3004,2.0284,1.4251,1.3251,24.043,11.96,27.223,11.014,12,12,7,13,1,1,2,6,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,38.7,38.7,17.5,41.8,2816800000,1603900000,1212900000,592900000,339920000,252980000,707270000,409400000,297870000,449910000,277300000,172610000,1066800000,577330000,489430000,,,,0,618;1364;8057;8058;8904;9889;10155;13199;13200;13334;13652;14449;17390;21600,True;True;True;True;True;True;True;True;True;True;True;True;True;True,645;1452;8675;8676;9591;10654;10947;14177;14178;14321;14666;15509;18597;23086,1658;1659;1660;1661;3856;3857;3858;22162;22163;22164;22165;22166;22167;24643;24644;24645;27338;27339;27340;27341;28148;28149;28150;28151;28152;28153;28154;28155;28156;28157;36463;36464;36465;36466;36858;36859;37718;37719;37720;39888;47686;47687;47688;47689;47690;59474;59475,3083;3084;3085;7225;7226;7227;42171;42172;42173;42174;42175;42176;42177;42178;42179;42180;42181;42182;46917;46918;46919;46920;46921;46922;46923;46924;51986;51987;51988;53379;53380;53381;53382;53383;53384;53385;53386;53387;53388;53389;53390;53391;53392;53393;53394;68777;68778;68779;68780;68781;68782;68783;68784;69460;69461;69462;69463;69464;69465;71034;71035;71036;71037;71038;71039;71040;75109;89381;89382;89383;89384;89385;89386;89387;89388;112653;112654;112655;112656,3083;7225;42171;42180;46919;51986;53383;68779;68782;69462;71039;75109;89382;112653,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,0.712303950802973,0.0814518175124978,Q00341;A0A024R4E5;H0Y394;C9JIZ1;C9JHZ8;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7BZC3;C9JHS9,Q00341;A0A024R4E5;H0Y394;C9JIZ1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",20,7,7,7,3,4,6,5,3,4,6,5,3,4,6,5,7.6,7.6,7.6,141.45,1268,1268;1268;973;224;141;332;221;164;147;128;126;96;81;79;69;53;46;19;267;17,0.0,14.233,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.74169,1.8925,23.642,19,4,Leave out requantified,0.70857,0.98858,0.68786,0.79133,2.2744,2.547,1.9144,1.8154,35.092,19.513,18.442,29.571,3,4,6,6,0,1,0,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,2.8,4.0,6.9,5.7,847510000,481330000,366180000,82838000,47807000,35031000,103830000,48663000,55162000,360320000,221620000,138690000,300520000,163240000,137290000,,,,2,626;1963;2135;12850;13968;16682;17693,True;True;True;True;True;True;True,654;2099;2282;13806;15009;17845;18911,1684;1685;5658;6138;6139;6140;35514;35515;35516;35517;35518;38605;38606;45664;45665;48513;48514;48515;48516,3140;3141;3142;3143;3144;3145;10847;10848;11757;11758;11759;11760;66829;66830;66831;66832;66833;66834;66835;72610;85511;90782;90783;90784;90785;90786;90787;90788;90789,3141;10847;11758;66833;72610;85511;90783,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
PSMA2,-1.72603492560941,0.00268750957167196,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;3;1,9;9;4;3;1,9;9;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,8,8,4,5,8,8,4,5,8,8,4,5,49.6,49.6,49.6,25.898,234,234;234;164;48;36,0.0,13.728,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32753,0.90305,12.134,23,2,Leave out requantified,0.2832,0.35815,0.28646,0.34557,0.91895,0.99766,0.80581,0.87703,20.977,11.69,5.7281,3.5875,8,8,3,4,1,0,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.5,41.5,32.5,35.5,1879600000,1418900000,460790000,483000000,371200000,111810000,617120000,451360000,165760000,404330000,312480000,91844000,375190000,283810000,91378000,,,,3,545;1967;7222;7365;9732;12727;12959;16845;22287,True;True;True;True;True;True;True;True;True,572;2103;7761;7920;10484;13680;13925;18020;23799,1465;1466;5664;5665;19746;19747;19748;19749;20210;20211;26893;26894;26895;26896;35183;35184;35810;35811;35812;35813;46132;46133;46134;61275;61276,2735;2736;10854;37485;37486;37487;37488;37489;37490;37491;37492;37493;37494;37495;38435;38436;38437;38438;38439;51219;51220;66271;67470;67471;67472;67473;67474;67475;67476;67477;67478;86424;86425;86426;86427;86428;86429;115851;115852;115853;115854,2735;10854;37492;38438;51219;66271;67477;86426;115854,,,,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,0.72744199939735,0.131912864396415,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,8.0747,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.6252,1.5498,26.091,8,3,Leave out requantified,0.46795,0.62493,0.96333,0.8942,1.1676,1.3341,2.44,2.2158,,9.0673,14.133,24.462,1,2,3,2,0,0,2,1,Median,Median,Median,Median,1.1,2.0,2.0,2.0,291700000,153390000,138310000,16787000,10550000,6236800,38951000,21741000,17210000,131270000,65436000,65829000,104700000,55664000,49038000,,,,4,11225;11602,True;True,12086;12495,31141;31142;31143;32261;32262;32263;32264;32265,58995;58996;61005;61006;61007;61008;61009;61010;61011;61012;61013;61014;61015,58996;61007,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TAF15,0.997074217123274,0.0436833010253955,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,4,2,2,1,1,4,4,1,1,2,2,1,1,2,2,8.3,5.9,5.9,61.829,592,592;449;214,0.0,4.6231,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39001,1.1075,2.4629,10,0,Leave out requantified,0.31464,0.44007,0.35567,0.4187,1.1343,1.3016,1.0545,1.1251,,2.5173,6.8798,13.153,1,2,3,4,0,0,0,0,Median,Median,Median,Leave out requantified,2.9,2.9,8.3,8.3,1925000000,1391600000,533350000,115510000,87691000,27820000,244970000,161260000,83710000,744880000,561510000,183380000,819630000,581190000,238440000,,,,8,122;123;5863;16628,False;True;False;True,124;125;6259;17790,304;305;306;307;308;309;310;311;15799;15800;45522;45523;45524;45525,578;579;580;581;582;583;584;585;586;587;588;589;590;591;592;593;594;595;596;30073;30074;30075;85292;85293;85294;85295;85296;85297;85298;85299;85300,578;592;30074;85297,,,,,-1;-1;-1,protein_9,quanti,quanti,quanti,quanti
TXNRD1,-1.3846537911287,0.0184002244733215,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PRI8;E9PQI3;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3,18;18;18;18;18;18;16;9;4;4;3;3;2;2;1;1;1;1;1;1;1,18;18;18;18;18;18;16;9;4;4;3;3;2;2;1;1;1;1;1;1;1,18;18;18;18;18;18;16;9;4;4;3;3;2;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,18,18,18,10,16,6,11,10,16,6,11,10,16,6,11,38.4,38.4,38.4,70.905,649,649;482;648;568;548;498;460;175;103;139;70;72;44;53;494;501;523;524;338;306;463,0.0,60.947,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29815,0.81256,22.171,49,14,Leave out requantified,0.20536,0.31134,0.26415,0.32243,0.72991,0.87662,0.78151,0.84083,22.836,18.504,23.858,15.31,12,18,7,12,3,7,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.4,34.2,15.1,27.0,4005200000,3043900000,961250000,894700000,733610000,161090000,1149300000,831230000,318120000,737370000,569810000,167570000,1223800000,909300000,314480000,,,,9,3981;4842;5100;5918;8100;8101;9804;10050;10078;13531;15271;15272;20743;21242;21282;21420;21565;22167,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4252;5165;5438;6321;8722;8723;10564;10830;10860;14532;16365;16366;22179;22703;22751;22899;23048;23672,10974;10975;13087;13779;13780;13781;13782;13783;13784;15948;22285;22286;22287;27106;27107;27108;27109;27110;27818;27897;27898;27899;27900;27901;27902;37390;42035;42036;42037;42038;42039;42040;57101;57102;57103;57104;58442;58599;58600;58601;58602;58990;58991;58992;59369;59370;59371;60945;60946,20986;20987;20988;24890;26151;26152;26153;26154;26155;26156;26157;26158;26159;26160;30343;42432;42433;42434;42435;51617;51618;51619;51620;51621;51622;51623;51624;52765;52888;52889;52890;52891;52892;52893;52894;52895;52896;52897;52898;70444;70445;79219;79220;79221;79222;79223;79224;79225;79226;79227;79228;79229;79230;79231;79232;108169;108170;108171;108172;108173;108174;108175;108176;108177;108178;110690;111000;111001;111002;111003;111004;111005;111006;111007;111008;111009;111010;111775;111776;111777;111778;111779;111780;111781;111782;111783;112463;112464;112465;112466;112467;112468;112469;112470;112471;112472;112473;112474;115218;115219;115220,20986;24890;26153;30343;42432;42435;51617;52765;52890;70444;79223;79231;108176;110690;111008;111778;112473;115219,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
HMOX2,2.23991492651738,0.0270752365496096,P30519;A0A087WT44;I3L159;I3L1F5;I3L4P8;A0A1B0GXH0;I3L463;I3L276;I3L1Y2,P30519;A0A087WT44;I3L159;I3L1F5,8;8;7;7;3;3;3;2;2,8;8;7;7;3;3;3;2;2,8;8;7;7;3;3;3;2;2,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2,9,8,8,8,1,4,6,7,1,4,6,7,1,4,6,7,44.0,44.0,44.0,36.032,316,316;370;229;238;130;131;132;110;110,0.0,8.7271,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51138,1.2634,16.109,19,1,Leave out requantified,0.5018,0.45056,0.55714,0.5375,1.563,1.0139,1.401,1.4082,,14.057,17.145,18.987,1,4,7,7,0,1,0,0,Median,Leave out requantified,Leave out requantified,Leave out requantified,6.0,20.3,33.9,36.7,1658800000,1078500000,580270000,29652000,21118000,8533300,119410000,82523000,36883000,916260000,598510000,317750000,593470000,376370000,217100000,,,,10,605;1398;3665;8186;10379;13172;13751;22273,True;True;True;True;True;True;True;True,632;1490;3914;8810;11185;14146;14769;23785,1619;1620;3976;3977;10162;22550;22551;22552;22553;22554;28829;28830;36376;36377;37966;37967;61231;61232;61233,3021;3022;7476;7477;7478;7479;19470;42909;42910;42911;42912;42913;42914;42915;42916;42917;42918;42919;42920;42921;42922;42923;42924;42925;42926;42927;42928;54649;54650;54651;68592;68593;68594;68595;71442;71443;71444;115770;115771;115772;115773;115774;115775,3022;7476;19470;42917;54651;68592;71443;115773,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
EIF2B4,-1.29350018215958,0.0336041699051253,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,4.4,4.4,4.4,57.557,523,523;520;544;194;228;235,0.0,6.616,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45253,1.1811,106.24,5,1,Median,1.1583,0.43715,0.45253,0.48354,3.831,1.107,1.255,1.0987,166.4,,,,2,1,1,1,1,0,0,0,Median,Median,Median,Median,4.4,2.1,2.1,2.1,190780000,115010000,75766000,75850000,34652000,41198000,32800000,23465000,9334600,45843000,33480000,12363000,36285000,23415000,12871000,,,,11,20052;21050,True;True,21411;22503,55038;55039;55040;55041;57905,104073;104074;104075;104076;104077;104078;104079;109692,104078;109692,,,,,-1;-1;-1;-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
NDUFS7,0.794440006247036,0.274184138394737,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,3,3,3,1,1,2,1,1,1,2,1,1,1,2,1,16.0,16.0,16.0,23.563,213,213;182;214;214;236,0.0,4.2116,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.88782,2.4569,49.031,5,2,Median,0.57883,0.59369,1.1021,1.1226,1.3537,1.2412,3.1432,2.6043,,,34.834,,1,1,2,1,0,0,1,1,Median,Median,Median,Median,5.2,5.2,10.8,6.6,221500000,107260000,114230000,14775000,8271000,6504300,17203000,9797200,7405800,148260000,68617000,79638000,41263000,20579000,20684000,,,,14,10461;15663;21824,True;True;True,11273;16771;23314,29130;42974;42975;60056;60057,55279;80818;80819;113644,55279;80818;113644,,,,,-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
KHSRP,-0.0128788921857605,0.967013217733027,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0QYG1;M0R0C6;M0R251;M0R263,Q92945;A0A087WTP3;M0R0I5,22;22;11;8;5;3;2;2;1;1,19;19;9;6;4;2;1;1;0;0,19;19;9;6;4;2;1;1;0;0,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,10,22,19,19,12,14,15,17,10,13,14,17,10,13,14,17,43.6,38.8,38.8,73.114,711,711;711;279;169;116;269;114;176;79;143,0.0,86.655,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54515,1.5005,14.691,56,5,Leave out requantified,0.39889,0.4807,0.56286,0.58188,1.412,1.338,1.6259,1.5627,14.577,13.055,19.748,12.621,10,13,15,18,1,2,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,31.8,35.9,7723700000,5002400000,2721300000,976380000,671810000,304580000,1227700000,806910000,420750000,2544900000,1623100000,921760000,2974700000,1900500000,1074200000,,,,18,824;825;1073;2535;2831;3371;6048;6049;6060;7569;7697;8067;8070;8131;8242;8275;8821;13547;13735;17945;19099;20902,False;False;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,863;864;1132;2712;3024;3603;6473;6474;6487;8153;8298;8685;8688;8754;8870;8906;9504;14549;14750;19171;20391;22349,2245;2246;2247;2248;2249;2987;2988;2989;2990;7290;8049;8050;8051;9458;16392;16393;16394;16434;16435;20843;20844;20845;20846;21219;21220;22194;22195;22196;22197;22201;22202;22203;22204;22385;22386;22387;22388;22705;22706;22806;22807;22808;22809;24440;37424;37425;37426;37930;37931;37932;37933;49197;49198;49199;49200;52317;52318;52319;52320;57536;57537;57538,4191;4192;4193;4194;4195;4196;4197;4198;4199;4200;4201;4202;4203;4204;4205;4206;4207;5594;5595;5596;5597;5598;5599;5600;5601;14040;15379;15380;15381;15382;15383;15384;15385;18177;18178;31307;31308;31309;31391;39724;39725;39726;39727;39728;39729;39730;39731;39732;39733;39734;40429;40430;42236;42237;42238;42239;42240;42241;42242;42243;42247;42248;42249;42250;42251;42252;42253;42254;42255;42256;42257;42258;42259;42260;42261;42262;42596;42597;43208;43209;43210;43211;43430;43431;43432;43433;43434;43435;43436;43437;43438;43439;43440;46555;46556;46557;46558;70518;70519;70520;70521;70522;70523;70524;70525;70526;70527;70528;71388;71389;71390;71391;71392;71393;71394;71395;71396;71397;92077;92078;92079;92080;92081;98431;98432;98433;98434;98435;98436;98437;98438;98439;98440;98441;98442;109090;109091;109092;109093;109094,4192;4207;5596;14040;15383;18177;31308;31309;31391;39724;40429;42239;42255;42597;43211;43435;46556;70522;71389;92080;98439;109094,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_19,quanti,quanti,quanti,quanti
