Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF4-N1,Intensity DCAF4-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,1.2,28.2088630277455,28.393907238594,23.3742467175465,23.181870941087
Q6UXT9,Q6UXT9,2,2,2,Abhydrolase domain-containing protein 15,ABHD15,sp|Q6UXT9|ABH15_HUMAN Protein ABHD15 OS=Homo sapiens OX=9606 GN=ABHD15 PE=1 SV=2,2,2,5.1,24.0654608395217,24.0482160357303,4.44574164211784,4.39522505029433
I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,2;1;1;1,2;1;1;1,2;1;1;1,,ABR,tr|I3L3W0|I3L3W0_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L259|I3L259_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L2L,2,2,29.3,4.28381434908204,4.2995252600849,23.1248829926369,25.6563279666607
A0A087WYK6,A0A087WYK6,5,2,2,,ACACA,tr|A0A087WYK6|A0A087WYK6_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,5,2,81.6,24.4034063317465,24.578249673866,23.5321951458799,23.4512362702179
Q86TX2;G3V4F2,Q86TX2;G3V4F2,19;17,19;17,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,19,2,58.7,30.0332816695127,30.1187969069407,30.4605109843891,30.463339894737
Q9Y4W6;K7EP56,Q9Y4W6,3;1,2;1,2;1,AFG3-like protein 2,AFG3L2,sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,3,2,4.9,22.560482111986,22.6234602952941,23.8906895511704,23.405744994969
P23526,P23526,2,2,2,Adenosylhomocysteinase,AHCY,sp|P23526|SAHH_HUMAN Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,2,2,6.0,23.6779888351007,23.312851941828,4.44574164211784,4.39522505029433
Q5TGY3,Q5TGY3,2,2,2,AT-hook DNA-binding motif-containing protein 1,AHDC1,sp|Q5TGY3|AHDC1_HUMAN AT-hook DNA-binding motif-containing protein 1 OS=Homo sapiens OX=9606 GN=AHDC1 PE=1 SV=1,2,2,2.5,23.7077778597616,26.6243584042968,4.44574164211784,4.39522505029433
P54886,P54886,2,2,2,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,sp|P54886|P5CS_HUMAN Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens OX=9606 GN=ALDH18A1 PE=1 SV=2,2,2,3.5,22.4261889843557,23.6400869138743,21.9534035965864,23.1377060751557
Q495B1;D6RD28;A0A0C4DFZ5;A0A0C4DGZ7,Q495B1;D6RD28;A0A0C4DFZ5;A0A0C4DGZ7,2;1;1;1,2;1;1;1,2;1;1;1,Ankyrin repeat and death domain-containing protein 1A,ANKDD1A,sp|Q495B1|AKD1A_HUMAN Ankyrin repeat and death domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKDD1A PE=2 SV=2;tr|D6RD28|D6RD28_HUMAN Ankyrin repeat and death domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKDD1A PE=4 SV=1;tr|A0A0C4DFZ5,2,2,3.4,27.5490639545078,27.6753931762538,23.3721221777558,23.1797592546802
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.28381434908204,4.2995252600849,23.3003369184145,21.8010452032896
Q9NWB6,Q9NWB6,2,2,2,Arginine and glutamate-rich protein 1,ARGLU1,sp|Q9NWB6|ARGL1_HUMAN Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,2,2,5.5,24.9678960611419,24.9336859730775,4.44574164211784,4.39522505029433
P52565;J3QQX2;J3KTF8;J3KRE2,P52565;J3QQX2;J3KTF8;J3KRE2,2;2;2;1,2;2;2;1,2;2;2;1,Rho GDP-dissociation inhibitor 1,ARHGDIA,sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;tr|J3QQX2|J3QQX2_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=1;tr|J3KTF8|J3KTF8_HUMAN Rho GDP-dissociation inhibitor 1,2,2,14.2,24.8654716299953,25.0117571952789,25.99595566793,26.137156577394
Q66PJ3;F5GYV5;H7BZV4;A0A0C4DG62;F8WCT1;F8WEP2;A0A0C4DH18;F5H7X4,Q66PJ3;F5GYV5;H7BZV4;A0A0C4DG62;F8WCT1;F8WEP2;A0A0C4DH18;F5H7X4,2;2;2;2;2;1;1;1,2;2;2;2;2;1;1;1,2;2;2;2;2;1;1;1,ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4,sp|Q66PJ3|AR6P4_HUMAN ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens OX=9606 GN=ARL6IP4 PE=1 SV=2;tr|F5GYV5|F5GYV5_HUMAN ADP-ribosylation factor-like protein 6-interacting protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=ARL6IP,2,2,7.4,24.8903648549135,23.751543241872,4.44574164211784,4.39522505029433
P27540;D6RDB3;A6NGV6,P27540;D6RDB3;A6NGV6,2;1;1,2;1;1,2;1;1,Aryl hydrocarbon receptor nuclear translocator,ARNT,sp|P27540|ARNT_HUMAN Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1;tr|D6RDB3|D6RDB3_HUMAN Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1;tr|A6NGV6|A6NGV6_HUMAN Aryl hydroc,2,2,6.6,4.28381434908204,4.2995252600849,24.7211935005841,23.8311309294789
Q9NVM9;F5H5W1;F5H457,Q9NVM9;F5H5W1;F5H457,2;1;1,2;1;1,2;1;1,Protein asunder homolog,ASUN,sp|Q9NVM9|INT13_HUMAN Integrator complex subunit 13 OS=Homo sapiens OX=9606 GN=INTS13 PE=1 SV=2;tr|F5H5W1|F5H5W1_HUMAN Integrator complex subunit 13 (Fragment) OS=Homo sapiens OX=9606 GN=INTS13 PE=1 SV=1;tr|F5H457|F5H457_HUMAN Integrator complex subunit 13,2,2,3.7,4.28381434908204,4.2995252600849,22.8455015363487,23.571379547041
