Gene_names,GNB2_vs_BirA_logFC,GNB2_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_GNB2_N1,Peptides_GNB2_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_GNB2_N1,Razor___unique_peptides_GNB2_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_GNB2_N1,Unique_peptides_GNB2_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_GNB2_N1,Identification_type_GNB2_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_GNB2_N1,Ratio_H_L_GNB2_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_GNB2_N1,Ratio_H_L_normalized_GNB2_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____GNB2_N1,Ratio_H_L_variability_____GNB2_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_GNB2_N1,Ratio_H_L_count_GNB2_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_GNB2_N1,Ratio_H_L_iso_count_GNB2_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_GNB2_N1,Ratio_H_L_type_GNB2_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_GNB2_N1____,Sequence_coverage_GNB2_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_GNB2_N1,Intensity_L_GNB2_N1,Intensity_H_GNB2_N1,Intensity_GNB2_N2,Intensity_L_GNB2_N2,Intensity_H_GNB2_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_GNB2_N1,metacell_Intensity_L_GNB2_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HDLBP,0.885867131381442,0.134003229353954,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",19,6,6,6,3,4,5,3,3,4,5,3,3,4,5,3,6.2,6.2,6.2,141.45,1268,1268;1268;224;141;973;332;221;164;147;128;126;96;81;79;69;53;46;19;17,0.0,21.869,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.66471,1.885,22.921,18,3,Leave out requantified,0.70857,0.98858,0.59384,0.68475,2.2744,2.547,1.8376,2.0294,35.092,19.513,23.287,9.195,3,4,7,4,0,1,0,2,Leave out requantified,Leave out requantified,Leave out requantified,Median,2.8,4.0,5.4,3.1,609600000,351960000,257640000,82838000,47807000,35031000,103830000,48663000,55162000,260900000,163360000,97534000,162040000,92127000,69915000,,,,1,588;1854;2010;11963;15711;16653,True;True;True;True;True;True,741;2482;2678;2679;16254;16255;21018;22210,1689;1690;5806;6290;6291;6292;36488;36489;36490;36491;36492;36493;46913;46914;49727;49728;49729;49730,3016;3017;3018;3019;10738;11607;11608;11609;65337;65338;65339;65340;65341;65342;65343;83726;88729;88730;88731;88732;88733;88734;88735;88736;88737;88738;88739;88740,3019;10738;11609;65340;83726;88740,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-1.86742886455351,0.0741737393344278,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,11;11;4;3;1,11;11;4;3;1,11;11;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,11,11,11,8,8,2,6,8,8,2,6,8,8,2,6,53.8,53.8,53.8,25.898,234,234;234;164;48;36,0.0,20.121,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33206,0.97268,16.399,28,6,Leave out requantified,0.2832,0.35815,0.20943,0.36253,0.91895,0.99766,0.69388,0.99922,20.977,11.69,14.211,18.401,8,8,3,9,1,0,0,5,Leave out requantified,Leave out requantified,Plateau,Leave out requantified,41.5,41.5,17.5,33.8,1638500000,1217900000,420630000,483000000,371200000,111810000,617120000,451360000,165760000,98082000,74264000,23818000,440270000,321030000,119240000,,,,2,511;1858;6586;6721;9017;11861;12056;15864;16822;16823;20961,True;True;True;True;True;True;True;True;True;True;True,646;2486;8916;8917;9130;12290;12291;16135;16386;21220;22424;22425;22426;27852,1467;1468;5812;5813;20065;20066;20067;20068;20609;20610;20611;27683;27684;27685;27686;27687;36208;36209;36818;36819;47405;47406;50223;50224;50225;50226;62629;62630,2609;2610;10744;36357;36358;36359;36360;36361;36362;36363;36364;36365;36366;36367;36368;36369;36370;36371;37399;37400;37401;37402;37403;37404;50257;50258;50259;64887;66016;66017;66018;66019;84680;84681;84682;84683;84684;89662;89663;89664;89665;112959;112960,2609;10744;36369;37399;50257;64887;66016;84684;89662;89664;112960,0,,64,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,0.579887304938538,0.376268427824615,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,10.306,By MS/MS,By MS/MS,By matching,By MS/MS,0.61345,1.4985,12.034,7,0,Leave out requantified,0.46795,0.62493,0.68923,0.63661,1.1676,1.3341,1.6049,1.8966,,9.0673,21.734,5.8091,1,2,2,2,0,0,0,0,Median,Median,Median,Median,1.1,2.0,2.0,2.0,167340000,98235000,69109000,16787000,10550000,6236800,38951000,21741000,17210000,35360000,22187000,13174000,76246000,43758000,32489000,,,,3,10476;10823,True;True,14329;14802,32195;32196;32197;33265;33266;33267;33268,58071;58072;58073;59847;59848;59849;59850;59851;59852,58073;59851,,,,,-1;-1;-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
EPPK1,18.3233741033166,2.28135201026827e-06,P58107;A0A075B730,P58107;A0A075B730,12;12,2;2,2;2,Epiplakin,sp|P58107|EPIPL_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3;tr|A0A075B730|A0A075B730_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=2,2,12,2,2,1,0,10,9,0,0,1,1,0,0,1,1,8.7,2.1,2.1,555.65,5088,5088;5063,0.039839,0.75838,By matching,,By MS/MS,By MS/MS,0.86405,1.9701,234.75,2,2,Median,,,0.22739,3.2832,,,0.37462,10.36,,,,,0,0,1,1,0,0,1,1,Median,Median,Median,Median,0.2,0.0,8.1,5.5,53724000,20160000,33565000,0,0,0,0,0,0,5672800,4978900,693910,48051000,15181000,32871000,,,,7,4039;5334;5895;6552;10740;10742;10743;10744;14908;19594;19595;19596,True;False;False;False;False;False;False;False;True;False;False;False,5341;7119;7120;7958;8850;14700;14701;14704;14705;14706;14707;19996;26085;26086;26087;26088,12118;16012;16013;16014;16015;17949;19897;33030;33031;33032;33033;33034;33035;33043;33044;33045;33046;33047;33048;33049;33050;33051;33052;44641;58723;58724;58725;58726;58727;58728;58729;58730,22116;29149;29150;29151;29152;29153;29154;29155;32604;36030;59443;59444;59445;59446;59447;59448;59449;59450;59451;59452;59453;59470;59471;59472;59473;59474;59475;59476;59477;59478;59479;59480;59481;59482;59483;59484;59485;59486;59487;79778;79779;105991;105992;105993;105994;105995;105996;105997;105998;105999;106000;106001;106002,22116;29151;32604;36030;59445;59473;59481;59485;79778;105993;105998;106001,,,,,-1;-1,protein_8,quanti,quanti,imputed MEC,imputed MEC
PDE4DIP,19.4550603898461,1.65922502264373e-07,Q5VU43;A0A087WX83;A0A075B749;E9PQG4,Q5VU43;A0A087WX83;A0A075B749;E9PQG4,2;2;2;1,2;2;2;1,2;2;2;1,Myomegalin,sp|Q5VU43|MYOME_HUMAN Myomegalin OS=Homo sapiens OX=9606 GN=PDE4DIP PE=1 SV=3;tr|A0A087WX83|A0A087WX83_HUMAN Myomegalin OS=Homo sapiens OX=9606 GN=PDE4DIP PE=1 SV=1;tr|A0A075B749|A0A075B749_HUMAN Myomegalin OS=Homo sapiens OX=9606 GN=PDE4DIP PE=1 SV=2;tr|E,4,2,2,2,0,0,1,1,0,0,1,1,0,0,1,1,1.2,1.2,1.2,265.1,2346,2346;2431;2482;740,0.04321,0.74216,,,By MS/MS,By MS/MS,0.40317,1.1433,140.64,2,1,Median,,,0.15407,1.055,,,0.42294,3.0908,,,,,0,0,1,1,0,0,0,1,Median,Median,Median,Median,0.0,0.0,0.7,0.5,55747000,38114000,17633000,0,0,0,0,0,0,22583000,19584000,2999000,33164000,18530000,14634000,,,,8,1441;16468,True;True,1936;21982,4474;49162,8127;87787,8127;87787,3,,414,,-1;-1;-1;-1,protein_9,quanti,quanti,imputed MEC,imputed MEC
TXNRD1,-1.32313135985655,0.159921252573488,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3,20;20;20;20;20;20;17;11;6;6;4;4;3;2;1;1;1;1;1;1;1,20;20;20;20;20;20;17;11;6;6;4;4;3;2;1;1;1;1;1;1;1,20;20;20;20;20;20;17;11;6;6;4;4;3;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,20,20,20,10,16,6,12,10,16,6,12,10,16,6,12,42.1,42.1,42.1,70.905,649,649;498;648;568;548;482;460;175;103;139;70;72;53;44;494;501;523;524;338;306;463,0.0,59.884,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29614,0.74956,23.206,51,13,Leave out requantified,0.20536,0.31156,0.32021,0.2922,0.72991,0.91268,1.0788,0.88244,22.836,17.938,7.1422,22.187,11,18,6,16,2,6,3,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.4,38.4,14.9,25.1,3344800000,2555900000,788900000,861450000,707330000,154110000,1112900000,805050000,307850000,273890000,205680000,68208000,1096500000,837810000,258730000,,,,10,3628;4321;4569;5328;7423;8949;9081;9356;9388;11092;12646;14351;14352;16949;19481;19949;19990;20115;20267;20836,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4822;5718;6075;7110;10092;12185;12398;12845;12846;12896;12897;15157;17109;19270;19271;22580;25933;25934;26521;26588;26589;26770;26771;26963;27699,11067;11068;12967;13707;13708;13709;13710;13711;15989;22792;22793;27490;27944;28867;28868;28962;28963;28964;28965;28966;28967;34058;38440;38441;38442;43167;43168;43169;43170;43171;43172;50593;58354;58355;58356;58357;58358;59681;59861;59862;59863;59864;59865;60274;60275;60276;60709;60710;60711;60712;62300,20330;20331;20332;23660;24942;24943;24944;24945;24946;24947;24948;24949;24950;24951;29111;41366;41367;49925;50681;52054;52055;52191;52192;52193;52194;52195;52196;52197;52198;52199;52200;52201;61312;68951;68952;68953;68954;68955;68956;77380;77381;77382;77383;77384;77385;77386;77387;77388;77389;77390;90323;105209;105210;105211;105212;105213;105214;105215;105216;105217;107735;108088;108089;108090;108091;108092;108093;108094;108095;108096;108097;108098;108099;108100;108101;108102;108865;108866;108867;108868;108869;108870;108871;108872;109614;109615;109616;109617;109618;109619;109620;109621;109622;109623;109624;109625;109626;109627;112346;112347,20332;23660;24945;29111;41366;49925;50681;52055;52197;61312;68956;77386;77390;90323;105216;107735;108100;108872;109616;112347,4;5,,187;274,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
HMOX2,1.74359402094916,0.0660146435993559,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,8,4,4,4,1,4,1,1,1,4,1,1,1,4,1,1,20.3,20.3,20.3,36.032,316,316;229;238;370;110;130;131;132,0.0,8.3929,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42683,1.0139,13.015,11,2,Leave out requantified,0.5018,0.45056,0.33216,0.4184,1.563,1.0139,1.1544,1.2206,,14.057,23.543,10.046,1,4,3,3,0,1,1,0,Median,Leave out requantified,Median,Median,6.0,20.3,6.0,6.0,729580000,502370000,227210000,29652000,21118000,8533300,119410000,82523000,36883000,379380000,251550000,127830000,201150000,147180000,53966000,,,,12,3352;7516;12869;20942,True;True;True;True,4466;10207;10208;17391;27829,10285;23069;23070;23071;23072;23073;23074;23075;23076;39004;62579,18909;41871;41872;41873;41874;41875;41876;41877;41878;41879;41880;41881;41882;41883;41884;41885;41886;41887;41888;41889;41890;41891;41892;41893;41894;41895;41896;41897;69827;112888,18909;41883;69827;112888,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
NDUFS7,1.63875550595422,0.0217454484344271,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,3,3,3,1,1,3,2,1,1,3,2,1,1,3,2,20.7,20.7,20.7,23.563,213,213;182;214;214;236,0.0,3.0879,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.58622,1.532,83.189,7,1,Leave out requantified,0.57883,0.59369,0.55531,1.1911,1.3537,1.2412,1.7338,3.2444,,,81.267,67.684,1,1,3,2,0,0,0,1,Median,Median,Leave out requantified,Median,5.2,5.2,20.7,9.4,191740000,98525000,93210000,14775000,8271000,6504300,17203000,9797200,7405800,98093000,51615000,46478000,61664000,28841000,32823000,,,,16,9789;16610;20515,True;True;True,13453;22164;27270,30265;30266;49632;61383;61384;61385;61386,54575;54576;54577;88579;88580;110784,54576;88579;110784,,,,,-1;-1;-1;-1;-1,protein_17,quanti,quanti,quanti,quanti
KHSRP,-0.0666739641274106,0.888309690778753,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0R251;M0QYG1;M0R263;M0R0C6,Q92945;A0A087WTP3;M0R0I5,23;23;15;9;6;3;1;1;1;1,20;20;13;7;5;2;0;0;0;0,20;20;13;7;5;2;0;0;0;0,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,10,23,20,20,12,13,19,16,10,12,17,15,10,12,17,15,38.0,33.5,33.5,73.114,711,711;711;279;169;116;269;79;114;143;176,0.0,136.14,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43102,1.3692,17.794,57,8,Leave out requantified,0.39889,0.4807,0.42533,0.46626,1.412,1.338,1.4516,1.4046,14.577,13.055,20.722,29.6,10,12,19,16,1,1,3,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,34.2,30.9,4942500000,3376400000,1566200000,976380000,671810000,304580000,1158500000,772440000,386020000,1682600000,1158300000,524320000,1125100000,773830000,351250000,,,,20,782;783;1016;1110;2396;2720;3126;5459;5460;6910;7045;7386;7390;7557;7586;8729;9019;9680;12667;12853;16891;17942;19627,False;False;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1003;1004;1005;1325;1468;1469;3189;3617;4172;7320;7321;9427;9428;9629;10043;10047;10048;10257;10298;11837;12293;12294;13305;17135;17371;22512;23871;26122,2309;2310;2311;2312;2313;2314;2315;3079;3080;3081;3082;3427;3428;7491;8370;8371;9651;9652;16514;16515;16516;21307;21308;21309;21310;21311;21312;21754;22686;22687;22688;22689;22694;22695;22696;22697;22698;22699;23196;23197;23298;23299;23300;23301;26779;27690;27691;29881;29882;38487;38488;38489;38490;38966;38967;38968;50427;50428;50429;50430;53487;53488;53489;53490;58799;58800,4136;4137;4138;4139;4140;4141;4142;4143;4144;4145;4146;4147;4148;4149;4150;4151;4152;4153;4154;4155;4156;5617;5618;5619;5620;5621;5622;5623;5624;6259;6260;13895;15356;15357;15358;17818;17819;17820;30105;30106;30107;38726;38727;38728;38729;38730;38731;38732;38733;38734;38735;38736;38737;38738;38739;38740;38741;38742;38743;38744;38745;38746;39504;39505;41158;41159;41160;41161;41162;41163;41164;41165;41169;41170;41171;41172;41173;41174;41175;41176;41177;41178;41179;41180;41181;41182;41183;41184;41185;41186;41187;42139;42140;42141;42339;42340;42341;42342;42343;42344;42345;42346;42347;42348;42349;48728;50263;50264;50265;53862;53863;53864;69025;69026;69027;69028;69029;69030;69031;69768;69769;69770;69771;69772;69773;69774;90013;90014;90015;90016;90017;90018;90019;90020;90021;95813;95814;95815;95816;95817;95818;95819;95820;95821;95822;95823;106120;106121;106122;106123,4137;4149;5618;6260;13895;15358;17819;30105;30107;38734;39504;41164;41178;42139;42343;48728;50263;53863;69031;69768;90013;95821;106123,7;8,,205;251,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_21,quanti,quanti,quanti,quanti
PYCR2,0.925645063490858,0.146386500916929,Q96C36;A0A087WTV6;J3KR12;A0A087WX69;A0A087WZF0;A0A087WZR9,Q96C36;A0A087WTV6;J3KR12,5;5;5;1;1;1,4;4;4;1;1;0,4;4;4;1;1;0,Pyrroline-5-carboxylate reductase 2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,5,4,4,3,2,4,3,2,1,3,2,2,1,3,2,20.3,16.2,16.2,33.637,320,320;246;359;87;157;319,0.0,20.389,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55665,1.5113,22.872,8,1,Leave out requantified,0.58045,0.60487,0.51227,0.54225,1.4289,1.547,1.7617,1.5052,7.9277,,66.801,46.412,2,1,3,2,0,0,1,0,Median,Median,Median,Median,11.2,9.1,18.1,14.4,271730000,154400000,117330000,31401000,19066000,12335000,33472000,21612000,11860000,137950000,77266000,60685000,68901000,36455000,32446000,,,,21,5423;7526;12612;16123;16813,True;True;True;False;True,7271;10221;17063;21557;21558;22412,16413;23110;23111;38337;48181;48182;48183;48184;48185;48186;48187;48188;48189;48190;48191;50188;50189;50190;50191,29921;29922;41964;68777;86066;86067;86068;86069;86070;86071;86072;86073;86074;86075;86076;86077;86078;86079;86080;86081;86082;86083;86084;86085;86086;86087;86088;86089;86090;86091;86092;89576;89577;89578;89579;89580;89581;89582;89583;89584;89585;89586;89587;89588;89589;89590;89591;89592;89593;89594;89595;89596;89597;89598,29922;41964;68777;86076;89589,,,,,-1;-1;-1;-1;-1;-1,protein_22,quanti,quanti,quanti,quanti
