Gene_names,POC1B_vs_BirA_logFC,POC1B_vs_BirA_pval,ID,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_POC1B_N1,Peptides_POC1B_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_POC1B_N1,Razor___unique_peptides_POC1B_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_POC1B_N1,Unique_peptides_POC1B_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_POC1B_N1,Identification_type_POC1B_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_POC1B_N1,Ratio_H_L_POC1B_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_POC1B_N1,Ratio_H_L_normalized_POC1B_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____POC1B_N1,Ratio_H_L_variability_____POC1B_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_POC1B_N1,Ratio_H_L_count_POC1B_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_POC1B_N1,Ratio_H_L_iso_count_POC1B_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_POC1B_N1,Ratio_H_L_type_POC1B_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_POC1B_N1____,Sequence_coverage_POC1B_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_POC1B_N1,Intensity_L_POC1B_N1,Intensity_H_POC1B_N1,Intensity_POC1B_N2,Intensity_L_POC1B_N2,Intensity_H_POC1B_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_POC1B_N1,metacell_Intensity_L_POC1B_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
SERPINB6,2.21229807028713,0.0016550250597877,protein_1,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,3;3;3;3;2,3;3;3;3;2,3;3;3;3;2,Serpin B6,sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3;tr|A0A2R8YD12|A0A2R8YD12_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0,5,3,3,3,1,1,3,2,1,1,3,2,1,1,3,2,10.6,10.6,10.6,42.621,376,376;332;380;395;171,0.0,5.5611,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39082,0.81272,12.611,7,3,Leave out requantified,0.416,0.55399,0.37204,0.36719,0.94878,1.0771,0.86866,0.76038,,,26.192,5.7918,1,1,3,2,1,1,1,0,Median,Median,Plateau,Median,2.7,2.7,10.6,6.6,109350000,78192000,31161000,11834000,8098900,3734700,13509000,8089900,5418700,52117000,38441000,13676000,31894000,23562000,8331100,,,,0,3293;5531;9331,True;True;True,3441;5789;9785,9981;9982;16746;28335;28336;28337;28338,19324;19325;32746;54544;54545;54546;54547,19325;32746;54547,,,,,-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,-0.434283647055999,0.27235420123606,protein_2,Q00341;A0A024R4E5;C9JHS7;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C0A4;H0Y394;C9JHS9,Q00341;A0A024R4E5;C9JHS7;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6,4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1;1,4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1;1,4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHS7|C9JHS7_HUMAN Vigilin (Fragment) O",19,4,4,4,3,4,3,2,3,4,3,2,3,4,3,2,4.0,4.0,4.0,141.45,1268,1268;1268;126;224;221;164;147;141;128;96;81;79;69;53;46;19;332;973;17,0.0,8.1703,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.0877,2.4251,27.408,12,3,Leave out requantified,0.70857,0.98858,1.0698,1.158,2.2744,2.547,2.309,2.498,35.092,19.513,34.137,6.14,3,4,3,2,0,1,1,1,Leave out requantified,Leave out requantified,Plateau,Median,2.8,4.0,3.3,2.4,308300000,156670000,151630000,82838000,47807000,35031000,103830000,48663000,55162000,75807000,39369000,36437000,45831000,20834000,24997000,,,,1,1621;9290;11955;12714,True;True;True;True,1695;9739;12552;13343,5143;5144;5145;28206;28207;28208;35915;35916;38200;38201;38202;38203,10202;10203;10204;10205;10206;54264;54265;54266;68879;73177;73178;73179;73180;73181;73182;73183;73184,10203;54266;68879;73181,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-0.686690426342878,0.0541681698652691,protein_3,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,10;10;4;3;1,10;10;4;3;1,10;10;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,10,10,10,8,9,5,5,8,9,5,5,8,9,5,5,54.3,54.3,54.3,25.898,234,234;234;164;48;36,0.0,33.286,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35821,0.95527,11.994,27,2,Leave out requantified,0.2832,0.35815,0.41371,0.45697,0.91895,0.99766,0.91617,0.93411,20.977,11.69,17.25,11.603,8,9,5,5,1,1,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.5,46.2,38.5,38.5,1760200000,1291600000,468630000,483000000,371200000,111810000,657960000,486650000,171310000,374110000,263330000,110790000,245170000,170450000,74724000,,,,2,154;424;1495;5196;5307;7108;9206;9370;12087;16076,True;True;True;True;True;True;True;True;True;True,156;437;1564;5427;5544;7456;9655;9827;12690;16852,429;1248;1249;4756;4757;15662;15663;16030;16031;16032;16033;21536;21537;21538;21539;27955;27956;27957;27958;28460;28461;28462;28463;36312;36313;48387;48388,796;2399;2400;9429;30396;30397;30398;30399;30400;30401;30402;30403;30404;31183;31184;31185;31186;31187;31188;31189;31190;31191;31192;31193;31194;31195;41948;53823;54840;54841;54842;54843;54844;54845;54846;54847;69668;69669;69670;69671;69672;93518,796;2399;9429;30397;31193;41948;53823;54842;69672;93518,,,,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,0.921028398983083,0.0656772795158922,protein_4,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,3;3;3;3;2;2;2,3;3;3;3;2;2;2,3;3;3;3;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,7,3,3,3,1,2,2,3,1,2,2,3,1,2,2,3,3.2,3.2,3.2,119.41,1132,1132;1077;1126;1132;515;742;742,0.0,11.711,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54767,1.208,4.8095,8,3,Leave out requantified,0.46795,0.62493,0.61951,0.52879,1.1676,1.3341,1.2501,1.034,,9.0673,0.21016,11.63,1,2,2,3,0,0,1,2,Median,Median,Median,Median,1.1,2.0,2.0,3.2,127590000,78509000,49080000,16787000,10550000,6236800,38951000,21741000,17210000,32308000,20948000,11360000,39544000,25270000,14274000,,,,3,672;8182;8439,True;True;True,694;8599;8868,1983;24956;24957;24958;24959;25785;25786;25787;25788,3827;48379;48380;48381;48382;48383;48384;48385;49878;49879;49880;49881;49882;49883;49884;49885,3827;48384;49884,,,,,-1;-1;-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
TXNRD1,-0.682457708843067,0.0222209161897855,protein_8,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,19;19;19;19;19;19;16;11;6;5;4;4;3;1;1;1;1;1;1;1;1,19;19;19;19;19;19;16;11;6;5;4;4;3;1;1;1;1;1;1;1;1,19;19;19;19;19;19;16;11;6;5;4;4;3;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,19,19,19,10,17,12,11,10,17,12,11,10,17,12,11,40.8,40.8,40.8,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,48.333,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44201,1.0289,33.019,56,14,Leave out requantified,0.20536,0.31156,0.60938,0.61327,0.72991,0.91268,1.3836,1.4035,22.836,17.938,21.15,16.793,12,19,13,12,3,7,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.4,38.4,29.6,27.1,3347400000,2368100000,979310000,894700000,733610000,161090000,1170000000,845750000,324250000,680410000,415760000,264650000,602300000,372980000,229320000,,,,7,2866;3605;4191;4192;5845;7159;7362;7384;9820;10908;11069;11070;12963;14933;15290;15322;15426;15531;15981,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3000;3760;4367;4368;6110;7511;7737;7761;10296;11439;11625;11626;13602;15669;16039;16078;16185;16292;16752,8808;8809;10839;10840;10841;10842;10843;10844;12589;12590;12591;17609;17610;21704;21705;21706;22325;22398;22399;22400;22401;22402;22403;22404;22405;29754;29755;29756;32962;33422;33423;33424;33425;33426;33427;38946;45022;45023;45024;45025;46043;46193;46194;46195;46196;46517;46518;46519;46520;46827;46828;46829;46830;48110;48111;48112,17206;17207;17208;20984;20985;20986;20987;20988;20989;20990;20991;20992;20993;20994;24445;24446;34374;34375;42240;42241;42242;42243;42244;42245;42246;42247;42248;43295;43428;43429;43430;43431;43432;43433;43434;43435;43436;43437;43438;43439;57281;57282;57283;57284;57285;63392;64284;64285;64286;64287;64288;64289;64290;64291;64292;64293;64294;74576;87053;87054;87055;87056;87057;87058;87059;87060;89070;89354;89355;89356;89357;89358;89359;89360;89361;89362;90002;90003;90004;90005;90006;90007;90008;90009;90567;90568;90569;90570;90571;90572;90573;90574;90575;90576;90577;90578;90579;90580;90581;90582;90583;90584;92892;92893;92894;92895,17208;20991;24445;24446;34374;42243;43295;43438;57284;63392;64289;64294;74576;87055;89070;89357;90005;90573;92895,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_8,quanti,quanti,quanti,quanti
HMOX2,-1.08560354559471,0.13009706232287,protein_10,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,3;3;3;3;1,3;3;3;3;1,3;3;3;3;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,5,3,3,3,1,3,1,1,1,3,1,1,1,3,1,1,13.0,13.0,13.0,36.032,316,316;229;238;370;110,0.0,5.0321,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52239,1.165,28.893,6,1,Leave out requantified,0.5018,0.45056,0.62211,0.73504,1.563,0.94976,1.3067,1.5795,,18.691,,,1,3,1,1,0,1,0,0,Median,Median,Median,Median,6.0,13.0,6.0,6.0,173180000,115410000,57765000,29652000,21118000,8533300,95160000,65726000,29434000,20858000,11906000,8951900,27508000,16662000,10846000,,,,9,5909;9991;16064,True;True;True,6176;10477;16840,17825;17826;17827;17828;30222;48353,34806;34807;34808;34809;34810;34811;34812;34813;34814;34815;34816;34817;58094;93450,34811;58094;93450,,,,,-1;-1;-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
EIF2B4,0.256156491944378,0.512663640015736,protein_11,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,3,3,3,2,1,2,2,2,1,2,2,2,1,2,2,7.6,7.6,7.6,57.557,523,523;520;544;194;228;235,0.0,11.175,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47793,1.0836,7.6109,7,1,Leave out requantified,1.1583,0.43715,0.51797,0.51679,3.831,1.107,1.0849,1.0898,166.4,,19.331,3.1285,2,1,2,2,1,0,0,0,Median,Median,Median,Median,4.4,2.1,5.4,5.4,194780000,113070000,81706000,75850000,34652000,41198000,32800000,23465000,9334600,47393000,30388000,17006000,38735000,24568000,14168000,,,,10,11364;14435;15155,True;True;True,11933;15126;15899,34215;34216;43381;43382;43383;43384;45634,65710;65711;65712;83733;83734;83735;83736;83737;83738;83739;83740;88251,65712;83735;88251,,,,,-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
UCHL3,20.3684343177812,1.10473213676701e-07,protein_12,P15374;A0A087WTB8;Q5TBK7,P15374;A0A087WTB8;Q5TBK7,3;3;3,3;3;3,3;3;3,Ubiquitin carboxyl-terminal hydrolase isozyme L3;Ubiquitin carboxyl-terminal hydrolase,sp|P15374|UCHL3_HUMAN Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Homo sapiens OX=9606 GN=UCHL3 PE=1 SV=1;tr|A0A087WTB8|A0A087WTB8_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=UCHL3 PE=1 SV=1;tr|Q5TBK7|Q5TBK7_HUMAN Ubiquit,3,3,3,3,0,0,3,2,0,0,3,2,0,0,3,2,15.7,15.7,15.7,26.182,230,230;194;228,0.0,3.4529,,,By MS/MS,By MS/MS,0.51977,1.1378,7.7529,4,1,Median,,,0.5265,0.51977,,,1.0875,1.1378,,,12.473,2.0909,0,0,2,2,0,0,1,0,Median,Median,Median,Median,0.0,0.0,15.7,10.0,86648000,56855000,29793000,0,0,0,0,0,0,40615000,26620000,13996000,46033000,30236000,15797000,,,,11,3584;12558;15975,True;True;True,3739;13183;16746,10789;37732;37733;48100;48101,20896;72370;92879;92880;92881;92882,20896;72370;92880,,,,,-1;-1;-1,protein_12,quanti,quanti,imputed MEC,imputed MEC
KHSRP,-0.0984766975748954,0.632588670353072,protein_14,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,17;17;11;8;5;2,15;15;9;6;4;2,15;15;9;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,17,15,15,12,14,12,12,10,13,12,12,10,13,12,12,30.0,27.4,27.4,73.114,711,711;711;279;169;116;269,0.0,108.43,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48647,1.2737,29.81,47,4,Leave out requantified,0.39889,0.4807,0.5509,0.53111,1.412,1.338,1.2086,1.2162,14.577,13.055,37.709,10.656,10,13,12,12,1,2,1,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,21.5,23.9,3967100000,2587800000,1379300000,976380000,671810000,304580000,1227700000,806910000,420750000,952520000,610100000,342420000,810550000,498980000,311570000,,,,13,648;649;690;832;2140;4300;4301;5450;5818;5821;5968;7110;9834;9980;12913;13751;15041,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,670;671;712;863;2245;4481;4482;5701;6081;6084;6235;7458;10310;10466;13552;14416;15779,1909;1910;1911;1912;1913;2020;2533;2534;2535;2536;6714;6715;6716;12926;12927;12928;16502;16503;16504;16505;17534;17535;17536;17537;17541;17542;17543;17544;18019;18020;18021;18022;21542;29788;29789;29790;29791;30201;30202;30203;30204;38799;38800;38801;38802;41255;41256;41257;41258;45349;45350;45351,3690;3691;3692;3693;3694;3695;3696;3697;3698;3699;3700;3701;3702;3703;3704;3705;3706;3896;4935;4936;4937;4938;4939;4940;4941;13209;13210;13211;13212;25187;25188;25189;32255;32256;32257;32258;32259;32260;32261;32262;32263;32264;34207;34208;34209;34210;34211;34212;34213;34214;34218;34219;34220;34221;34222;34223;34224;34225;34226;34227;34228;34229;35222;35223;35224;35225;35226;35227;35228;35229;35230;41950;41951;57354;57355;57356;57357;57358;57359;57360;58062;58063;58064;58065;58066;58067;58068;58069;74277;74278;74279;74280;74281;74282;74283;74284;74285;79357;79358;79359;79360;79361;87752;87753;87754;87755;87756,3691;3699;3896;4938;13210;25187;25189;32259;34210;34229;35227;41951;57356;58062;74279;79357;87755,,,,,-1;-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
PABPC1;PABPC3,2.0485791013882,0.0020627562008236,protein_15,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361;H0YBN4;E5RGH3;E5RJB9;H0YAP2;E5RH24;H0YB86;Q4VXU2;E5RHG7;H0YB75;H0YC10;E5RGC4;H0YAS6;E5RFD8;Q96DU9;H0YAS7,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361,28;28;27;26;16;14;10;9;9;8;8;8;4;3;1;1;1;1;1;1;1,28;28;27;26;16;14;10;9;9;8;8;8;4;3;1;1;1;1;1;1;1,15;15;15;14;11;8;3;2;1;8;1;5;2;0;1;1;0;1;0;1;1,Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein 3,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein ,21,28,28,15,14,9,22,22,14,9,22,22,7,2,12,11,39.5,39.5,21.9,70.67,636,636;522;591;604;284;631;174;108;129;131;118;165;614;75;183;42;43;169;61;382;136,0.0,118.06,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39048,0.89164,13.782,74,11,Leave out requantified,0.28599,0.30266,0.39683,0.38632,1.0101,0.84487,0.88973,0.8903,27.65,10.153,14.29,13.493,14,9,26,25,6,1,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.7,15.6,33.2,32.9,5562200000,3983100000,1579100000,698640000,513790000,184850000,553230000,412050000,141180000,2254700000,1594700000,660060000,2055600000,1462600000,593040000,,,,14,891;996;1256;1866;2746;3442;3842;4213;4218;4219;5171;6272;6273;6632;6658;6659;6919;7293;9997;10338;10509;11023;11550;12154;12155;12257;12258;16120,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,925;1036;1317;1960;2873;3592;4007;4390;4395;4396;5395;6564;6565;6937;6966;6967;7242;7655;10483;10847;11021;11577;12125;12762;12763;12869;12870;16899,2732;2733;2734;2735;3072;3073;3074;3075;3076;3961;3962;5950;8463;8464;8465;10397;11540;11541;11542;11543;12660;12661;12676;12677;12678;12679;15554;15555;19016;19017;19018;19019;19020;19021;20096;20192;20193;20194;20195;20196;20197;20916;20917;20918;20919;22100;30238;31284;31285;31286;31287;31288;31784;31785;31786;33294;34734;34735;34736;34737;36533;36534;36535;36536;36829;36830;36831;36832;36833;36834;36835;48524;48525;48526;48527,5339;5340;5341;5342;5343;5344;5345;5980;5981;5982;5983;5984;5985;5986;5987;5988;5989;5990;5991;7836;7837;7838;7839;7840;7841;11814;11815;16526;16527;16528;16529;16530;20159;22317;22318;22319;22320;22321;22322;22323;22324;22325;22326;22327;22328;22329;22330;22331;24573;24574;24575;24576;24577;24578;24579;24580;24617;24618;24619;24620;24621;24622;24623;24624;30184;30185;30186;30187;37202;37203;37204;37205;37206;37207;37208;37209;37210;37211;37212;37213;39108;39109;39296;39297;39298;39299;39300;39301;39302;39303;39304;39305;39306;39307;39308;39309;39310;39311;39312;39313;40682;40683;40684;40685;40686;40687;40688;40689;40690;40691;42934;58113;60164;60165;60166;60167;60168;60169;61113;61114;61115;61116;61117;61118;64041;66712;66713;66714;66715;66716;66717;66718;66719;66720;66721;70161;70162;70163;70164;70165;70166;70668;70669;70670;70671;70672;70673;70674;70675;70676;70677;70678;93806;93807;93808;93809;93810;93811;93812;93813;93814;93815;93816;93817;93818;93819;93820;93821;93822;93823,5342;5990;7841;11815;16529;20159;22320;24580;24618;24624;30184;37202;37213;39108;39307;39309;40691;42934;58113;60168;61114;64041;66721;70165;70166;70674;70676;93812,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
