Gene_names,EED_vs_BirA_logFC,EED_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_EED_N1,Peptides_EED_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_EED_N1,Razor___unique_peptides_EED_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_EED_N1,Unique_peptides_EED_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_EED_N1,Identification_type_EED_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_EED_N1,Ratio_H_L_EED_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_EED_N1,Ratio_H_L_normalized_EED_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____EED_N1,Ratio_H_L_variability_____EED_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_EED_N1,Ratio_H_L_count_EED_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_EED_N1,Ratio_H_L_iso_count_EED_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_EED_N1,Ratio_H_L_type_EED_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_EED_N1____,Sequence_coverage_EED_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_EED_N1,Intensity_L_EED_N1,Intensity_H_EED_N1,Intensity_EED_N2,Intensity_L_EED_N2,Intensity_H_EED_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_EED_N1,metacell_Intensity_L_EED_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HDLBP,0.738760446702553,0.268702580833233,Q00341;A0A024R4E5;C9JHZ8;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7;H0Y394;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JHZ8;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7,7;7;4;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,7;7;4;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,7;7;4;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHZ8|C9JHZ8_HUMAN Vigilin (Fragment) O",19,7,7,7,3,4,6,3,3,4,6,3,3,4,6,3,6.9,6.9,6.9,141.45,1268,1268;1268;141;332;224;221;164;147;126;973;128;96;81;79;69;53;46;19;17,0.0,13.455,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.76974,2.3193,13.617,17,2,Leave out requantified,0.70857,0.98858,0.77369,0.81566,2.2744,2.547,2.1573,2.2839,35.092,19.513,15.696,5.0314,3,4,7,3,0,1,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Median,2.8,4.0,6.2,3.1,635470000,345620000,289840000,82838000,47807000,35031000,103830000,48663000,55162000,314130000,179110000,135020000,134670000,70045000,64625000,,,,1,555;1570;1899;6611;11167;14529;15411,True;True;True;True;True;True;True,687;2055;2461;2462;8793;14823;19012;20106,1561;1562;4794;5784;5785;5786;19946;33300;33301;33302;33303;42469;42470;45072;45073;45074;45075,2865;2866;2867;2868;2869;2870;9137;9138;11010;11011;37145;60867;60868;60869;60870;60871;60872;77066;81786;81787;81788;81789;81790;81791;81792;81793;81794;81795;81796;81797,2866;9138;11011;37145;60868;77066;81792,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-2.35490921210246,0.0338756633321908,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,10;10;4;3;1,10;10;4;3;1,10;10;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,10,10,10,8,8,2,6,8,8,2,6,8,8,2,6,53.8,53.8,53.8,25.898,234,234;234;164;48;36,0.0,20.035,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32329,0.91208,17.228,24,3,Leave out requantified,0.2832,0.35815,0.2066,0.28741,0.91895,0.99766,0.58223,0.76504,20.977,11.69,7.3233,11.201,8,8,2,6,1,0,0,2,Leave out requantified,Leave out requantified,Median,Leave out requantified,41.5,41.5,15.4,42.7,1480500000,1097000000,383500000,483000000,371200000,111810000,617120000,451360000,165760000,74690000,57030000,17661000,305680000,217400000,88277000,,,,2,482;1754;6098;6225;8366;11063;11254;14667;15569;19403,True;True;True;True;True;True;True;True;True;True,600;2284;8050;8246;11134;11135;14705;14944;19192;20306;25253,1363;1364;5349;5350;18187;18188;18189;18190;18689;18690;18691;25121;25122;25123;25124;33032;33033;33589;33590;33591;42917;42918;45542;56832,2480;2481;10226;33823;33824;33825;33826;33827;33828;33829;33830;33831;33832;33833;33834;34789;34790;34791;34792;34793;34794;46706;46707;46708;60410;61449;61450;61451;61452;61453;77922;77923;77924;77925;77926;82650;104107,2480;10226;33824;34794;46706;60410;61449;77926;82650;104107,0;1,,70;92,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,-0.0982971637974508,0.948040450185049,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,3;3;3;3;2;2;2,3;3;3;3;2;2;2,3;3;3;3;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,7,3,3,3,1,2,1,3,1,2,1,3,1,2,1,3,3.7,3.7,3.7,119.41,1132,1132;1077;1126;1132;515;742;742,0.0,9.3262,By MS/MS,By MS/MS,By matching,By MS/MS,0.62041,1.5778,10.303,7,0,Leave out requantified,0.46795,0.62493,0.97915,0.58958,1.1676,1.3341,2.0255,1.5778,,9.0673,,18.844,1,2,1,3,0,0,0,0,Median,Median,Median,Leave out requantified,1.1,2.0,1.1,3.7,188350000,114580000,73768000,16787000,10550000,6236800,38951000,21741000,17210000,8894200,5016000,3878200,123720000,77272000,46443000,,,,4,9727;10064;14405,True;True;True,13003;13453;18853,29325;29326;30319;30320;30321;30322;42106,54089;54090;54091;55757;55758;55759;55760;55761;55762;55763;55764;55765;76424;76425,54090;55761;76424,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
ENAH,20.7403712696636,1.19313091891667e-05,Q8N8S7;A0A075B6E5;A0A0U1RRM6;A0A0U1RQP7,Q8N8S7;A0A075B6E5;A0A0U1RRM6;A0A0U1RQP7,2;2;2;1,2;2;2;1,2;2;2;1,Protein enabled homolog,sp|Q8N8S7|ENAH_HUMAN Protein enabled homolog OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2;tr|A0A075B6E5|A0A075B6E5_HUMAN Protein enabled homolog (Fragment) OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2;tr|A0A0U1RRM6|A0A0U1RRM6_HUMAN Protein enabled homolog OS=Hom,4,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,4.2,4.2,4.2,66.509,591,591;213;802;242,0.0,4.6946,,,By MS/MS,By MS/MS,0.51549,1.4169,23.998,4,3,Median,,,0.50999,0.52104,,,1.4874,1.3498,,,27.15,,0,0,3,1,0,0,2,1,Median,Median,Median,Median,0.0,0.0,4.2,2.0,219400000,143870000,75530000,0,0,0,0,0,0,189340000,126190000,63158000,30057000,17685000,12372000,,,,5,17446;19425,True;True,22701;25283,51120;51121;56893;56894,93561;93562;104220;104221,93562;104220,,,,,-1;-1;-1;-1,protein_6,quanti,quanti,imputed MEC,imputed MEC
TAF15,0.324929572749177,0.522472920750482,Q92804;A0A075B7D9;A0A075B7F4;A0A075B7F2,Q92804;A0A075B7D9,4;4;1;1,3;3;1;1,3;3;1;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,4,4,3,3,1,1,4,3,1,1,3,2,1,1,3,2,9.5,7.8,7.8,61.829,592,592;449;214;239,0.0,5.5265,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37081,1.0653,6.4388,12,0,Leave out requantified,0.31464,0.44007,0.37081,0.35781,1.1343,1.3016,1.0653,1.0195,,2.5173,13.177,18.872,1,2,5,4,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,2.9,2.9,9.5,7.6,931870000,667410000,264460000,115510000,87691000,27820000,244970000,161260000,83710000,324570000,237690000,86885000,246820000,180770000,66048000,,,,13,111;12441;13423;14476,True;True;False;True,125;126;16383;17610;18948,270;271;272;273;274;275;276;36766;39409;39410;42330;42331;42332;42333,501;502;503;504;505;506;507;508;509;510;511;512;67112;71835;71836;76867;76868;76869;76870;76871;76872;76873;76874,506;67112;71836;76874,9;10,,261;265,,-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
TXNRD1,-2.17423451554842,0.114120761110961,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,19,19,19,10,17,3,10,10,17,3,10,10,17,3,10,38.5,38.5,38.5,70.905,649,649;498;648;568;548;482;460;175;103;139;70;72;53;44;494;501;523;524;338;306;463,0.0,71.924,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28235,0.74862,21.669,45,13,Leave out requantified,0.20536,0.31156,0.2754,0.29666,0.72991,0.91268,0.80638,0.84722,22.836,17.938,6.1162,19.828,11,19,3,12,2,7,1,3,Leave out requantified,Leave out requantified,Median,Leave out requantified,17.4,38.4,6.2,22.8,3033400000,2317900000,715490000,861450000,707330000,154110000,1170000000,845750000,324250000,111940000,83461000,28479000,890030000,681380000,208650000,,,,15,3355;4230;4930;6855;8309;8432;8678;8707;10330;11820;13356;13357;15695;18033;18453;18490;18608;18742;19287,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4328;5464;5465;6382;9086;11043;11240;11635;11679;11680;13798;15625;17534;17535;20457;23510;23511;24034;24094;24255;24419;25115,9955;9956;12358;12359;12360;12361;12362;12363;14403;20566;20567;24937;25380;26239;26314;26315;26316;26317;26318;31087;35096;39258;39259;39260;39261;39262;45891;53000;53001;53002;53003;53004;54183;54334;54335;54336;54699;54700;54701;55074;55075;55076;55077;56541;56542,18847;18848;18849;23122;23123;23124;23125;23126;23127;23128;23129;26991;38259;38260;46389;47144;48441;48542;48543;48544;48545;48546;48547;48548;48549;48550;57198;57199;64149;64150;71599;71600;71601;71602;71603;71604;71605;71606;71607;71608;83295;97055;97056;97057;97058;97059;97060;97061;97062;99331;99657;99658;99659;99660;99661;99662;99663;99664;99665;100372;100373;100374;100375;100376;100377;100378;100379;100981;100982;100983;100984;100985;100986;100987;100988;100989;100990;100991;100992;100993;103534;103535;103536,18849;23124;26991;38259;46389;47144;48441;48548;57198;64149;71602;71608;83295;97055;99331;99665;100372;100984;103535,12,,274,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_16,quanti,quanti,quanti,quanti
HMOX2,1.64221395498698,0.0561276813405554,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1,4;4;4;4;1,4;4;4;4;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,5,4,4,4,1,3,2,2,1,3,2,2,1,3,2,2,13.0,13.0,13.0,36.032,316,316;229;238;370;110,0.0,7.2719,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47796,1.2733,13.627,11,2,Leave out requantified,0.5018,0.45056,0.48186,0.50976,1.563,0.94976,1.4079,1.4884,,18.691,11.001,9.0483,1,3,3,4,0,1,0,1,Median,Median,Median,Median,6.0,13.0,8.9,9.8,613170000,413980000,199190000,29652000,21118000,8533300,95160000,65726000,29434000,206800000,139790000,67004000,281560000,187350000,94217000,,,,18,6935;12017;19382;19383,True;True;True;True,9184;9185;15868;25229;25230,20811;20812;20813;20814;20815;20816;20817;35583;35584;56786;56787,38725;38726;38727;38728;38729;38730;38731;38732;38733;38734;38735;38736;38737;38738;38739;38740;38741;38742;38743;38744;38745;64948;64949;104040;104041,38735;64949;104040;104041,,,,,-1;-1;-1;-1;-1,protein_19,quanti,quanti,quanti,quanti
KHSRP,-0.0921065904257681,0.85817812587734,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,19;19;12;8;5;2,17;17;10;6;4;2,17;17;10;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,19,17,17,12,13,16,13,10,12,15,11,10,12,15,11,31.4,28.8,28.8,73.114,711,711;711;279;169;116;269,0.0,75.559,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44521,1.3143,14.727,54,12,Leave out requantified,0.39889,0.4807,0.4527,0.43236,1.412,1.338,1.378,1.267,14.577,13.055,21.935,19.876,10,12,19,13,1,1,5,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,28.6,24.6,5060300000,3420500000,1639800000,976380000,671810000,304580000,1158500000,772440000,386020000,1917200000,1291300000,625890000,1008300000,684950000,323360000,,,,25,743;744;797;977;2540;5051;5052;6390;6504;6826;6829;7006;8368;8985;11838;12002;15636;16605;18180,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,930;931;932;933;934;995;1240;3264;6581;6582;6583;8497;8498;8664;8665;9046;9049;9050;9274;11137;12053;15644;15850;20387;21610;23692,2116;2117;2118;2119;2120;2121;2122;2123;2124;2125;2253;2840;2841;2842;2843;7597;7598;14897;14898;14899;14900;14901;19287;19288;19289;19290;19291;19652;19653;20475;20476;20477;20478;20481;20482;20483;20484;20485;21020;21021;21022;21023;25128;27175;35127;35128;35129;35130;35554;35555;35556;35557;45732;45733;45734;45735;45736;45737;48503;48504;48505;48506;53415;53416,3883;3884;3885;3886;3887;3888;3889;3890;3891;3892;3893;3894;3895;3896;3897;3898;3899;3900;3901;3902;3903;3904;4140;5321;5322;5323;5324;5325;5326;5327;14358;14359;27950;27951;27952;27953;27954;35951;35952;35953;35954;35955;35956;35957;35958;35959;36617;36618;36619;36620;36621;38068;38069;38070;38071;38072;38073;38074;38075;38078;38079;38080;38081;38082;38083;38084;38085;38086;38087;38088;38089;38090;38091;39154;39155;39156;39157;39158;39159;39160;39161;46713;50084;64197;64198;64199;64200;64201;64202;64203;64901;64902;64903;64904;64905;64906;64907;64908;82980;82981;82982;82983;82984;82985;82986;82987;82988;88327;88328;88329;97874;97875;97876,3885;3896;4140;5322;14358;27950;27954;35953;36618;38072;38079;39161;46713;50084;64197;64901;82980;88328;97875,18;19;20;21,,251;257;266;448,,-1;-1;-1;-1;-1;-1,protein_26,quanti,quanti,quanti,quanti
PYCR2,0.461730394104727,0.671597475130574,Q96C36;A0A087WTV6;J3KR12;A0A087WX69;A0A087WZF0;A0A087WZR9,Q96C36;A0A087WTV6;J3KR12,5;5;5;1;1;1,4;4;4;1;1;0,4;4;4;1;1;0,Pyrroline-5-carboxylate reductase 2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,5,4,4,3,2,4,2,2,1,3,1,2,1,3,1,20.3,16.2,16.2,33.637,320,320;246;359;87;157;319,0.0,8.2665,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49087,1.3499,13.06,8,2,Leave out requantified,0.58045,0.60487,0.76168,0.32025,1.4289,1.547,2.2575,0.69994,7.9277,,84.639,,2,1,4,1,0,0,2,0,Median,Median,Median,Median,11.2,9.1,18.1,9.1,312680000,161240000,151440000,31401000,19066000,12335000,33472000,21612000,11860000,228940000,106320000,122620000,18865000,14235000,4629700,,,,28,5016;6945;11793;14911;15559,True;True;True;False;True,6535;6536;9197;15588;19506;19507;20294,14800;14801;20845;35011;43630;43631;43632;43633;43634;43635;43636;43637;43638;45502;45503;45504;45505,27798;27799;38800;63991;79229;79230;79231;79232;79233;79234;79235;79236;79237;79238;79239;79240;79241;79242;79243;79244;79245;79246;79247;79248;79249;79250;79251;79252;79253;79254;79255;82568;82569;82570;82571;82572;82573;82574;82575;82576;82577;82578;82579;82580;82581;82582;82583,27799;38800;63991;79254;82581,,,,,-1;-1;-1;-1;-1;-1,protein_29,quanti,quanti,quanti,quanti
CTNNBL1,-0.994747638031349,0.067930063670691,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,6;6;1,6;6;1,6;6;1,Beta-catenin-like protein 1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,3,6,6,6,2,3,3,2,2,3,3,2,2,3,3,2,13.1,13.1,13.1,65.173,563,563;568;166,0.0,6.0702,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48571,1.1707,27.963,8,1,Leave out requantified,0.45748,0.57255,0.4781,0.49343,1.2541,1.2588,1.1361,1.2065,40.276,40.064,20.592,31.138,2,2,2,2,0,1,0,0,Median,Median,Median,Median,6.0,8.0,5.2,3.7,197050000,125510000,71549000,48875000,30647000,18228000,66051000,43718000,22333000,36427000,24918000,11509000,45701000,26222000,19479000,,,,37,4598;7177;10207;11611;16103;19285,True;True;True;True;True;True,5921;9524;13648;15381;20963;25113,13395;13396;21613;30773;30774;34556;34557;47115;47116;56538,24997;24998;24999;40289;56705;63164;63165;63166;63167;63168;63169;63170;85713;85714;85715;103530,24999;40289;56705;63170;85713;103530,22;23,,457;458,,-1;-1;-1,protein_38,quanti,quanti,quanti,quanti
