Gene_names,SNRNP40_vs_BirA_logFC,SNRNP40_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_SNRNP40_N1,Peptides_SNRNP40_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_SNRNP40_N1,Razor___unique_peptides_SNRNP40_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_SNRNP40_N1,Unique_peptides_SNRNP40_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_SNRNP40_N1,Identification_type_SNRNP40_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_SNRNP40_N1,Ratio_H_L_SNRNP40_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_SNRNP40_N1,Ratio_H_L_normalized_SNRNP40_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____SNRNP40_N1,Ratio_H_L_variability_____SNRNP40_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_SNRNP40_N1,Ratio_H_L_count_SNRNP40_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_SNRNP40_N1,Ratio_H_L_iso_count_SNRNP40_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_SNRNP40_N1,Ratio_H_L_type_SNRNP40_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_SNRNP40_N1____,Sequence_coverage_SNRNP40_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_SNRNP40_N1,Intensity_L_SNRNP40_N1,Intensity_H_SNRNP40_N1,Intensity_SNRNP40_N2,Intensity_L_SNRNP40_N2,Intensity_H_SNRNP40_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_SNRNP40_N1,metacell_Intensity_L_SNRNP40_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HDLBP,-0.0602619846234624,0.915577518734036,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",19,6,6,6,3,3,4,4,3,3,4,4,3,3,4,4,6.2,6.2,6.2,141.45,1268,1268;1268;224;141;973;332;221;164;147;128;126;96;81;79;69;53;46;19;17,0.0,11.24,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.807,2.2253,35.357,14,6,Leave out requantified,0.70857,0.98858,1.0241,1.0351,2.2744,2.6272,1.9574,2.0698,35.092,20.988,26.327,15.534,3,3,3,5,0,1,1,4,Leave out requantified,Median,Median,Median,2.8,2.8,4.3,4.5,444430000,218660000,225770000,82838000,47807000,35031000,89520000,43745000,45775000,126810000,53870000,72942000,145260000,73238000,72021000,,,,1,518;1605;1750;10135;13075;13894,True;True;True;True;True;True,531;1661;1811;10498;13558;14392,1484;5014;5015;5442;5443;30327;30328;30329;30330;38785;38786;41199;41200;41201;41202,3005;10522;10523;10524;11373;11374;62081;62082;62083;62084;79320;84291;84292;84293;84294;84295;84296;84297,3005;10523;11374;62084;79320;84296,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-0.297512801687368,0.358556400996952,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,11;11;5;3;1,11;11;5;3;1,11;11;5;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,11,11,11,9,9,5,5,9,9,5,5,9,9,5,5,54.3,54.3,54.3,25.898,234,234;234;164;48;36,0.0,60.017,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35881,0.95582,12.796,31,4,Leave out requantified,0.2965,0.35815,0.42769,0.40225,0.99405,0.99766,0.91221,0.88133,77.228,11.69,7.1983,13.891,9,9,7,6,1,1,2,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.5,46.2,38.0,32.5,2793900000,1954300000,839620000,635270000,412980000,222290000,657960000,486650000,171310000,850980000,599510000,251470000,649720000,455170000,194550000,,,,2,160;453;1609;5588;5715;7722;8230;10040;10222;13216;17610,True;True;True;True;True;True;True;True;True;True;True,161;466;1665;5778;5910;8003;8533;10403;10592;13701;18213,430;1289;1290;5021;5022;16668;16669;17074;17075;17076;17077;17078;23097;23098;23099;24671;24672;24673;24674;30040;30041;30042;30597;30598;30599;30600;30601;39180;39181;52306;52307,873;2599;2600;10530;34081;34082;34083;34084;34085;34086;34087;34088;34089;34958;34959;34960;34961;34962;34963;34964;34965;34966;34967;34968;34969;34970;47805;47806;50957;50958;50959;50960;61550;61551;62762;62763;62764;62765;62766;62767;62768;62769;62770;62771;62772;62773;62774;62775;62776;62777;80176;80177;80178;80179;80180;107882;107883;107884;107885;107886,873;2599;10530;34082;34963;47806;50957;61551;62767;80180;107883,,,,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,-0.0132510763658829,0.971793104897384,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,9.2533,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.59269,1.2699,2.0857,6,1,Leave out requantified,0.46795,0.62493,0.69378,0.63114,1.1676,1.3341,1.2264,1.2326,,9.0673,16.817,,1,2,2,1,0,0,1,0,Median,Median,Median,Median,1.1,2.0,2.0,2.0,134950000,78152000,56801000,16787000,10550000,6236800,38951000,21741000,17210000,56629000,30928000,25700000,22587000,14933000,7653700,,,,4,8875;9180,True;True,9207;9524,26721;26722;26723;27672;27673;27674;27675,55155;55156;55157;55158;56986;56987;56988;56989;56990;56991;56992,55155;56992,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TXNRD1,-0.504164214504968,0.0995167587138441,Q16881;E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8,Q16881;E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;E2QRB9;E9PKD3,17;17;17;17;17;17;14;10;5;5;4;4;3;1,17;17;17;17;17;17;14;10;5;5;4;4;3;1,16;16;16;16;16;16;13;9;4;4;3;3;3;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, c",14,17,17,16,12,16,11,12,12,16,11,12,11,15,10,11,38.4,38.4,36.1,70.905,649,649;482;498;548;568;648;460;175;103;139;70;72;53;44,0.0,104.58,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43003,1.0374,25.074,59,13,Leave out requantified,0.20601,0.31156,0.59285,0.6201,0.74826,0.91268,1.271,1.3462,22.121,17.938,19.606,18.967,14,18,13,14,4,6,3,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,25.3,38.4,27.9,28.0,4736100000,3241400000,1494800000,953210000,781520000,171690000,1112900000,805050000,307850000,1687700000,1035200000,652500000,982360000,619650000,362720000,,,,7,3087;3887;4519;6319;7783;8005;8028;10701;12042;12043;14163;16334;16738;16774;16890;17016;17506,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3196;4016;4663;6542;8068;8298;8322;11087;12494;12495;14666;16912;17323;17363;17482;17610;18105,9342;9343;11541;11542;11543;11544;11545;11546;13367;18913;18914;23283;23284;23285;23286;23287;23903;23904;23980;23981;23982;23983;23984;23985;23986;23987;31958;31959;31960;35893;35894;35895;35896;35897;35898;41988;48644;48645;48646;48647;49766;49767;49768;49769;49931;49932;49933;49934;50279;50280;50281;50655;50656;50657;50658;51997;51998;51999;52000,19215;19216;19217;23431;23432;23433;23434;23435;23436;23437;23438;23439;23440;23441;23442;23443;27250;39005;39006;48157;48158;48159;48160;48161;48162;48163;48164;49309;49310;49460;49461;49462;49463;49464;49465;49466;49467;49468;49469;49470;49471;49472;49473;49474;49475;49476;65548;65549;65550;65551;65552;65553;65554;73566;73567;73568;73569;73570;73571;73572;73573;73574;73575;73576;73577;73578;85887;100393;100394;100395;100396;100397;100398;100399;100400;100401;102682;102683;102684;102685;102686;103095;103096;103097;103098;103099;103100;103101;103102;103103;103104;103816;103817;103818;103819;103820;103821;103822;104535;104536;104537;104538;104539;104540;104541;104542;104543;104544;104545;104546;104547;104548;104549;104550;107169;107170;107171;107172;107173;107174,19217;23442;27250;39005;48162;49310;49468;65548;73568;73578;85887;100394;102682;103095;103820;104536;107174,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_8,quanti,quanti,quanti,quanti
HMOX2,-1.23701671675038,0.131184895662542,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,8,4,4,4,1,4,1,1,1,4,1,1,1,4,1,1,20.3,20.3,20.3,36.032,316,316;229;238;370;110;130;131;132,0.0,5.6565,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48841,1.0139,33.619,7,1,Leave out requantified,0.5018,0.45056,0.95388,0.94408,1.563,1.0139,1.9636,2.0421,,14.057,,,1,4,1,1,0,1,0,0,Median,Leave out requantified,Median,Median,6.0,20.3,6.0,6.0,262810000,154640000,108180000,29652000,21118000,8533300,119410000,82523000,36883000,64952000,28120000,36831000,48805000,22877000,25928000,,,,9,2875;6393;10884;17596,True;True;True;True,2976;6618;11283;18198,8766;19142;19143;19144;19145;32463;52267,18072;39524;39525;39526;39527;39528;39529;39530;39531;39532;39533;39534;39535;39536;39537;66493;107792,18072;39533;66493;107792,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
EIF2B4,-0.74697232953098,0.0861128817509755,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8,3;3;3;2;1;1,3;3;3;2;1;1,3;3;3;2;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,3,3,3,3,2,2,2,3,2,2,2,3,2,2,2,6.1,6.1,6.1,57.557,523,523;520;544;194;228;235,0.0,7.7544,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.59224,1.2832,1.5567,9,1,Leave out requantified,0.5013,0.50071,0.70051,0.75165,1.2509,1.1889,1.3409,1.4688,134.24,10.091,8.6203,15.419,3,2,2,2,1,0,0,0,Median,Median,Median,Median,6.1,3.8,3.8,3.8,262620000,150870000,111750000,92638000,45881000,46757000,53237000,35245000,17992000,72749000,41093000,31657000,43995000,28654000,15342000,,,,10,3071;15783;16586,True;True;True,3180;16329;17170,9291;9292;9293;9294;46882;46883;46884;46885;49343,19128;96553;96554;96555;96556;96557;96558;96559;96560;101825,19128;96556;101825,,,,,-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
UCHL3,19.6805720392573,9.01038092953135e-07,P15374;A0A087WTB8;Q5TBK7,P15374;A0A087WTB8;Q5TBK7,2;2;2,2;2;2,2;2;2,Ubiquitin carboxyl-terminal hydrolase isozyme L3;Ubiquitin carboxyl-terminal hydrolase,sp|P15374|UCHL3_HUMAN Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Homo sapiens OX=9606 GN=UCHL3 PE=1 SV=1;tr|A0A087WTB8|A0A087WTB8_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=UCHL3 PE=1 SV=1;tr|Q5TBK7|Q5TBK7_HUMAN Ubiquit,3,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,9.6,9.6,9.6,26.182,230,230;194;228,0.0,3.403,,,By MS/MS,By MS/MS,0.52943,1.0539,11.095,2,2,Median,,,0.60211,0.46552,,,1.14,0.97441,,,,,0,0,1,1,0,0,1,1,Median,Median,Median,Median,0.0,0.0,9.6,3.9,85603000,53295000,32308000,0,0,0,0,0,0,44650000,23780000,20870000,40953000,29515000,11438000,,,,11,3861;17498,True;True,3989;18097,11477;51984;51985,23312;107150;107151;107152,23312;107151,,,,,-1;-1;-1,protein_12,quanti,quanti,imputed MEC,imputed MEC
KHSRP,-0.48117143766612,0.0923142963838122,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5;M0QYH3,20;20;13;10;5;2,17;17;10;7;4;2,17;17;10;7;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,20,17,17,13,14,14,13,11,13,14,12,11,13,14,12,34.7,32.2,32.2,73.114,711,711;711;279;169;116;269,0.0,112.32,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47971,1.2442,26.146,51,8,Leave out requantified,0.39889,0.4807,0.50182,0.51263,1.412,1.338,1.0649,1.1343,14.577,13.055,28.514,28.289,11,13,15,12,2,2,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,25.2,26.4,28.0,26.4,4780300000,3120900000,1659400000,1012900000,701330000,311590000,1227700000,806910000,420750000,1649100000,1039800000,609350000,890570000,572860000,317710000,,,,12,687;688;883;2326;4626;4627;4628;5893;5998;6291;6294;6434;6435;6462;7724;10716;10872;14109;15023;16455,False;False;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True,707;708;912;2411;4776;4777;4778;6105;6215;6512;6515;6660;6661;6688;8005;11104;11271;14612;15546;17036,1968;1969;1970;1971;1972;2637;2638;2639;2640;7156;13707;13708;13709;13710;13711;17664;17665;17666;17667;18041;18042;18043;18828;18829;18830;18831;18835;18836;18837;18838;19266;19267;19351;19352;19353;19354;23103;23104;31996;31997;31998;31999;32435;32436;32437;32438;32439;41829;41830;41831;41832;44568;44569;44570;44571;49003;49004;49005,4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018;4019;4020;4021;4022;4023;4024;5379;5380;5381;5382;5383;5384;5385;14864;14865;28041;28042;28043;28044;28045;28046;36434;36435;36436;36437;36438;36439;36440;37195;37196;37197;37198;37199;37200;37201;37202;37203;37204;37205;38811;38812;38813;38814;38815;38816;38817;38818;38822;38823;38824;38825;38826;38827;38828;38829;38830;38831;38832;38833;39788;39789;39969;39970;39971;39972;39973;39974;39975;39976;39977;39978;47812;47813;47814;65627;65628;65629;65630;65631;65632;65633;65634;66456;66457;66458;66459;66460;66461;66462;66463;66464;85559;85560;85561;85562;85563;85564;85565;85566;85567;91562;91563;91564;91565;91566;91567;91568;91569;91570;91571;91572;91573;101218;101219;101220;101221;101222,4009;4010;5384;14864;28041;28044;28045;36439;37197;38811;38823;39788;39789;39970;47812;65627;66459;85563;91564;101221,,,,,-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
PABPC1;PABPC3,1.6914773731151,0.00327403355198728,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361;E5RJB9;E5RGH3;H0YB86;E5RH24;H0YAP2;H0YEQ8;Q4VXU2;H0YAS7;H0YAS6;H0YB75;E5RHG7;Q5JQF8;H0YC10;E5RGC4;H0YCC8;E5RFD8,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361,28;28;27;26;15;14;9;9;8;8;7;4;4;3;3;3;3;3;2;1;1;1,28;28;27;26;15;14;9;9;8;8;7;4;4;3;3;3;3;3;2;1;1;1,12;12;12;12;10;7;0;0;5;0;7;0;1;2;2;2;0;0;2;0;0;0,Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein 3,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein ,22,28,28,12,14,10,23,20,14,10,23,20,7,3,10,7,42.0,42.0,15.6,70.67,636,636;522;591;604;284;631;129;108;165;118;131;112;614;136;169;183;75;200;42;43;197;61,0.0,142.16,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40426,0.9545,20.475,76,17,Leave out requantified,0.28599,0.30003,0.44859,0.4417,1.0101,0.83688,0.96479,0.97716,27.65,10.223,22.549,16.796,14,10,26,26,6,1,6,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.7,16.0,36.9,32.1,7984000000,5593300000,2390700000,698640000,513790000,184850000,625080000,466590000,158490000,3963500000,2743100000,1220500000,2696700000,1869800000,826910000,,,,13,948;1056;1339;2007;2951;4157;4540;4546;5561;6799;6800;7169;7201;7232;7233;7512;11254;11442;11443;11982;12643;13115;13295;13296;13327;13411;13412;17656,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,978;1088;1387;2082;3054;4292;4685;4692;5747;7047;7048;7428;7461;7493;7494;7780;11678;11869;11870;12433;13112;13599;13783;13784;13815;13900;13901;18262,2851;2852;3193;3194;3195;3196;3197;4124;4125;4126;6268;8980;8981;8982;12295;12296;12297;12298;13442;13443;13461;13462;16556;16557;20457;20458;20459;20460;20461;20462;21515;21592;21593;21693;21694;21695;21696;21697;21698;21699;21700;21701;21702;22464;22465;22466;33597;33598;33599;33600;34133;34134;34135;34136;35716;35717;37533;37534;37535;37536;38895;38896;39433;39434;39435;39436;39526;39764;39765;39766;39767;39768;39769;39770;39771;52447;52448;52449;52450,5821;5822;5823;6568;6569;6570;6571;6572;6573;6574;6575;6576;6577;6578;6579;8650;8651;8652;8653;8654;13163;13164;18508;18509;18510;18511;24919;24920;24921;24922;24923;24924;24925;24926;24927;24928;24929;24930;24931;24932;24933;27391;27392;27393;27394;27395;27396;27397;27398;27439;27440;27441;27442;33836;42354;42355;42356;42357;42358;42359;42360;42361;42362;42363;44478;44479;44480;44633;44634;44635;44850;44851;44852;44853;44854;44855;44856;44857;44858;44859;44860;44861;44862;44863;44864;44865;44866;44867;44868;44869;44870;44871;44872;44873;44874;44875;44876;46492;46493;46494;68850;68851;68852;69923;69924;69925;69926;69927;69928;69929;69930;69931;73199;73200;73201;73202;73203;73204;73205;73206;73207;73208;73209;73210;76800;76801;76802;76803;76804;76805;76806;76807;76808;79567;79568;80759;80760;80761;80762;80763;80764;80765;80955;81415;81416;81417;81418;81419;81420;81421;81422;81423;81424;81425;81426;81427;108187;108188;108189;108190;108191;108192;108193;108194;108195;108196;108197;108198;108199;108200;108201;108202;108203;108204,5822;6570;8652;13164;18508;24926;27397;27440;33836;42354;42362;44479;44635;44856;44875;46492;68852;69925;69931;73202;76805;79568;80762;80765;80955;81421;81425;108198,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
PYCR2,0.603608233292849,0.253987253616379,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9,5;5;4;3;1;1,4;4;3;2;1;1,4;4;3;2;1;1,Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,5,4,4,3,3,3,4,2,2,2,3,2,2,2,3,21.9,17.8,17.8,33.637,320,320;246;359;319;87;157,0.0,6.7185,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.61385,1.2559,24.319,9,1,Leave out requantified,0.58045,0.4806,0.51739,0.56497,1.4289,1.2016,0.9426,1.1098,7.9277,35.738,11.188,11.583,2,2,2,3,0,0,0,1,Median,Median,Median,Median,11.2,14.7,14.7,19.7,279190000,179510000,99689000,31401000,19066000,12335000,59603000,40066000,19536000,96023000,62454000,33568000,92169000,57920000,34249000,,,,14,10674;12508;13449;14034;15984,True;True;False;True;True,11060;12975;13940;14537;16550,31885;37200;39910;39911;39912;39913;39914;39915;39916;41574;41575;41576;41577;47578;47579;47580,65426;76115;81721;81722;81723;81724;81725;81726;81727;81728;81729;81730;81731;81732;81733;81734;81735;81736;81737;81738;81739;81740;85095;85096;85097;85098;85099;85100;85101;85102;85103;85104;85105;85106;85107;85108;85109;85110;85111;85112;98101;98102;98103;98104;98105,65426;76115;81728;85098;98102,,,,,-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
