DDB2_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (DDB2_vs_zBirA),P_Value (DDB2_vs_zBirA),isDifferential (DDB2_vs_zBirA),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
H3BN98,0.2075211605,0.421214759752687,0,H3BN98;Q15041;H3BPJ2,H3BN98,11;3;3,3;3;3,3;3;3,,H3BN98,tr|H3BN98|H3BN98_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2,11,3,35,1268
SEPTIN-2,-0.2928496085,0.0977282391266065,0,Q15019;B5MCX3;C9J938;C9J2Q4;C9JB25;H7C310;C9IZU3;C9IY94;C9JQJ4;H7C2Y0;C9JZI2;F8WB65;C9JFT1;A0A1B0GXJ2;C9JT15;B5MD47;C9JSE7;H7C1T1,Q15019;B5MCX3;C9J938;C9J2Q4;C9JB25;H7C310;C9IZU3,11;9;7;7;7;6;6;5;4;4;3;3;3;3;2;2;2;1,11;9;7;7;7;6;6;5;4;4;3;3;3;3;2;2;2;1,11;9;7;7;7;6;6;5;4;4;3;3;3;3;2;2;2;1,Septin-2,SEPTIN-2,sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J938|C9J938_HUMAN Septin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J2Q4|C9J2Q,11,11,40.7,1132
SEPTIN-7,0.0838340715,0.561910659467939,0,Q16181;E7ES33;E7EPK1;G3V1Q4;A0A0U1RRE1;A0A0U1RRH9;A0A5F9ZGZ7;A0A0U1RRD1;Q6ZU15;Q5JXL7;A0A0U1RRM2,Q16181;E7ES33;E7EPK1;G3V1Q4,10;10;10;8;4;3;3;2;1;1;1,10;10;10;8;4;3;3;2;1;1;1,10;10;10;8;4;3;3;2;1;1;1,Septin-7,SEPTIN-7,sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|E7ES33|E7ES33_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=3;tr|E7EPK1|E7EPK1_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|G3V1Q4|G3V1Q4_HUMAN Sep,10,10,32.3,592
SEPTIN-9,0.0745943064,0.58449791511441,0,Q9UHD8;K7EL40;K7EK18;K7ENL0;K7EQD7;K7EIE4;K7ER52;K7EPY1;K7EJV0;K7EJZ2;K7ELJ9;K7ER14;K7EJ51;K7ENQ5;K7EN52;K7EJL9;K7EKN4;K7EIR4;K7ER34;K7EQ08,Q9UHD8,25;12;10;8;8;8;8;7;7;5;5;5;3;3;3;3;3;3;1;1,25;12;10;8;8;8;8;7;7;5;5;5;3;3;3;3;3;3;1;1,25;12;10;8;8;8;8;7;7;5;5;5;3;3;3;3;3;3;1;1,Septin-9,SEPTIN-9,sp|Q9UHD8|SEPT9_HUMAN Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,25,25,49.7,649
SEPTIN-10,-0.1057290124,0.72798985404142,0,Q9P0V9;E7EW69;E7EX04;B5ME97;F5GYV2;F5H1F2;C9JEW2;C9JNR7,Q9P0V9;E7EW69;E7EX04;B5ME97,9;9;9;9;2;2;1;1,6;6;6;6;2;2;1;1,6;6;6;6;2;2;1;1,Septin-10,SEPTIN-10,sp|Q9P0V9|SEP10_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7EW69|E7EW69_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|E7EX04|E7EX04_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|B5ME97|B5ME97_HUM,9,6,24,316
SEPTIN-11,-0.3132183643,0.102385303689171,0,Q9NVA2;D6RGI3;D6RER5;D6RDU5;D6RDP1;D6R9Y6,Q9NVA2;D6RGI3;D6RER5;D6RDU5,11;11;11;10;3;3,11;11;11;10;3;3,6;6;6;5;3;3,Septin-11,SEPTIN-11,"sp|Q9NVA2|SEP11_HUMAN Septin-11 OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=3;tr|D6RGI3|D6RGI3_HUMAN Septin 11, isoform CRA_b OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=1;tr|D6RER5|D6RER5_HUMAN Septin-11 OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=1;tr|D6",11,6,32.2,711
AATF,-0.1455097951,0.319183007628804,0,Q9NY61,Q9NY61,1,1,1,Protein AATF,AATF,sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1,1,1,1.4,320
ABCD3,-0.0071838329,0.970172045569698,0,P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,5;5,5;5,5;5,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,5,5,9.3,57
