Gene_names,GRWD1_vs_BirA_logFC,GRWD1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_GRWD1_N1,Peptides_GRWD1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_GRWD1_N1,Razor___unique_peptides_GRWD1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_GRWD1_N1,Unique_peptides_GRWD1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_GRWD1_N1,Identification_type_GRWD1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_GRWD1_N1,Ratio_H_L_GRWD1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_GRWD1_N1,Ratio_H_L_normalized_GRWD1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____GRWD1_N1,Ratio_H_L_variability_____GRWD1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_GRWD1_N1,Ratio_H_L_count_GRWD1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_GRWD1_N1,Ratio_H_L_iso_count_GRWD1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_GRWD1_N1,Ratio_H_L_type_GRWD1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_GRWD1_N1____,Sequence_coverage_GRWD1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_GRWD1_N1,Intensity_L_GRWD1_N1,Intensity_H_GRWD1_N1,Intensity_GRWD1_N2,Intensity_L_GRWD1_N2,Intensity_H_GRWD1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_GRWD1_N1,metacell_Intensity_L_GRWD1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
SERPINB6,2.08311537492699,0.017285437784427,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,3;3;3;3;2,3;3;3;3;2,3;3;3;3;2,Serpin B6,sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3;tr|A0A2R8YD12|A0A2R8YD12_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0,5,3,3,3,1,1,3,1,1,1,3,1,1,1,3,1,10.4,10.4,10.4,42.621,376,376;332;380;395;171,0.0,5.4353,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37953,0.77079,66.298,6,2,Leave out requantified,0.416,0.55399,0.37953,0.26283,0.94878,1.0771,0.77079,0.53207,,,69.507,,1,1,3,1,1,1,0,0,Median,Median,Leave out requantified,Median,2.7,2.7,10.4,2.7,206770000,141260000,65507000,11834000,8098900,3734700,13509000,8089900,5418700,156290000,105110000,51172000,25138000,19956000,5181700,,,,0,3653;10322;16693,True;True;True,4264;12282;19695,11230;32702;32703;32704;32705;52287,22888;66432;66433;66434;66435;106901,22888;66432;106901,0;1,,191;202,,-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,0.338411658481053,0.247095950448848,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",19,6,6,6,3,3,4,4,3,3,4,4,3,3,4,4,6.2,6.2,6.2,141.45,1268,1268;1268;224;141;973;332;221;164;147;128;126;96;81;79;69;53;46;19;17,0.0,13.631,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.90966,2.1609,27.892,14,4,Leave out requantified,0.70857,0.98858,1.0323,0.9123,2.2744,2.6272,2.079,1.8614,35.092,20.988,20.815,14.483,3,3,4,4,0,1,1,2,Leave out requantified,Median,Leave out requantified,Median,2.8,2.8,4.5,4.5,500610000,256410000,244200000,82838000,47807000,35031000,89520000,43745000,45775000,223460000,111300000,112160000,104800000,53562000,51234000,,,,1,534;1667;1820;10279;13199;14013,True;True;True;True;True;True,603;1945;2117;12226;15600;16510,1575;1576;1577;5343;5344;5789;5790;32541;32542;41223;41224;43661;43662;43663;43664;43665,3148;3149;3150;3151;11090;11091;11092;11999;66037;66038;83525;88455;88456;88457;88458;88459;88460;88461;88462;88463,3148;11091;11999;66038;83525;88462,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-0.515894490430437,0.0949887907128704,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,11;11;5;3;1,11;11;5;3;1,11;11;5;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,11,11,11,7,8,6,7,7,8,6,7,7,8,6,7,54.7,54.7,54.7,25.898,234,234;234;164;48;36,0.0,19.41,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36805,0.94064,12.502,28,1,Leave out requantified,0.27664,0.35815,0.4047,0.45462,0.99254,0.99766,0.86765,0.99453,22.967,11.69,14.743,12.449,7,8,6,7,1,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,35.5,41.5,38.5,43.6,2164600000,1555900000,608700000,447970000,344540000,103430000,617120000,451360000,165760000,680290000,473580000,206700000,419190000,286390000,132810000,,,,2,169;467;1671;5678;5805;7806;8343;10189;10361;13334;17730,True;True;True;True;True;True;True;True;True;True;True,191;530;1949;6712;6713;6885;9310;9988;12125;12338;15753;20910,474;1375;1376;5349;5350;17748;17749;17750;17751;18214;18215;18216;18217;24702;24703;24704;24705;26520;26521;32262;32855;32856;32857;32858;41634;41635;55430;55431,943;2770;2771;11097;36121;36122;36123;36124;36125;36126;36127;36128;36129;36130;36131;36132;36133;36134;36135;37098;37099;37100;37101;37102;37103;37104;37105;37106;37107;37108;37109;50677;50678;50679;50680;50681;50682;54134;54135;54136;54137;54138;65544;66767;66768;66769;66770;66771;66772;66773;66774;66775;84459;84460;84461;84462;84463;113392;113393;113394;113395;113396,943;2770;11097;36128;37100;50682;54135;65544;66772;84463;113395,,,,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,0.390296468824552,0.564123979788571,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,10.004,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.62961,1.322,12.064,6,0,Leave out requantified,0.46795,0.62493,0.76889,0.62975,1.1676,1.3341,1.5797,1.322,,9.0673,,12.064,1,2,1,2,0,0,0,0,Median,Median,Median,Median,1.1,2.0,0.9,2.0,154590000,85945000,68648000,16787000,10550000,6236800,38951000,21741000,17210000,39350000,22692000,16657000,59506000,30962000,28544000,,,,4,9023;9310,True;True,10784;11131,28768;28769;28770;29732;29733;29734,58787;58788;58789;58790;58791;60631;60632;60633;60634;60635;60636;60637;60638,58788;60638,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TAF15,0.385949899610441,0.416995136992532,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9;A0A075B7F4,2;2;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7F4|A0A075B7F4_HUMAN TA,3,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,5.9,5.9,5.9,61.829,592,592;449;214,0.0,5.3166,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40864,0.96644,5.0601,8,1,Leave out requantified,0.31464,0.44007,0.42825,0.37819,1.1343,1.3016,0.93247,0.83425,,2.5173,5.2277,4.7616,1,2,3,2,0,0,1,0,Median,Median,Median,Median,2.9,2.9,5.9,2.9,1088700000,755860000,332810000,115510000,87691000,27820000,244970000,161260000,83710000,568870000,399000000,169870000,159320000,107910000,51406000,,,,8,111;13154,True;True,121;15553,290;291;292;293;294;295;296;41096,580;581;582;583;584;585;586;587;588;589;590;591;592;83303,581;83303,,,,,-1;-1;-1,protein_9,quanti,quanti,quanti,quanti
TXNRD1,-0.745722240743412,0.0281204122905192,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,17;17;17;17;17;17;15;9;4;4;3;3;2;1;1;1;1;1;1;1;1,17;17;17;17;17;17;15;9;4;4;3;3;2;1;1;1;1;1;1;1;1,17;17;17;17;17;17;15;9;4;4;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,17,17,17,10,16,12,11,10,16,12,11,10,16,12,11,37.8,37.8,37.8,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,56.268,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4674,1.1265,32.198,55,8,Leave out requantified,0.2047,0.31134,0.62818,0.68278,0.71201,0.87662,1.3332,1.455,22.365,18.504,21.427,14.337,11,18,14,12,1,7,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,20.6,34.2,31.4,27.4,4193800000,2797300000,1396500000,851570000,701930000,149640000,1149300000,831230000,318120000,1401100000,803760000,597310000,791830000,460370000,331460000,,,,10,3167;3772;3967;4614;6420;7867;8092;8115;10844;12193;12194;16448;16856;16891;17010;17127;17619,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3703;4393;4626;5390;7642;9388;9684;9715;12883;14443;14444;19414;19883;19938;20080;20216;20781,9920;11598;11599;12177;12178;12179;12180;12181;14164;14165;20162;20163;24921;24922;24923;25674;25760;25761;25762;25763;25764;25765;25766;25767;34244;34245;34246;38234;38235;38236;38237;38238;38239;51583;51584;51585;51586;52779;52780;52781;52782;52966;52967;52968;52969;53326;53327;53328;53329;53714;53715;53716;53717;55109;55110,20380;23644;23645;24736;24737;24738;24739;24740;24741;24742;24743;24744;24745;28849;28850;41303;41304;51072;51073;51074;51075;52410;52589;52590;52591;52592;52593;52594;52595;52596;52597;52598;52599;52600;52601;52602;52603;52604;69548;69549;69550;69551;69552;69553;69554;77649;77650;77651;77652;77653;77654;77655;77656;77657;77658;105443;105444;105445;105446;105447;105448;105449;105450;107895;107896;107897;107898;107899;107900;107901;108355;108356;108357;108358;108359;108360;108361;108362;108363;108364;109155;109156;109157;109158;109159;109160;109161;109162;109163;109164;109165;109166;109903;109904;109905;109906;109907;109908;109909;109910;109911;109912;109913;109914;109915;109916;112650;112651;112652;112653;112654,20380;23645;24744;28850;41303;51072;52410;52595;69548;77655;77658;105446;107901;108355;109159;109904;112650,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
HMOX2,-0.891794750459184,0.240324164049361,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,8,4,4,4,1,4,1,1,1,4,1,1,1,4,1,1,20.3,20.3,20.3,36.032,316,316;229;238;370;110;130;131;132,0.0,4.4131,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48841,1.0139,35.41,7,1,Leave out requantified,0.5018,0.45056,0.95946,0.98511,1.563,1.0139,2.0899,2.1775,,14.057,,,1,4,1,1,0,1,0,0,Median,Leave out requantified,Median,Median,6.0,20.3,6.0,6.0,265460000,165230000,100230000,29652000,21118000,8533300,119410000,82523000,36883000,69444000,37551000,31893000,46959000,24037000,22922000,,,,12,2939;6497;11023;17715,True;True;True;True,3447;7732;13088;20893,9295;20420;20421;20422;20423;34712;55387,19133;41847;41848;41849;41850;41851;41852;41853;41854;41855;41856;41857;70405;113307,19133;41853;70405;113307,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
EIF2B4,0.827742463505942,0.207991483083955,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,3,3,3,2,1,2,3,2,1,2,3,2,1,2,3,7.6,7.6,7.6,57.557,523,523;520;544;194;228;235,0.0,11.114,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55596,1.2556,16.378,8,2,Leave out requantified,1.1583,0.43715,0.61858,0.58757,3.831,1.107,1.3116,1.2988,166.4,,21.807,21.667,2,1,2,3,1,0,0,1,Median,Median,Median,Median,4.4,2.1,5.4,7.6,343620000,193530000,150090000,75850000,34652000,41198000,32800000,23465000,9334600,107680000,63635000,44041000,127300000,71778000,55518000,,,,14,12545;15906;16699,True;True;True,14863;18729;19703,39265;39266;49611;49612;49613;49614;52308;52309,79597;79598;79599;79600;79601;79602;101200;101201;101202;101203;101204;101205;101206;101207;106933;106934,79597;101203;106933,,,,,-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
KHSRP,-0.894599669332052,0.0133131293026389,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,19;19;10;7;5;2,17;17;8;5;4;2,17;17;8;5;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,19,17,17,12,13,14,11,10,12,13,10,10,12,13,10,33.5,30.9,30.9,73.114,711,711;711;279;169;116;269,0.0,72.399,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4996,1.3402,17.31,45,6,Leave out requantified,0.39889,0.4807,0.58864,0.61631,1.412,1.338,1.3011,1.4012,14.577,13.055,19.053,25.852,10,12,13,10,1,1,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,27.3,21.5,3911600000,2532900000,1378700000,976380000,671810000,304580000,1158500000,772440000,386020000,1182200000,713280000,468960000,594530000,375350000,219180000,,,,18,715;716;912;2382;4724;4725;5964;6084;6085;6388;6391;6566;7001;7809;10858;11011;14213;15138;16576,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,808;809;810;1044;2789;5531;5532;7112;7271;7272;7604;7607;7810;8347;9313;12899;13075;16740;17824;19561,2107;2108;2109;2110;2111;2112;2113;2785;2786;2787;2788;7572;14562;14563;14564;18831;18832;18833;18834;19237;19238;20064;20065;20066;20067;20070;20071;20072;20073;20639;20640;20641;20642;22164;24709;34282;34283;34284;34285;34687;34688;34689;44306;44307;44308;44309;47095;47096;47097;47098;51981;51982,4231;4232;4233;4234;4235;4236;4237;4238;4239;4240;4241;4242;4243;4244;4245;4246;4247;5683;5684;5685;5686;5687;5688;5689;15614;15615;29752;29753;29754;38586;38587;38588;38589;38590;38591;38592;38593;38594;38595;38596;38597;38598;38599;38600;39386;39387;41074;41075;41076;41077;41078;41079;41080;41081;41084;41085;41086;41087;41088;41089;41090;41091;41092;41093;42285;42286;42287;42288;42289;42290;42291;42292;45444;50687;69621;69622;69623;69624;69625;70371;70372;70373;70374;70375;70376;70377;89762;89763;89764;89765;89766;89767;89768;89769;89770;95704;95705;95706;95707;95708;95709;95710;95711;95712;95713;95714;95715;106344;106345;106346,4231;4240;5688;15615;29752;29754;38599;39386;39387;41075;41084;42287;45444;50687;69621;70372;89766;95710;106344,6,,251,,-1;-1;-1;-1;-1;-1,protein_19,quanti,quanti,quanti,quanti
PYCR2,1.2373327506553,0.00471014568740604,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,5;5;4;2;1;1,4;4;3;1;1;1,4;4;3;1;1;1,Pyrroline-5-carboxylate reductase 2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,5,4,4,3,2,4,3,2,1,3,2,2,1,3,2,20.6,16.6,16.6,33.637,320,320;246;359;319;87;157,0.0,4.7861,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54471,1.351,22.383,10,3,Leave out requantified,0.58045,0.60487,0.73138,0.54471,1.4289,1.547,1.4542,1.0607,7.9277,,42.144,22.865,2,1,4,3,0,0,2,1,Median,Median,Median,Median,11.2,9.1,18.4,12.8,301260000,179630000,121640000,31401000,19066000,12335000,33472000,21612000,11860000,168380000,96728000,71651000,68011000,42222000,25789000,,,,19,4699;10819;13559;14143;16100,True;True;False;True;True,5502;12855;16015;16661;18986,14495;14496;34172;42367;42368;42369;42370;42371;44080;44081;44082;44083;44084;44085;50395,29630;29631;69421;85933;85934;85935;85936;85937;85938;85939;85940;85941;85942;85943;85944;85945;85946;89325;89326;89327;89328;89329;89330;89331;89332;89333;89334;89335;89336;89337;89338;102953,29631;69421;85934;89331;102953,,,,,-1;-1;-1;-1;-1;-1,protein_20,quanti,quanti,quanti,quanti
