Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SMU1-N1,Intensity SMU1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.17608450057973,4.06670010289021,24.1592326418786,24.5318143513682
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.17608450057973,4.06670010289021,25.4010964315382,25.3548105652978
Q8WU67;J3KTE1,Q8WU67;J3KTE1,2;2,2;2,2;2,Phospholipase ABHD3,ABHD3,sp|Q8WU67|ABHD3_HUMAN Phospholipase ABHD3 OS=Homo sapiens OX=9606 GN=ABHD3 PE=2 SV=2;tr|J3KTE1|J3KTE1_HUMAN Phospholipase ABHD3 OS=Homo sapiens OX=9606 GN=ABHD3 PE=1 SV=1,2,2,3.2,25.8533619115504,23.1627592926339,24.1697039295313,23.5453359374686
P00519;P42684,P00519;P42684,2;2,2;2,2;2,Tyrosine-protein kinase ABL1;Abelson tyrosine-protein kinase 2,ABL1;ABL2,sp|P00519|ABL1_HUMAN Tyrosine-protein kinase ABL1 OS=Homo sapiens OX=9606 GN=ABL1 PE=1 SV=4;sp|P42684|ABL2_HUMAN Tyrosine-protein kinase ABL2 OS=Homo sapiens OX=9606 GN=ABL2 PE=1 SV=1,2,2,2.1,4.17608450057973,4.06670010289021,22.469137989422,20.9369685570668
I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,2;1;1;1,2;1;1;1,2;1;1;1,,ABR,tr|I3L3W0|I3L3W0_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L259|I3L259_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L2L,2,2,29.3,4.17608450057973,4.06670010289021,23.1248829926369,25.8853925232653
P09110;C9JDE9;F2Z2Q6;F2Z3P7;B4DVF4;H7C131,P09110;C9JDE9;F2Z2Q6;F2Z3P7;B4DVF4;H7C131,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,"3-ketoacyl-CoA thiolase, peroxisomal",ACAA1,"sp|P09110|THIK_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=2;tr|C9JDE9|C9JDE9_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=1;tr|F2Z2Q6|F2Z2Q6_HUMAN 3-ketoacyl-CoA thiolase, pero",2,2,13.2,24.1437487793686,22.2767633800538,4.45881916663448,4.39209895775669
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,25.4348536921968,22.504593419312,30.4901806087705,30.463339894737
F5H6T1;P61160,F5H6T1;P61160,2;1,2;1,2;1,Actin-related protein 2,ACTR2,tr|F5H6T1|F5H6T1_HUMAN Actin-related protein 2 OS=Homo sapiens OX=9606 GN=ACTR2 PE=1 SV=2;sp|P61160|ARP2_HUMAN Actin-related protein 2 OS=Homo sapiens OX=9606 GN=ACTR2 PE=1 SV=1,2,2,13.3,23.0690720930741,22.3151589197973,24.1748132700639,23.550277081638
P55265,P55265,29,29,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,29,2,33.3,27.9462028218398,25.8896920372538,30.2405901012697,29.7446763457131
Q53H12;F8WDD1;A0A3B3IRM6;A0A3B3IS09;A0A3B3ITX7;A0A0G2JLG5;E9PG39;A0A3B3ISY9;A0A3B3ISZ0;E9PC15;A0A3B3ITD0,Q53H12;F8WDD1;A0A3B3IRM6;A0A3B3IS09;A0A3B3ITX7;A0A0G2JLG5;E9PG39;A0A3B3ISY9;A0A3B3ISZ0;E9PC15;A0A3B3ITD0,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,"Acylglycerol kinase, mitochondrial",AGK,"sp|Q53H12|AGK_HUMAN Acylglycerol kinase, mitochondrial OS=Homo sapiens OX=9606 GN=AGK PE=1 SV=2;tr|F8WDD1|F8WDD1_HUMAN Acylglycerol kinase, mitochondrial OS=Homo sapiens OX=9606 GN=AGK PE=1 SV=1;tr|A0A3B3IRM6|A0A3B3IRM6_HUMAN Acylglycerol kinase, mitochond",2,2,4.3,25.1374302260091,22.7515227213422,4.45881916663448,4.39209895775669
