Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity ATG16L1-N1,Intensity ATG16L1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
O95613,O95613,2,2,2,Pericentrin,PCNT,sp|O95613|PCNT_HUMAN Pericentrin OS=Homo sapiens OX=9606 GN=PCNT PE=1 SV=4,2,2,0.5,23.6192941377117,23.3185174341599,23.6328958267371,23.1796631219967
Q8TE73,Q8TE73,2,2,2,"Dynein heavy chain 5, axonemal",DNAH5,"sp|Q8TE73|DYH5_HUMAN Dynein heavy chain 5, axonemal OS=Homo sapiens OX=9606 GN=DNAH5 PE=1 SV=3",2,2,0.6,29.5469775094828,27.4271837931733,4.4278525700598,4.37954704379713
Q86WI1;H0YF65,Q86WI1;H0YF65,2;2,2;2,2;2,Fibrocystin-L,PKHD1L1,sp|Q86WI1|PKHL1_HUMAN Fibrocystin-L OS=Homo sapiens OX=9606 GN=PKHD1L1 PE=2 SV=2;tr|H0YF65|H0YF65_HUMAN Fibrocystin-L (Fragment) OS=Homo sapiens OX=9606 GN=PKHD1L1 PE=1 SV=1,2,2,0.6,4.5103917704062,4.37962167650643,24.0667067582638,23.7954079301474
A0A5F9ZH43;A4UGR9;A0A5F9ZHW6,A0A5F9ZH43;A4UGR9;A0A5F9ZHW6,2;1;1,2;1;1,2;1;1,Xin actin-binding repeat-containing protein 2,XIRP2,tr|A0A5F9ZH43|A0A5F9ZH43_HUMAN Xin actin-binding repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=XIRP2 PE=1 SV=1;sp|A4UGR9|XIRP2_HUMAN Xin actin-binding repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=XIRP2 PE=1 SV=2;tr|A0A5F9ZHW6|A0A5F9ZHW6_,2,2,0.7,26.1773874484618,26.1252614747722,4.4278525700598,4.37954704379713
Q86UQ4;A0A0A0MT16,Q86UQ4;A0A0A0MT16,2;2,2;2,2;2,ATP-binding cassette sub-family A member 13,ABCA13,sp|Q86UQ4|ABCAD_HUMAN ATP-binding cassette sub-family A member 13 OS=Homo sapiens OX=9606 GN=ABCA13 PE=2 SV=3;tr|A0A0A0MT16|A0A0A0MT16_HUMAN ATP-binding cassette sub-family A member 13 OS=Homo sapiens OX=9606 GN=ABCA13 PE=1 SV=1,2,2,0.8,28.1497685130189,21.2753174811596,22.6663757205658,22.0625982504955
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2,2,0.9,4.5103917704062,4.37962167650643,23.7839669896107,24.735467191381
Q6V0I7,Q6V0I7,2,2,2,Protocadherin Fat 4,FAT4,sp|Q6V0I7|FAT4_HUMAN Protocadherin Fat 4 OS=Homo sapiens OX=9606 GN=FAT4 PE=1 SV=2,2,2,0.9,29.6953120954399,29.299077081718,29.7632083389711,23.5493372151286
Q70CQ2;A0A0C4DG73,Q70CQ2;A0A0C4DG73,2;2,2;2,2;2,Ubiquitin carboxyl-terminal hydrolase 34;Ubiquitin carboxyl-terminal hydrolase,USP34,sp|Q70CQ2|UBP34_HUMAN Ubiquitin carboxyl-terminal hydrolase 34 OS=Homo sapiens OX=9606 GN=USP34 PE=1 SV=2;tr|A0A0C4DG73|A0A0C4DG73_HUMAN Ubiquitin carboxyl-terminal hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=USP34 PE=1 SV=1,2,2,0.9,23.618044054363,23.3172756939821,24.6309288330936,22.9229951773775
Q9Y485;F5H269,Q9Y485;F5H269,2;2,2;2,2;2,DmX-like protein 1,DMXL1,sp|Q9Y485|DMXL1_HUMAN DmX-like protein 1 OS=Homo sapiens OX=9606 GN=DMXL1 PE=1 SV=3;tr|F5H269|F5H269_HUMAN DmX-like protein 1 OS=Homo sapiens OX=9606 GN=DMXL1 PE=1 SV=1,2,2,1.0,22.8466878688453,23.5346904391642,4.4278525700598,4.37954704379713
Q9BV73;H0Y5R2;E7ETF9;H7C0P0,Q9BV73;H0Y5R2;E7ETF9;H7C0P0,2;1;1;1,2;1;1;1,2;1;1;1,Centrosome-associated protein CEP250,CEP250,sp|Q9BV73|CP250_HUMAN Centrosome-associated protein CEP250 OS=Homo sapiens OX=9606 GN=CEP250 PE=1 SV=2;tr|H0Y5R2|H0Y5R2_HUMAN Centrosome-associated protein CEP250 (Fragment) OS=Homo sapiens OX=9606 GN=CEP250 PE=1 SV=1;tr|E7ETF9|E7ETF9_HUMAN Centrosome-asso,2,2,1.1,25.6885918158316,26.0894611495257,4.4278525700598,4.37954704379713
