Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity TLE3-N1,Intensity TLE3-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5,A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5,2;1;1;1,2;1;1;1,2;1;1;1,,A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5,"tr|A0A096LPI6|A0A096LPI6_HUMAN Utp12 domain-containing protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2;tr|A0A096LNH5|A0A096LNH5_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B",2,2,15.8,4.20850867790137,4.29066777690332,28.8296862062645,24.9322446741749
A0A1B0GUL3,A0A1B0GUL3,7,6,6,,A0A1B0GUL3,tr|A0A1B0GUL3|A0A1B0GUL3_HUMAN Genetic suppressor element 1 (Fragment) OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=1,7,6,9.8,24.8863232342459,25.4487812613747,4.43802889902157,4.4166468749236
A0A222,A0A222,42,42,42,,A0A222,sp|A0A222|BIRA_HUMAN BirA R118G OS=Homo sapiens GN=BIRA,42,42,92.8,36.2319747577834,36.0905529246235,39.60541935445,39.8697583187707
A0A3B3IRW6;H0YCQ7;A0A3B3ISY4,A0A3B3IRW6,55;23;2,55;23;2,3;0;1,,A0A3B3IRW6,tr|A0A3B3IRW6|A0A3B3IRW6_HUMAN Glutamine and serine-rich protein 1 OS=Homo sapiens OX=9606 GN=QSER1 PE=1 SV=1,55,3,36.7,31.1079287454234,31.4210653442807,27.1899932710631,27.0148883270899
A0A3B3ISK4;A0A3B3IUA2,A0A3B3ISK4;A0A3B3IUA2,2;2,2;2,2;2,,A0A3B3ISK4;A0A3B3IUA2,tr|A0A3B3ISK4|A0A3B3ISK4_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=4 SV=1;tr|A0A3B3IUA2|A0A3B3IUA2_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1,2,2,22.4,4.20850867790137,4.29066777690332,24.7270757920008,23.5134018395649
A0A590UK80;Q08170;A0A590UJP7;A0A3F2YNZ1;A0A3B3ISS0;A0A0A0MRR4;A0A3B3ISP5;A0A0D9SEM4;A0A3B3ISV7;B4DJK0;B0QYN4;A0A3B3ISK5;Q13247;A0A3B3ITG5;A0A590UJK4;H0Y7I2;B4DUA4;A0A3B3IT75;Q9Y468;Q13243;A0A590UK01,A0A590UK80,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,,A0A590UK80,tr|A0A590UK80|A0A590UK80_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1,3,3,4.0,23.6247767182342,23.5990247433323,21.4241908978986,27.3635257570109
A0A096LP25;Q6ZSR9;A0A096LNZ0,A0A096LP25;Q6ZSR9;A0A096LNZ0,16;12;12,13;12;9,13;12;9,Uncharacterized protein FLJ45252,AAK1,tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;tr|A0A096LNZ0|A0A096LNZ0_HUMAN AP2-associated prote,16,13,44.2,26.1761892835763,25.5909508738201,29.8647870995758,29.7176094389667
Q2M2I8;E9PG46;A0A096LP60,Q2M2I8;E9PG46,23;18;3,23;18;3,18;16;0,AP2-associated protein kinase 1,AAK1,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,23,18,30.5,25.7790644531129,26.7879318443934,30.3345805928992,30.3376672557894
P49588;H3BPK7,P49588,25;7,25;7,25;7,"Alanine--tRNA ligase, cytoplasmic",AARS,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",25,25,32.1,4.20850867790137,4.29066777690332,28.810447146106,28.8204639932177
Q4L235;R4GNB1;E9PH98;D6RJA2,Q4L235;R4GNB1,18;16;2;2,18;16;2;2,18;16;2;2,Acyl-CoA synthetase family member 4,AASDH,sp|Q4L235|ACSF4_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=3;tr|R4GNB1|R4GNB1_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=2,18,18,19.8,27.649861689798,26.4669683778868,24.6291756065388,25.9529372475839
