Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WDR53-N1,Intensity WDR53-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q15019;B5MCX3;C9J2Q4;H7C2Y0;A0A1B0GXJ2;C9JFT1;F8WB65;B5MD47;C9JZI2;C9IY94;C9IZU3;C9JQJ4;C9J938;H7C310;C9JB25,Q15019;B5MCX3;C9J2Q4;H7C2Y0,6;6;3;3;1;1;1;1;1;1;1;1;1;1;1,6;6;3;3;1;1;1;1;1;1;1;1;1;1;1,6;6;3;3;1;1;1;1;1;1;1;1;1;1;1,Septin-2,A0A0G2JPP5,sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J2Q4|C9J2Q4_HUMAN Septin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|H7C2Y0|H7C2Y,6,6,26.0,4.09271599355779,3.98362812786341,26.5934891484593,26.499950357535
Q16181;E7ES33;E7EPK1;G3V1Q4;A0A0U1RRH9;A0A0U1RRE1;A0A5F9ZGZ7;A0A0U1RRM2;Q6ZU15;A0A0U1RRD1;Q5JXL7,Q16181;E7ES33;E7EPK1;G3V1Q4,8;8;8;7;3;3;3;2;1;1;1,8;8;8;7;3;3;3;2;1;1;1,8;8;8;7;3;3;3;2;1;1;1,Septin-7,A0A0J9YXR1;A0A286YF23;A0A0J9YY01;A0A2R8YFM0,sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|E7ES33|E7ES33_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=3;tr|E7EPK1|E7EPK1_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|G3V1Q4|G3V1Q4_HUMAN Sep,8,8,26.1,24.29789078357,20.9502739507405,28.4348775471361,27.5986801113992
Q9UHD8;K7EL40;K7EK18;K7ER52;K7EQD7;K7EIE4;K7ER14;K7ENL0;K7ELJ9;K7EJZ2;K7EPY1;K7EJ51;K7EJV0;K7ENQ5;K7EN52;K7EKN4;K7EJL9;K7EIR4;K7EQ08;K7ER34;K7ERG1,Q9UHD8,28;10;9;8;8;8;6;6;6;5;5;5;5;4;4;4;4;4;1;1;1,28;10;9;8;8;8;6;6;6;5;5;5;5;4;4;4;4;4;1;1;1,28;10;9;8;8;8;6;6;6;5;5;5;5;4;4;4;4;4;1;1;1,Septin-9,A0A1B0GTU1;A0A494C0C4,sp|Q9UHD8|SEPT9_HUMAN Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,28,28,57.5,25.747374524075,22.399108911378,31.1987649083575,31.0087180849139
Q9P0V9;E7EW69;B5ME97;E7EX04;F5GYV2;F5H1W3;F8WC85;C9JEW2;C9JNR7;C9JEQ7;F5H1F2,Q9P0V9;E7EW69;B5ME97;E7EX04,4;4;4;3;1;1;1;1;1;1;1,4;4;4;3;1;1;1;1;1;1;1,4;4;4;3;1;1;1;1;1;1;1,Septin-10,A0A1B0GTV2;A0A1B0GUY1,"sp|Q9P0V9|SEP10_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7EW69|E7EW69_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|B5ME97|B5ME97_HUMAN Septin 10, isoform CRA_c OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7",4,4,13.0,4.09271599355779,3.98362812786341,25.3199647815097,25.2630588271635
A0A096LP25;Q6ZSR9;A0A096LNZ0,A0A096LP25;Q6ZSR9;A0A096LNZ0,14;10;10,11;10;7,11;10;7,Uncharacterized protein FLJ45252,A0A1B0GV57,tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;tr|A0A096LNZ0|A0A096LNZ0_HUMAN AP2-associated prote,14,11,42.3,23.2206947894993,21.7221603586086,29.8647870995758,29.7176094389667
Q2M2I8;E9PG46;A0A096LP60;Q9NSY1;K4DI97,Q2M2I8;E9PG46,23;18;3;2;2,23;18;3;2;2,20;18;0;2;2,AP2-associated protein kinase 1,A0A2R8Y5C4,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,23,20,30.5,24.046352016574,21.0479897822436,30.3345805928992,30.3376672557894
P49588;H3BPK7,P49588,25;7,25;7,25;7,"Alanine--tRNA ligase, cytoplasmic",A0A2R8Y7T2;A0A2R8YDT5,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",25,25,32.1,4.09271599355779,3.98362812786341,28.8554902454605,28.8510576335647
Q4L235;R4GNB1,Q4L235;R4GNB1,6;6,6;6,6;6,Acyl-CoA synthetase family member 4,A0A3B3IRI3;A0A3B3IRV6,sp|Q4L235|ACSF4_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=3;tr|R4GNB1|R4GNB1_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=2,6,6,7.6,4.09271599355779,3.98362812786341,24.6291756065388,25.9529372475839
Q9NRN7;E9PLW6,Q9NRN7,3;1,3;1,3;1,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,A0A3B3IRQ9;A0A3B3ISX1,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,3,3,10.7,4.09271599355779,3.98362812786341,24.8779251409578,24.397412467283
Q9NY61;A0A087WTH8;A0A087WWS8,Q9NY61,3;1;1,3;1;1,3;1;1,Protein AATF,A0A3B3ISW2,sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1,3,3,7.9,4.09271599355779,3.98362812786341,25.0034170290706,24.2705633884014
P80404;H3BNQ7;H3BP74;H3BRJ1;H3BPW8;H3BRN4;H3BRT1,P80404;H3BNQ7;H3BP74;H3BRJ1;H3BPW8;H3BRN4,3;3;2;2;2;2;1,3;3;2;2;2;2;1,3;3;2;2;2;2;1,"4-aminobutyrate aminotransferase, mitochondrial",A0A494C0J0,"sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3;tr|H3BNQ7|H3BNQ7_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=1;tr|H3BP74|H3BP74_HUMAN 4-aminobu",3,3,8.4,27.4021054344168,23.974296445644,27.0177367948089,26.8560248079471
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,A0A4W8VX11,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.09271599355779,3.98362812786341,24.1592326418786,23.963881840215
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,A0A669KAX4,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.09271599355779,3.98362812786341,25.4010964315382,25.3548105652978
P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,10;10,10;10,10;10,ATP-binding cassette sub-family D member 3,A1L4Q6,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,10,10,19.7,4.09271599355779,3.98362812786341,27.501879693643,27.6502041855955
Q8NE71;H0YGW7;A0A0G2JIC2;Q5STZ8,Q8NE71;H0YGW7,13;11;3;3,13;11;3;3,13;11;3;3,ATP-binding cassette sub-family F member 1,A8K968,sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;tr|H0YGW7|H0YGW7_HUMAN ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=1,13,13,19.5,25.057831180401,20.9594303446787,27.9774920089267,27.777936515309
Q9UG63;C9JHK9;C9JZV3,Q9UG63;C9JHK9;C9JZV3,9;6;6,9;6;6,9;6;6,ATP-binding cassette sub-family F member 2,A0A3B3ISK4;A0A3B3IUA2,sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2;tr|C9JHK9|C9JHK9_HUMAN ATP-binding cassette sub-family F member 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=1;tr|C9JZV3|C9JZV3_HUMAN ATP-b,9,9,18.3,4.09271599355779,3.98362812786341,27.0033526867141,26.5749341593783
Q9NUQ8,Q9NUQ8,8,8,8,ATP-binding cassette sub-family F member 3,A0A222,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,8,8,14.8,4.09271599355779,3.98362812786341,26.1261481533969,25.9359126497852
Q96IU4;B4DQI4;F8W9U3,Q96IU4;B4DQI4;F8W9U3,5;4;4,5;4;4,5;4;4,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,5,5,32.9,25.6221253458405,21.9608447516948,25.9899067138378,25.4482141271051
