Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WDTC1-N1,Intensity WDTC1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.09524828417093,4.01027517941627,24.1592326418786,23.9618223515903
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.09524828417093,4.01027517941627,25.4010964315382,25.3548105652978
A0A087WYK6,A0A087WYK6,6,2,2,,ACACA,tr|A0A087WYK6|A0A087WYK6_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,6,2,81.6,23.7817679113148,22.8311502632416,23.5321951458799,23.4209595268188
Q08043;A0A087WSZ2,Q08043;A0A087WSZ2,5;5,2;2,2;2,Alpha-actinin-3,ACTN3,sp|Q08043|ACTN3_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=2;tr|A0A087WSZ2|A0A087WSZ2_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=1,5,2,6.7,28.5277087771393,27.7674926435785,25.0189806744213,24.651299626074
O43865,O43865,6,6,2,Putative adenosylhomocysteinase 2,AHCYL1,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,6,2,12.1,23.4503554655779,22.1730426950256,26.6035695268123,26.3900490072837
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,4.09524828417093,4.01027517941627,22.9306485579508,23.4636361216132
E7ET48;Q8N1P7;E9PIR9;E7EX92,E7ET48;Q8N1P7;E9PIR9;E7EX92,2;2;2;1,2;2;2;1,2;2;2;1,Absent in melanoma 1-like protein,AIM1L,tr|E7ET48|E7ET48_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=1 SV=2;sp|Q8N1P7|CRBG2_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=2 SV=2;tr|E9PIR9|E9PIR9_HUMAN,2,2,1.4,27.2432714801515,25.935305715068,24.3118824352119,26.5821895409773
Q13155;A8MU58,Q13155;A8MU58,2;1,2;1,2;1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,sp|Q13155|AIMP2_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2;tr|A8MU58|A8MU58_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=A,2,2,10.6,24.1446047242415,21.0973197533384,23.1930993845676,23.4402507487947
P54886,P54886,2,2,2,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,sp|P54886|P5CS_HUMAN Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens OX=9606 GN=ALDH18A1 PE=1 SV=2,2,2,3.6,22.624464388633,22.2688036636792,21.9534035965864,23.0043765228357
A0A5F9ZHR8;A0A5F9ZH30;I6L894;A0A5F9ZH19;A0A5F9ZHN5;A0A5F9ZI30;A0A5F9ZGY4;A0A5F9ZGZ5;A0A5F9ZI65;A0A5F9ZI40;A0A5F9ZGY3;D6RHE1;A0A5F9ZHE4;A0A5F9ZGX3;A0A5F9ZHS1;A0A5F9ZHG3;A0A5F9ZH70;A0A5F9ZH38;A0A5F9ZHD2;Q01484;A0A5F9ZH34;A0A5F9ZHC9;A0A5F9ZHR2;A0A5F9ZI69;A0A5F9ZI73;A0A5F9ZH39;A0A5F9ZHA1;A0A5F9ZHJ4;A0A5F9ZHL9;A0A5F9ZGS5;A0A5F9ZHL5;A0A5F9ZI18;A0A5F9ZHY6;A0A5F9ZH35;A0A5F9ZI53;A0A5F9ZGX8;A0A5F9ZGS7;A0A5F9ZI15;A0A5F9ZGY1;A0A5F9ZHT8;A0A5F9ZHJ6;A0A5F9ZHT4;A0A5F9ZHF7;A0A5F9ZGZ1;A0A5F9ZI81;A0A5F9ZI56;A0A5F9ZHQ5;A0A5F9ZI46,A0A5F9ZHR8;A0A5F9ZH30;I6L894;A0A5F9ZH19;A0A5F9ZHN5;A0A5F9ZI30;A0A5F9ZGY4;A0A5F9ZGZ5;A0A5F9ZI65;A0A5F9ZI40;A0A5F9ZGY3;D6RHE1;A0A5F9ZHE4;A0A5F9ZGX3;A0A5F9ZHS1;A0A5F9ZHG3;A0A5F9ZH70;A0A5F9ZH38;A0A5F9ZHD2;Q01484;A0A5F9ZH34;A0A5F9ZHC9;A0A5F9ZHR2;A0A5F9ZI69;A0A5F9ZI73;A0A5F9ZH39;A0A5F9ZHA1;A0A5F9ZHJ4;A0A5F9ZHL9;A0A5F9ZGS5;A0A5F9ZHL5;A0A5F9ZI18;A0A5F9ZHY6;A0A5F9ZH35;A0A5F9ZI53;A0A5F9ZGX8;A0A5F9ZGS7;A0A5F9ZI15;A0A5F9ZGY1;A0A5F9ZHT8;A0A5F9ZHJ6;A0A5F9ZHT4;A0A5F9ZHF7;A0A5F9ZGZ1;A0A5F9ZI81;A0A5F9ZI56;A0A5F9ZHQ5;A0A5F9ZI46,28;27;27;27;27;27;27;27;27;27;27;27;27;27;27;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;25;25;25;25;25;25;25;25;25;25;25;25,28;27;27;27;27;27;27;27;27;27;27;27;27;27;27;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;25;25;25;25;25;25;25;25;25;25;25;25,2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1,Ankyrin-2,ANK2,tr|A0A5F9ZHR8|A0A5F9ZHR8_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1;tr|A0A5F9ZH30|A0A5F9ZH30_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1;tr|I6L894|I6L894_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1;tr|A0A5F9ZH19|A,28,2,11.1,22.8948022240859,22.2931195229644,29.1539287872869,28.906528010621
