Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SNRNP40_N1,Intensity SNRNP40_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q15019;B5MCX3;C9J2Q4;H7C2Y0;A0A1B0GXJ2;C9JFT1;F8WB65;B5MD47;C9JZI2;C9IY94;C9IZU3;C9JQJ4;C9J938;H7C310;C9JB25,Q15019;B5MCX3;C9J2Q4;H7C2Y0,6;6;3;3;1;1;1;1;1;1;1;1;1;1;1,6;6;3;3;1;1;1;1;1;1;1;1;1;1;1,6;6;3;3;1;1;1;1;1;1;1;1;1;1;1,Septin-2,Septin-2,sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J2Q4|C9J2Q4_HUMAN Septin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|H7C2Y0|H7C2Y,6.0,6.0,26.0,4.3500727725963,4.5358450090929,26.5934891484593,26.499950357535
Q16181;E7ES33;E7EPK1;G3V1Q4;A0A0U1RRH9;A0A0U1RRE1;A0A5F9ZGZ7;A0A0U1RRM2;Q6ZU15;A0A0U1RRD1;Q5JXL7,Q16181;E7ES33;E7EPK1;G3V1Q4,8;8;8;7;3;3;3;2;1;1;1,8;8;8;7;3;3;3;2;1;1;1,8;8;8;7;3;3;3;2;1;1;1,Septin-7,Septin-7,sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|E7ES33|E7ES33_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=3;tr|E7EPK1|E7EPK1_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|G3V1Q4|G3V1Q4_HUMAN Sep,8.0,8.0,26.1,4.3500727725963,4.5358450090929,28.4348775471361,27.5986801113992
Q9UHD8;K7EL40;K7EK18;K7ER52;K7EQD7;K7EIE4;K7ENL0;K7EJ51;K7ER14;K7ELJ9;K7EJV0;K7EJZ2;K7EJL9;K7ENQ5;K7EN52;K7EKN4;K7EIR4;K7ER34;K7EQ08;K7ERG1,Q9UHD8,29;10;9;7;7;7;7;6;5;5;5;4;4;3;3;3;3;2;1;1,29;10;9;7;7;7;7;6;5;5;5;4;4;3;3;3;3;2;1;1,24;10;9;7;7;7;2;6;5;5;0;4;4;3;3;3;3;2;1;1,Septin-9,Septin-9,sp|Q9UHD8|SEPT9_HUMAN Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,29.0,24.0,59.6,27.921048223274,28.1378992171952,31.2536093703591,30.9953680878552
Q9P0V9;E7EW69;E7EX04;B5ME97;F5GYV2;C9JEW2;C9JNR7;F5H1F2,Q9P0V9;E7EW69;E7EX04;B5ME97,3;3;3;3;1;1;1;1,3;3;3;3;1;1;1;1,3;3;3;3;1;1;1;1,Septin-10,Septin-10,sp|Q9P0V9|SEP10_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7EW69|E7EW69_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|E7EX04|E7EX04_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|B5ME97|B5ME97_HUM,3.0,3.0,8.8,4.3500727725963,4.5358450090929,25.3199647815097,25.2630588271635
A0A096LP25;Q6ZSR9;A0A096LNZ0;A0A096LP60,A0A096LP25;Q6ZSR9;A0A096LNZ0,16;12;11;3,13;12;8;0,13;12;8;0,Uncharacterized protein FLJ45252,AAK1,tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;tr|A0A096LNZ0|A0A096LNZ0_HUMAN AP2-associated prote,16.0,13.0,48.9,23.8698543612082,24.7224448443916,29.9003793368762,29.6210599365986
Q2M2I8;E9PG46;Q9NSY1;K4DI97,Q2M2I8;E9PG46,23;18;2;2,23;18;2;2,20;18;2;2,AP2-associated protein kinase 1,AAK1,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,23.0,20.0,30.5,4.3500727725963,4.5358450090929,30.5220620562157,30.3376672557894
P49588;H3BPK7,P49588,26;7,26;7,26;7,"Alanine--tRNA ligase, cytoplasmic",AARS,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",26.0,26.0,32.1,24.8884869680432,24.1967804017955,28.8554902454605,28.8204639932177
Q4L235;R4GNB1;E9PH98;D6RJA2,Q4L235;R4GNB1,18;17;1;1,18;17;1;1,18;17;1;1,Acyl-CoA synthetase family member 4,AASDH,sp|Q4L235|ACSF4_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=3;tr|R4GNB1|R4GNB1_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=2,18.0,18.0,23.9,28.8688835328322,28.6510942943317,24.6291756065388,26.2962635554593
Q9NRN7;E9PLW6,Q9NRN7,3;1,3;1,3;1,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,3.0,3.0,10.7,4.3500727725963,4.5358450090929,24.8779251409578,24.397412467283
Q9NY61;A0A087WWS8;A0A087WTH8,Q9NY61,10;3;1,10;3;1,10;3;1,Protein AATF,AATF,sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1,10.0,10.0,29.8,28.7270887793667,28.4352353239002,25.0034170290706,24.2705633884014
