Gene_names,PWP1_vs_BirA_logFC,PWP1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_PWP1_N1,Peptides_PWP1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_PWP1_N1,Razor___unique_peptides_PWP1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_PWP1_N1,Unique_peptides_PWP1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_PWP1_N1,Identification_type_PWP1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_PWP1_N1,Ratio_H_L_PWP1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_PWP1_N1,Ratio_H_L_normalized_PWP1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____PWP1_N1,Ratio_H_L_variability_____PWP1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_PWP1_N1,Ratio_H_L_count_PWP1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_PWP1_N1,Ratio_H_L_iso_count_PWP1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_PWP1_N1,Ratio_H_L_type_PWP1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_PWP1_N1____,Sequence_coverage_PWP1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_PWP1_N1,Intensity_L_PWP1_N1,Intensity_H_PWP1_N1,Intensity_PWP1_N2,Intensity_L_PWP1_N2,Intensity_H_PWP1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_PWP1_N1,metacell_Intensity_L_PWP1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDK1;CDC2,-1.8938321236913,0.00144687408131055,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,13;13;8;7;2;2;2;1,13;13;8;7;2;2;2;1,11;11;6;5;0;0;0;0,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",8,13,13,11,11,11,4,6,11,11,4,6,9,9,3,5,47.8,47.8,45.1,34.095,297,297;297;224;189;305;164;238;39,0.0,18.923,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.67146,2.0081,26.298,36,4,Leave out requantified,0.64048,0.73456,0.45762,0.50907,2.3004,2.0284,1.2629,1.2365,24.043,11.96,34.272,25.321,12,12,5,7,1,1,0,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,38.7,38.7,18.5,25.9,2080800000,1210800000,869960000,592900000,339920000,252980000,707270000,409400000,297870000,302560000,190750000,111810000,478070000,270780000,207290000,,,,0,569;1267;7489;7490;8298;9264;9521;12412;12413;12549;12869;13622;16395,True;True;True;True;True;True;True;True;True;True;True;True;True,590;1353;8116;8117;8997;10046;10341;13431;13432;13575;13913;14712;17669,1547;1548;1549;1550;3716;3717;3718;3719;21561;21562;21563;21564;24033;24034;26771;26772;27588;27589;27590;27591;27592;27593;27594;27595;35842;35843;35844;35845;36238;36239;37103;37104;39244;46946;46947;46948;46949,2891;2892;2893;6979;6980;6981;6982;40998;40999;41000;41001;41002;41003;41004;41005;41006;41007;45726;45727;45728;45729;50865;52319;52320;52321;52322;52323;52324;52325;52326;52327;52328;52329;52330;52331;52332;52333;52334;52335;52336;67565;67566;67567;67568;67569;67570;67571;67572;68249;68250;68251;68252;68253;68254;69823;69824;69825;69826;69827;69828;73840;87924;87925;87926;87927;87928;87929;87930,2891;6979;40998;41005;45727;50865;52323;67567;67570;68251;69827;73840;87926,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,0.450090457143379,0.106863049406626,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5;C9JHZ8;C9JZI8;C9JES8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C2D1;C9JHS9,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5,7;7;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1,7;7;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1,7;7;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",20,7,7,7,3,3,5,5,3,3,5,5,3,3,5,5,7.3,7.3,7.3,141.45,1268,1268;1268;973;332;224;221;141;164;147;126;128;96;81;79;69;53;46;19;308;17,0.0,9.2371,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.81936,2.2744,32.873,17,5,Leave out requantified,0.70857,0.98858,0.86578,0.75176,2.2744,2.6272,2.3451,1.8254,35.092,20.988,15.813,25.551,3,3,5,6,0,1,2,2,Leave out requantified,Median,Leave out requantified,Leave out requantified,2.8,2.8,4.7,5.6,699590000,375210000,324370000,82838000,47807000,35031000,89520000,43745000,45775000,242120000,131350000,110770000,285110000,152310000,132800000,,,,2,576;7274;8513;12073;15712;16682;19025,True;True;True;True;True;True;True,598;7892;9228;13064;16932;17967;20472,1572;1573;20991;20992;24652;34856;34857;34858;34859;34860;44925;44926;47755;47756;47757;47758;54572,2939;2940;2941;2942;2943;39940;39941;46890;65604;65605;65606;65607;65608;84072;89324;89325;89326;89327;89328;89329;89330;89331;102922;102923,2943;39940;46890;65604;84072;89325;102922,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
PSMA2,-2.45546559433796,0.00467516004015564,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;3;1,9;9;4;3;1,9;9;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,8,8,3,3,8,8,3,3,8,8,3,3,49.6,49.6,49.6,25.898,234,234;234;164;48;36,0.0,20.101,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31925,0.91614,13.769,23,2,Leave out requantified,0.2832,0.35815,0.24806,0.35013,0.91895,0.99766,0.78302,0.87787,20.977,11.69,12.984,8.8505,8,8,4,3,1,0,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Plateau,41.5,41.5,26.5,23.1,1567200000,1178400000,388820000,483000000,371200000,111810000,617120000,451360000,165760000,295700000,233680000,62018000,171410000,122160000,49242000,,,,3,501;1859;6699;6847;9093;11955;12176;15871;21090,True;True;True;True;True;True;True;True;True,522;1991;7246;7413;9863;12944;13180;17104;22696,1360;1361;5534;5535;19183;19184;19672;19673;19674;26286;26287;26288;34526;34527;35170;35171;35172;35173;45381;45382;60489;60490;60491,2554;2555;10655;36326;36327;36328;36329;36330;36331;36332;36333;36334;37307;37308;37309;37310;37311;37312;37313;50048;50049;50050;65042;66252;66253;66254;66255;66256;66257;66258;66259;84971;84972;84973;84974;84975;114136,2554;10655;36331;37311;50049;65042;66258;84973;114136,,,,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,0.834486800472977,0.0772380062199252,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,9.3744,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.59943,1.5166,23.023,9,4,Leave out requantified,0.46795,0.62493,0.90683,0.96331,1.1676,1.3341,2.2979,2.3218,,9.0673,8.9925,19.554,1,2,3,3,0,0,2,2,Median,Median,Median,Median,1.1,2.0,2.0,2.0,294840000,154750000,140090000,16787000,10550000,6236800,38951000,21741000,17210000,111830000,57976000,53852000,127270000,64484000,62787000,,,,4,10526;10889,True;True,11419;11815,30527;30528;30529;31642;31643;31644;31645;31646;31647,57815;57816;57817;59825;59826;59827;59828;59829;59830;59831;59832;59833;59834;59835,57816;59827,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TAF15,1.23911986579729,0.0154122354868183,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,4,2,2,1,1,4,4,1,1,2,2,1,1,2,2,8.3,5.9,5.9,61.829,592,592;449;214,0.0,14.291,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38575,1.127,9.384,11,3,Leave out requantified,0.31464,0.44007,0.31529,0.40405,1.1343,1.3016,0.98491,1.078,,2.5173,4.5581,6.415,1,2,4,4,0,0,2,1,Median,Median,Median,Median,2.9,2.9,8.3,8.3,2076300000,1520200000,556170000,115510000,87691000,27820000,244970000,161260000,83710000,821770000,625430000,196340000,894080000,645780000,248300000,,,,6,111;112;5390;15662,False;True;False;True,112;113;5779;16881,258;259;260;261;262;263;264;265;266;15211;15212;44786;44787;44788;44789,525;526;527;528;529;530;531;532;533;534;535;536;537;538;539;540;541;542;28997;28998;83848;83849;83850;83851;83852;83853;83854,526;533;28998;83853,,,,,-1;-1;-1,protein_7,quanti,quanti,quanti,quanti
TXNRD1,-0.81924880165645,0.045334036894386,Q16881;E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A096LPD9;A0A182DWF2,Q16881;E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;E2QRB9;E9PKD3,18;18;18;18;18;18;15;10;5;5;4;4;3;2;1;1,18;18;18;18;18;18;15;10;5;5;4;4;3;2;1;1,17;17;17;17;17;17;14;9;4;4;3;3;3;2;0;0,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, c",16,18,18,17,11,16,9,9,11,16,9,9,10,15,8,8,38.4,38.4,36.1,70.905,649,649;482;498;548;568;648;460;175;103;139;70;72;53;44;306;494,0.0,95.159,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28291,0.77751,17.502,51,16,Leave out requantified,0.20536,0.32723,0.25965,0.30692,0.72991,0.94084,0.80176,0.82887,22.836,17.512,12.164,7.1772,13,17,10,11,4,6,4,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.4,38.4,18.8,20.0,4720800000,3586100000,1134700000,930700000,765320000,165380000,1080100000,781880000,298230000,1041300000,786800000,254490000,1668700000,1252100000,416610000,,,,7,3683;4674;5438;7533;7534;9169;9410;9438;12745;14391;14392;16987;19603;20085;20128;20254;20409;20967,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3945;5006;5834;8166;8167;9946;10215;10248;13782;15522;15523;18282;21123;21632;21684;21823;21984;22564,10571;10572;13221;13222;13223;13224;13225;13226;15356;21683;21684;21685;26516;26517;26518;26519;26520;27245;27328;27329;27330;27331;27332;27333;27334;36769;36770;41368;41369;41370;41371;41372;41373;48642;56344;56345;56346;56347;57679;57844;57845;57846;57847;58226;58227;58228;58630;58631;58632;58633;60156;60157,20287;20288;20289;25111;25112;25113;25114;25115;25116;25117;25118;25119;25120;25121;29240;41287;41288;41289;50461;50462;50463;50464;50465;50466;50467;51674;51804;51805;51806;51807;51808;51809;51810;51811;51812;51813;51814;51815;51816;69222;69223;69224;77853;77854;77855;77856;77857;77858;77859;77860;77861;77862;77863;77864;77865;90934;106455;106456;106457;106458;106459;106460;106461;106462;108976;109337;109338;109339;109340;109341;109342;109343;109344;110081;110082;110083;110084;110085;110086;110087;110088;110796;110797;110798;110799;110800;110801;110802;110803;110804;110805;110806;110807;110808;110809;113513;113514;113515,20287;25113;29240;41287;41289;50464;51674;51808;69224;77861;77864;90934;106458;108976;109342;110084;110808;113514,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_8,quanti,quanti,quanti,quanti
HMOX2,1.75214625202996,0.0289254249123973,P30519;A0A087WT44;I3L159;I3L1F5;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463;I3L276,P30519;A0A087WT44;I3L159;I3L1F5,7;7;6;6;2;2;2;2;1,7;7;6;6;2;2;2;2;1,7;7;6;6;2;2;2;2;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2,9,7,7,7,2,5,5,6,2,5,5,6,2,5,5,6,38.0,38.0,38.0,36.032,316,316;370;229;238;110;130;131;132;110,0.0,14.285,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47054,1.1227,12.34,21,5,Leave out requantified,0.40632,0.43853,0.42473,0.50427,1.2155,0.98132,1.2768,1.1878,35.561,23.688,10.851,13.134,2,5,6,8,0,1,3,1,Median,Leave out requantified,Leave out requantified,Leave out requantified,14.2,28.5,22.5,30.7,2113600000,1190400000,923160000,54541000,40610000,13931000,153820000,109690000,44131000,847970000,413390000,434590000,1057300000,626750000,430510000,,,,9,555;1302;3413;7617;12386;12957;21073,True;True;True;True;True;True;True,576;1393;3654;8254;13400;14003;22679,1507;1508;3832;3833;3834;3835;9820;21940;21941;21942;21943;21944;21945;35758;35759;37336;37337;37338;60445;60446;60447,2828;2829;7216;7217;18846;41744;41745;41746;41747;41748;41749;41750;41751;41752;41753;41754;41755;41756;41757;41758;41759;41760;41761;41762;41763;41764;41765;41766;67381;67382;67383;70221;70222;70223;70224;70225;114060;114061;114062,2829;7216;18846;41760;67383;70224;114060,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
EIF2B4,0.182040664730934,0.670016572966536,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,4;4;4;1;1;1,4;4;4;1;1;1,4;4;4;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,4,4,4,2,1,3,2,2,1,3,2,2,1,3,2,10.9,10.9,10.9,57.557,523,523;520;544;194;228;235,0.0,9.978,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43021,1.1514,14.013,8,1,Leave out requantified,1.1583,0.43715,0.40971,0.46677,3.831,1.107,1.2127,1.1388,166.4,,17.909,2.0516,2,1,3,2,1,0,0,0,Median,Median,Leave out requantified,Median,4.4,2.1,8.6,5.4,339100000,206920000,132170000,75850000,34652000,41198000,32800000,23465000,9334600,132490000,87506000,44988000,97954000,61301000,36652000,,,,10,14966;18931;19382;19897,True;True;True;True,16139;20368;20878;21434,42888;42889;54281;54282;54283;54284;55723;57152,80436;80437;80438;102341;102342;102343;102344;102345;102346;102347;102348;102349;102350;105219;107974,80438;102345;105219;107974,,,,,-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
NDUFS7,20.5667068425918,7.74217215319426e-08,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,10.8,10.8,10.8,23.563,213,213;182;214;214;236,0.0,3.7864,,,By MS/MS,By MS/MS,1.092,3.0174,3.2683,4,4,Median,,,0.9842,1.1803,,,2.9718,3.0333,,,4.3703,2.959,0,0,2,2,0,0,2,2,Median,Median,Median,Median,0.0,0.0,6.6,10.8,232400000,109390000,123000000,0,0,0,0,0,0,111960000,56158000,55806000,120430000,53235000,67199000,,,,11,9819;14736,True;True,10664;15889,28561;42284;42285;42286,54110;79385;79386;79387,54110;79387,,,,,-1;-1;-1;-1;-1,protein_12,quanti,quanti,imputed MEC,imputed MEC
KHSRP,-0.123300010539698,0.544044498944518,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,18;18;11;8;5;2,16;16;9;6;4;2,16;16;9;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,18,16,16,12,14,14,13,10,13,14,13,10,13,14,13,36.6,34.0,34.0,73.114,711,711;711;279;169;116;269,0.0,71.261,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48329,1.4984,17.26,51,7,Leave out requantified,0.39889,0.4807,0.4931,0.56217,1.412,1.338,1.5868,1.5209,14.577,13.055,18.507,15.993,10,13,14,14,1,2,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,31.1,28.3,6862700000,4542300000,2320400000,976380000,671810000,304580000,1227700000,806910000,420750000,2361400000,1597900000,763450000,2297300000,1465700000,831610000,,,,14,773;774;1006;2686;5564;5565;5576;7034;7503;7505;7670;7705;9096;12761;12942;16923;18008;19748,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,807;808;1061;2874;5982;5983;5996;7629;8131;8133;8310;8346;9866;13799;13986;18216;19370;21276,2123;2124;2125;2126;2127;2866;2867;2868;2869;7867;7868;7869;15806;15807;15808;15849;15850;15851;20297;20298;20299;20300;21595;21596;21597;21598;21600;21601;21602;21603;22100;22101;22201;22202;22203;22204;26294;26295;36806;36807;36808;36809;37303;37304;37305;37306;48453;48454;48455;48456;51550;51551;51552;56774;56775;56776,3951;3952;3953;3954;3955;3956;3957;3958;3959;3960;3961;3962;3963;3964;3965;3966;3967;5376;5377;5378;5379;5380;5381;5382;15141;15142;15143;15144;15145;15146;15147;30157;30158;30159;30241;30242;38647;38648;38649;38650;38651;38652;38653;38654;38655;38656;41071;41072;41073;41074;41075;41076;41077;41078;41080;41081;41082;41083;41084;41085;41086;41087;41088;41089;41090;41091;41092;41093;41094;41095;42065;42066;42067;42308;42309;42310;42311;42312;42313;42314;42315;42316;42317;42318;42319;50062;50063;50064;50065;69295;69296;69297;69298;69299;69300;69301;69302;69303;69304;69305;69306;69307;70169;70170;70171;70172;70173;70174;70175;70176;70177;90602;90603;90604;90605;90606;90607;90608;90609;90610;96766;96767;96768;96769;96770;96771;96772;96773;107357;107358;107359;107360;107361,3952;3967;5376;15147;30158;30159;30242;38655;41075;41087;42067;42311;50063;69297;70170;90609;96771;107359,,,,,-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
