Gene_names,DTL_vs_BirA_logFC,DTL_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DTL_N1,Peptides_DTL_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DTL_N1,Razor___unique_peptides_DTL_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DTL_N1,Unique_peptides_DTL_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DTL_N1,Identification_type_DTL_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DTL_N1,Ratio_H_L_DTL_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DTL_N1,Ratio_H_L_normalized_DTL_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DTL_N1,Ratio_H_L_variability_____DTL_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DTL_N1,Ratio_H_L_count_DTL_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DTL_N1,Ratio_H_L_iso_count_DTL_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DTL_N1,Ratio_H_L_type_DTL_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DTL_N1____,Sequence_coverage_DTL_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DTL_N1,Intensity_L_DTL_N1,Intensity_H_DTL_N1,Intensity_DTL_N2,Intensity_L_DTL_N2,Intensity_H_DTL_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DTL_N1,metacell_Intensity_L_DTL_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDC2;CDK1,-0.742456442628995,0.0428543032826734,A0A024QZP7;P06493;A0A087WZZ9;E5RIU6;K7ELV5;Q00526;F8VXD2;E7EUK8;E5RGN0;A0A087X209;F8VZ51;A0A087WZU2;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;A0A2R8Y4Z0;Q9BVE2;Q14004;A0A2R8YEB7;H0YAZ9;A0A2R8Y644;K7EJ83;F8VZZ0;Q96Q40;Q00535;Q07002;O94921;Q00534;Q00536;G3V317,A0A024QZP7;P06493;A0A087WZZ9;E5RIU6,13;13;8;7;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,13;13;8;7;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,11;11;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Cyclin-dependent kinase 1,"tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",30,13,13,11,10,11,7,6,10,11,7,6,8,9,5,4,47.5,47.5,44.8,34.081,297,297;297;224;189;164;305;132;340;393;418;208;448;456;915;1099;1308;324;1512;143;260;239;213;186;435;292;474;469;326;496;39,0.0,20.679,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.62216,1.8475,24.211,38,10,Leave out requantified,0.64378,0.73456,0.4758,0.37059,2.3015,2.0284,1.4086,1.0727,21.846,11.96,20.644,35.813,11,12,8,7,1,1,5,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,30.3,38.7,28.3,27.3,2368600000,1395600000,973080000,559590000,320000000,239590000,707270000,409400000,297870000,573830000,318310000,255520000,527960000,347860000,180100000,,,,0,518;1159;6633;6634;7347;8232;8461;10960;10961;11070;11346;14452;17964,True;True;True;True;True;True;True;True;True;True;True;True;True,533;1207;6944;6945;7697;8617;8859;11450;11451;11568;11857;15048;18696,1427;1428;1429;3418;3419;19172;19173;19174;19175;19176;19177;21343;21344;21345;23818;24551;24552;24553;24554;24555;24556;24557;24558;31738;31739;31740;31741;31742;31743;32061;32062;32774;32775;41427;41428;41429;41430;51676;51677,2686;2687;6520;6521;36766;36767;36768;36769;36770;36771;36772;36773;36774;36775;36776;40856;40857;40858;40859;40860;45462;46766;46767;46768;46769;46770;46771;46772;46773;46774;46775;46776;46777;46778;46779;60086;60087;60088;60089;60090;60091;60092;60093;60094;60626;60627;60628;60629;60630;60631;61910;61911;61912;61913;61914;61915;77823;77824;77825;77826;77827;77828;77829;77830;97979;97980;97981;97982;97983;97984,2687;6520;36768;36776;40860;45462;46779;60087;60094;60631;61911;77829;97981,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,0.310134599681859,0.332275777157615,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",19,6,6,6,3,4,5,5,3,4,5,5,3,4,5,5,6.2,6.2,6.2,141.45,1268,1268;1268;224;141;973;332;221;164;147;128;126;96;81;79;69;53;46;19;17,0.0,14.832,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.87232,2.1328,29.651,17,4,Leave out requantified,0.70857,0.98858,0.91662,0.67316,2.2744,2.547,2.0464,2.0792,35.092,19.513,26.943,46.892,3,4,5,5,0,1,2,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,2.8,4.0,5.4,5.4,545410000,285030000,260380000,82838000,47807000,35031000,103830000,48663000,55162000,149600000,73578000,76021000,209150000,114980000,94165000,,,,1,525;1666;1810;10656;13841;14700,True;True;True;True;True;True,541;1746;1895;11135;14420;15301,1451;1452;5064;5065;5493;5494;5495;30887;30888;30889;30890;39628;39629;42137;42138;42139;42140,2739;2740;2741;2742;10036;10037;10038;10853;10854;58367;58368;58369;58370;74424;79051;79052;79053;79054;79055;79056;79057;79058,2742;10038;10854;58370;74424;79057,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-1.78662210974534,0.0953252340476123,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,10;10;5;3;1,10;10;5;3;1,10;10;5;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,5,10,10,10,9,9,4,7,9,9,4,7,9,9,4,7,50.0,50.0,50.0,25.898,234,234;234;164;48;36,0.0,18.661,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29789,0.85734,15.336,29,3,Leave out requantified,0.27648,0.35641,0.29892,0.24597,0.91754,0.99417,0.69947,0.78072,20.525,12.865,8.8767,132.72,9,9,4,7,1,0,0,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.9,41.9,23.5,39.7,1964200000,1430600000,533620000,507430000,391010000,116420000,651000000,474870000,176130000,106170000,75429000,30737000,699580000,489250000,210330000,,,,2,458;1670;5921;6045;8076;10550;10751;13313;13981;18532,True;True;True;True;True;True;True;True;True;True,473;1750;6193;6326;8457;11029;11235;13879;14566;19276,1257;1258;5071;5072;17081;17082;17083;17483;17484;17485;23419;23420;23421;30581;30582;30583;30584;31160;31161;31162;31163;38164;38165;38166;38167;40047;40048;40049;53239,2389;2390;10044;32675;32676;32677;32678;32679;32680;32681;32682;32683;33514;33515;33516;33517;33518;33519;33520;44837;57865;58936;58937;58938;58939;58940;58941;58942;58943;58944;71730;75259;75260;75261;75262;75263;75264;100790,2389;10044;32676;33519;44837;57865;58941;71730;75264;100790,,,,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,0.631561809899974,0.171740979992165,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,9.5768,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.61636,1.3903,6.3062,7,0,Leave out requantified,0.46795,0.62493,0.6136,0.56969,1.1676,1.3341,1.3441,1.755,,9.0673,11.078,20.353,1,2,2,2,0,0,0,0,Median,Median,Median,Median,1.1,2.0,2.0,2.0,183980000,107490000,76492000,16787000,10550000,6236800,38951000,21741000,17210000,41992000,27044000,14948000,86254000,48157000,38097000,,,,3,9312;9624,True;True,9746;10070,27098;27099;27100;28065;28066;28067;28068,51671;51672;51673;51674;51675;53409;53410;53411;53412;53413;53414;53415;53416;53417;53418,51673;53418,,,,,-1;-1;-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
HM13,19.9447440773446,7.82524276264474e-08,Q8TCT9;A0A0C4DGU3;A0A075B6F6;A0A0S2Z6F0;A0A3B3IT72;A0A3B3IUB5,Q8TCT9;A0A0C4DGU3;A0A075B6F6;A0A0S2Z6F0;A0A3B3IT72;A0A3B3IUB5,2;2;2;2;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Minor histocompatibility antigen H13,sp|Q8TCT9|HM13_HUMAN Minor histocompatibility antigen H13 OS=Homo sapiens OX=9606 GN=HM13 PE=1 SV=1;tr|A0A0C4DGU3|A0A0C4DGU3_HUMAN Minor histocompatibility antigen H13 OS=Homo sapiens OX=9606 GN=HM13 PE=1 SV=1;tr|A0A075B6F6|A0A075B6F6_HUMAN Minor histocomp,6,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,3.7,3.7,3.7,41.488,377,377;143;272;345;365;420,0.0,10.316,,,By MS/MS,By MS/MS,0.41899,1.1893,0.6009,2,0,Median,,,0.45546,0.38544,,,1.1944,1.1842,,,,,0,0,1,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,3.7,3.2,92028000,59028000,33000000,0,0,0,0,0,0,47060000,28585000,18475000,44968000,30443000,14525000,,,,4,5205;11711,True;True,5439;12244,15011;33831;33832,28828;63868;63869,28828;63868,,,,,-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,imputed MEC,imputed MEC
TXNRD1,-1.14768806028491,0.030144085592267,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PRI8;E9PQI3;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3,17;17;17;17;17;17;15;9;4;4;3;3;2;2;1;1;1;1;1;1;1,17;17;17;17;17;17;15;9;4;4;3;3;2;2;1;1;1;1;1;1;1,17;17;17;17;17;17;15;9;4;4;3;3;2;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,17,17,17,11,16,9,11,11,16,9,11,11,16,9,11,34.2,34.2,34.2,70.905,649,649;482;648;568;548;498;460;175;103;139;70;72;44;53;494;501;523;524;338;306;463,0.0,61.919,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28495,0.79051,28.068,54,17,Leave out requantified,0.2047,0.31134,0.34606,0.27749,0.71201,0.87662,0.97828,0.93342,22.365,18.504,26.648,22.636,13,18,10,13,3,7,2,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.0,34.2,18.8,21.6,3659000000,2764400000,894570000,919710000,753310000,166400000,1149300000,831230000,318120000,533990000,374890000,159110000,1055900000,804960000,250950000,,,,7,3278;4161;4835;6674;6675;8143;8367;8390;11244;12656;12657;17238;17655;17691;17807;17938;18433,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3426;4336;5033;6990;6991;8528;8760;8785;11750;13208;13209;17950;18378;18418;18536;18668;19171,9611;9612;11926;11927;11928;11929;11930;11931;13808;13809;19286;19287;19288;19289;23611;23612;23613;23614;24247;24248;24322;24323;24324;24325;24326;24327;24328;24329;32513;32514;36447;36448;36449;36450;36451;36452;49622;49623;49624;49625;50764;50914;50915;50916;50917;51252;51253;51254;51255;51597;51598;51599;51600;52960,18792;18793;22912;22913;22914;22915;22916;22917;22918;22919;26501;26502;37020;37021;37022;37023;45149;45150;45151;45152;46202;46203;46327;46328;46329;46330;46331;46332;46333;46334;46335;46336;46337;46338;61446;61447;61448;68755;68756;68757;68758;68759;68760;68761;68762;68763;68764;68765;68766;94046;94047;94048;94049;94050;94051;96251;96588;96589;96590;96591;96592;96593;96594;96595;96596;96597;97255;97256;97257;97258;97259;97260;97261;97836;97837;97838;97839;97840;97841;97842;97843;97844;97845;97846;97847;97848;100236;100237,18793;22918;26502;37020;37022;45149;46203;46337;61446;68763;68766;94046;96251;96590;97257;97841;100237,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_8,quanti,quanti,quanti,quanti
HMOX2,0.790595783995951,0.159726822353563,P30519;I3L159;I3L1F5;A0A087WT44;I3L276;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,5;5;5;5;1;1;1;1;1,5;5;5;5;1;1;1;1;1,5;5;5;5;1;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,9,5,5,5,2,4,3,2,2,4,3,2,2,4,3,2,25.3,25.3,25.3,36.032,316,316;229;238;370;110;110;130;131;132,0.0,5.5494,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48103,0.94976,33.571,12,4,Leave out requantified,0.40632,0.45056,0.36715,0.48103,1.2155,0.94976,0.79991,1.6672,35.561,28.632,53.705,66.401,2,4,3,3,0,1,2,1,Median,Leave out requantified,Median,Median,14.2,21.2,15.2,14.2,689200000,484840000,204360000,54541000,40610000,13931000,129570000,92890000,36682000,156650000,111190000,45455000,348440000,240150000,108290000,,,,9,1193;6749;10932;11419;18519,True;True;True;True;True,1243;7067;11420;11930;19263,3535;3536;3537;3538;19523;19524;19525;19526;31656;32959;32960;53204,6746;6747;37470;37471;37472;37473;37474;37475;37476;37477;37478;37479;59907;62210;62211;100726,6747;37472;59907;62211;100726,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
EIF2B4,1.35385948130805,0.0231366355533507,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,4;4;4;1;1;1,4;4;4;1;1;1,4;4;4;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,4,4,4,2,1,2,4,2,1,2,4,2,1,2,4,10.1,10.1,10.1,57.557,523,523;520;544;194;228;235,0.0,12.93,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43443,1.2911,79.533,10,6,Median,1.1583,0.43715,0.51737,0.39897,3.831,1.107,1.4049,1.2911,166.4,,18.301,55.693,2,1,3,4,1,0,2,3,Median,Median,Median,Median,4.4,2.1,5.4,10.1,463140000,284360000,178780000,75850000,34652000,41198000,32800000,23465000,9334600,149700000,97969000,51727000,204790000,128270000,76525000,,,,10,13170;16643;17501;17801,True;True;True;True,13732;17311;18221;18530,37775;37776;37777;47798;47799;47800;47801;50332;50333;51243,71066;71067;71068;71069;71070;71071;90448;90449;90450;90451;90452;90453;90454;90455;90456;90457;95379;95380;97239,71067;90451;95379;97239,,,,,-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
NDUFS7,-0.205908509822205,0.753392311380255,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,9.4,9.4,9.4,23.563,213,213;182;214;214;236,0.034292,0.79418,By MS/MS,By MS/MS,By matching,By MS/MS,0.63623,1.532,12.267,5,1,Median,0.57883,0.59369,0.89306,0.68113,1.3537,1.2412,1.6932,1.5433,,,,1.0401,1,1,1,2,0,0,0,1,Median,Median,Median,Median,5.2,5.2,5.2,9.4,82545000,48106000,34440000,14775000,8271000,6504300,17203000,9797200,7405800,11804000,5993000,5811200,38763000,24044000,14719000,,,,11,8723;18147,True;True,9136;18881,25461;52171;52172;52173;52174,48547;98821;98822,48547;98822,,,,,-1;-1;-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
KHSRP,-0.570805810046881,0.101836305825458,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,19;19;11;8;5;2,19;19;11;8;5;2,17;17;9;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,19,19,17,12,13,13,13,12,13,13,13,10,12,13,13,38.4,38.4,35.9,73.114,711,711;711;279;169;116;269,0.0,102.71,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40295,1.2797,22.477,53,12,Leave out requantified,0.39605,0.47971,0.41616,0.36989,1.3657,1.3278,1.2052,1.1783,15.451,14.542,29.274,11.643,13,14,13,13,2,1,5,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,28.8,25.7,5214500000,3622100000,1592400000,1224000000,848650000,375360000,1382500000,931560000,450980000,1288400000,899680000,388750000,1319600000,942220000,377330000,,,,13,699;700;917;2432;4948;4949;4958;6214;6646;6649;6798;6827;7280;8079;11257;11408;14918;15857;17365,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,723;724;951;2541;5155;5156;5166;6513;6958;6961;7118;7149;7627;8460;11763;11919;15524;16488;18079,1962;1963;1964;1965;1966;2649;2650;2651;2652;7267;7268;7269;7270;14179;14180;14181;14211;18055;18056;18057;18058;19206;19207;19208;19209;19212;19213;19214;19215;19662;19748;19749;19750;19751;21159;21160;23426;23427;32540;32541;32542;32543;32937;32938;32939;42768;42769;42770;42771;45428;45429;45430;49996;49997,3723;3724;3725;3726;3727;3728;3729;3730;3731;3732;3733;3734;3735;3736;3737;3738;3739;5084;5085;5086;5087;5088;5089;5090;5091;14205;14206;14207;14208;14209;14210;14211;27269;27270;27271;27332;34766;34767;34768;34769;34770;34771;34772;34773;34774;34775;34776;36838;36839;36840;36841;36842;36843;36844;36845;36848;36849;36850;36851;36852;36853;36854;36855;37730;37914;37915;37916;37917;37918;37919;37920;37921;37922;37923;37924;37925;40530;40531;40532;40533;44843;44844;61495;61496;61497;61498;61499;61500;61501;62181;62182;62183;62184;62185;62186;62187;62188;80289;80290;80291;80292;80293;80294;80295;80296;80297;85735;85736;94818;94819;94820;94821;94822,3724;3732;5086;14210;27269;27271;27332;34775;36839;36849;37730;37915;40530;44844;61500;62183;80293;85736;94820,,,,,-1;-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
