Gene_names,NUP43_vs_BirA_logFC,NUP43_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_NUP43_N1,Peptides_NUP43_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_NUP43_N1,Razor___unique_peptides_NUP43_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_NUP43_N1,Unique_peptides_NUP43_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_NUP43_N1,Identification_type_NUP43_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_NUP43_N1,Ratio_H_L_NUP43_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_NUP43_N1,Ratio_H_L_normalized_NUP43_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____NUP43_N1,Ratio_H_L_variability_____NUP43_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_NUP43_N1,Ratio_H_L_count_NUP43_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_NUP43_N1,Ratio_H_L_iso_count_NUP43_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_NUP43_N1,Ratio_H_L_type_NUP43_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_NUP43_N1____,Sequence_coverage_NUP43_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_NUP43_N1,Intensity_L_NUP43_N1,Intensity_H_NUP43_N1,Intensity_NUP43_N2,Intensity_L_NUP43_N2,Intensity_H_NUP43_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_NUP43_N1,metacell_Intensity_L_NUP43_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDK1;CDC2,-1.53317206010492,0.00545674215562295,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9,13;13;8;8;2;2;2;1,13;13;8;8;2;2;2;1,11;11;6;6;0;0;0;0,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|E5RIU6|E5RIU6_HUMAN Cyclin-depend",8,13,13,11,11,11,4,6,11,11,4,6,9,9,3,4,47.1,47.1,44.4,34.095,297,297;297;189;224;305;164;238;39,0.0,20.6,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.69222,2.1073,15.715,36,7,Leave out requantified,0.64048,0.73456,0.67892,0.66624,2.3004,2.0284,2.0234,1.9455,24.043,11.96,20.672,21.754,12,12,5,7,1,1,2,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,38.7,38.7,13.5,20.9,2314300000,1376600000,937710000,592900000,339920000,252980000,707270000,409400000,297870000,339100000,202700000,136400000,675060000,424600000,250460000,,,,0,580;1303;7492;7493;8327;9572;12438;12535;12536;12673;13006;16374;20427,True;True;True;True;True;True;True;True;True;True;True;True;True,643;1497;8718;8719;9677;11157;14416;14526;14527;14677;15058;18853;23443,1616;1617;1618;1619;3860;3861;21873;21874;21875;21876;21877;24383;24384;28018;28019;28020;28021;28022;28023;28024;28025;36209;36457;36458;36459;36460;36461;36847;36848;37772;37773;37774;47239;47240;47241;58956;58957,2906;2907;2908;7210;7211;7212;41163;41164;41165;41166;41167;41168;41169;41170;41171;41172;41173;45922;45923;45924;45925;45926;45927;52399;52400;52401;52402;52403;52404;52405;52406;52407;52408;52409;52410;52411;52412;52413;52414;52415;67442;67443;67942;67943;67944;67945;67946;67947;67948;67949;67950;68610;68611;68612;68613;68614;68615;70258;70259;70260;70261;70262;70263;70264;87473;87474;87475;87476;87477;87478;110540;110541;110542,2906;7211;41164;41173;45927;52408;67442;67946;67950;68615;70259;87477;110540,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,0.373091037719679,0.236663240201705,Q00341;A0A024R4E5;H7C0A4;C9JIZ1;C9JHZ8;H0Y394;C9J5E5;C9JZI8;C9JES8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;H7C0A4;C9JIZ1;C9JHZ8;H0Y394;C9J5E5;C9JZI8;C9JES8;C9JHS7,6;6;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1,6;6;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1,6;6;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H7C0A4|H7C0A4_HUMAN Vigilin (Fragment) O",19,6,6,6,3,3,5,4,3,3,5,4,3,3,5,4,5.6,5.6,5.6,141.45,1268,1268;1268;332;224;141;973;221;164;147;126;128;96;81;79;69;53;46;19;17,0.0,12.122,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.82577,1.9643,28.275,14,3,Leave out requantified,0.70857,0.98858,1.1884,0.78289,2.2744,2.6272,2.2164,1.9669,35.092,20.988,33.689,18.86,3,3,4,4,0,1,2,0,Leave out requantified,Median,Linear,Leave out requantified,2.8,2.8,4.9,3.9,633430000,361420000,272010000,82838000,47807000,35031000,89520000,43745000,45775000,225870000,129130000,96731000,235200000,140730000,94471000,,,,2,590;1902;7283;12181;15719;16661,True;True;True;True;True;True,654;2188;8490;14124;18100;19165,1645;1646;5729;5730;21302;21303;35458;35459;35460;45254;45255;48033;48034;48035;48036,2965;2966;2967;2968;10963;10964;40103;40104;66010;66011;66012;83682;88817;88818;88819;88820;88821;88822;88823;88824;88825;88826,2967;10963;40103;66011;83682;88820,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
PSMA2,-1.10119574848168,0.0113630164967412,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,10;10;5;3;1,10;10;5;3;1,10;10;5;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,5,10,10,10,8,8,5,6,8,8,5,6,8,8,5,6,50.0,50.0,50.0,25.898,234,234;234;164;48;36,0.0,24.448,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32699,0.97921,46.259,28,3,Leave out requantified,0.2832,0.35815,0.51708,0.37096,0.91895,0.99766,1.4592,0.94175,20.977,11.69,137.07,142.92,8,8,6,6,1,0,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.5,41.5,35.5,44.9,3282500000,1737300000,1545300000,483000000,371200000,111810000,617120000,451360000,165760000,890540000,313870000,576670000,1291900000,600850000,691030000,,,,3,511;1906;6674;6832;9141;12066;12284;15136;15871;21079,True;True;True;True;True;True;True;True;True;True,570;2192;7738;7932;7933;10635;13997;14251;17452;18282;24161,1418;1419;5736;5737;19382;19383;19384;19385;19871;19872;19873;19874;19875;26747;26748;26749;35120;35121;35780;35781;35782;35783;43666;43667;45719;45720;60727;60728,2555;2556;10970;36374;36375;36376;36377;36378;36379;36380;36381;36382;37340;37341;37342;37343;37344;37345;37346;37347;37348;37349;37350;50304;65427;66648;66649;66650;66651;66652;66653;66654;66655;80854;80855;84589;84590;84591;84592;113768;113769;113770;113771,2555;10970;36375;37346;50304;65427;66655;80855;84592;113769,,,,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,0.74855734424639,0.125123211383282,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,8.5323,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.63537,1.3752,13.358,7,0,Leave out requantified,0.46795,0.62493,0.70068,0.51169,1.1676,1.3341,1.8643,1.2934,,9.0673,4.0346,30.615,1,2,2,2,0,0,0,0,Median,Median,Median,Median,1.1,2.0,2.0,2.0,244060000,148130000,95926000,16787000,10550000,6236800,38951000,21741000,17210000,96180000,57144000,39036000,92139000,58696000,33443000,,,,5,10619;10962,True;True,12334;12747,31048;31049;31050;32132;32133;32134;32135,58121;58122;60082;60083;60084;60085;60086;60087;60088;60089;60090;60091,58122;60086,,,,,-1;-1;-1;-1;-1;-1;-1,protein_6,quanti,quanti,quanti,quanti
EPPK1,19.6142082072595,0.00014947508600934,P58107;A0A075B730,P58107;A0A075B730,12;12,2;2,2;2,Epiplakin,sp|P58107|EPIPL_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3;tr|A0A075B730|A0A075B730_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=2,2,12,2,2,1,0,10,10,0,0,1,1,0,0,1,1,11.1,4.6,4.6,555.65,5088,5088;5063,0.015123,1.1135,By matching,,By MS/MS,By MS/MS,1.1637,2.8601,112.79,2,1,Median,,,3.0961,0.43736,,,6.3495,1.2883,,,,,0,0,1,1,0,0,0,1,Median,Median,Median,Median,0.2,0.0,10.8,6.5,242510000,140610000,101900000,0,0,0,0,0,0,21237000,6992800,14244000,221280000,133620000,87656000,,,,7,5421;5965;6640;9561;10878;10880;10881;10882;11129;19698;19699;19700,False;False;False;True;False;False;False;False;True;False;False;False,6215;6216;6893;7685;11144;12650;12653;12654;12655;12656;12944;22625;22626;22627,15516;15517;15518;17319;19237;19238;27989;31874;31875;31876;31884;31885;31886;31887;31888;31889;31890;31891;31892;31893;31894;31895;31896;31897;32627;56928;56929;56930;56931;56932;56933;56934,29226;29227;29228;29229;29230;32585;36079;36080;52352;59619;59620;59621;59622;59623;59624;59647;59648;59649;59650;59651;59652;59653;59654;59655;59656;59657;59658;59659;59660;59661;59662;59663;59664;59665;59666;59667;59668;59669;59670;59671;59672;59673;59674;59675;59676;59677;59678;59679;59680;59681;59682;59683;61152;106729;106730;106731;106732;106733;106734;106735;106736;106737;106738;106739;106740;106741;106742,29228;32585;36080;52352;59621;59654;59672;59682;61152;106735;106739;106741,,,,,-1;-1,protein_8,quanti,quanti,imputed MEC,imputed MEC
TXNRD1,-1.71209678287424,0.0159811858104849,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,16,16,16,11,16,8,6,11,16,8,6,11,16,8,6,34.2,34.2,34.2,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,42.54,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2492,0.7748,18.51,45,13,Leave out requantified,0.20536,0.31134,0.27832,0.30933,0.72991,0.87662,0.84277,0.86878,22.836,18.504,20.373,8.5304,13,18,8,6,4,7,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.4,34.2,17.4,13.9,3555300000,2724200000,831110000,930700000,765320000,165380000,1149300000,831230000,318120000,850700000,668150000,182550000,624560000,459490000,165070000,,,,10,3652;4637;5412;7534;9214;9460;9489;12875;14528;14529;19572;20073;20113;20248;20397;20961,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4193;5308;6204;8768;10725;11020;11056;14903;16763;16764;22487;23035;23089;23249;23409;24031,10672;10673;13316;13317;13318;13319;13320;13321;15493;22003;22004;26973;26974;26975;27679;27754;27755;27756;27757;27758;27759;27760;37408;37409;42059;42060;42061;42062;42063;56585;56586;56587;56588;57924;58074;58075;58076;58476;58477;58478;58864;58865;58866;58867;60398;60399,20284;20285;20286;25019;25020;25021;25022;25023;25024;25025;25026;25027;25028;29190;41436;41437;50679;50680;50681;50682;50683;51776;51904;51905;51906;51907;51908;51909;51910;51911;51912;51913;51914;51915;69645;69646;69647;69648;78248;78249;78250;78251;78252;78253;78254;78255;105965;105966;105967;105968;105969;105970;105971;108567;108871;108872;108873;108874;108875;108876;108877;108878;109693;109694;109695;109696;109697;109698;109699;110375;110376;110377;110378;110379;110380;110381;110382;110383;110384;110385;110386;110387;110388;113120;113121;113122;113123,20286;25023;29190;41436;50679;51776;51913;69648;78251;78255;105965;108567;108873;109693;110377;113122,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
HMOX2,1.3875611782132,0.0478456876089088,P30519;I3L159;I3L1F5;A0A087WT44;I3L4P8;A0A1B0GXH0;I3L463;I3L276;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,7;7;7;7;3;3;3;2;1,7;7;7;7;3;3;3;2;1,7;7;7;7;3;3;3;2;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,9,7,7,7,2,5,4,5,2,5,4,5,2,5,4,5,37.3,37.3,37.3,36.032,316,316;229;238;370;130;131;132;110;110,0.0,21.347,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47549,1.0139,27.115,17,7,Leave out requantified,0.40632,0.43853,0.61397,0.4675,1.2155,0.98132,1.8394,1.1602,35.561,23.688,53.058,31.686,2,5,4,6,0,1,2,4,Median,Leave out requantified,Median,Median,14.2,28.5,19.9,25.9,1494600000,982670000,511960000,54541000,40610000,13931000,153820000,109690000,44131000,486490000,292710000,193780000,799790000,539670000,260120000,,,,12,1339;3408;7624;9805;12502;13099;21064,True;True;True;True;True;True;True,1543;3918;8867;11426;14485;15159;24146,3982;3983;3984;3985;10002;22264;22265;22266;22267;22268;28747;36366;36367;38023;38024;38025;60685,7465;7466;7467;7468;7469;7470;7471;7472;19004;41942;41943;41944;41945;41946;41947;41948;41949;41950;41951;41952;41953;53722;67750;67751;67752;70663;70664;70665;113689,7470;19004;41951;53722;67752;70663;113689,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
EIF2B4,-0.358145100475681,0.606994549166003,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,3,3,3,2,1,1,3,2,1,1,3,2,1,1,3,7.6,7.6,7.6,57.557,523,523;520;544;194;228;235,0.0,8.038,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48637,1.2609,5.6865,7,2,Leave out requantified,1.1583,0.43715,0.49375,0.54389,3.831,1.107,1.2419,1.4155,166.4,,,12.275,2,1,1,3,1,0,0,1,Median,Median,Median,Plateau,4.4,2.1,2.1,7.6,319580000,185450000,134130000,75850000,34652000,41198000,32800000,23465000,9334600,39683000,25072000,14612000,171250000,102260000,68987000,,,,13,14984;18894;19883,True;True;True,17281;21665;22823,43243;54451;54452;54453;54454;57400;57401,80196;80197;101787;101788;101789;101790;101791;101792;101793;101794;101795;107531;107532,80196;101787;107532,,,,,-1;-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
NDUFS7,19.7164792918618,7.76519551892526e-08,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,2,2,2,0,0,1,1,0,0,1,1,0,0,1,1,10.8,10.8,10.8,23.563,213,213;182;214;214;236,0.0,5.8979,,,By MS/MS,By MS/MS,0.65006,1.7611,19.845,2,1,Median,,,0.73229,0.57707,,,2.0264,1.5305,,,,,0,0,1,1,0,0,0,1,Median,Median,Median,Median,0.0,0.0,4.2,6.6,109150000,66193000,42960000,0,0,0,0,0,0,50533000,28775000,21758000,58620000,37418000,21201000,,,,15,9884;14794,True;True,11517;17061,29039;42738,54329;54330;79332;79333,54329;79332,,,,,-1;-1;-1;-1;-1,protein_16,quanti,quanti,imputed MEC,imputed MEC
KHSRP,0.0444579140676176,0.854208378538449,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,21;21;12;9;6;2,19;19;10;7;5;2,19;19;10;7;5;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,21,19,19,12,13,17,13,10,12,16,13,10,12,16,13,41.4,38.8,38.8,73.114,711,711;711;279;169;116;269,0.0,71.583,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44742,1.3508,15.353,50,7,Leave out requantified,0.39889,0.4807,0.44724,0.45686,1.412,1.338,1.3133,1.3199,14.577,13.055,17.821,19.012,10,12,16,12,1,1,4,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,34.7,26.7,7010100000,4831600000,2178500000,976380000,671810000,304580000,1158500000,772440000,386020000,2273300000,1597600000,675700000,2601900000,1789700000,812210000,,,,18,781;782;1022;2708;5545;5546;7027;7155;7504;7506;7675;7710;8241;9144;12896;13080;13253;16896;16897;17977;19736,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,875;876;877;1158;3105;6381;6382;8189;8352;8732;8734;8735;8922;8963;9582;10638;14925;15136;15335;19424;19425;20633;22663,2220;2221;2222;2223;2224;2225;2971;2972;2973;2974;8070;8071;8072;15969;15970;15971;20539;20540;20541;20542;20945;21908;21909;21910;21911;21913;21914;21915;21916;21917;22417;22418;22518;22519;22520;22521;24165;24166;26755;37452;37453;37454;37455;37978;37979;37980;37981;38490;48688;48689;48690;48691;51730;51731;51732;51733;57021;57022,4056;4057;4058;4059;4060;4061;4062;4063;4064;4065;4066;4067;4068;4069;4070;4071;4072;4073;4074;5538;5539;5540;5541;5542;5543;5544;15364;15365;15366;15367;30178;30179;30180;38732;38733;38734;38735;38736;38737;38738;38739;38740;39462;41237;41238;41239;41240;41241;41242;41243;41244;41246;41247;41248;41249;41250;41251;41252;41253;41254;42241;42242;42243;42244;42475;42476;42477;42478;42479;42480;42481;42482;42483;42484;45543;45544;50317;50318;50319;69723;69724;69725;69726;69727;69728;69729;69730;69731;69732;69733;69734;69735;69736;69737;69738;69739;70604;70605;70606;70607;70608;70609;70610;70611;70612;70613;71481;90083;90084;90085;90086;90087;90088;90089;90090;96224;96225;96226;96227;96228;96229;96230;96231;96232;96233;106882;106883;106884;106885,4058;4067;5543;15364;30178;30180;38732;39462;41244;41248;42242;42484;45544;50319;69735;70610;71481;90083;90090;96225;106885,2,,251,,-1;-1;-1;-1;-1;-1,protein_19,quanti,quanti,quanti,quanti
