,Bait,Prey Gene,Saint Score,log2FC
0,WDR5B,HIST1H4A,0.0,-1.5994620704162712
1,WDR5B,HSPA6,0.0,-0.7369655941662062
2,WDR5B,HSPA5,0.0,-3.643856189774725
3,WDR5B,HSPA4,0.0,-4.321928094887363
4,WDR5B,HSPA8,0.0,-0.9434164716336325
5,WDR5B,SP1,0.0,-2.5563933485243853
6,WDR5B,ATXN2L,0.0,-4.643856189774724
7,WDR5B,XPO5,0.0,-1.0
8,WDR5B,CSDE1,0.0,-1.9434164716336324
9,WDR5B,TIPRL,0.0,-2.1202942337177118
10,WDR5B,FAM212B,0.0,-2.5563933485243853
11,WDR5B,RPS6KA1,0.0,-5.058893689053568
12,WDR5B,SERBP1,0.0,-3.321928094887362
13,WDR5B,ARF3,0.0,-3.643856189774725
14,WDR5B,RAB11FIP5,0.0,-4.321928094887363
15,WDR5B,MPRIP,0.0,-5.643856189774724
16,WDR5B,EEF1A1,0.0,-1.286304185156641
17,WDR5B,EEF1A2,0.0,-1.4739311883324124
18,WDR5B,MAGEA4,0.0,-2.9434164716336326
19,WDR5B,IRAK1,0.0,-3.321928094887362
20,WDR5B,GCHFR,0.0,0.0
21,WDR5B,RFX5,0.0,-2.8365012677171206
22,WDR5B,COPS5,0.0,-1.0
23,WDR5B,TNS1,0.0,-1.0
24,WDR5B,DPYSL4,0.0,-5.058893689053568
25,WDR5B,DPYSL2,0.0,-3.473931188332412
26,WDR5B,DPYSL3,0.0,-3.8365012677171206
27,WDR5B,NUDT5,0.0,-5.058893689053568
28,WDR5B,PFN2,0.0,-0.4150374992788438
29,WDR5B,DNAJB1,0.0,-3.8365012677171206
30,WDR5B,SSB,0.0,-3.8365012677171206
31,WDR5B,ECD,0.0,-3.1844245711374275
32,WDR5B,ETF1,0.0,-4.643856189774724
33,WDR5B,SSX2IP,0.0,0.0
34,WDR5B,YKT6,0.0,-3.8365012677171206
35,WDR5B,TJP1,0.0,-6.643856189774724
36,WDR5B,TCP1,0.59,1.5509006646475232
37,WDR5B,SH3PXD2B,0.0,-6.643856189774724
