SMU1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (SMU1_vs_zCtl),P_Value (SMU1_vs_zCtl),isDifferential (SMU1_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
CDK1;CDC2,0.399358278,0.434133948813562,0,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,13;13;8;7;2;2;2;1,13;13;8;7;2;2;2;1,11;11;6;5;0;0;0;0,Cyclin-dependent kinase 1,CDK1;CDC2,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",13,11,47.8,297
HDLBP,0.1022252117,0.694518515854589,0,Q00341;A0A024R4E5;C9JHZ8;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7;H0Y394;H7C0A4;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JHZ8;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7,5;5;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1,5;5;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1,5;5;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHZ8|C9JHZ8_HUMAN Vigilin (Fragment) O",5,5,6.2,1268
PSMA2,0.5300296765,0.0865234316618592,0,P25787;A0A024RA52;H3BT36;C9JCK5;H7C402,P25787;A0A024RA52,8;8;3;3;1,8;8;3;3;1,8;8;3;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,8,8,41.5,234
BAG6;BAT3,0.835148371,0.141988750949914,0,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,3;3;3;3;2;2;2,3;3;3;3;2;2;2,3;3;3;3;2;2;2,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,3,3,3.2,1132
TAF15,0.5861726303,0.0566795906258498,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9;A0A075B7F4,2;2;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7F4|A0A075B7F4_HUMAN TA,2,2,5.9,592
TXNRD1,1.3299168581,0.00397836539486408,1,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",19,19,38.4,649
EIF2B4,1.0817798212,0.255786151599865,0,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,3,3,7.6,523
KHSRP,-0.0745958094,0.798833764478532,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,17;17;11;8;5;2,15;15;9;6;4;2,15;15;9;6;4;2,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,17,15,32.2,711
