Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity TOR1AIP2-N1,Intensity TOR1AIP2-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
A0A222,A0A222,35,35,35,,A0A222,sp|A0A222|BIRA_HUMAN BirA R118G OS=Homo sapiens GN=BIRA,35,35,91.9,32.750150746805,35.7433446246508,39.8262264926407,39.9252588505561
A0A3B3ISK4;A0A3B3IUA2,A0A3B3ISK4;A0A3B3IUA2,2;2,2;2,2;2,,A0A3B3ISK4;A0A3B3IUA2,tr|A0A3B3ISK4|A0A3B3ISK4_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=4 SV=1;tr|A0A3B3IUA2|A0A3B3IUA2_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1,2,2,22.4,4.17208717402692,4.1631440863452,24.7270757920008,23.5134018395649
A0A494C0J0;E9PS86,A0A494C0J0,5;2,2;2,2;2,,A0A494C0J0,tr|A0A494C0J0|A0A494C0J0_HUMAN Nuclear pore complex protein Nup214 (Fragment) OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=1,5,2,40.6,22.8406888094483,21.0190314105745,4.49585555904608,4.40302638284169
A8K2U0;H0YGG5;F5GXP1,A8K2U0;H0YGG5,9;8;1,9;8;1,9;8;1,Alpha-2-macroglobulin-like protein 1,A2ML1,sp|A8K2U0|A2ML1_HUMAN Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens OX=9606 GN=A2ML1 PE=1 SV=3;tr|H0YGG5|H0YGG5_HUMAN Alpha-2-macroglobulin-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=A2ML1 PE=1 SV=1,9,9,6.7,22.0486704296337,26.1337707717408,24.6923217773872,24.4912439198414
A0A096LP25;Q6ZSR9;A0A096LNZ0,A0A096LP25;Q6ZSR9;A0A096LNZ0,16;12;11,13;12;8,13;12;8,Uncharacterized protein FLJ45252,AAK1,tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;tr|A0A096LNZ0|A0A096LNZ0_HUMAN AP2-associated prote,16,13,43.2,22.4653490313357,26.9220696806874,29.8684125928983,29.7176094389667
Q2M2I8;E9PG46;A0A096LP60;Q9NSY1;K4DI97,Q2M2I8;E9PG46,23;18;3;2;2,23;18;3;2;2,20;18;0;2;2,AP2-associated protein kinase 1,AAK1,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,23,20,30.5,22.4491918405136,27.5834095791396,30.5220620562157,30.2377442112063
P49588;H3BPK7,P49588,24;7,24;7,24;7,"Alanine--tRNA ligase, cytoplasmic",AARS,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",24,24,30.3,22.3865179296231,24.220591474714,28.7794402364988,28.8740537512955
Q4L235;R4GNB1,Q4L235;R4GNB1,7;7,7;7,7;7,Acyl-CoA synthetase family member 4,AASDH,sp|Q4L235|ACSF4_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=3;tr|R4GNB1|R4GNB1_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=2,7,7,8.6,4.17208717402692,4.1631440863452,24.6291756065388,26.2962635554593
Q9NRN7;E9PLW6,Q9NRN7,3;1,3;1,3;1,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,3,3,10.7,4.17208717402692,4.1631440863452,24.8779251409578,24.397412467283
Q9NY61;A0A087WTH8;A0A087WWS8,Q9NY61,3;1;1,3;1;1,3;1;1,Protein AATF,AATF,sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1,3,3,7.9,4.17208717402692,4.1631440863452,25.0034170290706,24.2705633884014
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.17208717402692,4.1631440863452,24.1592326418786,23.7331469030404
