Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF12_N1,Intensity DCAF12_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.25377280271413,4.41538556284283,24.1592326418786,24.5855076025776
I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,2;1;1;1,2;1;1;1,2;1;1;1,,ABR,tr|I3L3W0|I3L3W0_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L259|I3L259_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L2L,2,2,29.3,4.25377280271413,4.41538556284283,23.1248829926369,26.0421406174902
A0A087WYK6,A0A087WYK6,5,2,2,,ACACA,tr|A0A087WYK6|A0A087WYK6_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,5,2,81.6,23.9721135852658,24.6620998435549,23.5321951458799,23.4512362702179
P11117;E9PHY0;E9PQY3;A0A5F9ZHR7;A0A5F9ZI20;A0A5F9ZH40;B7Z6U3;A0A5F9ZH82;B7Z7D2,P11117;E9PHY0;E9PQY3;A0A5F9ZHR7;A0A5F9ZI20;A0A5F9ZH40;B7Z6U3;A0A5F9ZH82;B7Z7D2,2;2;2;2;1;1;1;1;1,2;2;2;2;1;1;1;1;1,2;2;2;2;1;1;1;1;1,Lysosomal acid phosphatase,ACP2,sp|P11117|PPAL_HUMAN Lysosomal acid phosphatase OS=Homo sapiens OX=9606 GN=ACP2 PE=1 SV=3;tr|E9PHY0|E9PHY0_HUMAN Lysosomal acid phosphatase OS=Homo sapiens OX=9606 GN=ACP2 PE=1 SV=1;tr|E9PQY3|E9PQY3_HUMAN Lysosomal acid phosphatase OS=Homo sapiens OX=9606,2,2,8.3,23.613242711117,24.9349006514122,24.3331667839513,22.7122776118317
P68133;P68032;P62736;P63267;A6NL76;F8WB63;B8ZZJ2;C9JFL5;F6UVQ4;F6QUT6,P68133;P68032;P62736;P63267;A6NL76,15;15;13;13;11;6;6;6;6;6,2;2;1;1;2;1;1;1;1;1,2;2;1;1;2;1;1;1;1;1,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",ACTA1;ACTC1;ACTA2;ACTG2,"sp|P68133|ACTS_HUMAN Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1;sp|P68032|ACTC_HUMAN Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1;sp|P62736|ACTA_HUMAN Actin, aortic smooth muscle OS=Homo sapiens OX=9",15,2,33.7,26.5181808360452,27.7079357988981,28.917353594158,28.4595146682324
O43865,O43865,6,6,2,Putative adenosylhomocysteinase 2,AHCYL1,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,6,2,12.1,4.25377280271413,4.41538556284283,26.6035695268123,26.3900490072837
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,4.25377280271413,4.41538556284283,22.9306485579508,23.4636361216132
Q99996;A0A0A0MRF6;A0A087WX84;H7BYL6;A0A0A0MRE9,Q99996;A0A0A0MRF6;A0A087WX84;H7BYL6;A0A0A0MRE9,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,A-kinase anchor protein 9,AKAP9,sp|Q99996|AKAP9_HUMAN A-kinase anchor protein 9 OS=Homo sapiens OX=9606 GN=AKAP9 PE=1 SV=4;tr|A0A0A0MRF6|A0A0A0MRF6_HUMAN A-kinase anchor protein 9 OS=Homo sapiens OX=9606 GN=AKAP9 PE=1 SV=1;tr|A0A087WX84|A0A087WX84_HUMAN A-kinase anchor protein 9 OS=Homo,2,2,0.7,25.3369011985261,25.5164408987874,4.42724936884613,4.39090484493968
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5,2,12.6,4.25377280271413,4.41538556284283,22.7074829937707,24.4367608419954
Q6AI12,Q6AI12,2,2,2,Ankyrin repeat domain-containing protein 40,ANKRD40,sp|Q6AI12|ANR40_HUMAN Ankyrin repeat domain-containing protein 40 OS=Homo sapiens OX=9606 GN=ANKRD40 PE=1 SV=2,2,2,4.9,4.25377280271413,4.41538556284283,23.4332624725697,23.3574288829634
