Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WSB2-N1,Intensity WSB2-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q15019;B5MCX3;C9J2Q4;H7C2Y0;A0A1B0GXJ2;C9JFT1;F8WB65;B5MD47;C9JZI2;C9IY94;C9IZU3;C9JQJ4;C9J938;H7C310;C9JB25,Q15019;B5MCX3;C9J2Q4;H7C2Y0,5;5;3;3;1;1;1;1;1;1;1;1;1;1;1,5;5;3;3;1;1;1;1;1;1;1;1;1;1;1,5;5;3;3;1;1;1;1;1;1;1;1;1;1;1,Septin-2,Septin-2,sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J2Q4|C9J2Q4_HUMAN Septin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|H7C2Y0|H7C2Y,5,5,21.6,4.25717907948666,4.09415654932906,26.1113184566198,26.1790024447582
Q16181;E7ES33;E7EPK1;G3V1Q4;A0A0U1RRM2;A0A0U1RRH9;A0A0U1RRE1;A0A5F9ZGZ7;Q5JXL7;Q6ZU15;A0A0U1RRD1,Q16181;E7ES33;E7EPK1;G3V1Q4,9;9;9;8;3;3;3;3;2;1;1,9;9;9;8;3;3;3;3;2;1;1,9;9;9;8;3;3;3;3;2;1;1,Septin-7,Septin-7,sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|E7ES33|E7ES33_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=3;tr|E7EPK1|E7EPK1_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|G3V1Q4|G3V1Q4_HUMAN Sep,9,9,26.1,27.9002929539863,27.4946504130738,28.2906152759497,27.5986801113992
Q9UHD8;K7EL40;K7EK18;K7ER52;K7EQD7;K7EIE4;K7ENL0;K7EJ51;K7ER14;K7EPY1;K7ELJ9;K7EJV0;K7EJZ2;K7EJL9;K7ENQ5;K7EN52;K7EKN4;K7EIR4;K7ER34;K7EQ08;K7ERG1,Q9UHD8,28;9;8;7;7;7;7;6;5;5;5;5;4;4;3;3;3;3;2;1;1,28;9;8;7;7;7;7;6;5;5;5;5;4;4;3;3;3;3;2;1;1,28;9;8;7;7;7;7;6;5;5;5;5;4;4;3;3;3;3;2;1;1,Septin-9,Septin-9,sp|Q9UHD8|SEPT9_HUMAN Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,28,28,55.5,26.0093456426125,25.7143702570227,31.1978866264816,31.0091854410642
Q9P0V9;E7EW69;B5ME97;E7EX04;F5GYV2;F5H1W3;F8WC85;C9JEW2;C9JNR7;C9JEQ7;F5H1F2,Q9P0V9;E7EW69;B5ME97;E7EX04,4;4;4;3;1;1;1;1;1;1;1,4;4;4;3;1;1;1;1;1;1;1,4;4;4;3;1;1;1;1;1;1;1,Septin-10,Septin-10,"sp|Q9P0V9|SEP10_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7EW69|E7EW69_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|B5ME97|B5ME97_HUMAN Septin 10, isoform CRA_c OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7",4,4,13.0,4.25717907948666,4.09415654932906,25.3199647815097,25.2630588271635
A0A096LP25;Q6ZSR9;A0A096LNZ0;A0A096LP60,A0A096LP25;Q6ZSR9;A0A096LNZ0,15;11;11;3,12;11;8;0,12;11;8;0,Uncharacterized protein FLJ45252,AAK1,tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;tr|A0A096LNZ0|A0A096LNZ0_HUMAN AP2-associated prote,15,12,48.9,24.2978290237596,24.4263681645638,29.8647870995758,29.7599113647893
Q2M2I8;E9PG46;Q9NSY1;K4DI97,Q2M2I8;E9PG46,23;18;2;2,23;18;2;2,20;18;2;2,AP2-associated protein kinase 1,AAK1,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,23,20,30.5,25.3968574275999,25.8068817447658,30.5220620562157,30.2377442112063
P49588;H3BPK7,P49588,23;7,23;7,23;7,"Alanine--tRNA ligase, cytoplasmic",AARS,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",23,23,29.5,24.6636749272384,22.5241571624215,28.7319184582336,28.7324361214594
Q4L235;R4GNB1,Q4L235;R4GNB1,7;7,7;7,7;7,Acyl-CoA synthetase family member 4,AASDH,sp|Q4L235|ACSF4_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=3;tr|R4GNB1|R4GNB1_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=2,7,7,8.6,4.25717907948666,4.09415654932906,25.154952502708,26.1372738617277
Q9NRN7,Q9NRN7,2,2,2,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,2,2,5.2,4.25717907948666,4.09415654932906,23.2945994360307,24.397412467283
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.25717907948666,4.09415654932906,24.1592326418786,23.8086136827564
