Gene_names,DET1_vs_BirA_logFC,DET1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DET1_N1,Peptides_DET1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DET1_N1,Razor___unique_peptides_DET1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DET1_N1,Unique_peptides_DET1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DET1_N1,Identification_type_DET1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DET1_N1,Ratio_H_L_DET1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DET1_N1,Ratio_H_L_normalized_DET1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DET1_N1,Ratio_H_L_variability_____DET1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DET1_N1,Ratio_H_L_count_DET1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DET1_N1,Ratio_H_L_iso_count_DET1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DET1_N1,Ratio_H_L_type_DET1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DET1_N1____,Sequence_coverage_DET1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DET1_N1,Intensity_L_DET1_N1,Intensity_H_DET1_N1,Intensity_DET1_N2,Intensity_L_DET1_N2,Intensity_H_DET1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DET1_N1,metacell_Intensity_L_DET1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HDLBP,0.802688193250845,0.196036138431488,Q00341;A0A024R4E5;C9JHS7;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;H7C0A4;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;H0Y394;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JHS7;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;H7C0A4;C9JK79;C9JT62,6;6;4;4;4;4;4;4;3;3;3;2;2;2;2;2;2;1;1,6;6;4;4;4;4;4;4;3;3;3;2;2;2;2;2;2;1;1,6;6;4;4;4;4;4;4;3;3;3;2;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHS7|C9JHS7_HUMAN Vigilin (Fragment) O",19,6,6,6,3,4,5,4,3,4,5,4,3,4,5,4,5.6,5.6,5.6,141.45,1268,1268;1268;126;224;221;164;147;141;332;128;96;81;79;69;53;46;973;19;17,0.0,10.04,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.6513,1.9898,12.687,16,3,Leave out requantified,0.70857,0.98858,0.59011,0.65196,2.2744,2.547,2.083,1.7948,35.092,19.513,10.093,8.6458,3,4,5,4,0,1,0,2,Leave out requantified,Leave out requantified,Leave out requantified,Median,2.8,4.0,4.9,3.7,565080000,327040000,238040000,82838000,47807000,35031000,103830000,48663000,55162000,235750000,146480000,89265000,142670000,84084000,58582000,,,,1,527;1845;6321;10644;13930;14790,True;True;True;True;True;True,639;2379;8340;14000;18078;19143,1444;1445;5587;5588;18914;18915;31482;31483;31484;31485;40408;40409;42933;42934;42935;42936;42937,2604;2605;2606;2607;2608;10430;10431;34274;34275;55859;55860;55861;55862;55863;71362;75727;75728;75729;75730;75731;75732;75733;75734;75735,2605;10431;34274;55861;71362;75730,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-2.93085403396493,0.0418381068796266,P25787;A0A024RA52;H3BT36;C9JCK5;H7C402,P25787;A0A024RA52,9;9;3;3;1,9;9;3;3;1,9;9;3;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,8,8,1,4,8,8,1,4,8,8,1,4,45.7,45.7,45.7,25.898,234,234;234;48;164;36,0.0,21.678,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31745,0.95771,14.875,22,3,Leave out requantified,0.2832,0.35815,0.55427,0.31745,0.91895,0.99766,2.0741,0.81349,20.977,11.69,,25.954,8,8,1,5,1,0,0,2,Leave out requantified,Leave out requantified,Median,Leave out requantified,41.5,41.5,6.0,22.2,1423800000,1047100000,376730000,483000000,371200000,111810000,617120000,451360000,165760000,42693000,25144000,17549000,281000000,199380000,81620000,,,,2,461;1706;5817;5943;7968;10546;10733;14070;14936,True;True;True;True;True;True;True;True;True,563;2208;7618;7619;7811;7812;10509;13891;14126;18263;19327,1253;1254;5181;5182;17232;17233;17234;17235;17236;17714;17715;17716;23768;23769;31225;31226;31227;31769;31770;40846;40847;43371,2240;2241;9687;31187;31188;31189;31190;31191;31192;31193;31194;31195;31196;31197;31198;31199;31200;31201;31202;32084;32085;32086;32087;32088;32089;32090;42913;55439;56432;56433;56434;56435;72204;72205;72206;72207;76529,2240;9687;31188;32084;42913;55439;56432;72207;76529,0,,70,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,1.2261666349608,0.147768329065247,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,4;4;4;4;2;2;2,4;4;4;4;2;2;2,4;4;4;4;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,7,4,4,4,1,2,2,4,1,2,2,4,1,2,2,4,4.9,4.9,4.9,119.41,1132,1132;1077;1126;1132;515;742;742,0.0,9.7115,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.61048,1.4256,29.793,9,1,Leave out requantified,0.46795,0.62493,0.63736,0.64989,1.1676,1.3341,1.6672,1.6243,,9.0673,57.46,14.129,1,2,2,4,0,0,0,1,Median,Median,Median,Leave out requantified,1.1,2.0,2.8,4.9,256930000,141360000,115570000,16787000,10550000,6236800,38951000,21741000,17210000,45572000,26430000,19141000,155620000,82641000,72982000,,,,4,734;9269;9589;13818,True;True;True;True,910;12262;12687;17930,2075;27662;27663;28602;28603;28604;28605;40048;40049,3711;49625;49626;49627;51134;51135;51136;51137;51138;51139;51140;70761,3711;49626;51138;70761,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
FILIP1,-22.1201756790986,2.62113171956982e-06,Q7Z7B0;A0A075B6G6,Q7Z7B0;A0A075B6G6,2;2,2;2,2;2,Filamin-A-interacting protein 1,"sp|Q7Z7B0|FLIP1_HUMAN Filamin-A-interacting protein 1 OS=Homo sapiens OX=9606 GN=FILIP1 PE=1 SV=1;tr|A0A075B6G6|A0A075B6G6_HUMAN Filamin A interacting protein 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=FILIP1 PE=1 SV=1",2,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,2.7,2.7,2.7,138.11,1213,1213;1114,0.022448,0.88439,By MS/MS,By MS/MS,,,0.030648,0.3305,146.31,3,2,Plateau,0.09079,0.030648,,,0.3305,0.085383,,,174.93,,,,2,1,0,0,1,1,0,0,Median,Median,Median,Median,2.7,1.2,0.0,0.0,238510000,205750000,32753000,184510000,155040000,29472000,53997000,50716000,3281500,0,0,0,0,0,0,,,,6,8176;17485,True;True,10832;22620,24427;51013;51014,43943;90919;90920;90921,43943;90920,,,,,-1;-1,protein_7,imputed MEC,imputed MEC,quanti,quanti
TAF15,-0.314994612606903,0.542720219494391,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,5;5;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,5,2,2,1,1,5,2,1,1,2,2,1,1,2,2,7.6,5.9,5.9,61.829,592,592;449;214,0.0,5.295,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34818,1.152,8.7597,9,0,Leave out requantified,0.31464,0.44007,0.26402,0.36506,1.1343,1.3016,1.1265,1.1294,,2.5173,16.522,9.9884,1,2,3,3,0,0,0,0,Median,Median,Median,Plateau,2.9,2.9,7.6,5.9,704170000,502040000,202140000,115510000,87691000,27820000,244970000,161260000,83710000,180350000,137250000,43094000,163350000,115840000,47513000,,,,10,103;104;12865;12866;13886,False;True;False;False;True,113;114;16740;16741;16742;18024,252;253;254;255;256;257;37471;37472;37473;40286;40287;40288;40289,456;457;458;459;460;461;462;463;464;465;466;66397;66398;66399;66400;71172;71173;71174;71175,456;461;66397;66400;71172,4;5,,261;264,,-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
TXNRD1,-1.43781275475164,0.135158530782439,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,17;17;17;17;17;17;15;10;5;5;3;3;2;1;1;1;1;1;1;1;1,17;17;17;17;17;17;15;10;5;5;3;3;2;1;1;1;1;1;1;1;1,17;17;17;17;17;17;15;10;5;5;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,17,17,17,11,15,5,11,11,15,5,11,11,15,5,11,34.2,34.2,34.2,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,39.335,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27019,0.78726,22.506,47,11,Leave out requantified,0.20536,0.31134,0.24086,0.2894,0.72991,0.87662,0.89109,0.91806,21.965,18.504,13.401,21.317,13,17,5,12,2,6,2,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,24.5,32.2,12.6,27.7,3317700000,2527800000,789940000,907340000,744420000,162920000,1122000000,810910000,311080000,225570000,180770000,44801000,1062800000,791680000,271140000,,,,11,3219;4048;4714;6544;8028;8262;8287;9852;11290;12798;12799;17355;17791;17824;17942;18067;18598,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4146;5193;5194;6068;8615;10605;10974;11007;11008;13019;14790;16659;16660;22462;22995;23051;23205;23356;24008,9570;11798;11799;11800;11801;11802;11803;11804;13718;13719;19509;23994;24723;24787;24788;24789;24790;24791;29324;33239;33240;33241;37304;37305;37306;37307;37308;37309;50662;50663;50664;51838;51839;51840;51997;51998;51999;52000;52345;52346;52347;52695;52696;52697;52698;54114;54115,17782;21532;21533;21534;21535;21536;21537;21538;21539;21540;21541;21542;25069;25070;35346;43268;44386;44473;44474;44475;44476;44477;44478;44479;44480;44481;44482;52429;52430;59011;59012;59013;59014;59015;59016;66156;66157;66158;66159;66160;66161;66162;66163;66164;66165;66166;66167;90149;90150;90151;90152;90153;90154;90155;90156;92340;92341;92342;92692;92693;92694;92695;92696;92697;92698;92699;92700;93343;93344;93345;93346;93347;93348;93349;93350;93351;93933;93934;93935;93936;93937;93938;93939;93940;93941;93942;93943;93944;93945;96231;96232,17782;21535;25070;35346;43268;44386;44479;52429;59016;66159;66167;90149;92342;92694;93351;93935;96231,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
HMOX2,1.6005605483053,0.0531711725382372,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,3;3;3;3;1,3;3;3;3;1,3;3;3;3;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,5,3,3,3,1,3,2,1,1,3,2,1,1,3,2,1,13.0,13.0,13.0,36.032,316,316;229;238;370;110,0.0,8.1485,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45311,1.1988,12.887,10,1,Leave out requantified,0.5018,0.45056,0.44696,0.40861,1.563,0.94976,1.9115,1.2866,,18.691,30.469,15.159,1,3,3,3,0,1,0,0,Median,Median,Median,Median,6.0,13.0,8.9,6.0,576150000,386590000,189560000,29652000,21118000,8533300,95160000,65726000,29434000,207550000,134000000,73551000,243790000,165750000,78042000,,,,13,6629;11500;18693,True;True;True,8715;8716;15041;24122,19746;19747;19748;19749;19750;19751;19752;33723;33724;54354,35766;35767;35768;35769;35770;35771;35772;35773;35774;35775;35776;35777;35778;35779;35780;35781;35782;59759;59760;96696,35773;59759;96696,,,,,-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
EIF2B4,0.324246821941919,0.754702859032859,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,3,3,3,2,1,1,3,2,1,1,3,2,1,1,3,7.6,7.6,7.6,57.557,523,523;520;544;194;228;235,0.0,51.898,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41628,1.2411,88.764,7,4,Median,1.1583,0.43715,0.33756,0.43697,3.831,1.107,1.0504,1.2637,166.4,,,6.6828,2,1,1,3,1,0,1,2,Median,Median,Median,Plateau,4.4,2.1,2.1,7.6,318810000,194150000,124650000,75850000,34652000,41198000,32800000,23465000,9334600,24963000,18940000,6023000,185190000,117090000,68099000,,,,14,13267;16749;17630,True;True;True,17265;21633;22795,38587;48734;48735;48736;48737;48738;51383;51384,68270;68271;86601;86602;86603;86604;86605;86606;86607;86608;91497;91498,68271;86608;91497,,,,,-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
KHSRP,0.145226263177975,0.751131275611038,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,22;22;14;9;7;2,20;20;12;7;6;2,20;20;12;7;6;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,22,20,20,12,13,16,12,10,12,14,12,10,12,14,12,41.6,39.1,39.1,73.114,711,711;711;279;169;116;269,0.0,115.87,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41101,1.3394,13.566,51,11,Leave out requantified,0.39889,0.4807,0.39056,0.46522,1.412,1.338,1.5658,1.437,14.577,13.055,15.856,8.4139,10,12,15,14,1,1,3,6,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,29.0,22.8,5215100000,3548000000,1667100000,976380000,671810000,304580000,1158500000,772440000,386020000,1580900000,1098900000,482070000,1499400000,1004900000,494480000,,,,18,705;706;924;1013;2459;2814;4833;4834;4845;6100;6513;6515;6702;7970;8553;11306;11483;11643;14996;14997;15956;17504,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,874;875;876;877;1168;1302;3157;3630;6248;6249;6263;8056;8057;8572;8574;8575;8803;10511;11362;14807;15022;15223;19401;19402;20629;22639,1988;1989;1990;1991;1992;1993;1994;2706;2707;2708;2709;3034;3035;7366;8460;14165;14166;14167;14207;18283;18284;18285;18286;18287;18288;19421;19422;19423;19424;19426;19427;19428;19429;19430;19431;19952;19953;19954;19955;23773;25597;33270;33271;33272;33273;33687;33688;33689;33690;34145;43546;43547;43548;43549;43550;43551;46280;46281;51056;51057,3562;3563;3564;3565;3566;3567;3568;3569;3570;3571;3572;3573;3574;3575;3576;3577;3578;3579;4935;4936;4937;4938;4939;4940;5526;5527;13665;13666;15749;25897;25898;25899;25969;33187;33188;33189;33190;33191;33192;33193;33194;33195;33196;33197;33198;33199;35164;35165;35166;35167;35168;35169;35170;35171;35173;35174;35175;35176;35177;35178;35179;35180;35181;35182;35183;35184;35185;35186;35187;35188;36174;36175;36176;36177;36178;36179;36180;36181;36182;42918;42919;45909;45910;59063;59064;59065;59066;59067;59068;59069;59715;59716;59717;59718;59719;59720;59721;59722;59723;60440;76831;76832;76833;76834;76835;76836;76837;76838;76839;76840;76841;76842;81846;90982;90983;90984,3563;3571;4938;5526;13665;15749;25897;25899;25969;33193;35170;35181;36177;42918;45910;59063;59715;60440;76831;76842;81846;90984,7;8;9;10,,203;205;251;257,,-1;-1;-1;-1;-1;-1,protein_19,quanti,quanti,quanti,quanti
HNRNPDL,-0.442959327045241,0.412523357394241,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,40.4,40.4,40.4,6.7215,57,57,0.0016155,2.0447,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29801,0.82354,26.924,5,0,Leave out requantified,0.33858,0.32527,0.19626,0.24501,1.0106,0.70866,0.69235,0.68078,,46.15,,,1,2,1,1,0,0,0,0,Median,Median,Median,Median,40.4,40.4,31.6,31.6,134720000,100630000,34088000,27175000,19945000,7229600,44137000,31308000,12829000,36531000,29340000,7190100,26878000,20039000,6839100,,,,24,11100;11101,True;True,14564;14565,32735;32736;32737;32738;32739,58098;58099;58100;58101;58102;58103;58104;58105,58099;58102,,,,,-1,protein_25,quanti,quanti,quanti,quanti
