Gene_names,AMBRA1_vs_BirA_logFC,AMBRA1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF3_N1,Peptides_DCAF3_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF3_N1,Razor___unique_peptides_DCAF3_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF3_N1,Unique_peptides_DCAF3_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF3_N1,Identification_type_DCAF3_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF3_N1,Ratio_H_L_DCAF3_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF3_N1,Ratio_H_L_normalized_DCAF3_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF3_N1,Ratio_H_L_variability_____DCAF3_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF3_N1,Ratio_H_L_count_DCAF3_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF3_N1,Ratio_H_L_iso_count_DCAF3_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF3_N1,Ratio_H_L_type_DCAF3_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF3_N1____,Sequence_coverage_DCAF3_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF3_N1,Intensity_L_DCAF3_N1,Intensity_H_DCAF3_N1,Intensity_DCAF3_N2,Intensity_L_DCAF3_N2,Intensity_H_DCAF3_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF3_N1,metacell_Intensity_L_DCAF3_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HDLBP,-1.75216107384134,0.0033629196276094,Q00341;A0A024R4E5;C9JHS7;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C0A4;H0Y394;C9JHS9,Q00341;A0A024R4E5;C9JHS7;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHS7|C9JHS7_HUMAN Vigilin (Fragment) O",19,3,3,3,3,3,1,1,3,3,1,1,3,3,1,1,2.8,2.8,2.8,141.45,1268,1268;1268;126;224;221;164;147;141;128;96;81;79;69;53;46;19;332;973;17,0.0,6.8543,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.807,2.4444,33.174,8,3,Leave out requantified,0.70857,0.98858,0.23587,0.30994,2.2744,2.6272,0.26296,0.34146,35.092,20.988,,,3,3,1,1,0,1,1,1,Leave out requantified,Median,Median,Median,2.8,2.8,1.2,1.2,212850000,125110000,87738000,82838000,47807000,35031000,89520000,43745000,45775000,15108000,12714000,2394200,25382000,20845000,4537300,,,,1,9924;12804;13577,True;True;True,12539;16089;17031,28304;28305;36141;36142;38338;38339;38340;38341,45962;45963;58668;62251;62252;62253;62254;62255;62256;62257;62258,45963;58668;62255,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-2.37818610677033,0.0451593173152646,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;2;1,9;9;4;2;1,9;9;4;2;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,7,7,4,3,7,7,4,3,7,7,4,3,53.4,53.4,53.4,25.898,234,234;234;164;48;36,0.0,21.042,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31925,0.97268,9.4512,21,7,Leave out requantified,0.26423,0.35641,0.16862,0.71574,0.91754,0.99417,0.18718,0.7654,20.4,7.1634,124.32,242.81,7,7,5,2,1,0,4,2,Leave out requantified,Leave out requantified,Median,Median,40.2,40.2,26.1,23.1,1294100000,935400000,358710000,428640000,330740000,97905000,543560000,400550000,143010000,248300000,160090000,88207000,73616000,44029000,29588000,,,,2,158;1619;5572;5691;7574;9826;10009;12937;17131,True;True;True;True;True;True;True;True;True,194;2067;7122;7123;7297;9644;12430;12652;16255;21475,447;4900;4901;16026;16027;16028;16029;16030;16447;16448;16449;21749;21750;28065;28066;28562;28563;28564;28565;36528;36529;48505,762;8262;26254;26255;26256;26257;26258;26259;26260;26261;26262;26263;26264;26961;26962;26963;26964;26965;26966;26967;35753;45611;46425;46426;46427;46428;46429;46430;59311;59312;59313;59314;79325;79326,762;8262;26255;26961;35753;45611;46425;59314;79325,,,,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,1.82064431406229,0.00888197907886656,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,16,4,4,4,1,2,4,4,1,2,4,4,1,2,4,4,4.0,4.0,4.0,119.41,1132,1132;1077;1126;1132;515;742;742;197;206;215;232;243;244;258;259;262,0.0,12.412,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33253,0.36179,92.058,10,7,Median,0.46795,0.62493,0.25169,0.34443,1.1676,1.3341,0.27553,0.37836,,9.0673,74.122,64.851,1,2,4,3,0,0,4,3,Median,Median,Median,Plateau,1.1,2.0,4.0,4.0,221440000,160600000,60846000,16787000,10550000,6236800,38951000,21741000,17210000,88433000,64040000,24393000,77273000,64267000,13006000,,,,3,722;8734;9006;9971,True;True;True;True,898;11111;11449;12602,2080;2081;25140;25141;25142;25939;25940;25941;25942;28449;28450,3435;3436;41138;41139;41140;42342;42343;42344;42345;42346;42347;42348;46228;46229,3436;41140;42346;46229,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
DMD,21.780127690855,8.50908043304184e-08,P11532;A0A087WV90;A0A5H1ZRP8;A0A087WTU7;A0A075B6G3;Q4G0X0,P11532;A0A087WV90;A0A5H1ZRP8;A0A087WTU7;A0A075B6G3,3;3;3;3;3;1,3;3;3;3;3;1,3;3;3;3;3;1,Dystrophin,sp|P11532|DMD_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3;tr|A0A087WV90|A0A087WV90_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A5H1ZRP8|A0A5H1ZRP8_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A087WTU7|A0A0,6,3,3,3,0,0,2,2,0,0,2,2,0,0,2,2,1.4,1.4,1.4,426.74,3685,3685;3680;3681;3684;3685;772,0.025895,1.1558,,,By MS/MS,By MS/MS,0.059688,0.067118,128.72,4,4,Median,,,0.054594,0.18878,,,0.062922,0.21794,,,25.878,183.31,0,0,2,2,0,0,2,2,Median,Median,Median,Median,0.0,0.0,1.1,0.8,216520000,195290000,21234000,0,0,0,0,0,0,99719000,96032000,3687200,116800000,99254000,17547000,,,,6,418;9425;15038,True;True;True,524;11951;18842,1217;27016;27017;42476,2044;44053;44054;44055;44056;69498,2044;44053;69498,1,,1730,,-1;-1;-1;-1;-1;-1,protein_7,quanti,quanti,imputed MEC,imputed MEC
TAF15,-0.226958198993231,0.528752885832275,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9;A0A075B7F4,2;2;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7F4|A0A075B7F4_HUMAN TA,3,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,5.9,5.9,5.9,61.829,592,592;449;214,0.0,3.3334,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.17406,0.19031,139.95,8,5,Median,0.31464,0.44007,0.07344,0.15302,1.1343,1.3016,0.085147,0.1618,,2.5173,134.78,46.334,1,2,2,3,0,0,2,3,Median,Median,Median,Median,2.9,2.9,5.9,5.9,633840000,500360000,133480000,115510000,87691000,27820000,244970000,161260000,83710000,102360000,94796000,7559500,171010000,156610000,14395000,,,,8,105;12763,True;True,119;16044,274;275;276;277;278;279;36029;36030,452;453;454;455;456;457;458;459;460;461;58519;58520,457;58519,,,,,-1;-1;-1,protein_9,quanti,quanti,quanti,quanti
TXNRD1,-0.34096747868626,0.489593005415548,Q16881;A0A087WSY9;A0A182DWI3;E9PIR7;A0A087WSW9;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;A0A182DWF3;E9PRI8;D3YTF8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;E9PIR7;A0A087WSW9;F8W809;E2QRB9;E9PKD3,17;17;17;17;17;17;14;10;5;5;4;4;3;1;1;1;1;1;1;1,17;17;17;17;17;17;14;10;5;5;4;4;3;1;1;1;1;1;1;1,16;16;16;16;16;16;13;9;4;4;3;3;3;0;1;0;0;0;0;0,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",20,17,17,16,11,17,9,7,11,17,9,7,10,16,8,7,38.4,38.4,36.1,70.905,649,649;648;568;482;548;498;460;175;103;139;70;72;53;523;44;501;494;524;338;463,0.0,58.882,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26399,0.74862,36.741,51,29,Leave out requantified,0.20536,0.31156,0.090826,0.1802,0.72991,0.91268,0.1351,0.19746,22.836,17.938,102.01,75.905,12,19,12,8,3,7,11,8,Leave out requantified,Leave out requantified,Median,Median,21.4,38.4,20.0,16.5,3755600000,3112100000,643480000,897440000,739040000,158400000,1170000000,845750000,324250000,1005600000,915100000,90464000,682620000,612250000,70367000,,,,9,3146;3930;4549;6277;7619;7820;7846;10480;11841;11842;13834;15946;16316;16352;16464;16570;17034,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4000;4954;4955;5743;8048;9708;9709;9977;10011;10012;13206;14901;14902;17340;20010;20453;20512;20657;20658;20788;20789;21356,9215;9216;11227;11228;11229;11230;11231;11232;11233;11234;11235;12912;18085;18086;21919;21920;21921;21922;22503;22575;22576;22577;22578;22579;22580;22581;29842;29843;33535;33536;33537;33538;33539;33540;39061;45216;45217;45218;45219;46223;46379;46380;46381;46382;46712;46713;46714;46715;46716;47023;47024;47025;48236;48237;48238,15363;15364;15365;18493;18494;18495;18496;18497;18498;18499;18500;18501;18502;18503;18504;21296;29677;29678;36019;36020;36021;36022;36023;36024;36878;36990;36991;36992;36993;36994;36995;36996;36997;36998;36999;37000;37001;48543;48544;48545;54567;54568;54569;54570;54571;54572;54573;54574;54575;63474;74004;74005;74006;74007;74008;74009;75669;75943;75944;75945;75946;75947;75948;75949;75950;76515;76516;76517;76518;76519;76520;76521;76522;77000;77001;77002;77003;77004;77005;77006;77007;77008;77009;77010;78841;78842;78843;78844;78845,15365;18496;21296;29677;36020;36878;36996;48545;54570;54575;63474;74009;75669;75945;76522;77003;78843,2,,274,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
HMOX2,0.0939432724038127,0.912193996862672,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,8,4,4,4,1,4,1,1,1,4,1,1,1,4,1,1,20.3,20.3,20.3,36.032,316,316;229;238;370;110;130;131;132,0.0,5.6021,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47549,1.0139,20.534,8,4,Leave out requantified,0.5018,0.45056,1.148,0.54891,1.563,1.0139,1.2708,0.64379,,14.057,,132.62,1,4,1,2,0,1,1,2,Median,Leave out requantified,Median,Median,6.0,20.3,6.0,6.0,328290000,236780000,91507000,29652000,21118000,8533300,119410000,82523000,36883000,40267000,26860000,13408000,138960000,106280000,32684000,,,,12,2912;6357;10676;17118,True;True;True;True,3714;8142;8143;13452;21458,8611;18307;18308;18309;18310;18311;30345;48467,14390;30054;30055;30056;30057;30058;30059;30060;30061;30062;30063;30064;49304;79270,14390;30056;49304;79270,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
KHSRP,-0.605915943077221,0.0763975542376245,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0R251;M0QYG1;M0R263;M0R0C6,Q92945;A0A087WTP3;M0R0I5,18;18;10;7;5;3;1;1;1;1,15;15;8;5;4;2;0;0;0;0,15;15;8;5;4;2;0;0;0;0,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,10,18,15,15,13,13,13,11,11,12,11,9,11,12,11,9,33.1,28.3,28.3,73.114,711,711;711;279;169;116;269;79;114;143;176,0.0,107.79,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4357,1.3378,21.693,45,23,Leave out requantified,0.39889,0.4807,0.11696,0.10522,1.412,1.338,0.13847,0.13102,14.577,13.055,98.349,85.05,11,12,12,10,2,1,11,9,Leave out requantified,Leave out requantified,Median,Median,25.2,26.4,25.3,20.5,3542000000,2644700000,897290000,1012900000,701330000,311590000,1158500000,772440000,386020000,614070000,505160000,108910000,756540000,665780000,90763000,,,,15,695;696;890;2107;2341;4656;4657;5844;5953;6248;6250;6412;7576;10495;10659;13784;14645;16058,False;False;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True,866;867;868;1122;2689;2988;5894;5895;7524;7525;7676;8011;8013;8014;8206;9646;13224;13433;13434;17283;18352;20142,1998;1999;2000;2001;2002;2003;2004;2633;2634;2635;2636;6366;6367;7000;13262;13263;13264;13265;16955;16956;16957;16958;16959;17286;17287;18006;18007;18008;18009;18011;18012;18013;18014;18015;18016;18472;18473;18474;18475;21753;29880;29881;29882;29883;30311;30312;30313;30314;30315;38920;38921;38922;38923;41331;41332;45551,3308;3309;3310;3311;3312;3313;3314;3315;3316;3317;3318;3319;3320;3321;3322;3323;3324;3325;3326;3327;4381;4382;4383;4384;4385;10784;10785;11768;11769;21889;21890;21891;21892;27840;27841;27842;27843;27844;27845;27846;27847;27848;28357;28358;29514;29515;29516;29517;29518;29519;29520;29521;29523;29524;29525;29526;29527;29528;29529;29530;29531;29532;29533;29534;29535;30347;30348;30349;30350;30351;30352;35756;48597;48598;48599;48600;48601;48602;49259;49260;49261;49262;49263;49264;49265;49266;49267;63231;63232;63233;63234;63235;63236;63237;67456;67457;67458;67459;67460;67461;67462;74593;74594;74595,3311;3320;4382;10784;11769;21889;21892;27842;28357;29515;29532;30350;35756;48602;49265;63231;67457;74593,4,,251,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_16,quanti,quanti,quanti,quanti
PABPC1,2.0816805207246,0.00146649417068695,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361;H0YBN4;E5RGH3;E5RJB9;E5RH24;H0YAP2;H0YB86;H0YEQ8;Q4VXU2;E5RHG7;H0YAS6;H0YB75;H0YCC8;H0YAS7;Q5JQF8;E5RFD8;E5RGC4;Q96DU9;H0YC10,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2,31;31;30;29;18;13;10;9;9;8;8;8;4;4;3;3;3;3;2;2;1;1;1;1,31;31;30;29;18;13;10;9;9;8;8;8;4;4;3;3;3;3;2;2;1;1;1;1,18;18;17;17;12;9;3;3;3;3;8;5;0;3;1;2;2;0;1;1;1;1;1;1,Polyadenylate-binding protein 1;Polyadenylate-binding protein,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein ,24,31,31,18,14,10,24,24,14,10,24,24,8,4,16,14,46.2,46.2,28.3,70.67,636,636;522;591;604;284;631;174;108;129;118;131;165;112;614;75;169;183;197;136;200;61;43;382;42,0.0,83.799,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29221,0.90094,23.964,88,71,Leave out requantified,0.28599,0.30003,0.096406,0.096329,1.0101,0.83688,0.10919,0.12043,27.65,10.223,108.95,101.07,14,11,31,32,6,2,31,32,Leave out requantified,Leave out requantified,Median,Median,21.7,16.0,39.3,41.5,7002600000,6097600000,904930000,698640000,513790000,184850000,646390000,482670000,163720000,2546100000,2210700000,335400000,3111400000,2890500000,220960000,,,,17,951;1069;1070;1345;2010;3006;3007;3012;4163;4572;4576;4577;5548;6718;7061;7093;7126;7387;8355;10683;11036;11224;11767;12392;12840;13007;13008;13009;13111;13112;17181,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1211;1212;1368;1369;1370;1735;2565;2566;3820;3821;3826;5239;5777;5778;5784;5785;5786;7087;7088;8614;9009;9045;9091;9092;9093;9396;9397;10660;10661;13459;13898;14123;14809;15601;16129;16341;16342;16343;16466;16467;16468;21534;21535,2836;2837;2838;2839;2840;3190;3191;3192;3193;3194;3195;3196;3197;3198;4100;4101;4102;4103;6104;6105;6106;6107;8835;8836;8837;8845;11833;11834;11835;11836;12983;12984;12985;12986;13003;13004;13005;13006;13007;15924;15925;15926;15927;19444;19445;19446;20346;20422;20423;20530;20531;20532;20533;20534;20535;20536;20537;20538;20539;20540;21181;21182;21183;21184;24116;24117;24118;30358;30359;31359;31360;31361;31859;31860;31861;33348;33349;35015;35016;35017;35018;36233;36234;36750;36751;36752;36753;37028;37029;37030;37031;37032;37033;37034;37035;37036;37037;48641;48642;48643;48644,4735;4736;4737;4738;4739;4740;4741;5301;5302;5303;5304;5305;5306;5307;5308;5309;5310;5311;5312;5313;6910;6911;6912;6913;10342;10343;10344;10345;10346;14747;14748;14749;14757;19509;19510;19511;19512;19513;19514;19515;19516;19517;21394;21395;21396;21397;21398;21399;21400;21401;21402;21403;21404;21440;21441;21442;21443;21444;21445;26087;26088;26089;26090;26091;32003;32004;32005;32006;33416;33543;33544;33545;33706;33707;33708;33709;33710;33711;33712;33713;33714;33715;33716;33717;33718;33719;33720;33721;34821;34822;34823;34824;34825;34826;39425;39426;39427;39428;39429;49327;49328;49329;50960;50961;50962;51761;51762;51763;51764;54278;54279;56883;56884;56885;56886;56887;56888;58825;58826;58827;59706;59707;59708;59709;60158;60159;60160;60161;60162;60163;60164;60165;60166;60167;60168;60169;60170;60171;60172;60173;60174;60175;79547;79548;79549;79550;79551;79552;79553;79554;79555;79556,4737;5302;5313;6910;10343;14748;14749;14757;19514;21399;21441;21444;26089;32006;33416;33545;33706;34822;39428;49327;50962;51762;54278;56888;58825;59707;59708;59709;60167;60173;79548,5;6,,78;361,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_18,quanti,quanti,quanti,quanti
HNRNPDL,0.222664275639367,0.587366250403572,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,40.4,40.4,40.4,6.7215,57,57,0.00060132,2.511,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37448,0.98212,38.532,3,0,Plateau,0.33858,0.32527,,,1.0106,0.70866,,,,46.15,,,1,2,0,0,0,0,0,0,Median,Median,Median,Median,40.4,40.4,31.6,31.6,148010000,127950000,20058000,27175000,19945000,7229600,44137000,31308000,12829000,22601000,22601000,0,54099000,54099000,0,,,,22,10314;10315,True;True,13014;13015,29389;29390;29391;29392;29393,47794;47795;47796;47797;47798;47799;47800;47801;47802;47803,47796;47799,,,,,-1,protein_23,quanti,quanti,quanti,quanti
