Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DDA1_N1,Intensity DDA1_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q9NYB9;E7EW77;E7EP65;F8WAL6;E9PEZ7;A0A0C4DG21;B7Z836;E7EUA1;F8WAU3;F8WCD7;F8WAZ8;F8WBL5;F8WEB9;H0Y6B5,Q9NYB9;E7EW77;E7EP65;F8WAL6;E9PEZ7;A0A0C4DG21;B7Z836,4;4;4;4;3;3;2;1;1;1;1;1;1;1,2;2;2;2;1;1;0;1;1;1;1;1;1;0,2;2;2;2;1;1;0;1;1;1;1;1;1;0,Abl interactor 2,ABI2,sp|Q9NYB9|ABI2_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E7EW77|E7EW77_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E7EP65|E7EP65_HUMAN Abl interactor 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;t,4,2,9.4,24.4858504319506,23.7318990422488,22.4577876538986,22.8811221778843
Q86TX2;G3V4F2,Q86TX2;G3V4F2,20;17,20;17,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,20,2,61.8,30.6105207569956,30.7101385628537,30.6256652328299,30.4529727106544
Q9BUB4,Q9BUB4,2,2,2,tRNA-specific adenosine deaminase 1,ADAT1,sp|Q9BUB4|ADAT1_HUMAN tRNA-specific adenosine deaminase 1 OS=Homo sapiens OX=9606 GN=ADAT1 PE=1 SV=1,2,2,7.0,24.1121938542499,25.0274508046404,4.42168670121973,4.40094061045596
Q8N302;A0A2R8YFF1,Q8N302;A0A2R8YFF1,2;2,2;2,2;2,Angiogenic factor with G patch and FHA domains 1,AGGF1,sp|Q8N302|AGGF1_HUMAN Angiogenic factor with G patch and FHA domains 1 OS=Homo sapiens OX=9606 GN=AGGF1 PE=1 SV=2;tr|A0A2R8YFF1|A0A2R8YFF1_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1,2,2,3.9,24.0606042459181,22.9936384593587,4.42168670121973,4.40094061045596
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,4.44813127545976,4.42301530869759,22.9306485579508,23.4636361216132
Q9UJX4;F5H3S5;F5H0F9,Q9UJX4;F5H3S5;F5H0F9,2;2;2,2;2;2,2;2;2,Anaphase-promoting complex subunit 5,ANAPC5,sp|Q9UJX4|APC5_HUMAN Anaphase-promoting complex subunit 5 OS=Homo sapiens OX=9606 GN=ANAPC5 PE=1 SV=2;tr|F5H3S5|F5H3S5_HUMAN Anaphase-promoting complex subunit 5 (Fragment) OS=Homo sapiens OX=9606 GN=ANAPC5 PE=1 SV=1;tr|F5H0F9|F5H0F9_HUMAN Anaphase-promoti,2,2,5.7,26.7839420189044,27.6116819081467,29.7072882528896,29.505878259882
H7C0V5,H7C0V5,6,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,6,2,18.6,4.44813127545976,4.42301530869759,22.7074829937707,24.4367608419954
Q86XL3;F5H1D4,Q86XL3;F5H1D4,2;1,2;1,2;1,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,sp|Q86XL3|ANKL2_HUMAN Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=4;tr|F5H1D4|F5H1D4_HUMAN Ankyrin repeat and LEM domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=1,2,2,3.4,4.44813127545976,4.42301530869759,23.1681836393822,22.8641211411291
Q6UB98,Q6UB98,2,2,2,Ankyrin repeat domain-containing protein 12,ANKRD12,sp|Q6UB98|ANR12_HUMAN Ankyrin repeat domain-containing protein 12 OS=Homo sapiens OX=9606 GN=ANKRD12 PE=1 SV=3,2,2,1.6,24.3378331099349,23.2149718262212,4.42168670121973,4.40094061045596
P39687;H0YN26;O43423,P39687;H0YN26,3;3;1,3;3;1,2;2;1,Acidic leucine-rich nuclear phosphoprotein 32 family member A,ANP32A,sp|P39687|AN32A_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1;tr|H0YN26|H0YN26_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1,3,2,17.3,26.2685659859292,26.3984240490683,4.42168670121973,4.40094061045596
