Gene_names,TRPC4AP_vs_BirA_logFC,TRPC4AP_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_TRCP4AC_N1,Peptides_TRCP4AC_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_TRCP4AC_N1,Razor___unique_peptides_TRCP4AC_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_TRCP4AC_N1,Unique_peptides_TRCP4AC_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_TRCP4AC_N1,Identification_type_TRCP4AC_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_TRCP4AC_N1,Ratio_H_L_TRCP4AC_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_TRCP4AC_N1,Ratio_H_L_normalized_TRCP4AC_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____TRCP4AC_N1,Ratio_H_L_variability_____TRCP4AC_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_TRCP4AC_N1,Ratio_H_L_count_TRCP4AC_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_TRCP4AC_N1,Ratio_H_L_iso_count_TRCP4AC_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_TRCP4AC_N1,Ratio_H_L_type_TRCP4AC_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_TRCP4AC_N1____,Sequence_coverage_TRCP4AC_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_TRCP4AC_N1,Intensity_L_TRCP4AC_N1,Intensity_H_TRCP4AC_N1,Intensity_TRCP4AC_N2,Intensity_L_TRCP4AC_N2,Intensity_H_TRCP4AC_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_TRCP4AC_N1,metacell_Intensity_L_TRCP4AC_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HDLBP,0.877181311076352,0.125966465101302,Q00341;A0A024R4E5;H7C0A4;H0Y394;C9JIZ1;C9JHZ8;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;H7C0A4;H0Y394;C9JIZ1,8;8;5;4;4;3;3;3;3;3;3;3;2;2;2;2;2;1;1,8;8;5;4;4;3;3;3;3;3;3;3;2;2;2;2;2;1;1,8;8;5;4;4;3;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H7C0A4|H7C0A4_HUMAN Vigilin (Fragment) O",19,8,8,8,3,3,4,3,3,3,4,3,3,3,4,3,8.3,8.3,8.3,141.45,1268,1268;1268;332;973;224;141;221;164;147;128;126;96;81;79;69;53;46;19;17,0.0,13.674,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.807,1.9064,29.687,14,6,Leave out requantified,0.70857,0.98858,0.6396,0.81935,2.2744,2.6272,1.4178,2.0107,35.092,20.988,10.731,19.489,3,3,5,3,0,1,4,1,Leave out requantified,Median,Median,Plateau,2.8,2.8,4.5,3.5,588860000,337900000,250960000,82838000,47807000,35031000,89520000,43745000,45775000,309510000,188890000,120620000,106990000,57464000,49529000,,,,1,493;1411;1581;1723;5098;9904;12706;13498,True;True;True;True;True;True;True;True,514;1476;1650;1797;5311;10345;13285;14101,1410;4336;4337;4884;5315;14962;29339;29340;37344;37345;39674;39675;39676;39677,2781;8920;8921;8922;8923;8924;10014;10015;10862;30230;58800;58801;74677;79332;79333;79334;79335;79336;79337;79338;79339,2781;8923;10015;10862;30230;58800;74677;79333,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-0.29778017988124,0.209507714017543,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;3;1,9;9;4;3;1,9;9;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,8,8,6,6,8,8,6,6,8,8,6,6,49.6,49.6,49.6,25.898,234,234;234;164;48;36,0.0,20.963,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34161,0.91614,12.611,28,5,Leave out requantified,0.2832,0.35815,0.35112,0.36396,0.91895,0.99766,0.83311,0.83945,20.977,11.69,8.3153,11.04,8,8,6,6,1,0,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.5,41.5,44.4,44.4,2279500000,1664200000,615370000,483000000,371200000,111810000,617120000,451360000,165760000,700130000,501400000,198730000,479280000,340200000,139080000,,,,2,432;1585;5528;5654;7595;9812;9975;12837;17086,True;True;True;True;True;True;True;True;True,452;1654;5761;5895;7947;10253;10423;13420;17820,1220;1221;4890;4891;16185;16186;16187;16188;16577;16578;16579;16580;22437;22438;22439;22440;29075;29076;29077;29078;29591;29592;29593;29594;37728;37729;50297;50298,2397;2398;10021;32519;32520;32521;32522;32523;32524;32525;32526;32527;32528;32529;32530;33418;33419;33420;33421;33422;33423;33424;33425;33426;33427;45463;45464;45465;45466;58344;59368;59369;59370;59371;59372;59373;59374;59375;59376;75471;75472;75473;75474;75475;101440,2397;10021;32527;33425;45464;58344;59370;75473;101440,,,,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,1.08315681094938,0.0354006949425874,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,9.9638,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.57935,1.2834,13.381,7,1,Leave out requantified,0.46795,0.62493,0.59043,0.56749,1.1676,1.3341,1.2815,1.2584,,9.0673,18.849,16.165,1,2,2,2,0,0,0,1,Median,Median,Median,Median,1.1,2.0,2.0,2.0,186080000,112670000,73411000,16787000,10550000,6236800,38951000,21741000,17210000,79049000,45776000,33273000,51293000,34601000,16691000,,,,4,8691;8979,True;True,9095;9395,25907;25908;25909;26790;26791;26792;26793,52346;52347;52348;54066;54067;54068;54069;54070;54071;54072;54073,52347;54068,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TXNRD1,-0.47266690454148,0.0799241288688708,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PRI8;E9PQI3;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3,17;17;17;17;17;17;15;9;4;4;3;3;2;2;1;1;1;1;1;1;1,17;17;17;17;17;17;15;9;4;4;3;3;2;2;1;1;1;1;1;1;1,17;17;17;17;17;17;15;9;4;4;3;3;2;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,17,17,17,11,16,11,12,11,16,11,12,11,16,11,12,34.2,34.2,34.2,70.905,649,649;482;648;568;548;498;460;175;103;139;70;72;44;53;494;501;523;524;338;306;463,0.0,126.84,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3875,0.97532,26.858,59,14,Leave out requantified,0.20601,0.31134,0.53061,0.50104,0.74826,0.87662,1.1903,1.2303,22.121,18.504,15.304,16.882,13,18,14,14,3,7,1,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.3,34.2,27.9,29.3,4317900000,3028200000,1289700000,917210000,749820000,167400000,1149300000,831230000,318120000,1380500000,883680000,496820000,870830000,563480000,307350000,,,,9,3049;3847;4477;6237;6238;7658;7850;7871;10439;11736;11737;15870;16259;16291;16398;16510;16984,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3186;4007;4656;6520;6521;8015;8217;8239;10905;12278;12279;16567;16966;17002;17113;17228;17712,9101;9102;11237;11238;11239;11240;11241;11242;12996;18409;18410;18411;22629;22630;22631;22632;22633;23212;23287;23288;23289;23290;23291;23292;23293;23294;30900;30901;30902;34640;34641;34642;34643;34644;34645;46812;46813;46814;46815;47923;47924;47925;47926;47927;48062;48063;48064;48065;48386;48387;48388;48389;48722;48723;48724;48725;50008;50009;50010,18523;18524;18525;22534;22535;22536;22537;22538;22539;22540;22541;22542;22543;22544;22545;26209;37244;37245;37246;45835;45836;45837;45838;45839;45840;45841;45842;45843;45844;45845;46908;47062;47063;47064;47065;47066;47067;47068;47069;47070;47071;47072;47073;47074;47075;47076;47077;47078;47079;47080;47081;61973;61974;61975;61976;61977;61978;61979;69509;69510;69511;69512;69513;69514;69515;69516;69517;94457;94458;94459;94460;94461;94462;94463;94464;94465;94466;94467;94468;96682;96683;96684;97026;97027;97028;97029;97030;97031;97032;97033;97034;97035;97036;97037;97038;97039;97674;97675;97676;97677;97678;97679;97680;97681;98330;98331;98332;98333;98334;98335;98336;98337;98338;98339;98340;98341;98342;98343;100818;100819;100820;100821;100822,18523;22536;26209;37244;37246;45835;46908;47076;61977;69511;69516;94460;96682;97032;97676;98342;100819,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
HMOX2,-1.54793255776907,0.0752794619493509,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,8,4,4,4,1,4,1,1,1,4,1,1,1,4,1,1,20.3,20.3,20.3,36.032,316,316;229;238;370;110;130;131;132,0.0,6.1953,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48439,0.99639,23.462,7,1,Leave out requantified,0.5018,0.45056,0.87803,0.48041,1.563,1.0139,1.999,0.97915,,14.057,,,1,4,1,1,0,1,0,0,Median,Leave out requantified,Median,Median,6.0,20.3,6.0,4.1,225830000,141380000,84445000,29652000,21118000,8533300,119410000,82523000,36883000,59752000,25387000,34365000,17017000,12352000,4664900,,,,11,2839;6312;10619;17074,True;True;True;True,2966;6597;11096;17808,8531;18648;18649;18650;31363;50259;50260,17372;37742;37743;37744;37745;37746;37747;37748;37749;62816;101365;101366,17372;37747;62816;101365,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
KHSRP,-0.778724689220621,0.0280339654548943,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,20;20;11;8;5;2,17;17;8;5;4;2,17;17;8;5;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,20,17,17,12,13,13,13,10,12,12,13,10,12,12,13,33.5,30.9,30.9,73.114,711,711;711;279;169;116;269,0.0,129.21,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4807,1.3051,18.817,46,8,Leave out requantified,0.39889,0.4807,0.54648,0.50724,1.412,1.338,1.2227,1.2871,14.577,13.055,9.3548,31.309,10,12,11,13,1,1,3,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,24.5,24.9,3797800000,2491500000,1306300000,976380000,671810000,304580000,1158500000,772440000,386020000,935480000,578000000,357480000,727500000,469260000,258240000,,,,13,665;666;866;2305;4581;4582;4583;5812;5916;5917;6211;6214;6376;6801;7598;10453;10609;13707;14591;15984,False;False;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True,694;695;906;2411;4768;4769;4770;6077;6192;6193;6492;6495;6663;7118;7950;10919;11086;14317;15227;16683,1881;1882;1883;1884;1885;2544;2545;2546;2547;6993;6994;13319;13320;13321;13322;17147;17148;17149;17150;17560;17561;17562;17563;18336;18337;18338;18339;18342;18343;18344;18345;18854;18855;18856;18857;20180;22444;30934;30935;30936;30937;31341;31342;31343;40278;40279;40280;40281;42850;42851;42852;42853;47165;47166,3727;3728;3729;3730;3731;3732;3733;3734;3735;3736;3737;3738;3739;3740;3741;3742;3743;5075;5076;5077;5078;5079;5080;5081;14181;14182;14183;26935;26936;26937;26938;26939;34762;34763;34764;34765;34766;34767;34768;35539;35540;35541;35542;37066;37067;37068;37069;37070;37071;37072;37073;37074;37077;37078;37079;37080;37081;37082;37083;37084;37085;37086;37087;37088;37089;37090;38173;38174;38175;38176;38177;38178;38179;40903;40904;45471;62035;62036;62037;62038;62039;62040;62041;62042;62043;62780;62781;62782;62783;62784;62785;62786;80571;80572;80573;80574;80575;80576;80577;80578;80579;80580;86187;86188;86189;86190;86191;86192;86193;86194;86195;95240;95241,3728;3730;5075;14182;26936;26937;26939;34762;35539;35542;37068;37086;38174;40903;45471;62038;62781;80579;86195;95241,,,,,-1;-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
PYCR2,-0.690011476618807,0.257406651824037,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9,4;4;3;2;1;1,3;3;2;1;1;1,3;3;2;1;1;1,Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,16.9,12.8,12.8,33.637,320,320;246;359;319;87;157,0.0,3.9303,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.60914,1.3033,24.695,9,0,Leave out requantified,0.58045,0.60487,0.544,0.5421,1.4289,1.547,1.0365,1.0734,7.9277,29.18,27.305,6.0696,2,3,2,2,0,0,0,0,Median,Plateau,Median,Median,11.2,14.7,14.7,14.7,202410000,131300000,71103000,31401000,19066000,12335000,85733000,58520000,27212000,52996000,34728000,18268000,32277000,18990000,13287000,,,,14,10413;13060;13637;15537,True;False;True;True,10879;13650;14247;16220,30830;38403;38404;38405;38406;38407;40057;40058;40059;40060;45800;45801;45802;45803,61851;76890;76891;76892;76893;76894;76895;76896;76897;76898;76899;76900;76901;76902;76903;76904;76905;76906;80136;80137;80138;80139;80140;80141;80142;80143;80144;80145;80146;80147;80148;80149;80150;80151;80152;92379;92380;92381,61851;76893;80151;92381,,,,,-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
HNRNPDL,0.570902541218594,0.200224682205714,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,40.4,40.4,40.4,6.7215,57,57,0.0083909,1.3476,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4021,0.9147,10.057,8,0,Leave out requantified,0.33858,0.32527,0.40911,0.41932,1.0106,0.70866,0.79398,0.89753,,46.15,9.9608,4.3371,1,2,2,3,0,0,0,0,Median,Median,Median,Median,40.4,40.4,31.6,40.4,212300000,143510000,68791000,27175000,19945000,7229600,44137000,31308000,12829000,59628000,43300000,16328000,81359000,48954000,32405000,,,,17,10270;10271,True;True,10731;10732,30453;30454;30455;30456;30457;30458;30459;30460,61120;61121;61122;61123;61124;61125;61126;61127;61128,61123;61128,,,,,-1,protein_18,quanti,quanti,quanti,quanti
MINOS1;MINOS1-NBL1,-19.5753249129117,2.04378306129089e-07,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,MICOS complex subunit MIC10,sp|Q5TGZ0|MIC10_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A087WU07|A0A087WU07_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A3B3IRY5|A0A3B3IRY5_HUMAN MICOS complex subunit MIC1,5,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,59.0,59.0,59.0,8.8081,78,78;62;39;70;71,0.00057971,2.5115,By MS/MS,By MS/MS,,,0.43947,1.1147,6.7279,2,1,Median,0.4253,0.45411,,,1.0629,1.169,,,,,,,1,1,0,0,1,0,0,0,Median,Median,Median,Median,59.0,14.1,0.0,0.0,51101000,35019000,16082000,16839000,12962000,3876800,34262000,22057000,12205000,0,0,0,0,0,0,,,,18,10838;12572,True;True,11337;13141,32092;36956;36957,64276;73962;73963,64276;73962,,,,,-1;-1;-1;-1;-1,protein_19,imputed MEC,imputed MEC,quanti,quanti
POLA1,0.452867001206791,0.160261178435607,P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,2;2;2,2;2;2,2;2;2,DNA polymerase alpha catalytic subunit;DNA polymerase,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,3,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1.1,1.1,1.1,165.91,1462,1462;1461;1468,0.0050787,1.5095,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45316,1.2122,175.52,5,1,Median,0.24376,0.25143,3.7303,0.45316,0.92422,0.7697,8.0369,1.2122,,,259.93,,1,1,2,1,0,0,1,0,Median,Median,Median,Median,0.5,0.5,1.1,0.5,1835800000,1302900000,532900000,236640000,192930000,43704000,371590000,295460000,76132000,690270000,446790000,243470000,537310000,367720000,169600000,,,,21,11594;13061,True;True,12118;13651,34235;34236;34237;34238;38408,68633;68634;68635;68636;68637;68638;68639;68640;68641;68642;68643;68644;68645;76907,68642;76907,,,,,-1;-1;-1,protein_22,quanti,quanti,quanti,quanti
