Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NUP43-N1,Intensity NUP43-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q6UXT9,Q6UXT9,2,2,2,Abhydrolase domain-containing protein 15,ABHD15,sp|Q6UXT9|ABH15_HUMAN Protein ABHD15 OS=Homo sapiens OX=9606 GN=ABHD15 PE=1 SV=2,2,2,7.5,24.105495501324,24.6365742405151,4.42963131265863,4.37131702904701
Q9NYB9;E9PEZ7;E7EW77;E7EP65;A0A0C4DG21;F8WAL6;E7EUA1;F8WAU3;F8WCD7;F8WAZ8;F8WBL5;F8WEB9,Q9NYB9;E9PEZ7;E7EW77;E7EP65;A0A0C4DG21;F8WAL6;E7EUA1;F8WAU3;F8WCD7;F8WAZ8;F8WBL5;F8WEB9,3;3;3;3;3;3;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;2;2,Abl interactor 2,ABI2,sp|Q9NYB9|ABI2_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E9PEZ7|E9PEZ7_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E7EW77|E7EW77_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E7EP65|E7,3,2,4.9,25.3361651951832,25.1053775469333,22.4577876538986,22.8811221778843
Q7Z7G0;D3YTG3;H0YCP4;H7C4X4;H7C5S3;H7C4S3;Q5JPC9;H0Y897;H7C556,Q7Z7G0;D3YTG3;H0YCP4;H7C4X4;H7C5S3;H7C4S3;Q5JPC9;H0Y897;H7C556,2;2;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1,Target of Nesh-SH3,ABI3BP;DKFZp667H216,sp|Q7Z7G0|TARSH_HUMAN Target of Nesh-SH3 OS=Homo sapiens OX=9606 GN=ABI3BP PE=1 SV=1;tr|D3YTG3|D3YTG3_HUMAN Target of Nesh-SH3 OS=Homo sapiens OX=9606 GN=ABI3BP PE=1 SV=1;tr|H0YCP4|H0YCP4_HUMAN Target of Nesh-SH3 (Fragment) OS=Homo sapiens OX=9606 GN=ABI3B,2,2,4.8,22.6406385926087,23.375110521935,23.2310330440344,24.2297838884098
I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,2;1;1;1,2;1;1;1,2;1;1;1,,ABR,tr|I3L3W0|I3L3W0_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L259|I3L259_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L2L,2,2,29.3,4.20354318657847,4.29426065740498,23.1248829926369,25.6563279666607
A0A087WYK6,A0A087WYK6,5,2,2,,ACACA,tr|A0A087WYK6|A0A087WYK6_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,5,2,81.6,24.0797705684322,24.6214051829681,23.5321951458799,23.9049930250294
Q6IQ32;H0YLN6;H0YM09,Q6IQ32;H0YLN6;H0YM09,2;1;1,2;1;1,2;1;1,ADNP homeobox protein 2,ADNP2,sp|Q6IQ32|ADNP2_HUMAN Activity-dependent neuroprotector homeobox protein 2 OS=Homo sapiens OX=9606 GN=ADNP2 PE=1 SV=1;tr|H0YLN6|H0YLN6_HUMAN Activity-dependent neuroprotector homeobox protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ADNP2 PE=1 SV=1;tr|H0YM0,2,2,1.9,23.5619508238322,23.4186689821487,4.42963131265863,4.37131702904701
P51825;A0A669KBI3;F5GXF9,P51825;A0A669KBI3;F5GXF9,2;2;2,2;2;2,2;2;2,AF4/FMR2 family member 1,AFF1,sp|P51825|AFF1_HUMAN AF4/FMR2 family member 1 OS=Homo sapiens OX=9606 GN=AFF1 PE=1 SV=1;tr|A0A669KBI3|A0A669KBI3_HUMAN AF4/FMR2 family member 1 (Fragment) OS=Homo sapiens OX=9606 GN=AFF1 PE=4 SV=1;tr|F5GXF9|F5GXF9_HUMAN AF4/FMR2 family member 1 OS=Homo sap,2,2,4.1,22.6006537936313,23.0843523102164,24.4352054392258,22.7667246182938
O43865,O43865,6,6,2,Putative adenosylhomocysteinase 2,AHCYL1,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,6,2,12.1,4.20354318657847,4.29426065740498,26.6035695268123,26.3900490072837
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,4.20354318657847,4.29426065740498,22.9306485579508,23.4636361216132
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5,2,12.6,4.20354318657847,4.29426065740498,22.7074829937707,24.4367608419954
