Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RBBP7_N1,Intensity RBBP7_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.05855270270621,4.16046733447314,24.1592326418786,24.0521314913717
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.05855270270621,4.16046733447314,25.4010964315382,25.3548105652978
Q86TX2;G3V4F2,Q86TX2;G3V4F2,19;16,19;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,19,2,61.8,27.2196502315379,27.5175075642659,30.6256652328299,30.463339894737
E9PQY3;P11117;A0A5F9ZI20;A0A5F9ZH40;B7Z6U3;A0A5F9ZH82;E9PHY0;A0A5F9ZHR7,E9PQY3;P11117;A0A5F9ZI20;A0A5F9ZH40;B7Z6U3;A0A5F9ZH82;E9PHY0;A0A5F9ZHR7,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,Lysosomal acid phosphatase,ACP2,tr|E9PQY3|E9PQY3_HUMAN Lysosomal acid phosphatase OS=Homo sapiens OX=9606 GN=ACP2 PE=1 SV=1;sp|P11117|PPAL_HUMAN Lysosomal acid phosphatase OS=Homo sapiens OX=9606 GN=ACP2 PE=1 SV=3;tr|A0A5F9ZI20|A0A5F9ZI20_HUMAN Lysosomal acid phosphatase OS=Homo sapiens,2,2,7.8,23.0853175166267,23.0971589805026,23.704734805518,22.7122776118317
P55265,P55265,28,28,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,28,2,31.5,25.9373053861373,27.0488480293781,30.2405901012697,29.7089554062739
A0A096LNY6;P30566;A0A1B0GWF8;A0A1B0GWJ0;A0A1B0GTJ7;A0A0A6YY92,A0A096LNY6;P30566;A0A1B0GWF8;A0A1B0GWJ0;A0A1B0GTJ7;A0A0A6YY92,2;1;1;1;1;1,2;1;1;1;1;1,2;1;1;1;1;1,Adenylosuccinate lyase,ADSL,tr|A0A096LNY6|A0A096LNY6_HUMAN Adenylosuccinate lyase (Fragment) OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=1;sp|P30566|PUR8_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2;tr|A0A1B0GWF8|A0A1B0GWF8_HUMAN Adenylosuccinate lyase (Fragment,2,2,10.6,23.1157536332052,23.6981546388651,4.46703075912539,4.41961297623885
O43865;H0Y8B3,O43865;H0Y8B3,6;4,6;4,2;0,Putative adenosylhomocysteinase 2;Adenosylhomocysteinase,AHCYL1;AHCYL2,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,12.1,4.05855270270621,4.16046733447314,26.6035695268123,26.3900490072837
Q12955;A0A087WTF3,Q12955,5;2,2;1,2;1,Ankyrin-3,ANK3,sp|Q12955|ANK3_HUMAN Ankyrin-3 OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=3,5,2,1.6,26.0712037456584,26.8002059534945,4.46703075912539,4.41961297623885
Q495B1;D6RD28;A0A0C4DFZ5;A0A0C4DGZ7,Q495B1;D6RD28;A0A0C4DFZ5;A0A0C4DGZ7,2;1;1;1,2;1;1;1,2;1;1;1,Ankyrin repeat and death domain-containing protein 1A,ANKDD1A,sp|Q495B1|AKD1A_HUMAN Ankyrin repeat and death domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKDD1A PE=2 SV=2;tr|D6RD28|D6RD28_HUMAN Ankyrin repeat and death domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKDD1A PE=4 SV=1;tr|A0A0C4DFZ5,2,2,3.4,23.4738266190911,23.7249415528102,23.3721221777558,23.4409750586532
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5,2,12.6,22.5080003149121,21.5400939752199,22.7074829937707,24.4367608419954
