Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
XPHIP	CUL4A	CUL4A	18|17	35	17.5	2	0|0	1	1	1	1	1	24.93	175	0	
XPHIP	PHIP	PHIP	140|179	319	159.5	2	2|0	1	1	1	1	1	73.84	159.5	0	
XPHIP	PCCB	PCCB	23|5	28	14	2	1|0	0.95	1	0.95	1	0.95	2.29	28	0	
XPHIP	SRRM2	SRRM2	3|2	5	2.5	2	0|0	0.86	0.95	0.86	0.95	0.86	1.17	25	0.02	
XPHIP	UBXN7	UBXN7	7|7	14	7	2	1|2	0.72	0.72	0.72	0.72	0.72	0.94	4.67	0.05	
XPHIP	FLNA	FLNA	16|17	33	16.5	2	7|4	0.56	0.71	0.56	0.71	0.56	-0.32	3	0.09	
XPHIP	MCCC2	MCCC2	10|1	11	5.5	2	1|0	0.5	1	0.5	1	0.5	-3.2	11	0.15	
XPHIP	ARGLU1	ARGLU1	3|1	4	2	2	0|0	0.48	0.95	0.48	0.95	0.48	-0.86	20	0.2	
XPHIP	SRSF7	SRSF7	0|2	2	1	2	0|0	0.38	0.76	0.38	0.76	0.38	-3.37	10	0.24	
XPHIP	DDB1	DDB1	1|3	4	2	2	0|1	0.19	0.37	0.19	0.37	0.19	-3.2	4	0.28	
XPHIP	PREX1	PREX1	0|5	5	2.5	2	0|2	0.17	0.34	0.17	0.34	0.17	-6.16	2.5	0.34	
XPHIP	MSRB3	MSRB3	6|5	11	5.5	2	3|1	0.1	0.16	0.1	0.16	0.1	-2.93	2.75	0.38	
XPHIP	INTU	INTU	2|0	2	1	2	1|0	0.07	0.13	0.07	0.13	0.07	-4.81	2	0.42	
XPHIP	RPS27	RPS27	2|0	2	1	2	0|1	0.07	0.13	0.07	0.13	0.07	-4.81	2	0.42	
XPHIP	LGALS1	LGALS1	3|2	5	2.5	2	1|1	0.06	0.1	0.06	0.1	0.06	-3.55	2.5	0.5	
XPHIP	MAP3K2	MAP3K2	0|3	3	1.5	2	0|2	0.05	0.1	0.05	0.1	0.05	-6.16	1.5	0.53	
XPHIP	ACACB	ACACB	3|6	9	4.5	2	4|1	0.02	0.03	0.02	0.03	0.02	-7.17	1.8	0.55	
XPHIP	RPL8	RPL8	4|1	5	2.5	2	2|2	0.01	0.01	0.01	0.01	0.01	-8.5	1.25	0.58	
XPHIP	HIST1H4A	HIST1H4A	1|2	3	1.5	2	6|6	0	0	0	0	0	-24.88	0.25	0.7	
XPHIP	HSPA6	HSPA6	1|1	2	1	2	2|3	0	0	0	0	0	-10.5	0.4	0.7	
XPHIP	HSPA8	HSPA8	4|2	6	3	2	43|47	0	0	0	0	0	-192.85	0.07	0.7	
XPHIP	TIPRL	TIPRL	2|1	3	1.5	2	29|30	0	0	0	0	0	-128.26	0.05	0.7	
XPHIP	HLCS	HLCS	1|0	1	0.5	2	5|6	0	0	0	0	0	-25.9	0.09	0.7	
XPHIP	ELMSAN1	ELMSAN1	0|2	2	1	2	8|8	0	0	0	0	0	-36.94	0.12	0.7	
XPHIP	EEF1A1	EEF1A1	6|4	10	5	2	40|50	0	0	0	0	0	-184.96	0.11	0.7	
XPHIP	PNN	PNN	2|2	4	2	2	16|16	0	0	0	0	0	-64.93	0.12	0.7	
XPHIP	ADNP	ADNP	2|0	2	1	2	40|42	0	0	0	0	0	-184.63	0.02	0.7	
XPHIP	TCF7	TCF7	0|1	1	0.5	2	2|1	0	0	0	0	0	-8.61	0.33	0.7	
XPHIP	PFN2	PFN2	2|3	5	2.5	2	4|3	0	0	0	0	0	-12.51	0.71	0.7	
XPHIP	ATP5A1	ATP5A1	1|0	1	0.5	2	2|3	0	0	0	0	0	-12.82	0.2	0.7	
XPHIP	TCP1	TCP1	5|1	6	3	2	16|11	0	0	0	0	0	-57.44	0.22	0.7	
XPHIP	PRDX3	PRDX3	0|1	1	0.5	2	3|2	0	0	0	0	0	-12.82	0.2	0.7	
XPHIP	PRDX1	PRDX1	7|15	22	11	2	24|28	0	0	0	0	0	-93.21	0.42	0.7	
XPHIP	PAPOLB	PAPOLB	0|1	1	0.5	2	2|2	0	0	0	0	0	-10.6	0.25	0.7	
XPHIP	TUFM	TUFM	1|0	1	0.5	2	1|3	0	0	0	0	0	-10.6	0.25	0.7	
XPHIP	SLC25A5	SLC25A5	10|2	12	6	2	21|20	0	0	0	0	0	-84.57	0.29	0.7	
XPHIP	BRD4	BRD4	2|2	4	2	2	31|39	0	0	0	0	0	-148.48	0.06	0.7	
XPHIP	RPS6	RPS6	1|0	1	0.5	2	2|4	0	0	0	0	0	-14.91	0.17	0.7	
XPHIP	CTPS1	CTPS1	0|1	1	0.5	2	30|38	0	0	0	0	0	-153.22	0.01	0.7	
XPHIP	HSP90AB1	HSP90AB1	4|2	6	3	2	55|43	0	0	0	0	0	-210.55	0.06	0.7	
XPHIP	RPL7	RPL7	1|1	2	1	2	1|1	0	0	0	0	0	-5	1	0.7	
XPHIP	RPL4	RPL4	1|2	3	1.5	2	7|6	0	0	0	0	0	-27.04	0.23	0.7	
XPHIP	RPL3	RPL3	1|0	1	0.5	2	0|1	0	0	0	0	0	-4.81	1	0.7	
XPHIP	CHD4	CHD4	6|5	11	5.5	2	87|96	0	0	0	0	0	-386.66	0.06	0.7	
XPHIP	ABHD14B	ABHD14B	1|0	1	0.5	2	4|3	0	0	0	0	0	-17.14	0.14	0.7	
XPHIP	RPL6	RPL6	6|0	6	3	2	9|7	0	0	0	0	0	-36.94	0.38	0.7	
XPHIP	MKI67	MKI67	1|0	1	0.5	2	39|39	0	0	0	0	0	-175.65	0.01	0.7	
XPHIP	HIST1H2AG	HIST1H2AG	0|2	2	1	2	3|4	0	0	0	0	0	-17.14	0.29	0.7	
XPHIP	PCCA	PCCA	123|150	273	136.5	2	126|121	0	0	0	0	0	-259.78	1.11	0.67	
XPHIP	AHSA1	AHSA1	2|0	2	1	2	24|17	0	0	0	0	0	-92.75	0.05	0.7	
XPHIP	RGAG1	RGAG1	1|0	1	0.5	2	1|0	0	0	0	0	0	-4.81	1	0.7	
XPHIP	MDC1	MDC1	2|1	3	1.5	2	18|32	0	0	0	0	0	-107.67	0.06	0.7	
XPHIP	CNN3	CNN3	1|0	1	0.5	2	21|26	0	0	0	0	0	-106.16	0.02	0.7	
XPHIP	TTC28	TTC28	0|1	1	0.5	2	0|5	0	0	0	0	0	-12.25	0.2	0.7	
XPHIP	H1F0	H1F0	2|1	3	1.5	2	2|1	0	0	0	0	0	-6.8	1	0.6	
XPHIP	HNRNPA0	HNRNPA0	1|0	1	0.5	2	4|4	0	0	0	0	0	-19.27	0.12	0.7	
XPHIP	PHB2	PHB2	1|0	1	0.5	2	1|0	0	0	0	0	0	-4.81	1	0.7	
XPHIP	FAM219A	FAM219A	1|0	1	0.5	2	1|0	0	0	0	0	0	-4.81	1	0.7	
XPHIP	LMNA	LMNA	3|0	3	1.5	2	7|6	0	0	0	0	0	-30.32	0.23	0.7	
XPHIP	LUC7L3	LUC7L3	0|1	1	0.5	2	1|1	0	0	0	0	0	-6.4	0.5	0.7	
XPHIP	RPL17	RPL17	1|0	1	0.5	2	0|2	0	0	0	0	0	-6.16	0.5	0.7	
XPHIP	RPL13	RPL13	1|0	1	0.5	2	3|4	0	0	0	0	0	-17.14	0.14	0.7	
XPHIP	SPEG	SPEG	0|1	1	0.5	2	1|1	0	0	0	0	0	-6.4	0.5	0.7	
XPHIP	CXORF56	CXORF56	1|0	1	0.5	2	12|13	0	0	0	0	0	-56.98	0.04	0.7	
XPHIP	AHNAK	AHNAK	21|18	39	19.5	2	1234|1222	0	0	0	0	0	#NAME?	0.02	0.7	
XPHIP	SNED1	SNED1	0|1	1	0.5	2	0|1	0	0	0	0	0	-4.81	1	0.7	
XPHIP	HIST2H2BF	HIST2H2BF	0|1	1	0.5	2	7|5	0	0	0	0	0	-28.08	0.08	0.7	
XPHIP	PCNA	PCNA	1|0	1	0.5	2	1|2	0	0	0	0	0	-8.61	0.33	0.7	
