Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity POC1B-N1,Intensity POC1B-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q15019;B5MCX3;C9J2Q4;H7C2Y0;A0A1B0GXJ2;C9JFT1;F8WB65;B5MD47;C9JZI2;C9IY94;C9IZU3;C9JQJ4;C9J938;H7C310;C9JB25,Q15019;B5MCX3;C9J2Q4,5;5;3;2;1;1;1;1;1;1;1;1;1;1;1,5;5;3;2;1;1;1;1;1;1;1;1;1;1;1,5;5;3;2;1;1;1;1;1;1;1;1;1;1;1,Septin-2,Septin-2,sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J2Q4|C9J2Q4_HUMAN Septin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1,5,5,20.8,4.12024628707503,4.14613732404923,25.5840550642423,26.1790024447582
Q16181;E7ES33;E7EPK1;G3V1Q4;A0A0U1RRM2;A0A0U1RRH9;A0A0U1RRE1;A0A5F9ZGZ7;Q5JXL7;Q6ZU15;A0A0U1RRD1,Q16181;E7ES33;E7EPK1;G3V1Q4,9;9;9;8;3;3;3;3;2;1;1,9;9;9;8;3;3;3;3;2;1;1,9;9;9;8;3;3;3;3;2;1;1,Septin-7,Septin-7,sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|E7ES33|E7ES33_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=3;tr|E7EPK1|E7EPK1_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|G3V1Q4|G3V1Q4_HUMAN Sep,9,9,26.1,26.6915233113355,25.8819755419865,28.4348775471361,27.5986801113992
Q9UHD8;K7EL40;K7EK18;K7EQD7;K7EIE4;K7ER52;K7ENL0;K7EPY1;K7ER14;K7ELJ9;K7EJ51;K7EJV0;K7EJZ2;K7EJL9;K7ENQ5;K7EN52;K7EKN4;K7EIR4;K7EQ08;K7ER34;K7ERG1,Q9UHD8,27;9;8;7;7;7;6;5;5;5;5;5;4;4;3;3;3;3;1;1;1,27;9;8;7;7;7;6;5;5;5;5;5;4;4;3;3;3;3;1;1;1,27;9;8;7;7;7;6;5;5;5;5;5;4;4;3;3;3;3;1;1;1,Septin-9,Septin-9,sp|Q9UHD8|SEPT9_HUMAN Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,27,27,55.5,23.059861970334,23.909306418567,31.1252171265328,31.0091854410642
Q9P0V9;E7EW69;E7EX04;B5ME97;F5GYV2;C9JEW2;C9JNR7;F5H1F2,Q9P0V9;E7EW69;E7EX04;B5ME97,3;3;3;3;1;1;1;1,3;3;3;3;1;1;1;1,3;3;3;3;1;1;1;1,Septin-10,Septin-10,sp|Q9P0V9|SEP10_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7EW69|E7EW69_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|E7EX04|E7EX04_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|B5ME97|B5ME97_HUM,3,3,8.8,4.12024628707503,4.14613732404923,24.7804668786207,25.2630588271635
A8K2U0;H0YGG5,A8K2U0;H0YGG5,2;2,2;2,2;2,Alpha-2-macroglobulin-like protein 1,A2ML1,sp|A8K2U0|A2ML1_HUMAN Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens OX=9606 GN=A2ML1 PE=1 SV=3;tr|H0YGG5|H0YGG5_HUMAN Alpha-2-macroglobulin-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=A2ML1 PE=1 SV=1,2,2,1.2,4.12024628707503,4.14613732404923,24.6923217773872,24.4912439198414
A0A096LP25;Q6ZSR9;A0A096LNZ0,A0A096LP25;Q6ZSR9;A0A096LNZ0,14;11;10,12;11;8,12;11;8,Uncharacterized protein FLJ45252,AAK1,tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;tr|A0A096LNZ0|A0A096LNZ0_HUMAN AP2-associated prote,14,12,44.0,23.2402643606836,23.4625326968182,29.9179795045762,29.7599113647893
Q2M2I8;E9PG46;Q9NSY1;A0A096LP60;K4DI97,Q2M2I8;E9PG46,22;18;2;2;2,22;18;2;2;2,20;18;2;0;2,AP2-associated protein kinase 1,AAK1,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,22,20,27.9,4.12024628707503,4.14613732404923,30.3345805928992,30.2377442112063
P49588;H3BPK7,P49588,23;7,23;7,23;7,"Alanine--tRNA ligase, cytoplasmic",AARS,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",23,23,28.3,4.12024628707503,4.14613732404923,28.6402041632579,28.6240445892271
Q4L235;R4GNB1,Q4L235;R4GNB1,6;6,6;6,6;6,Acyl-CoA synthetase family member 4,AASDH,sp|Q4L235|ACSF4_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=3;tr|R4GNB1|R4GNB1_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=2,6,6,7.6,4.12024628707503,4.14613732404923,25.154952502708,25.9529372475839
Q9NRN7;E9PLW6,Q9NRN7,3;1,3;1,3;1,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,3,3,10.7,4.12024628707503,4.14613732404923,24.8779251409578,24.397412467283
Q9NY61;A0A087WTH8;A0A087WWS8,Q9NY61,3;1;1,3;1;1,3;1;1,Protein AATF,AATF,sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1,3,3,7.9,4.12024628707503,4.14613732404923,24.2427810239592,24.2705633884014
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.12024628707503,4.14613732404923,24.1592326418786,24.3446535184823
P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,11;11,11;11,11;11,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,11,11,22.2,4.12024628707503,4.14613732404923,27.843080402245,27.6502041855955
